wavelength,Back_HemParf,Belly_HemParf,Breast_HemParf,Crissum_HemParf,Crown_HemParf,DorTail_HemParf,Patch10_HemParf,Rump_HemParf,Throat_HemParf,WingTip_HemParf
202.33,-62.3808333335,-114.761833333,-23.8095,-52.8571666667,-67.381,-2.61883333334,-27.1428333333,-56.4283333332,-51.1903333333,-98.0951666665
202.71,-79.3653333332,-135.449833334,-37.8306666667,-72.2221666667,-83.5980000001,-11.9048333333,-37.5661666666,-62.963,-71.4286666667,-126.455166666
203.09,-135.185333333,-204.444166666,-61.1111666666,-103.703666667,-129.999833334,-25.5558333333,-67.0371666668,-101.851833333,-112.592833333,-189.259333333
203.47,-120.486166666,-192.013666667,-52.4305,-92.7084999999,-119.791833333,-13.1945,-60.0693333331,-90.9725,-96.5276666666,-182.291833333
203.85,-164.583333333,-229.166666666,-62.9166666667,-115.416666667,-139.583333333,-15.8333333334,-71.2500000001,-102.916666667,-122.916666667,-219.583333333
204.22,-253.5715,-341.0715,-109.523833333,-211.309333334,-229.761833333,-42.8573333333,-130.357166667,-176.785666667,-199.404833333,-353.571666666
204.60,-251.923333334,-360.2565,-91.0256666665,-196.154,-209.615333334,-37.1793333333,-125.000166667,-189.7435,-184.615333333,-368.589666667
204.98,-309.722333333,-385.4165,-99.3056666665,-216.666833333,-212.499833334,-40.2778333334,-152.777833333,-234.027833333,-224.999833334,-406.250166666
205.36,-293.333333333,-373.333333333,-124.666666667,-249.333333334,-214.0,-57.3333333333,-184.0,-232.666666666,-245.333333333,-412.0
205.74,-7816.66666666,-10483.3333333,-4366.66666667,-7116.66666666,-6200.0,-2300.0,-5416.66666667,-7233.33333334,-6683.33333334,-11050.0
206.12,1494.4445,2008.33333334,844.444333334,1430.5555,1141.66666667,438.889,1075.0,1386.11116666,1338.88883334,1950.0
206.50,948.485000001,1187.87883333,539.394,812.121333333,725.757666666,263.636333333,651.515166669,880.303000002,824.242333334,1128.78783333
206.87,10033.3333333,12133.3333333,4533.33333333,7266.66666666,7033.33333333,1500.0,6366.66666669,8933.33333332,7833.33333334,10700.0
