wavelength,Back_SpoSchf,Belly_SpoSchf,Breast_SpoSchf,Crissum_SpoSchf,Crown_SpoSchf,DorTail_SpoSchf,Patch10_SpoSchf,Patch11_SpoSchf,Rump_SpoSchf,Throat_SpoSchf,WingTip_SpoSchf
416.86,5.87526666667,38.683,15.4824666667,16.8186666667,6.69166666667,7.21793333333,5.03093333334,9.23600000001,6.27166666667,20.1448,7.6072
417.22,5.894,38.6653333333,15.5002666667,16.8438666667,6.71053333333,7.2516,5.02706666667,9.25816666666,6.27686666667,20.1562,7.61813333333
417.58,5.88906666667,38.6001333333,15.4933666667,16.845,6.7226,7.25693333333,5.04913333333,9.26199999999,6.27526666667,20.136,7.61606666667
417.94,5.8986,38.5337333333,15.4975666667,16.8572666667,6.73833333333,7.28153333333,5.0752,9.28336666666,6.27586666667,20.1017333333,7.64186666667
418.29,5.88853333333,38.4819333333,15.4811,16.8747333333,6.7286,7.28386666667,5.06493333333,9.29119999999,6.2732,20.0712,7.64153333333
418.65,5.88826666667,38.3828,15.4540333333,16.8614,6.7104,7.27813333333,5.0784,9.30239999999,6.26253333333,20.0335333333,7.63753333333
419.01,5.9026,38.3031333333,15.4450333333,16.8743333333,6.728,7.29146666667,5.09493333333,9.32960000001,6.2916,19.9946666667,7.65193333333
419.37,5.89446666667,38.2236,15.4135,16.8783333334,6.72053333333,7.28613333333,5.068,9.31636666666,6.27593333333,19.9590666667,7.65966666666
419.73,5.8862,38.1516666667,15.4076,16.8887333333,6.71226666667,7.28726666667,5.06746666667,9.3191,6.27993333333,19.9404,7.6608
420.08,5.87906666667,38.0754,15.3797666667,16.9005333333,6.69573333333,7.28666666667,5.07886666667,9.3226,6.28353333334,19.9248,7.6674
420.44,5.8698,38.0056,15.3566,16.9111333333,6.68193333333,7.2844,5.07226666667,9.30329999999,6.26746666667,19.9019333333,7.6626
420.80,5.84173333333,37.9309333334,15.3274333333,16.8934,6.65026666667,7.26646666667,5.045,9.26030000001,6.23466666667,19.8857333333,7.641
421.16,5.82613333333,37.86,15.3083,16.8932,6.65473333333,7.26793333333,5.04273333333,9.2533,6.23433333333,19.8694666667,7.6482
421.51,5.8318,37.7994666667,15.3292333333,16.9152,6.66746666667,7.28746666667,5.0412,9.26926666667,6.24726666667,19.8775333333,7.67246666667
421.87,5.829,37.7610666667,15.3083666667,16.9162,6.65613333333,7.27553333333,5.02693333333,9.25263333333,6.2468,19.8634,7.66433333333
422.23,5.8394,37.7290666667,15.3031666667,16.9342,6.6638,7.28306666667,5.03066666667,9.26159999999,6.2462,19.8667333333,7.67766666667
422.58,5.8218,37.6838666667,15.2864666667,16.9446,6.65473333333,7.27966666667,5.00713333333,9.2446,6.2374,19.8492,7.671
422.94,5.7862,37.6128666667,15.2574666667,16.9390666666,6.6214,7.25973333333,4.97326666667,9.21913333333,6.20293333333,19.8332666667,7.6512
423.30,5.77073333334,37.5136666667,15.2404,16.9370666667,6.604,7.24946666667,4.96833333333,9.19640000001,6.18966666667,19.796,7.64246666667
423.66,5.757,37.4615333333,15.2307666667,16.9316,6.59366666667,7.24233333333,4.95466666667,9.17903333333,6.177,19.7846,7.62993333333
424.01,5.75753333333,37.4147333333,15.2246666667,16.951,6.59673333333,7.246,4.94266666667,9.17789999999,6.17766666666,19.7734666667,7.6248
424.37,5.72793333333,37.3355333333,15.1908666667,16.9358,6.57006666667,7.22606666667,4.91646666667,9.1519,6.1544,19.7546,7.59693333333
424.73,5.7172,37.2577333333,15.1580666667,16.9318666667,6.5598,7.1998,4.89673333334,9.14220000001,6.14193333333,19.7174,7.57693333333
425.08,5.71046666667,37.2136,15.1456333333,16.9358666667,6.5472,7.17253333333,4.8918,9.13783333334,6.1262,19.6969333334,7.571
425.44,5.70026666667,37.1717333333,15.1174,16.9326666667,6.52013333333,7.14926666667,4.8824,9.12196666667,6.1084,19.6784,7.54406666667
425.80,5.70293333333,37.153,15.1401666667,16.9721333333,6.53226666666,7.15606666667,4.8844,9.14180000001,6.11633333333,19.6956666667,7.55186666666
426.16,5.7082,37.125,15.1505333333,16.9938,6.5386,7.1604,4.90273333334,9.16476666667,6.1318,19.7063333333,7.55846666667
426.51,5.73686666667,37.1458666667,15.1920333333,17.0492666667,6.569,7.18133333333,4.9406,9.19486666667,6.15866666667,19.7470666666,7.58566666667
426.87,5.7522,37.1539333333,15.2058333333,17.0647333333,6.57726666667,7.18633333333,4.95353333334,9.19606666667,6.16273333333,19.7557333333,7.5854
427.23,5.7838,37.243,15.2505,17.1290666667,6.611,7.21493333333,4.9784,9.24836666667,6.19826666667,19.8365333333,7.62226666667
427.58,5.80133333333,37.2549333333,15.2513666667,17.1629333333,6.61953333333,7.21573333333,4.9856,9.26066666667,6.19486666667,19.8397333333,7.6318
427.94,5.79606666667,37.2967333333,15.2817666667,17.1804,6.6238,7.21133333333,4.98313333333,9.25683333333,6.19313333333,19.8658666667,7.622
428.30,5.85373333333,37.3756666667,15.3566666667,17.2620666667,6.68053333333,7.25753333333,5.04026666667,9.32813333334,6.24846666666,19.9238666667,7.68033333333
428.65,5.89766666667,37.4689333333,15.4326,17.3244,6.72206666667,7.30366666667,5.08986666667,9.38086666666,6.29466666667,19.9970666667,7.72313333333
