wavelength,Back_PooOrnm,Belly_PooOrnm,Breast_PooOrnm,Crissum_PooOrnm,Crown_PooOrnm,DorTail_PooOrnm,Patch10_PooOrnm,Patch11_PooOrnm,Patch12_PooOrnm,Rump_PooOrnm,Throat_PooOrnm,WingTip_PooOrnm
772.87,28.0538333333,51.7608333333,40.1218333333,49.9738333333,19.5010833333,17.095375,43.683,46.36025,50.0851666667,25.38625,40.8875833334,23.4093333333
773.18,28.5396666667,52.4150833333,40.562125,49.79425,19.7915,17.9836666667,44.2410833333,46.6229166667,50.889,25.6700833333,41.2685,23.7063333333
773.50,28.5611666667,52.8003333333,40.9262083334,50.0135833333,20.08925,18.2800416666,44.9676666667,47.0035833334,50.9536666667,25.8184166667,41.9169166667,24.2964166666
773.81,28.0959583333,52.5864166667,40.5070833333,49.6716666666,19.6498333333,17.867375,44.67025,47.0716666667,50.70475,25.2805833333,41.68025,24.02825
774.12,27.811375,52.3828333333,40.5587916667,49.7213333333,19.2448333333,17.3947916667,44.405,47.1851666667,50.5713333333,24.86775,41.7708333333,23.7596666666
774.43,27.9154583333,51.6401666667,40.4156666667,49.0748333333,19.2879166666,17.1503333333,43.7340833333,47.0493333333,50.1541666666,24.9299166667,41.113,23.64025
774.74,28.3912916667,52.1441666667,40.9627916666,49.5710833333,19.4610833333,17.499375,44.2038333333,47.6485833333,50.7790833333,25.2000833334,41.138,23.7704166667
775.05,28.830875,52.3729166667,41.1521666667,50.0143333334,19.7254166667,17.5672083333,44.4468333333,47.6055833333,50.6719166667,25.0144166666,41.2378333333,24.2711666667
775.36,29.440375,52.7369166667,41.771,50.749,20.0445833333,18.0314583333,44.7853333333,48.6313333333,51.3540833333,25.20175,41.60175,25.02175
775.67,29.4882083333,52.237,41.8525833333,50.4645833333,20.21875,18.071,44.7899166667,48.5134166667,51.0864166667,24.9929166667,41.4666666667,26.1006666666
775.98,30.1359583333,52.5106666667,42.1174583333,50.8943333333,20.4005833333,18.5193333333,45.31475,49.2705,51.6954166667,25.4935833333,42.2245833333,26.50225
776.30,30.521125,52.9945833333,42.71375,51.222,20.912,19.2430416667,46.0905,49.5354166667,52.3585,26.365,42.903,27.5656666667
776.61,30.3350416667,52.3225833333,42.31425,50.7531666667,20.9600833333,18.9612916667,45.7136666667,49.21875,51.471,26.06275,42.2930833333,27.0410833333
776.92,30.9589166667,52.2185,42.183125,50.80425,21.46425,19.2179166667,45.4798333333,49.5841666667,51.57375,26.3726666667,42.1795833333,27.1700833333
777.23,31.470875,52.3965833333,43.036125,51.1023333334,22.3020833334,19.74475,45.95325,49.7533333333,51.883,26.9721666667,42.5088333333,27.9308333333
777.54,31.2515833333,51.45825,42.518375,50.3746666667,22.15875,19.296625,45.9660833333,49.1824166667,51.499,26.4241666667,41.8300833333,27.4188333333
777.85,31.0622916667,52.0101666667,43.0090833333,50.6748333334,21.9464166667,18.95525,46.4038333333,49.6383333333,52.0590833333,26.1405833333,42.5013333333,27.073
778.16,30.594,51.38875,42.8601666667,50.5655,21.5520833334,18.593,46.1683333333,48.8901666667,51.696,25.9213333333,42.4624166667,27.0030833333
778.47,29.6015,50.1893333333,41.7121666667,49.7405,20.4686666667,18.0520416667,45.3285,48.1901666667,51.1223333333,25.42075,41.6316666667,25.7645833334
778.78,29.1454166667,49.9646666667,40.9009166667,49.0474166667,20.1948333333,17.3829166667,44.9053333333,47.3399166667,50.4729166667,25.2398333333,41.3631666667,24.7955
779.09,29.2022083333,50.1779166667,41.0196666666,49.5165,20.2216666667,17.6265416667,44.8663333333,47.4901666667,50.5900833334,25.5688333333,41.7093333334,24.2961666667
779.40,29.06975,50.36625,41.1350416667,49.4684166667,19.9569166666,17.4891666667,44.3893333333,47.227,50.15075,25.2299166667,41.4296666667,23.46275
779.71,28.3254166666,49.7256666667,40.464375,48.6785,19.07125,16.500625,43.277,46.1726666667,48.9096666666,24.2128333333,40.43925,22.81225
780.02,28.2108333334,50.3025833334,41.1352083333,49.3725833333,19.2353333333,16.858625,43.74825,46.5825833334,49.1438333334,24.45375,40.9581666667,22.5200833333
780.33,27.4749166667,50.79475,41.1293333333,49.8259166667,18.9750833333,16.5002083333,43.6498333333,46.4804166667,48.87225,24.46275,40.8946666666,22.0405833333
780.64,27.7675,51.33375,41.2195833333,50.5318333333,19.1104166667,16.89025,43.53225,46.8624166667,49.54525,24.5529166667,41.312,22.1323333334
780.95,27.81775,51.6511666667,41.2480833333,50.83725,18.8994166667,17.6085,43.4574166667,46.7519166667,49.4805833333,24.62025,41.2324166667,21.96125
781.26,27.581375,51.3489166667,40.9107916667,50.48825,19.1395,17.9495833333,43.2170833333,46.3488333333,48.876,24.4729166667,40.9766666667,21.4961666666
781.57,28.059625,51.6605833333,40.932625,50.0384166667,19.64925,18.35025,42.9811666667,46.8403333333,48.74675,24.9155,40.9285833333,21.5633333333
781.88,28.7403333333,52.8751666667,41.7968333334,50.48175,20.0553333333,18.594,43.515,47.4328333333,49.16275,25.05525,41.3745,22.1249166667
782.19,29.3294166667,53.4445,42.6150833334,50.9365,20.9523333333,19.313625,44.0,47.6826666667,49.78575,25.5475,41.6348333333,23.0
782.50,30.0080416667,54.1386666667,43.1079166666,51.2801666667,21.0709166667,19.517,44.5006666666,47.8904166666,50.5878333333,25.9095833333,41.84375,23.1721666667
