wavelength,Back_ParGulm,Belly_ParGulm,Breast_ParGulm,Crissum_ParGulm,Crown_ParGulm,DorTail_ParGulm,Rump_ParGulm,Throat_ParGulm,WingTip_ParGulm
567.39,9.59791111111,60.0332333333,50.4621333333,57.8671333333,6.43933333333,8.41253333333,7.8393,7.48291666666,9.42416666667
567.73,9.57273333334,59.9855,50.4158,57.7957333333,6.43643333333,8.4056,7.83311111111,7.50791666667,9.40373333333
568.07,9.55506666667,59.8954333333,50.3303333333,57.7558666667,6.4581,8.40366666667,7.82601111111,7.4675,9.38323333333
568.41,9.56642222223,59.9559333333,50.4083333333,57.7849333333,6.48556666667,8.41276666667,7.85027777777,7.48325,9.40963333334
568.75,9.55300000001,60.0094333333,50.4734666667,57.8052,6.50473333333,8.42286666667,7.83104444445,7.48641666667,9.37230000001
569.09,9.56444444444,59.9723333333,50.4764,57.7834666667,6.55046666667,8.44703333333,7.85368888888,7.5145,9.37376666667
569.43,9.55762222222,59.9315333333,50.4749333333,57.7814,6.58123333333,8.42743333333,7.83763333333,7.52108333333,9.33546666667
569.77,9.46944444444,59.8728,50.3566,57.7013333333,6.5061,8.34093333333,7.74078888889,7.42608333333,9.2544
570.11,9.4442,59.7413666667,50.2488666667,57.6121333333,6.50763333333,8.32193333333,7.71396666667,7.43416666667,9.24459999999
570.45,9.45351111111,59.8539666667,50.3316,57.7153333333,6.56873333333,8.34226666667,7.73645555555,7.47741666667,9.26346666667
570.79,9.51006666666,59.9473666667,50.4388,57.7762666666,6.64953333333,8.40223333333,7.81218888889,7.54075,9.3399
571.13,9.56900000001,60.0055333333,50.4511333333,57.7657333333,6.7306,8.43823333333,7.86815555555,7.61483333333,9.39869999999
571.47,9.60073333334,60.0606,50.5097333333,57.8369333333,6.8187,8.44713333333,7.89065555555,7.62825,9.42366666667
571.81,9.67035555556,60.1826333333,50.6197333333,57.9067333333,6.90896666666,8.50473333333,7.94164444444,7.70533333333,9.48853333333
572.15,9.63657777778,60.0415,50.4922,57.7622666667,6.88966666667,8.46683333333,7.89851111111,7.68916666666,9.4418
572.49,9.62259999999,59.9841666667,50.4114,57.7212666667,6.8841,8.43796666667,7.87864444445,7.65925,9.42793333333
572.83,9.64137777778,59.9776666667,50.42,57.6944666667,6.92906666667,8.45783333333,7.88662222222,7.68408333333,9.45793333334
573.17,9.62182222222,60.0168666667,50.4092,57.7251333333,6.90666666667,8.4274,7.85146666666,7.64466666667,9.42893333334
573.51,9.64459999999,60.0158666667,50.4303333333,57.7157333333,6.98096666667,8.4534,7.89347777777,7.66791666667,9.4455
573.85,9.65533333333,60.1201333333,50.4924,57.8196,7.03816666667,8.4497,7.89478888888,7.67233333333,9.4575
574.19,9.67188888889,60.1377666667,50.5412,57.844,7.0673,8.4397,7.91193333334,7.6765,9.48189999999
574.53,9.68304444444,60.1164333333,50.4994666667,57.8316666667,7.1211,8.44656666667,7.93128888889,7.705,9.48196666666
574.87,9.65242222223,60.1509666667,50.5408,57.8746,7.11646666667,8.43313333333,7.89376666666,7.67183333333,9.45113333333
575.21,9.60624444445,60.2164,50.5732666667,57.9315333333,7.10136666667,8.4064,7.86242222221,7.6475,9.44163333333
575.55,9.52760000001,60.0464,50.4291333333,57.8124,7.07276666667,8.3591,7.81944444445,7.59091666667,9.37029999999
575.89,9.55233333333,60.1581333333,50.5377333333,57.9734,7.12123333333,8.35923333333,7.82790000001,7.58233333333,9.38736666667
576.22,9.55653333333,60.2624666667,50.6454,58.0728,7.1743,8.35336666667,7.84417777778,7.59133333333,9.41326666667
576.56,9.53624444444,60.2855,50.6289333333,58.1256,7.16643333333,8.30193333333,7.81745555556,7.53916666667,9.39153333334
576.90,9.5525111111,60.2582,50.6246,58.0990666666,7.2356,8.33963333333,7.81464444444,7.55,9.41573333333
577.24,9.55044444445,60.1889,50.5986,58.0797333333,7.30123333333,8.35266666667,7.80306666667,7.5555,9.42173333334
577.58,9.56266666666,60.2037,50.626,58.0357333333,7.35263333333,8.38923333333,7.82001111111,7.57658333333,9.43226666666
577.92,9.59488888889,60.2034,50.6358,58.037,7.44993333334,8.44366666667,7.84576666667,7.64058333333,9.44366666666
