wavelength,Back_IriPorm,Belly_IriPorm,Breast_IriPorm,Crissum_IriPorm,Crown_IriPorm,DorTail_IriPorm,Patch10_IriPorm,Patch11_IriPorm,Rump_IriPorm,Throat_IriPorm,WingTip_IriPorm
353.28,9.20966666666,8.90466666667,11.376,4.08611111111,9.50555555557,7.24044444445,10.2198888889,7.29722222222,8.31455555556,15.0,7.79777777778
353.65,9.39044444444,9.13400000001,11.5276666667,4.29455555556,9.74744444446,7.55044444444,10.4924444444,7.53255555555,8.55166666667,15.2362222222,8.00511111111
354.01,9.45155555554,9.18422222221,11.4937777778,4.31755555556,9.85544444445,7.55833333333,10.5514444444,7.65077777778,8.58222222222,15.3012222222,8.03666666667
354.38,9.55644444443,9.3748888889,11.6282222222,4.428,9.92144444443,7.68377777778,10.6412222222,7.71722222222,8.70411111111,15.4692222222,8.14522222222
354.74,9.57911111112,9.493,11.6744444444,4.50011111111,9.97244444443,7.614,10.7367777778,7.81333333333,8.83022222222,15.5012222222,8.24455555556
355.11,9.49977777777,9.47088888887,11.6516666666,4.34255555555,9.90144444444,7.43788888889,10.7672222222,7.72088888889,8.77477777778,15.411,8.16133333333
355.47,9.47255555556,9.47422222222,11.7168888889,4.421,9.9641111111,7.48144444444,10.8844444444,7.75944444445,8.88,15.4656666667,8.23955555555
355.83,9.46777777778,9.54255555557,11.7604444445,4.571,10.0346666667,7.534,10.9358888889,7.82133333333,8.90122222222,15.6151111111,8.37511111111
356.20,9.40844444445,9.44055555557,11.6844444445,4.38877777778,9.891,7.34677777778,10.7902222222,7.71088888889,8.62911111111,15.4968888889,8.27311111111
356.56,9.49888888888,9.49444444443,11.7243333333,4.42255555556,9.938,7.34433333333,10.8414444444,7.70333333333,8.67722222222,15.5461111111,8.29611111111
356.93,9.496,9.4421111111,11.6088888889,4.34577777778,9.89055555557,7.33566666667,10.8245555556,7.64988888889,8.57155555556,15.3736666667,8.17544444444
357.29,9.36433333332,9.30677777777,11.4381111111,4.21111111111,9.80077777778,7.119,10.7493333333,7.49911111111,8.40344444444,15.2537777778,7.93833333334
357.66,9.29866666667,9.249,11.4656666667,4.17655555555,9.77355555554,6.96611111111,10.6466666666,7.38833333334,8.28711111111,15.1284444445,7.87377777778
358.02,9.14255555555,9.07544444444,11.3281111111,4.01333333333,9.60900000001,6.75166666667,10.5464444444,7.21688888889,8.11855555556,14.906,7.74711111111
358.38,9.07188888889,8.94911111111,11.2795555556,3.90688888889,9.59211111112,6.65488888889,10.5413333333,7.17488888889,8.04655555555,14.7353333333,7.63066666667
358.75,9.08666666667,8.90855555555,11.3052222222,3.89033333333,9.61199999999,6.64677777778,10.5658888889,7.14611111111,8.05955555556,14.7294444444,7.49544444444
359.11,9.18766666667,8.97388888889,11.3628888889,3.98466666667,9.71833333334,6.73533333333,10.6383333333,7.184,8.12122222222,14.8677777778,7.546
359.48,9.18188888889,9.03066666666,11.3776666667,3.86944444444,9.73011111111,6.71966666667,10.644,7.12888888889,8.12811111111,14.8158888889,7.48644444445
359.84,9.22844444445,9.08344444444,11.4465555556,3.888,9.76622222223,6.73988888889,10.661,7.11677777778,8.19522222222,14.7234444445,7.415
360.20,9.38622222223,9.28800000001,11.5633333333,4.06988888889,9.98177777778,6.89555555556,10.8914444444,7.31022222222,8.41333333333,14.9174444444,7.52322222222
