wavelength,Back_CisLevm,Belly_CisLevm,Breast_CisLevm,Crissum_CisLevm,Crown_CisLevm,DorTail_CisLevm,Patch10_CisLevm,Patch11_CisLevm,Rump_CisLevm,Throat_CisLevm,WingTip_CisLevm
614.94,55.8942666666,66.7204666667,5.1649,53.6239333333,7.41453333333,6.46286666666,29.2844666667,35.2703333333,49.7025964103,4.55966666667,4.01626666667
615.28,55.9186666667,66.7656666667,5.21783333333,53.6090666667,7.48366666667,6.50553333333,29.3375333333,35.2866,49.7850241026,4.63913333333,4.03526666667
615.61,56.0342666667,66.8849,5.26603333334,53.6628666667,7.5532,6.57133333333,29.4172,35.3442666667,49.8186933333,4.69,4.09746666667
615.95,56.0523333333,66.9326666667,5.2662,53.7239333333,7.53733333333,6.58746666667,29.4907333333,35.3964666667,49.9171353846,4.70013333333,4.0886
616.28,56.0236,66.8907333333,5.28886666667,53.6545333333,7.53126666667,6.6084,29.4890666666,35.3226666667,49.9038605128,4.7168,4.11026666667
616.61,56.1712666667,67.0707666667,5.3119,53.7656,7.56546666667,6.66366666667,29.6158666667,35.3942,50.0254297436,4.76893333333,4.13433333333
616.95,56.2142,67.0589,5.3417,53.7329333333,7.624,6.68686666667,29.6362666667,35.4478,50.0198441026,4.79713333333,4.1706
617.28,56.1967333333,66.9850666667,5.37053333333,53.6852666667,7.61039999999,6.66900000001,29.6144666667,35.4134,49.9945774359,4.81366666667,4.17446666667
617.62,56.2948666667,67.1503333333,5.37533333333,53.7686,7.59966666667,6.69173333333,29.6657333333,35.4922666667,50.0763266667,4.84126666667,4.19833333333
617.95,56.3388666667,67.1877666667,5.34446666667,53.7525333333,7.59906666667,6.68366666667,29.7045333333,35.5182,50.1177,4.84486666667,4.21053333333
618.28,56.5262,67.3494333333,5.38643333333,53.8748,7.63653333334,6.75193333333,29.7817333333,35.6461333333,50.2553558974,4.9064,4.27146666667
618.62,56.5998666667,67.4225,5.48556666667,53.9482666667,7.69559999999,6.8554,29.8783333333,35.6792666667,50.3276061538,4.99953333333,4.39653333333
618.95,56.5767333333,67.372,5.54606666667,53.9153333333,7.70786666667,6.87873333333,29.8889333333,35.7384666667,50.2957866667,5.00826666666,4.495
619.28,56.5664,67.3633333333,5.5584,53.8647333333,7.68406666667,6.87000000001,29.8841333333,35.733,50.282514359,4.98,4.50306666667
619.62,56.4902,67.2718666667,5.60213333333,53.7289333333,7.71273333334,6.89606666667,29.8487333333,35.668,50.1793589744,5.00453333333,4.55073333333
619.95,56.5256666667,67.2914333333,5.585,53.7868,7.7148,6.89573333334,29.8486666667,35.7114666667,50.1772492308,4.9866,4.555
620.28,56.5070666667,67.1938333333,5.63293333333,53.7636,7.74946666667,6.92539999999,29.8148666667,35.7174666666,50.1652384615,5.0082,4.58026666667
620.62,56.5350666667,67.2441,5.6434,53.8668,7.75133333333,6.92899999999,29.8694,35.7899333333,50.2391533333,5.02533333334,4.6042
620.95,56.5343333333,67.3004,5.62223333333,53.8637333333,7.76453333333,6.9608,29.8685333333,35.7942666667,50.2365728205,5.03426666667,4.58746666667
621.28,56.4804666667,67.2266333333,5.55313333333,53.8111333333,7.72113333333,6.89986666667,29.7646,35.7606666667,50.2131282051,4.94766666666,4.48166666666
621.62,56.5378,67.2347666667,5.5029,53.8302666667,7.64433333334,6.854,29.718,35.7567333333,50.1936420513,4.88473333333,4.41413333333
621.95,56.405,67.1617,5.43603333333,53.7639333333,7.55506666666,6.78479999999,29.64,35.6644666667,50.1006430769,4.8186,4.3464
622.28,56.3485333333,67.1316666667,5.39106666667,53.7320666667,7.5102,6.72793333333,29.5312,35.6325333333,49.9999907692,4.7762,4.2864
622.62,56.3419333333,67.1053333333,5.35513333333,53.7626,7.52073333333,6.74179999999,29.5598,35.6216666667,50.0072430769,4.76446666666,4.23946666667
622.95,56.3546,67.1236666667,5.32336666667,53.8244666667,7.5104,6.73719999999,29.5662,35.6286,50.0357902564,4.76126666667,4.2068
623.28,56.4609333334,67.1969333333,5.4127,53.9547333333,7.62573333333,6.81780000001,29.6540666667,35.7100666667,50.1057702564,4.87153333333,4.31146666667
623.62,56.5540666667,67.3467333334,5.55753333333,54.014,7.73873333333,6.91786666667,29.798,35.7771333333,50.2262574359,4.99946666667,4.438
623.95,56.5344666667,67.4041,5.57856666667,54.0125333333,7.74993333333,6.90459999999,29.8460666667,35.7972666667,50.2280476923,5.02626666667,4.50593333333
624.28,56.5542666667,67.4395666667,5.5357,53.984,7.70813333333,6.8744,29.8154,35.764,50.2090707692,4.97386666667,4.49313333333
624.62,56.639,67.5801333333,5.55513333333,54.0434666667,7.71559999999,6.86886666667,29.8783333333,35.8358,50.3161512821,4.98246666667,4.53226666666
624.95,56.6970666667,67.6584333333,5.6493,54.1308666667,7.81820000001,7.00266666667,30.017,35.9277333333,50.3565497436,5.07053333333,4.67986666666
625.28,56.6591333333,67.6199666667,5.7368,54.1066666667,7.91126666667,7.08646666666,30.0692,35.9568,50.3358169231,5.15166666667,4.7496
625.61,56.6375333333,67.6089,5.7393,54.0504,7.96466666667,7.09246666666,30.0986,35.9453333333,50.3449835897,5.16366666667,4.74846666667
625.95,56.6222666667,67.5744,5.71273333333,54.0084,7.93939999999,7.0668,30.1042666667,35.9183333333,50.3083271795,5.14213333333,4.7318
626.28,56.6224666667,67.5931666667,5.69013333333,53.9533333333,7.89700000001,7.04000000001,30.0646666667,35.8858666667,50.2722030769,5.11406666667,4.7144
626.61,56.5591333334,67.5341,5.7008,53.8770666667,7.92253333334,7.05959999999,30.0620666667,35.8889333333,50.2286389744,5.13826666667,4.7592
626.94,56.582,67.5931333333,5.6939,53.9117333333,7.89926666667,7.06133333333,30.0878,35.9416666667,50.2666753846,5.12726666667,4.7788
627.28,56.619,67.6198,5.6608,53.9409333333,7.8964,7.07653333333,30.0702,35.9614,50.2930420513,5.132,4.77973333333
627.61,56.5826,67.5463333333,5.59153333334,53.8916,7.85813333333,7.05746666667,30.0014,35.9360666667,50.2386041026,5.06706666667,4.70293333333
627.94,56.5957333333,67.4948333334,5.61033333333,53.9062,7.88953333334,7.10980000001,29.9685333333,35.9446666667,50.2106810256,5.098,4.7268
628.27,56.6070666667,67.4892333333,5.56193333333,53.9616,7.85673333333,7.1008,29.953,35.9420666667,50.208631282,5.06633333333,4.7202
628.61,56.6133333333,67.4812,5.5013,53.9480666667,7.78639999999,7.01286666667,29.8695333333,35.9116666667,50.2011010257,5.0104,4.65593333333
628.94,56.6384666667,67.5058,5.48516666666,53.9695333333,7.77073333334,7.00953333333,29.8542666667,35.9203333333,50.2166876923,4.99746666666,4.6756
629.27,56.6162,67.4358333333,5.4877,53.9987333333,7.74039999999,7.01559999999,29.7834666667,35.9224,50.1826374359,4.99613333333,4.68866666667
629.60,56.7115333333,67.5619,5.5309,54.1419333333,7.80246666666,7.10073333333,29.8750666667,36.0226666667,50.3144282051,5.054,4.73806666667
629.94,56.7113333333,67.5464,5.53536666667,54.1642,7.80626666667,7.09546666667,29.8506,36.0206,50.301471282,5.05746666667,4.73733333333
630.27,56.7322666667,67.6408333334,5.46543333333,54.1415333333,7.72259999999,7.00680000001,29.815,35.9612,50.3077928205,5.00333333333,4.63806666667
630.60,56.8065333333,67.7316333333,5.4481,54.1912,7.73346666666,6.98880000001,29.8288,35.9996666667,50.3574764103,4.98466666667,4.59126666667
630.93,56.8162,67.7316666667,5.39163333333,54.2041333333,7.66173333333,6.91313333333,29.7937333333,35.9994666667,50.3246605128,4.92153333333,4.51933333333
631.26,56.9416666666,67.8495666667,5.40306666667,54.2906666667,7.66786666666,6.91066666667,29.8667333333,36.0492,50.4135138462,4.92866666667,4.54446666667
631.60,56.9688666667,67.9029333333,5.4385,54.3032,7.68686666666,6.90286666667,29.9327333333,36.0676666667,50.4738620513,4.98,4.57133333333
631.93,57.0066666667,67.92,5.4797,54.3107333333,7.73060000001,6.91753333334,29.9728666667,36.1149333333,50.5173830769,4.98273333333,4.58306666667
632.26,57.0184,67.9569,5.4998,54.3322,7.75806666667,6.92799999999,30.0451333333,36.1008,50.5632528205,5.01826666667,4.62246666667
632.59,56.8130666667,67.7355,5.44156666667,54.11,7.69046666667,6.83180000001,29.8826,35.9084,50.3767041026,4.96426666666,4.51953333334
632.92,56.8944666667,67.8226666667,5.52306666667,54.1108,7.74813333334,6.91933333333,30.0224666667,35.9794666667,50.469908718,5.02206666667,4.6086
633.26,56.8196,67.6897333333,5.4926,54.0188,7.71833333334,6.85113333333,29.9659333334,35.9038,50.3870271795,4.96713333333,4.57626666667
633.59,56.9411333333,67.8064333333,5.55106666667,54.1226,7.7644,6.90853333333,30.063,35.9986,50.5355271795,5.01393333333,4.6248
633.92,56.9998,67.8097333333,5.61313333333,54.2184666667,7.83213333332,6.98973333334,30.1101333333,36.0993333333,50.5910912821,5.08766666667,4.7262
634.25,56.8730666667,67.7328,5.52233333333,54.1246,7.71846666667,6.88913333334,30.0102666667,36.0201333333,50.4960430769,5.00006666667,4.63386666667
634.58,56.8778,67.7649,5.57636666667,54.1318,7.7318,6.94766666667,30.0737333333,36.0678,50.534288718,5.0232,4.67886666667
