wavelength,Back_TanArtm,Belly_TanArtm,Breast_TanArtm,Crissum_TanArtm,Crown_TanArtm,DorTail_TanArtm,Patch10_TanArtm,Patch11_TanArtm,Patch12_TanArtm,Patch13_TanArtm,Rump_TanArtm,Throat_TanArtm,WingTip_TanArtm
229.89,10.26975,7.46883333333,8.71366666666,11.1689166667,8.12591666667,9.61283333333,7.46891666666,5.60166666667,5.70537499999,11.584,7.43425,6.74283333333,14.24625
230.27,10.4253333333,8.84795833333,11.3511666667,13.58025,7.64733333333,9.94508333335,8.43616666667,6.89308333333,6.24137500001,12.4486666667,8.67633333334,7.33891666666,14.0261666666
230.65,12.0523333333,9.091,13.4985,13.9461666667,7.54116666668,11.0535833333,11.01925,7.78241666665,7.16254166667,13.1886666667,10.4683333333,6.92150000001,15.1515
231.02,10.3990833333,6.82770833332,12.8851666667,12.6049166667,6.75783333333,8.01816666667,10.014,5.77741666667,5.79485416667,11.0995,9.90916666668,6.93266666667,15.7914166667
231.40,5.10283333333,2.29445833333,9.25116666667,8.84724999999,2.42291666668,3.96474999999,4.95599999999,0.257,0.421958333335,6.53458333334,6.60791666667,2.75341666666,12.6285
231.78,7.50008333333,3.11516666667,10.9921666667,9.64283333334,2.81749999999,6.54758333333,5.43649999999,2.46025,1.2103125,9.20633333335,8.41274999999,3.65075,14.1666666667
232.15,8.70108333333,4.90204166667,11.3154166667,10.2124166667,3.34975,7.23050000001,7.10791666667,3.67658333333,5.14716666667,8.86441666667,10.0081666667,4.94266666667,15.27775
232.53,8.11391666667,5.08770833334,11.7544166667,10.9210833333,2.76316666668,7.58766666666,8.15791666665,3.07016666667,5.85533333333,7.58775,8.99124999999,5.21925,15.2193333333
232.90,6.81825000001,2.85220833334,9.75941666665,8.64533333333,1.15866666668,6.55066666665,7.04091666668,0.891250000001,4.36727083333,5.30308333333,6.95191666667,4.10008333333,11.2745
233.28,4.36499999998,1.98420833334,8.15708333334,9.17108333333,-0.308666666675,4.93824999998,5.68783333334,-1.6755,3.71464583333,3.52733333333,5.59966666666,2.99825,8.15716666667
233.66,1.58941666668,1.33154166667,6.65800000001,9.49308333334,0.429583333332,4.51033333333,4.42433333333,-3.52225,2.27670833333,2.19066666666,4.25275,1.58941666667,5.15475
234.03,-3.49999999999,-2.77083333334,2.91666666667,3.29166666667,-3.54166666666,1.54166666666,0.208333333333,-10.3333333333,-1.61458333333,-3.87499999999,-9.9998898051e-12,-4.0,0.791666666664
234.41,-3.27108333334,-2.12225,2.33633333333,1.40191666667,-1.94708333334,0.661916666667,0.0390000000018,-10.9423333333,0.399166666668,-4.36125000001,0.46725000001,-3.42683333334,1.75233333333
234.78,-6.31533333334,-3.56883333333,0.0374166666667,-2.54116666666,-2.91483333334,-1.68158333333,-3.66208333334,-13.07925,-1.5413125,-7.28674999999,-3.13916666667,-4.48425,-1.42025
235.16,-8.55541666668,-4.18520833333,-1.926,-5.77775000001,-4.11108333334,-2.92591666667,-5.92591666668,-14.8518333333,-4.59254166667,-8.62958333332,-5.40750000001,-5.92591666666,-5.96300000001
235.54,-9.00141666668,-6.85654166667,-2.56683333333,-8.57933333334,-5.30950000001,-3.76233333333,-7.10266666666,-14.3811666666,-5.32689583333,-9.70466666667,-7.13783333333,-6.57525,-8.54433333333
235.91,-11.4285833333,-10.0680833333,-5.54441666666,-10.37425,-6.29258333334,-7.04066666666,-9.38766666667,-17.3809166667,-8.32460416667,-14.31975,-10.544,-9.14966666667,-11.76875
236.29,-16.0544166667,-12.4149166667,-9.21766666667,-12.7889166667,-8.29933333333,-10.136,-12.7890833333,-20.95225,-12.7210625,-16.6665833333,-13.5715,-12.4490833333,-14.5919166667
236.66,-15.8161666667,-13.2992916667,-10.6803333333,-14.11575,-8.09525,-9.31966666667,-14.3196666667,-20.102,-13.6819791667,-16.97275,-12.75525,-12.7211666667,-14.8299166666
237.04,-11.8439166667,-10.0231666667,-7.44741666667,-10.3345833333,-5.24933333333,-5.93833333333,-10.23625,-14.4356666667,-10.7038333333,-12.4015833333,-10.0721666667,-9.38308333333,-11.5815
237.41,-6.56291666666,-4.27358333333,-3.17466666667,-6.13549999998,0.42725,-0.824000000001,-4.884,-7.84491666667,-6.36431249999,-6.47125,-2.99133333333,-4.73133333333,-5.25033333333
237.79,-5.89283333334,-2.84241666667,-2.55958333333,-6.48808333333,1.22041666667,-0.892833333333,-4.04766666667,-7.44041666667,-5.98954166667,-5.59525,-1.78566666667,-4.25591666667,-4.22625
238.17,-5.744,-2.69333333333,-2.79766666667,-7.29166666666,1.10125,-1.01183333334,-3.86924999999,-6.78566666667,-6.16814583334,-5.5655,-2.67858333334,-4.22616666667,-4.55366666667
238.54,-4.9885,-3.993625,-3.95041666667,-7.98708333332,-0.20175,-0.98025,-4.64241666667,-6.86266666667,-7.12952083333,-5.27675,-2.1915,-5.13275,-4.55583333334
238.92,-3.50866666667,-3.41275,-3.31691666667,-6.27758333333,0.383833333332,0.109583333335,-5.07124999999,-6.03066666666,-5.03016666667,-4.44091666667,-0.822416666666,-4.24891666667,-3.89241666667
239.29,-3.09008333333,-2.87504166667,-2.60883333333,-5.67375,0.354583333333,0.379916666666,-4.86325,-6.07883333333,-3.52077083333,-4.154,-0.354583333333,-4.25508333333,-2.17833333333
239.67,-3.01058333333,-3.04675,-2.55308333333,-6.98449999999,-0.385416666668,-0.26475,-5.68408333334,-6.69558333333,-3.96191666667,-5.41916666667,-1.421,-4.93725,-2.24
240.04,-3.81941666667,-3.17925,-2.77791666667,-7.40008333333,-2.691,-0.238666666665,-5.51216666667,-6.05475000001,-4.37829166667,-5.62066666667,-2.06158333333,-5.70741666667,-2.43058333333
240.42,-1.30375,-1.96520833333,-0.604666666668,-5.97141666667,-1.9085,2.2675,-3.42033333333,-4.00608333333,-2.54641666667,-4.28941666667,-0.359166666666,-4.025,-0.472333333335
240.79,-0.722499999998,-1.17204166667,-0.0481666666667,-4.59216666667,-2.4245,2.93833333333,-2.15166666667,-3.45208333333,-2.00702083333,-3.72508333333,-0.481666666666,-3.90175,0.0323333333335
241.17,-0.902833333335,-1.52783333333,0.0834166666683,-3.84725,-2.56941666667,2.69441666667,-2.0555,-3.63891666667,-2.22920833333,-4.04158333333,-0.680583333334,-3.59716666667,0.472249999999
241.54,-0.178750000002,-1.7585,-0.286166666667,-3.66008333333,-2.46775,2.78966666667,-1.49025,-3.14725,-1.77941666666,-3.672,-1.45433333333,-2.88508333333,0.965749999999
241.92,-0.463666666665,-2.414875,-0.851666666668,-4.13975,-3.05075,2.49033333333,-1.66016666667,-3.27733333334,-1.93772916667,-4.06441666667,-1.99441666667,-2.84616666667,0.830083333333
242.29,-0.0199166666657,-2.13308333333,-0.538250000002,-3.68833333334,-2.41233333333,2.96058333333,-1.23608333333,-2.76116666666,-1.62483333333,-3.36916666667,-1.17625,-2.15316666667,1.51516666667
242.67,0.300666666667,-1.59258333333,0.131500000002,-2.93133333333,-1.80383333333,3.55125,-0.535416666666,-1.87883333333,-1.4210625,-2.84683333333,-0.723249999999,-1.6065,2.10458333333
243.05,0.941833333335,-1.02720833333,0.574,-2.28741666667,-1.79391666667,4.08133333334,0.331916666667,-0.81625,-1.32779166667,-2.31441666667,-0.250999999999,-1.20208333333,3.16641666667
243.42,1.46091666667,-0.726041666668,0.977,-1.41775,-1.67708333333,4.40875,0.708999999999,-0.0260833333343,-1.01558333333,-1.99666666667,0.311166666667,-0.605000000001,3.65666666667
243.80,2.20941666667,0.409625,1.6385,-0.033,-1.16691666667,5.20516666666,1.69658333333,0.968333333335,0.16775,-1.13366666667,1.4565,0.537916666666,4.55141666667
244.17,2.45475,0.718583333333,1.69575,0.323083333333,-0.839666666666,5.27291666667,2.10741666667,1.0335,0.9365,-0.6945,1.93791666667,1.07408333333,5.07925
244.55,2.07741666667,0.541166666668,1.248,0.189583333334,-1.19266666667,4.54975,1.32708333333,0.418750000001,0.7938125,-0.861083333332,1.42966666667,0.671416666665,4.463
244.92,2.1365,0.403125000003,1.171,0.319333333332,-0.980916666666,4.45566666667,1.24708333333,0.349833333333,0.665395833332,-0.866750000002,1.36875,0.973166666668,4.80541666666
245.30,1.19658333333,-0.684791666666,-0.295583333333,-0.836166666667,-1.98966666667,3.40975,0.0286666666675,-0.612666666667,-0.403708333334,-1.86716666667,0.230666666666,-0.0430833333332,3.97925
245.67,0.913333333333,-0.583333333332,-0.0933333333333,-0.626666666666,-1.89333333333,3.46,0.0066666666675,-0.513333333332,-0.521666666667,-1.84666666667,0.220000000001,-0.120000000001,4.11333333333
246.05,1.64841666667,0.039291666665,0.496999999999,0.187833333332,-1.28491666667,4.21225,0.830249999999,0.127250000001,0.0228541666675,-1.13341666667,0.836416666667,0.599916666667,4.83616666667
246.42,2.06291666667,0.666666666668,0.740166666667,0.772916666667,-0.789416666667,4.70825,1.24108333333,0.577000000002,0.378375,-0.701999999999,1.17575,1.21925,5.19825
246.79,2.43683333333,1.0675,1.00333333333,1.05266666667,-0.31625,5.07116666667,1.62625,0.731666666668,0.719229166667,-0.523916666666,1.29966666667,1.72508333333,5.41708333334
247.17,2.12666666666,0.874166666667,0.760416666666,0.865166666665,-0.391500000001,4.79508333334,1.3935,0.341583333333,0.425854166667,-0.628416666666,0.901583333331,1.62558333333,5.07741666667
247.54,2.14125,0.870000000002,0.845916666664,0.771916666666,-0.514583333334,4.932,1.50441666667,0.0871666666668,0.3674375,-0.527583333333,0.702166666666,1.49575,5.08908333334
247.92,1.76425,0.464375,0.517583333332,0.428416666666,-0.822666666667,4.64375,1.21291666667,-0.424166666667,-0.0773541666665,-0.801666666667,0.203583333334,1.05608333333,4.86841666667
248.29,2.12716666667,0.959333333333,1.08033333333,0.709083333334,-0.271083333334,5.03416666667,1.49333333333,-0.125166666667,0.0501041666668,-0.450416666666,0.492166666667,1.44316666666,5.27208333333
248.67,2.06158333333,1.03079166667,1.07858333333,0.562166666666,-0.304166666667,5.02675,1.73658333333,0.0415833333324,0.0405208333332,-0.362333333332,0.499666666666,1.80341666667,5.3765
249.04,1.93958333333,1.22979166667,1.1255,0.447583333334,-0.319749999999,4.85941666667,1.77758333333,0.0895000000008,0.0905,-0.336833333333,0.596749999999,1.68366666667,5.35375
249.42,2.57941666667,2.03995833333,1.82908333333,1.0655,0.443999999999,5.50066666667,2.49066666666,0.723666666667,0.617083333334,0.324083333333,1.26533333333,2.38866666666,5.92275
249.79,2.792,2.249625,1.8675,1.16016666667,0.514000000001,5.64991666667,2.58458333333,0.928999999999,0.701541666667,0.532833333334,1.66941666666,2.64575,6.06958333333
250.17,2.52825,2.07583333333,1.6535,0.809000000001,0.242749999999,5.39033333333,2.22508333333,0.728249999999,0.3034375,0.313583333334,1.54733333333,2.34125,5.75441666667
250.54,1.95725,1.524,1.15133333333,0.3015,-0.383916666667,4.60516666667,1.66666666667,0.126,-0.3934375,-0.0109166666668,0.7565,1.62833333333,5.2905
