wavelength,Back_CyaCysf,Belly_CyaCysf,Breast_CyaCysf,Crissum_CyaCysf,Crown_CyaCysf,DorTail_CyaCysf,Patch10_CyaCysf,Rump_CyaCysf,Throat_CyaCysf,WingTip_CyaCysf
232.15,2.34833333333,3.78106666667,-2.3086,-1.3334,0.318333333333,1.41783333333,4.189,3.62186666666,4.11940000001,4.61700000001
232.53,-0.731399999999,0.96133333334,-5.49633333334,-4.95306666667,-4.01253333333,-0.313500000001,0.303133333334,0.794133333332,0.501666666673,1.1494
232.90,-2.28446666667,-1.01773333334,-6.16826666667,-6.04353333333,-5.00506666667,-0.934750000002,-0.91373333334,-0.498333333334,-1.12153333333,-0.4776
233.28,0.448599999999,1.9164,-2.99686666667,-3.56773333333,-1.9776,2.67583333333,1.80423333333,2.18133333333,1.91626666667,1.44746666667
233.66,0.887533333332,4.04533333333,-3.07526666666,-1.67193333333,-0.247666666668,4.64391666667,3.71516666667,3.65340000001,2.31166666667,2.74513333333
234.03,-0.430666666667,4.57446666665,-4.24613333334,-1.2516,-0.8616,4.43583333333,1.76416666667,2.31799999999,1.559,1.57946666667
234.41,-2.60413333333,3.56246666667,-4.72913333334,-1.875,-1.52086666667,2.76033333333,-0.0938,2.0624,0.958466666667,1.12513333333
234.78,-2.5026,3.65120000001,-4.59486666667,-0.861533333334,-1.37426666667,2.97433333334,0.123133333332,1.90766666667,0.738466666667,1.23073333334
235.16,-0.9962,6.34106666666,-3.23766666667,1.03453333333,0.747133333333,4.35833333333,2.0306,3.774,2.1648,3.56326666667
235.54,-3.6312,3.1508,-6.78186666666,-1.4218,-2.65133333334,2.59366666666,-0.5764,2.34393333333,-0.288133333334,1.09506666667
235.91,0.219799999999,5.93413333333,-2.82046666667,2.4542,0.805866666667,6.479,3.05856666667,5.58600000001,3.4066,4.37726666667
236.29,2.88893333333,8.70080000001,1.3846,5.38460000001,4.20513333333,10.53425,5.36743333333,9.26499999999,5.2308,6.34193333334
236.66,5.74546666666,11.5745333333,4.5058,9.5646,7.47066666667,12.6885,8.1742,12.6298,8.55960000001,9.1122
237.04,7.39433333334,13.7056,6.07439999999,11.3704666667,8.51099999999,14.1920833333,9.50090000001,14.7715333333,10.5582666667,11.5398666667
237.41,7.83933333333,13.3334,5.3098,11.4908,8.44213333333,14.2798333333,9.53103333332,14.5228,10.9883333333,11.8760666667
237.79,8.13006666666,11.935,5.5772,10.3416,7.49586666666,13.6585833333,9.11376666667,13.2032666667,10.8292666667,11.1544666667
238.17,8.21746666666,10.3916,5.1478,9.09666666667,7.29020000001,13.0294166667,8.20956666666,11.6546666667,10.2957333333,10.3116666667
238.54,8.63626666666,10.7727333334,6.01526666667,9.66673333334,8.25753333333,13.39025,9.28783333333,11.4847333333,10.4394666667,10.6365333333
238.92,8.88413333333,11.116,6.49373333333,10.4968,8.94166666667,13.3550833333,9.93520000001,12.0086666667,10.6983333333,10.8568
239.29,6.85986666666,9.28906666666,5.452,8.80606666666,6.85993333333,11.1974166667,8.31606666666,9.89646666665,8.84739999999,9.41340000001
239.67,6.56506666667,8.99873333332,5.96960000001,8.36506666667,6.36253333333,10.5196666667,8.42219999999,9.18893333335,8.68180000001,9.67040000001
240.04,5.41093333333,8.09366666667,4.82873333333,6.84933333333,5.45673333333,8.80425,6.77510000001,7.22593333333,7.36293333333,8.50466666667
240.42,4.471,6.86626666666,4.29146666667,5.7784,4.08193333333,7.4725,6.28736666667,5.55893333333,6.71673333333,7.66473333334
