wavelength,Back_MelRicm,Belly_MelRicm,Breast_MelRicm,Crissum_MelRicm,Crown_MelRicm,DorTail_MelRicm,Rump_MelRicm,Throat_MelRicm,WingTip_MelRicm
740.86,6.26566666667,5.43933333333,5.95866666667,5.71066666667,6.20633333333,5.87633333333,6.84366666667,3.61033333333,14.254
741.18,6.08366666667,5.31833333333,5.94033333333,5.53366666667,6.13133333333,5.58166666667,6.681,3.54933333333,13.888
741.49,6.10033333333,5.149,5.92966666667,5.722,5.97866666667,5.35633333333,6.64933333333,3.697,13.958
741.81,6.479,5.55333333333,6.66433333333,6.28133333333,6.60266666667,5.67666666667,7.13333333333,4.048,14.6736666667
742.12,6.23833333333,5.379,6.79866666667,6.12633333333,6.59966666667,6.02633333333,6.93533333333,4.17133333333,14.3693333333
742.44,6.45333333333,5.78766666667,7.219,6.767,7.11866666667,6.47833333333,7.40766666667,4.67033333333,14.501
742.76,6.44133333333,5.77533333333,7.17133333333,6.94066666667,7.094,6.672,7.49133333333,4.82766666667,14.6626666667
743.07,6.43566666667,6.24133333333,7.21433333333,7.12366666667,7.65533333333,6.66933333333,7.82433333333,4.87866666667,14.805
743.39,6.45233333333,6.46566666667,7.21,7.45833333333,7.87633333333,6.792,8.08533333333,5.05466666667,14.642
743.70,6.52766666667,6.39366666667,7.29,7.39733333333,7.91833333333,6.67466666667,7.98566666667,4.70833333333,15.008
744.02,6.87366666667,6.255,7.42533333333,7.33133333333,8.17833333333,6.48333333333,8.071,4.80233333333,15.0793333333
744.34,7.321,6.36666666667,7.389,7.23933333333,8.38466666667,6.421,7.85266666667,4.88066666667,15.351
744.65,8.012,6.65866666667,7.82066666667,7.848,8.70933333333,6.82266666667,8.381,4.936,15.696
744.97,8.72966666667,7.40433333333,8.78433333333,8.19666666667,9.60366666667,7.14466666667,9.18033333333,5.478,16.4343333333
745.28,8.96,7.50766666667,8.75433333333,8.234,9.741,7.19266666667,9.152,5.68566666667,16.5363333333
745.60,9.246,7.42766666667,9.01,8.663,10.0096666667,7.261,9.496,5.81733333333,16.8263333333
745.91,9.77633333333,7.62066666667,9.56733333333,9.02533333333,10.4016666667,7.62033333333,10.082,5.771,17.2853333333
746.23,9.53566666667,7.45833333333,9.424,8.83866666667,10.2603333333,7.612,9.66133333333,5.26966666667,17.0916666667
746.55,9.921,7.28066666667,9.60133333333,9.33733333333,10.1293333333,7.85033333333,9.74033333333,5.48833333333,17.132
746.86,9.53533333333,6.72433333333,9.31533333333,9.28766666667,9.68733333333,7.74433333333,9.67333333333,5.484,17.2526666667
