wavelength,Back_PooCinm,Belly_PooCinm,Breast_PooCinm,Crissum_PooCinm,Crown_PooCinm,DorTail_PooCinm,Patch10_PooCinm,Rump_PooCinm,Throat_PooCinm,WingTip_PooCinm
212.55,-116.666733333,-77.7777333333,-56.0494,-97.0371333333,-89.7530666667,-126.173,-83.2098666667,-114.403044445,-78.3334666667,-75.8023333333
212.92,-114.502933334,-76.0233999999,-53.5672666667,-95.6726000001,-90.2923333334,-124.093533333,-87.1344666667,-114.502844445,-74.8537333335,-77.6608000001
213.30,-120.5848,-83.1578666667,-56.0233999999,-105.146266667,-100.935666667,-134.619933333,-96.0234000001,-119.1812,-85.4386666666,-87.0175333334
213.68,-94.7261999999,-61.2936,-41.8906666666,-84.6766000001,-78.5074666667,-113.5324,-75.7213999999,-98.0100222221,-67.6616999999,-69.2537333335
214.06,-87.3147333333,-53.1482000001,-43.0556,-79.5369999999,-75.2776666666,-110.6482,-71.5741999999,-95.9568666666,-61.5277666666,-66.9444666666
214.44,-69.7436000001,-37.8632666667,-30.6838,-57.5213333333,-58.9744,-92.9061999999,-54.701,-81.0541333334,-44.8719333333,-51.5383999999
214.81,-73.1580666666,-32.8947333333,-29.7367333333,-56.2281333333,-57.5438,-89.0352666667,-58.4212,-77.5732444445,-41.6228333333,-51.3158
215.19,-56.6308,-21.8638666667,-20.2866666667,-41.0752666667,-44.0142,-68.1720000001,-42.939,-59.3071111111,-28.2079333333,-41.7920666667
215.57,-80.8626666667,-39.2940666667,-37.0979333333,-60.0000000001,-65.8824,-90.4314666668,-64.2354,-84.2352444444,-49.4903666667,-65.7254
215.95,-104.1464,-61.6260666667,-57.6424,-83.0080666666,-87.8048,-110.162466667,-85.4472,-105.393,-67.2763333334,-86.1790666666
216.32,-106.0906,-64.3621333333,-61.0699333333,-85.0205333334,-90.4527333334,-114.4032,-86.8313333333,-103.758444445,-67.5308666667,-91.0288
216.70,-94.1962000001,-55.8432,-54.4314666667,-72.3921999999,-81.0980000001,-104.549133333,-75.4510666667,-89.7517111113,-59.3334000001,-84.0783333333
217.08,-96.8992,-60.3101333333,-58.4496,-71.5503333333,-82.5580666667,-105.116333333,-76.2014666667,-95.3746444445,-61.3179333333,-85.5814666667
217.46,-127.407333333,-86.3887333333,-86.1111333333,-98.7035333333,-113.6112,-138.610933333,-103.518466667,-128.148177778,-88.4721999999,-122.314666667
217.83,-101.810666667,-66.8311999999,-64.2799333334,-72.5102666666,-90.6172000001,-111.0288,-79.1769333333,-99.9176222223,-65.1439000001,-97.6132
218.21,-100.526266667,-69.0351333333,-54.7368666667,-69.6491333333,-87.7192,-103.947333333,-73.5086666667,-92.9825555556,-55.8333666667,-94.8246
218.59,-133.0392,-94.8039333333,-79.902,-95.7844666666,-114.901866667,-136.568533333,-101.176533333,-118.366022222,-81.7646666667,-123.529333333
218.97,-133.066733333,-100.355533333,-83.7333333333,-98.9332666667,-119.5556,-137.2444,-103.022066667,-119.999955555,-86.5333333333,-127.199933333
219.34,-170.214933333,-130.1076,-104.301,-126.2366,-150.4302,-172.043066667,-131.075333333,-155.161133333,-113.279666667,-163.010866667
219.72,-143.188333333,-109.178733333,-84.2511999999,-104.347733333,-124.3478,-142.318933334,-108.985533333,-129.500733333,-92.3188000001,-140.386466666
220.10,-112.048133333,-82.2489333333,-59.1163999999,-78.7950666666,-95.3413333334,-107.309133333,-80.0000666667,-100.321355556,-67.7911333334,-111.0844
220.47,-121.281866667,-91.1966000001,-71.2821333333,-90.2564,-106.6668,-116.410133333,-87.7777333333,-112.250733333,-78.1197333333,-121.880266667
220.85,-150.101066667,-117.6768,-95.4545333332,-118.686733333,-139.494933333,-147.0708,-112.5254,-145.723844445,-97.9294999999,-149.394
221.23,-173.918133333,-136.842066667,-115.906466667,-143.6258,-172.280733334,-173.801266666,-132.163733333,-170.526288889,-122.631666667,-180.351
221.61,-116.9864,-86.9407333333,-74.0638666666,-91.0502666666,-116.895,-116.073133333,-86.7580666667,-114.155177778,-79.0410666667,-121.1872
221.98,-141.691533333,-103.383133333,-95.1243333331,-113.830933333,-141.492533333,-136.119333333,-111.840733333,-140.033088889,-99.7512333333,-146.268666667
222.36,-127.945266667,-86.2101333333,-89.0411333332,-102.283133333,-124.474666667,-122.5572,-99.9999333334,-124.992377778,-90.9132999999,-130.776333333
222.74,-118.9042,-74.2465333334,-83.5615999999,-93.5161333333,-112.785266667,-109.863066667,-90.2284000001,-113.485577778,-81.1872333333,-121.3698
223.11,-103.037933333,-57.5528,-71.8143333333,-80.6751333334,-95.443,-94.4304000001,-77.6371333333,-95.8370000001,-67.1308,-102.109733333
223.49,-76.2412,-37.3050666667,-52.9076666666,-60.7092,-73.688,-71.2057333334,-57.9434,-70.8274,-48.0496,-77.5177333333
223.87,-57.4453333333,-22.4297333333,-37.3832,-46.4796666667,-57.5701333334,-53.6447333333,-42.243,-54.6209333333,-36.1369666667,-59.8754
224.24,-51.4372,-18.2874,-33.0276,-41.9572,-53.3946,-48.5626666667,-39.0214,-50.4994222222,-31.7431666667,-56.6361333333
224.62,-44.9152,-13.7853333333,-26.3841333333,-34.9152666666,-46.1016666667,-41.0169333333,-34.5197333333,-44.6515333333,-27.9377666667,-51.356
225.00,-43.8418,-8.98306666667,-22.3163333333,-30.9602666667,-41.0734666667,-36.2148,-29.7175333333,-40.2637555555,-25.5085333333,-48.9266
225.38,-29.855,0.86946666666,-9.42039999999,-16.6183333333,-23.9613333333,-24.2996,-18.2608,-25.2818222222,-11.9807333333,-33.7682
225.75,-24.9432666667,4.62586666668,-3.35593333333,-12.8798666667,-18.9114666667,-17.914,-13.2426,-21.3756666667,-8.48073333334,-27.5282
226.13,-28.2973333333,2.06240000001,-3.59706666667,-12.9016,-21.3428666667,-19.4722666667,-13.2372,-22.7177111111,-11.3908333333,-29.928
226.51,-24.6754,2.85713333333,-2.51086666666,-9.04766666667,-20.3462,-17.9220666667,-11.1254,-19.8700888889,-8.67956666665,-25.8874
226.88,-21.5642,1.60166666665,-1.22919999999,-8.34260000001,-17.5790666667,-15.3073333333,-8.82693333333,-17.6660666667,-8.32416666667,-21.6386666667
227.26,-15.4385333333,3.18980000001,2.16906666666,-5.80546666666,-12.4400666667,-10.6221333333,-4.27433333333,-12.4722222222,-7.09736666667,-14.992
227.64,-10.2834666667,4.45333333333,4.48033333333,-1.5114,-6.09973333333,-6.47760000001,0.4318,-6.18984444445,-3.1578,-8.79893333333
228.01,-11.4356,0.681399999999,0.900333333333,-3.5036,-7.39653333333,-8.516,-1.19226666667,-7.27486666666,-4.67156666667,-8.56453333334
228.39,-12.2676,-1.1338,-0.2494,-4.37646666666,-7.46026666667,-9.50099999999,-1.38333333333,-7.24862222222,-6.42856666667,-8.32186666666
228.76,-14.2277333333,-3.7912,-2.21506666667,-6.79433333333,-9.22259999999,-11.5443333333,-2.74760000001,-8.29957777778,-8.1258,-8.30666666665
229.14,-11.0145333333,-2.80193333334,-0.830866666667,-4.71506666667,-6.82120000001,-9.60393333333,-0.908200000002,-6.23502222222,-6.98566666667,-5.99039999999
229.52,-15.1098666667,-7.85099999999,-5.96,-9.72300000001,-12.0726,-12.7410666667,-4.27886666667,-9.97137777779,-11.1079333333,-9.78040000001
229.89,-17.5506,-9.57653333333,-8.39773333333,-11.197,-13.5728,-13.8859333333,-5.3222,-10.7182222222,-11.6943,-10.792
230.27,-13.7194666667,-6.85146666667,-6.36453333333,-9.20233333334,-11.1502666667,-10.3777333333,-3.07313333333,-7.39437777777,-7.22916666666,-7.92613333333
230.65,-16.1526,-10.431,-8.88886666668,-12.471,-14.0298666667,-13.184,-5.88733333333,-9.80106666667,-10.6964333333,-11.1109333333
231.02,-17.005,-11.8952,-11.0152,-14.2978666667,-15.5160666667,-15.1944666667,-6.90346666667,-10.9024222222,-11.1675,-12.1488666667
231.40,-17.6366666667,-13.0686666667,-12.3456,-15.5201333333,-17.2133333333,-16.2964666667,-7.40746666667,-13.2041111111,-11.6931,-13.686
231.78,-22.1652666666,-16.7520666667,-16.4292666667,-20.1901333333,-22.9249333333,-20.1140666667,-11.2441333333,-18.9871777778,-16.4483333333,-17.8729333333
232.15,-24.4842,-18.6706,-17.7976666667,-22.4006666667,-25.6548,-22.1230666667,-13.7103333333,-20.9921111111,-18.6905,-20.7538
232.53,-21.384,-15.926,-15.2436,-20.0390666667,-24.3468666667,-19.2982,-12.3781333333,-19.7400222222,-16.2378666667,-18.9279333333
232.90,-18.4706666667,-13.4706666667,-13.6666,-17.4314666666,-22.549,-17.1176,-10.2939333333,-18.3268,-14.1371666667,-17.4510666667
233.28,-17.971,-13.3334,-13.5266,-16.4058,-22.1062666667,-15.7487333333,-9.91313333335,-17.9646222222,-12.7149333333,-16.5218
233.66,-14.249,-10.1830666667,-9.48713333334,-13.3333333333,-17.1796,-12.8205333333,-7.10626666667,-14.2307111111,-9.66113333333,-12.2710666667
234.03,-12.0213333334,-9.46806666668,-8.88286666667,-12.305,-16.4005333333,-12.181,-6.7022,-14.338,-9.5922,-11.4716
234.41,-11.0876,-8.84180000001,-8.41726666668,-11.8478666667,-15.6146666666,-11.6179333333,-5.74713333333,-14.5713111111,-10.3271333333,-10.7692666667
234.78,-8.14620000001,-5.40820000001,-4.898,-7.67,-12.3982666667,-8.41840000001,-2.3298,-12.4490222222,-6.9302,-6.95580000002
235.16,-7.1462,-3.901,-2.65386666667,-5.45153333333,-10.9832666667,-6.25093333334,-0.831199999998,-11.3242888889,-6.24296666667,-6.37900000001
235.54,-9.274,-4.73066666667,-3.62213333334,-6.18253333333,-10.9600666667,-6.76046666667,-0.921133333331,-11.4130222222,-6.97903333334,-7.2598
235.91,-8.74353333334,-3.88253333333,-3.62673333333,-5.40266666667,-9.96233333333,-6.50120000001,0.436333333334,-9.92211111111,-6.2453,-6.53120000001
236.29,-8.42026666667,-3.57986666666,-4.14493333334,-5.0436,-9.59420000001,-6.99999999999,1.04333333333,-9.59417777777,-5.78256666667,-6.24633333334
236.66,-10.5949333333,-5.69160000001,-6.58073333334,-7.02506666667,-11.5555333333,-9.89233333333,-0.731199999999,-10.7336222222,-7.41219999999,-8.47320000001
237.04,-10.8212666667,-5.47966666667,-5.47953333333,-6.3354,-10.3659333333,-8.97160000001,-0.069066666668,-9.60195555556,-6.80463333333,-8.2402
237.41,-11.5287333333,-5.33326666667,-6.11446666666,-7.11100000001,-11.0032666667,-8.82139999999,0.148266666667,-9.52188888888,-7.34006666667,-9.40066666667
237.79,-12.3024666667,-5.78306666667,-6.90753333333,-6.6398,-12.1150666667,-8.71486666667,-0.455133333333,-10.3836888889,-8.31313333333,-10.5222
238.17,-14.0027333333,-7.21320000001,-8.06013333333,-7.54106666667,-13.347,-9.79513333333,-1.5302,-11.5892666667,-9.33743333333,-11.3797333333
238.54,-16.8596,-9.43433333333,-10.1398,-9.30133333334,-15.0231333333,-12.1356666667,-3.64593333333,-13.0183111111,-11.5101333333,-13.5594
238.92,-19.1776666667,-11.8279333333,-13.6115333333,-12.764,-16.9388,-14.0798,-5.8444,-14.8470666667,-13.9594666667,-15.4964666667
239.29,-17.6394,-11.1505333333,-13.1198666667,-12.2418666667,-15.421,-13.0130666667,-4.82793333333,-14.0844,-12.6454333333,-14.0924666667
239.67,-15.4572,-10.2354,-11.8774,-11.1219333333,-14.0557333333,-11.7351333333,-3.92993333333,-12.9319111111,-11.7405333333,-12.5780666667
240.04,-13.4695333333,-9.41113333333,-10.1216666667,-9.96573333333,-12.5449333333,-9.9854,-2.81266666667,-11.4582222222,-10.3406666667,-10.7930666667
240.42,-11.1195333333,-7.96439999999,-8.23580000001,-8.34620000001,-10.4239333333,-7.20946666667,-0.754866666665,-9.38648888889,-8.44356666667,-8.53266666666
240.79,-9.01873333333,-6.11546666667,-6.0712,-6.2844,-7.82059999999,-4.9318,1.28626666667,-7.46791111111,-6.58946666667,-5.939
241.17,-7.0006,-5.03533333333,-5.07386666667,-5.12506666667,-6.5832,-3.89213333333,2.22853333333,-6.1616,-5.1799,-4.13606666667
241.54,-5.72813333333,-4.2578,-4.16733333333,-4.2918,-5.40573333333,-3.26826666667,2.89526666667,-5.00993333333,-4.2804,-2.79333333333
241.92,-4.2268,-3.13326666667,-3.18406666667,-3.30046666667,-3.8978,-1.78166666667,4.17626666667,-3.42195555555,-2.8804,-1.2502
242.29,-2.54966666667,-1.6874,-1.632,-1.89486666667,-2.23606666667,-0.152000000002,5.78146666667,-1.69973333333,-1.6436,0.0599333333334
242.67,-1.38306666667,-0.876933333333,-0.772266666665,-1.19546666667,-1.42673333333,0.8768,6.60106666667,-0.885688888889,-0.639166666667,1.01653333333
243.05,-0.156266666667,0.181466666666,0.207,-0.0420666666666,-0.270199999999,2.16166666667,7.71373333334,0.202666666666,0.620633333334,1.98446666667
243.42,0.513400000001,0.903666666668,0.948799999999,0.7598,0.4026,2.90826666667,8.22760000001,1.08584444444,1.24456666667,2.71926666667
243.80,1.28273333333,1.5954,1.5434,1.39513333333,1.06626666667,3.7,8.88353333334,1.77855555555,2.0125,3.3394
244.17,1.63113333333,1.7694,1.68633333333,1.6786,1.52833333333,4.08366666667,9.21799999999,1.96675555556,2.20183333333,3.52686666667
244.55,1.34046666667,1.59113333333,1.52466666667,1.54813333333,1.45,3.97813333333,9.077,1.62902222222,1.94383333333,3.28433333333
244.92,1.7592,1.74026666667,1.63073333333,1.9064,1.73273333333,4.6018,9.61500000001,2.11895555555,2.14436666667,3.52973333333
245.30,1.73746666667,1.82593333333,1.61706666667,1.95673333333,1.89326666667,4.83720000001,9.89393333333,2.14082222222,1.96723333333,3.53853333333
245.67,2.00906666667,2.25373333333,2.09066666667,2.47886666667,2.23426666667,5.38826666666,10.4991333333,2.45922222222,2.1412,3.98233333333
