wavelength,Back_SalAtef,Belly_SalAtef,Breast_SalAtef,Crissum_SalAtef,Crown_SalAtef,DorTail_SalAtef,Patch10_SalAtef,Rump_SalAtef,Throat_SalAtef,WingTip_SalAtef
413.28,2.74622222222,16.954982906,16.9367777778,4.32566666667,2.62711111111,3.77177777778,2.79677777778,3.36533333333,36.4154444444,6.72733333333
413.64,2.80333333333,17.0509230769,17.0471111111,4.39555555555,2.70222222222,3.84511111111,2.86822222222,3.40855555556,36.5352222222,6.78955555555
414.00,2.78022222222,17.0642478632,17.0465555556,4.39244444445,2.70933333333,3.84222222222,2.88911111111,3.41411111111,36.5317777778,6.80355555555
414.36,2.79233333333,17.1122393163,17.091,4.43622222222,2.72333333333,3.85944444444,2.93655555556,3.44244444444,36.5546666667,6.83233333333
414.72,2.808,17.1975811966,17.1603333333,4.47844444444,2.75677777778,3.91555555556,2.99055555556,3.45333333333,36.6186666667,6.88411111111
415.07,2.79566666667,17.215957265,17.179,4.50622222222,2.75266666667,3.90233333333,3.01344444444,3.44711111111,36.6573333333,6.89277777778
415.43,2.79811111111,17.2227948718,17.1863333333,4.51188888889,2.74755555556,3.88166666667,3.01844444444,3.42755555556,36.702,6.89477777778
415.79,2.82788888889,17.2925470085,17.2428888889,4.57344444445,2.77155555556,3.90688888889,3.04411111111,3.46322222222,36.7984444445,6.95288888889
416.15,2.85355555556,17.320051282,17.2608888889,4.60966666667,2.816,3.94277777778,3.06388888889,3.49788888889,36.8548888889,6.99122222222
416.51,2.87877777778,17.3291367521,17.2712222222,4.648,2.84522222222,3.96433333334,3.09211111111,3.53311111111,36.8688888889,7.008
416.86,2.94055555555,17.3705811966,17.3316666667,4.73444444444,2.89344444444,4.01322222222,3.13922222222,3.578,36.9021111111,7.07722222222
417.22,2.95066666667,17.3790341881,17.3285555555,4.772,2.89855555556,4.02433333333,3.15322222222,3.59544444445,36.8858888889,7.08855555556
417.58,2.93322222222,17.3612307693,17.3093333333,4.76433333333,2.865,3.991,3.13477777778,3.574,36.908,7.09311111111
417.94,2.92677777778,17.361982906,17.3012222222,4.75055555556,2.85255555556,3.95288888889,3.117,3.546,36.9131111111,7.06933333333
418.29,2.92611111111,17.3746153846,17.3134444444,4.73244444445,2.83677777778,3.94355555556,3.10088888889,3.52133333334,36.957,7.088
418.65,2.943,17.3727435898,17.3045555556,4.76033333333,2.84333333333,3.94,3.10888888889,3.51611111111,36.984,7.09111111111
419.01,2.94277777778,17.355991453,17.2818888889,4.74122222222,2.82833333333,3.91644444445,3.08966666667,3.48733333333,36.9998888889,7.07866666667
419.37,2.95377777778,17.3972478633,17.2997777778,4.76477777778,2.85288888889,3.92455555556,3.10055555555,3.48155555555,37.0675555555,7.10244444444
419.73,2.95233333334,17.3887948718,17.3017777778,4.758,2.85333333333,3.91311111111,3.09866666667,3.46377777778,37.0661111111,7.10466666667
420.08,2.94444444444,17.3773675214,17.3024444445,4.75811111111,2.84922222222,3.88944444444,3.09066666666,3.435,37.0861111111,7.08733333333
420.44,2.95488888889,17.4046666667,17.3408888889,4.77244444444,2.85411111111,3.90422222222,3.10655555556,3.42088888889,37.1366666667,7.09522222222
420.80,2.95111111111,17.4029059829,17.3388888889,4.76866666667,2.851,3.89288888889,3.11055555556,3.39622222222,37.2022222222,7.08411111111
421.16,2.95055555556,17.4155470086,17.364,4.77488888889,2.85266666667,3.89388888889,3.11777777778,3.38488888889,37.2435555556,7.099
421.51,2.96188888889,17.4352991453,17.3745555555,4.79366666667,2.87533333333,3.90722222222,3.14466666667,3.39022222222,37.2434444445,7.11155555555
421.87,2.96166666667,17.4372136752,17.3814444444,4.799,2.87688888889,3.90944444445,3.14577777778,3.37466666667,37.2712222222,7.11666666667
422.23,2.95788888889,17.4341794872,17.3783333333,4.81177777778,2.89033333333,3.90966666667,3.15055555555,3.36433333333,37.2916666667,7.11033333333
422.58,2.94077777778,17.4282735043,17.3852222222,4.80077777778,2.88722222222,3.89555555555,3.14922222222,3.35277777778,37.3125555555,7.08255555556
422.94,2.96788888889,17.4714017094,17.4475555556,4.84111111111,2.92077777778,3.92911111111,3.18744444444,3.37411111111,37.3666666667,7.11222222222
423.30,2.96733333333,17.4693247863,17.4494444444,4.848,2.91844444444,3.92655555556,3.192,3.36288888889,37.3734444444,7.10733333333
423.66,2.97688888889,17.4951965812,17.4776666667,4.87133333333,2.93211111111,3.94088888889,3.216,3.37111111111,37.4598888889,7.12244444444
424.01,2.98466666667,17.520965812,17.5031111111,4.88644444444,2.94111111111,3.95588888889,3.22833333333,3.37711111111,37.5077777778,7.12977777778
424.37,2.97544444445,17.530017094,17.5021111111,4.89455555555,2.94044444444,3.94833333333,3.23311111111,3.37922222222,37.5485555556,7.13655555555
424.73,2.96444444444,17.5497777778,17.5217777778,4.88233333333,2.93044444445,3.93366666667,3.22188888889,3.36733333333,37.5687777778,7.13333333334
425.08,2.95877777778,17.5452478633,17.5212222222,4.87833333333,2.92111111111,3.91611111111,3.22111111111,3.34477777778,37.5758888889,7.11044444445
425.44,2.95688888889,17.546008547,17.5318888889,4.878,2.90411111111,3.913,3.21422222222,3.32466666666,37.6032222222,7.10955555555
425.80,2.97688888889,17.5872307692,17.5747777778,4.90588888889,2.91366666666,3.94133333333,3.23555555556,3.33166666667,37.689,7.12966666666
426.16,2.964,17.6076495726,17.606,4.91388888889,2.91022222222,3.929,3.23644444445,3.31533333333,37.7423333333,7.12033333333
426.51,2.95477777778,17.6302478633,17.621,4.92877777778,2.88088888889,3.90888888889,3.22588888889,3.28766666667,37.7752222222,7.12377777778
426.87,2.92911111111,17.642,17.6192222222,4.92188888889,2.85311111111,3.88533333333,3.20644444444,3.26277777778,37.8345555555,7.10866666667
427.23,2.916,17.6469316239,17.6348888889,4.92011111111,2.829,3.86233333333,3.19666666667,3.23877777778,37.8721111111,7.08888888889
427.58,2.91588888889,17.6570854701,17.6462222222,4.93788888889,2.82211111111,3.86177777778,3.17844444444,3.22455555556,37.8956666667,7.08244444444
427.94,2.88944444444,17.6494358975,17.6394444445,4.92744444444,2.79544444444,3.82911111111,3.16133333333,3.20377777778,37.905,7.07544444444
428.30,2.87077777778,17.6528632478,17.658,4.92977777778,2.78855555555,3.80377777778,3.13166666667,3.16966666667,37.9361111111,7.06566666667
428.65,2.85288888889,17.6428632479,17.6515555556,4.938,2.77855555556,3.78966666667,3.11811111111,3.14288888889,37.9437777778,7.05833333333
429.01,2.83711111111,17.6446239316,17.6536666667,4.94133333333,2.76755555556,3.77411111111,3.098,3.14344444444,37.972,7.06811111111
429.37,2.81333333334,17.6717435897,17.6844444444,4.93855555556,2.76222222222,3.74044444445,3.07722222222,3.126,38.0317777778,7.04877777778
429.72,2.78377777778,17.6541111111,17.6842222222,4.92755555556,2.74622222222,3.70633333333,3.05866666667,3.10988888889,38.0537777778,7.01544444444
430.08,2.78455555556,17.6405641026,17.6798888889,4.934,2.72577777778,3.708,3.04977777778,3.09588888889,38.0826666667,7.01477777778
430.44,2.78711111111,17.6090854701,17.6676666667,4.92711111111,2.735,3.71433333333,3.04111111111,3.08277777778,38.0902222222,7.01622222222
430.79,2.77733333333,17.5856410256,17.6265555556,4.93288888889,2.73166666667,3.71311111111,3.03588888889,3.07088888889,38.0582222222,7.001
