wavelength,Back_IriAnaf,Belly_IriAnaf,Breast_IriAnaf,Crissum_IriAnaf,Crown_IriAnaf,DorTail_IriAnaf,Patch10_IriAnaf,Rump_IriAnaf,Throat_IriAnaf,WingTip_IriAnaf
328.78,5.25606666667,6.823,6.7252,5.29066666667,6.34926666667,7.1822,4.3454,6.24413333333,8.07986666666,6.75973333333
329.14,5.28486666667,6.83646666667,6.75753333333,5.3224,6.38193333333,7.16246666666,4.36606666666,6.25326666667,8.07640000001,6.80726666667
329.51,5.5198,7.08933333333,6.97413333333,5.6056,6.674,7.36013333333,4.56646666667,6.54166666667,8.35133333333,7.05986666667
329.88,5.59946666667,7.1276,7.0524,5.7314,6.73446666666,7.47506666667,4.61733333333,6.61253333333,8.54213333334,7.13866666667
330.24,5.60366666667,7.14873333334,7.05846666667,5.74946666667,6.80766666667,7.51826666667,4.62953333333,6.63453333333,8.60493333334,7.19073333333
330.61,5.56193333334,7.2512,7.02946666667,5.71293333333,6.83386666667,7.47673333333,4.6134,6.59473333333,8.56386666667,7.12866666667
330.98,5.71293333333,7.373,7.19946666667,5.8914,6.92753333333,7.5932,4.76913333333,6.70606666667,8.7426,7.3028
331.34,5.8216,7.37386666667,7.13493333334,5.8654,6.93986666667,7.62633333334,4.7802,6.69213333333,8.80186666667,7.32013333334
331.71,5.8554,7.47293333333,7.1838,5.98686666667,6.9932,7.649,4.82973333333,6.68473333333,8.86513333334,7.42113333333
332.08,5.77786666666,7.40746666667,7.08666666667,5.94733333333,6.90893333333,7.57566666667,4.765,6.54626666667,8.81766666666,7.32406666667
332.44,5.99593333333,7.6304,7.25986666667,6.10973333333,7.04646666667,7.82046666667,5.00753333333,6.72646666666,9.02440000001,7.54013333333
332.81,5.9804,7.66993333333,7.22053333334,6.06753333333,6.96853333333,7.74086666667,4.976,6.67126666667,9.02166666667,7.46553333333
333.18,6.002,7.7506,7.30066666667,6.09313333333,7.06066666667,7.85553333333,5.054,6.6988,9.15773333334,7.52666666667
333.54,5.9458,7.68213333333,7.26373333333,6.03586666667,6.91426666667,7.7936,5.02133333333,6.61146666667,9.09913333333,7.45266666667
333.91,5.94513333333,7.6712,7.27053333333,6.044,6.85093333333,7.80333333334,5.01506666667,6.6178,9.03206666667,7.4126
334.28,6.01906666667,7.72873333333,7.31313333333,6.10466666667,6.8864,7.81853333333,5.0948,6.6622,9.03919999999,7.4324
334.64,5.99053333333,7.59726666667,7.24573333333,6.02926666667,6.795,7.73746666667,5.0092,6.61826666667,9.02613333334,7.36333333333
335.01,5.78213333333,7.38973333333,6.9914,5.7854,6.60153333333,7.50726666667,4.78013333333,6.4188,8.84586666667,7.07473333333
335.38,5.7782,7.51486666667,7.10406666667,5.85333333333,6.64473333333,7.5392,4.836,6.4628,8.90833333334,7.11446666667
335.74,5.7124,7.40586666667,7.08133333333,5.6934,6.56366666667,7.46986666667,4.74113333333,6.4178,8.81153333334,6.99433333333
336.11,5.59626666667,7.39066666667,6.98606666667,5.61706666667,6.47066666667,7.37813333333,4.68786666667,6.37633333333,8.70459999999,6.93933333333
336.47,5.45386666667,7.23713333333,6.86386666666,5.4754,6.36546666667,7.2166,4.53913333333,6.21446666667,8.56106666666,6.84553333333
336.84,5.52533333333,7.2646,6.92046666666,5.54366666667,6.4748,7.30833333334,4.61773333333,6.28173333333,8.59986666667,6.96513333333
337.21,5.51486666667,7.25613333333,6.90266666666,5.5712,6.46586666667,7.27626666667,4.58606666667,6.2862,8.56453333334,6.95986666667
337.57,5.44373333333,7.22073333333,6.87533333334,5.5396,6.48213333333,7.23466666667,4.5244,6.2434,8.54446666667,6.91513333333
