wavelength,Back_SpoMinm,Belly_SpoMinm,Breast_SpoMinm,Crissum_SpoMinm,Crown_SpoMinm,DorTail_SpoMinm,Patch10_SpoMinm,Rump_SpoMinm,Throat_SpoMinm,WingTip_SpoMinm
749.07,17.3871333333,51.4047333333,45.4199333333,45.1551333334,19.9514,17.9180313725,37.0274666667,42.6989333333,40.2736666667,15.3832666667
749.38,17.5328666667,51.5966666667,45.5080666667,45.3537333333,20.1236,17.9917882353,37.1974,42.8224666667,40.3199333333,15.5025333333
749.70,18.0034,51.8919333333,45.7102666667,45.5228666667,20.5884,18.2982392157,37.5251333333,43.0392666667,40.6898666667,15.7114
750.01,17.6141333333,51.3618666667,45.41,45.1272,20.3333333333,18.0665607843,37.1204666667,42.7478,40.4232,15.3026
750.33,17.8120666667,51.4699333333,45.6407333333,45.1672666667,20.5041333333,18.3095254902,37.2134666667,42.9289333333,40.7059333333,15.6746666667
750.64,18.1348,51.8839333333,45.899,45.4986666667,20.8402,18.5563882353,37.3805333333,43.341,41.1217333333,15.8603333333
750.96,18.3178666667,51.9406666667,46.0698666667,45.652,20.7847333333,18.5191764706,37.3982,43.4106666667,41.1338666667,15.8002
751.27,18.0876,51.8778,45.9334666667,45.3716666667,20.4390666667,18.2815098039,37.2182666667,43.2230666667,40.9830666667,15.5912
751.59,17.9892666667,52.031,46.1133333333,45.4610666667,20.4116,18.3382392157,37.3256666667,43.3424,40.9243333333,15.5824666667
751.90,17.6296,52.013,45.8024666667,45.2058,20.084,17.8824980392,37.0784,43.0894,40.6826666667,15.1162666667
752.22,17.5886,51.8983333333,45.7537333333,45.3815333333,20.0566666667,18.059772549,37.1185333333,43.2016666667,40.8424666667,15.1318
752.53,17.9046666667,52.3643333333,46.0509333333,45.8320666667,20.4196,18.4203176471,37.5833333333,43.5840666667,41.352,15.4036
752.85,17.5980666667,52.1174666667,45.7981333333,45.7020666667,20.0161333333,18.1507294118,37.1638666667,43.3642,41.0992666667,14.9971333333
753.16,16.9523333334,51.6375333333,45.4802666667,45.1613333333,19.4652,17.5493215686,36.7848666667,43.0522,40.5875333333,14.4256666667
753.47,16.7570666667,51.7129333333,45.3662,45.0278666667,19.2166,17.3122431373,36.5391333333,43.0018,40.4728,14.0772666666
753.79,16.6913333333,51.9549333333,45.3984666667,44.9866,19.1061333333,17.169172549,36.5508666667,43.0420666667,40.4516666667,13.7617333334
754.10,16.3545333333,51.7357333333,45.2008666667,44.8498666667,18.7910666667,16.942972549,36.3450666667,42.7547333333,40.3276,13.4628666667
754.42,16.1620666667,51.6484,45.1400666666,44.7620666667,18.7002,17.005772549,36.2164666666,42.7767333333,40.3166,13.3663333333
754.73,16.0152,51.5342666667,45.06,44.616,18.7090666667,16.9128313726,36.1956,42.7246,40.3844,13.2504
755.05,16.1932,51.6961333333,45.2378,44.9166,18.6648,16.9875098039,36.3994666667,43.0396666667,40.7264,13.2230666667
755.36,15.9554,51.6467333333,45.0744666667,44.8029333333,18.4004666667,16.8122352941,36.3068,42.9177333333,40.5089333333,13.1151333333
755.67,15.9202666667,52.0226,45.3314,44.9774,18.4386,16.5778745098,36.4245333333,42.9706,40.5902,13.1930666667
755.99,15.5614,51.9200666667,45.2707333333,44.7939333333,18.1298,16.2526901961,36.2916,42.8043333333,40.4544666667,13.0352666667
756.30,15.8494666667,52.2114666667,45.8272,45.1599333333,18.3857333334,16.5438470588,36.6418,43.0859333333,40.7821333334,13.5006
756.62,16.4749333333,52.6382666667,46.2058,45.8320666667,18.8340666667,17.2226352941,37.0478,43.4528666667,41.1832666667,14.1828
756.93,17.2882,53.1649333333,46.8846,46.5254,19.4081333333,17.9593960784,37.7687333333,44.0787333333,41.6542,15.161
757.24,17.5426666667,52.9609333333,46.8651333333,46.5834,19.6914,18.1136313725,37.7679333333,44.1088,41.6979333333,15.5041333333
757.56,17.7049333333,53.1640666667,47.0247333333,46.7476666667,19.745,18.2310509804,37.8912,44.4402666667,41.7873333333,15.7068
757.87,17.7170666667,53.3849333333,47.0992,46.7944666667,19.8721333333,18.1428392157,38.1153333333,44.573,41.9436,15.8079333333
758.18,17.8365333333,53.3015333333,47.1218666667,46.8968,19.9314666667,18.2879372549,38.1523333334,44.5937333333,41.9578,16.023
758.50,17.2862,52.7332666667,46.5961333333,46.2658,19.5456,17.8126588235,37.4854,43.8168,41.1904666667,15.5514666667
758.81,17.6372666667,52.8298666667,46.8979333333,46.5487333333,19.93,18.0680823529,37.6903333333,44.0823333333,41.5148666667,15.8236666667
759.13,17.5524,52.6980666667,46.7217333333,46.2662666667,19.7172666667,17.9460117647,37.5332,44.1423333333,41.4094666667,15.5987333333
759.44,17.6096666667,52.2116,46.2666666667,46.0679333333,19.6093333333,17.8632862745,37.3160666667,44.0396,41.1358,15.6218
759.75,17.2778,51.8759333333,45.6912,45.6817333333,19.337,17.6267019608,37.0499333333,43.6883333333,40.8297333334,15.2232666667
760.07,16.7712,51.8954666667,45.7462,45.5349333333,18.9654666667,17.3130196078,37.0226,43.6962666667,40.7875333333,14.7212
760.38,16.3644666667,51.7834666667,45.5741333333,45.1736,18.7580666667,17.084654902,36.6441333333,43.4459333333,40.6043333333,14.4495333334
760.69,16.5006666667,51.9778666667,45.7536666667,45.4900666667,18.7974666667,17.174054902,36.8537333333,43.612,40.5929333333,14.5500666667
761.01,16.4388666667,52.0496666667,45.7924666667,45.4244666667,18.7855333333,17.1832196079,36.8920666667,43.5426666667,40.6556666667,14.5962666667
761.32,16.5912666667,52.0181333333,45.7684666666,45.5067333333,18.818,17.4457333333,36.8196666667,43.5108666667,40.5588666667,14.7637333333
761.63,16.7728666667,52.1895333333,45.7738666667,45.6101333333,18.9393333333,17.6552156863,36.8068666667,43.7925333333,40.5527333333,14.9192666667
761.94,16.8748666667,52.4167333333,45.9653333333,45.6863333333,19.11,17.6970705882,37.0798,44.0683333333,40.8878666667,15.1481333333
762.26,16.7289333333,52.4345333333,46.1431333333,45.6454666667,18.9038666667,17.7541568627,36.9518666667,43.9961333333,40.8828666667,15.1366666667
762.57,17.1034666667,52.8438,46.6647333333,46.2306666667,19.3404666667,18.2035176471,37.4534666667,44.3723333333,41.4339333333,15.5932
762.88,17.0970666667,53.0761333333,46.9517333333,46.458,19.3982,18.3034156863,37.5107333334,44.4346666667,41.5373333333,15.5896666667
