wavelength,Back_SchMelm,Belly_SchMelm,Breast_SchMelm,Crissum_SchMelm,Crown_SchMelm,DorTail_SchMelm,Rump_SchMelm,Throat_SchMelm,WingTip_SchMelm
772.25,7.75133333334,35.5026,22.9187333333,20.0544,6.69606666667,5.34346666667,7.31566666667,5.93793333333,8.2872
772.56,7.43013333333,34.978,22.4669333333,19.7105333333,6.48193333333,5.1018,6.94146666667,5.861,7.89593333333
772.87,6.57773333334,34.083,21.7874,19.0172666667,5.85766666667,4.59973333333,6.12666666667,5.40873333333,6.87006666667
773.18,7.5404,34.4718666667,22.5415333333,19.7184666667,6.82213333333,5.6752,7.02163333333,6.28013333333,7.8556
773.50,8.41460000001,34.9462,23.2086666667,20.4983333333,7.49853333333,6.66673333334,7.72853333333,7.131,8.56653333333
773.81,8.18753333334,34.9701333333,23.0118666667,20.3727333333,7.33073333333,6.46939999999,7.46786666667,7.1894,8.27326666667
774.12,8.50513333334,35.4553333333,23.2216666667,20.6140666667,7.74046666667,6.96286666667,7.89293333334,7.69766666667,8.56533333333
774.43,8.48233333333,35.8026,23.3026,20.6052,7.67113333333,6.671,7.65353333333,7.55713333333,8.41659999999
774.74,7.83973333334,35.3518666667,22.8066,20.031,7.31746666667,6.05566666666,6.90133333333,6.79066666667,7.738
775.05,7.60519999999,35.1969333333,22.8374666667,19.9111333333,6.93793333333,5.85266666667,6.72223333333,6.51553333333,7.42706666666
775.36,7.89333333333,35.2934,23.0312,20.3199333333,7.03999999999,5.88006666667,7.05786666667,6.76,7.62226666667
775.67,7.70680000001,35.4000666667,22.82,20.3003333333,7.20466666667,5.4022,7.0701,6.3124,7.46453333333
775.98,8.17100000001,36.3878,23.5116666667,20.8048,7.5766,5.82073333333,7.51256666667,6.65753333333,8.0474
776.30,9.2304,37.5511333333,24.6635333333,21.8103333333,8.38953333334,6.38633333333,8.43099999999,7.39706666666,9.22580000001
776.61,7.98673333334,36.7629333333,23.8243333334,20.8551333333,7.30566666667,4.92366666667,7.26103333333,6.01833333333,7.95880000001
776.92,7.86286666667,36.8699333333,24.0237333333,20.7990666667,7.34279999999,4.9644,7.2671,5.91486666667,8.19866666667
777.23,7.29460000001,36.1284666667,23.3852,20.3823333333,6.6668,4.018,6.75653333333,5.24546666667,7.51173333333
777.54,6.86373333334,35.9,23.1626666666,20.2308,6.061,2.99913333333,6.10196666667,4.70566666667,7.16173333333
777.85,6.45606666666,34.9844666667,22.5891333333,19.7271333334,5.47506666667,2.49333333333,5.84586666667,4.16846666666,6.882
