wavelength,Back_AcaBaif,Belly_AcaBaif,Breast_AcaBaif,Crissum_AcaBaif,Crown_AcaBaif,DorTail_AcaBaif,Rump_AcaBaif,Throat_AcaBaif,WingTip_AcaBaif
602.88,10.2074222222,22.1444,15.9148,22.7053333334,8.90093333333,11.7608666667,10.7078333333,18.0966666667,12.5928666667
603.22,10.1901111111,22.1580666667,15.9307333333,22.706,8.86626666667,11.746,10.6978666667,18.0960666667,12.5896
603.56,10.1515111111,22.1077333333,15.8799333333,22.7014,8.8416,11.7251333333,10.6523,18.0586666666,12.5552
603.89,10.1596444444,22.1034,15.8999333333,22.7033333333,8.83633333333,11.7212666667,10.6122,18.0748,12.5782666667
604.23,10.1359111111,22.1227333333,15.9163333333,22.7249333333,8.81453333334,11.7285333333,10.6012333333,18.0709333333,12.5690666667
604.56,10.1120222222,22.0702666667,15.8945333334,22.6908,8.7878,11.6801333333,10.5674666667,18.0465333333,12.5651333333
604.90,10.0844,22.0199333333,15.8456,22.6092,8.72746666666,11.6038666667,10.5045333333,17.9888666667,12.5183333333
605.23,10.1219111111,22.0376,15.8851333333,22.6785333333,8.7542,11.6395333333,10.5337666667,18.0253333333,12.5664
605.57,10.1625111111,22.0963333333,15.9318,22.716,8.81513333333,11.6651333333,10.5706,18.0484666667,12.5895333333
605.90,10.2122444445,22.1880666667,15.994,22.8026666667,8.87566666667,11.6838666667,10.6127333333,18.1268,12.6483333333
606.24,10.1872444444,22.1982,15.9512666667,22.8233333333,8.86066666667,11.6863333333,10.5879333333,18.1055333333,12.6363333333
606.58,10.1848888889,22.1987333333,15.9818666667,22.8329333333,8.8472,11.6672,10.5814333333,18.0914666667,12.6081333333
606.91,10.1950888889,22.2361333334,16.0097333333,22.8764666667,8.87413333333,11.7079333333,10.6102,18.1284666667,12.6432666667
607.25,10.2002222222,22.2660666667,16.0431333333,22.9172666667,8.88266666667,11.7169333334,10.6142333333,18.1485333333,12.6656666666
607.58,10.1499333333,22.2691333333,16.0186666666,22.8974666667,8.8662,11.7124,10.6279,18.1252666667,12.6536666667
607.92,10.1267555556,22.2465333333,15.984,22.89,8.82,11.7007333333,10.6228,18.1114666667,12.6242
608.25,10.1215333333,22.293,15.9671333333,22.9473333333,8.8216,11.748,10.6101666667,18.1420666667,12.6345333333
608.59,10.0958888889,22.2767333333,15.9768666667,22.985,8.8096,11.7868,10.6378,18.1725333333,12.6516666667
608.92,10.1046666667,22.3139333333,15.984,22.9630666667,8.81013333334,11.8090666667,10.6788333333,18.1856666667,12.6678
609.26,10.0426444445,22.2637333333,15.915,22.8952666667,8.744,11.7594666667,10.6232,18.1765333333,12.6259333333
609.59,9.96704444446,22.1896,15.8286666667,22.8152666667,8.65046666666,11.7348666667,10.5834333333,18.0851333333,12.5581333333
609.93,9.97024444445,22.1812666667,15.8579333333,22.8322,8.64646666667,11.7480666667,10.6165333333,18.1061333333,12.5709333333
610.26,9.89624444446,22.1474666667,15.7848666667,22.7846666667,8.58126666667,11.6893333333,10.5678,18.0608,12.5354666667
610.60,9.86311111111,22.102,15.7502,22.7596666667,8.54473333333,11.644,10.5282333333,18.0538666667,12.5026
610.93,9.855,22.1220666667,15.742,22.7558,8.53666666667,11.6624,10.5578666667,18.0726666667,12.5188666667
611.27,9.8468,22.1076666667,15.738,22.7672666667,8.51026666667,11.6426666667,10.5422,18.0689333333,12.4818666667
611.60,9.81824444445,22.0367333333,15.6834,22.7207333333,8.47646666667,11.6046,10.5042333333,18.0334666667,12.4513333333
611.93,9.7853111111,21.9984666667,15.6459333333,22.7043333333,8.4528,11.5987333334,10.4866333333,17.989,12.4186666667
612.27,9.81686666668,22.0331333333,15.6618666667,22.7378666667,8.47093333333,11.6262666667,10.5034333333,17.992,12.4182666667
612.60,9.77186666666,21.9950666667,15.6462,22.7762,8.4454,11.6106,10.4663,17.9624666667,12.4094
612.94,9.75315555555,21.9684,15.6298666666,22.8182,8.43813333333,11.5754,10.4642666667,17.9326666667,12.377
613.27,9.83817777778,22.0588,15.6996666667,22.8816,8.51873333333,11.6242666667,10.5071,18.0415333333,12.4446
613.61,9.85271111112,22.049,15.6742666667,22.8673333333,8.5302,11.6116,10.4699333333,18.007,12.4532
613.94,9.94266666666,22.1172,15.7384666667,22.9992666667,8.6276,11.6693333333,10.5598666667,18.1164666667,12.5682
614.28,10.0125555556,22.1439333333,15.7742,23.038,8.6854,11.7292666666,10.6151666667,18.1278,12.6263333333
614.61,10.0284,22.1343333333,15.7492,23.0697333333,8.7026,11.722,10.5921333333,18.103,12.6100666667
614.94,9.98486666667,22.0845333333,15.687,23.0662666666,8.65713333333,11.665,10.5251333333,18.0654666667,12.5909333333
615.28,10.0270888889,22.1742,15.736,23.1796666667,8.74013333333,11.6896,10.5814333333,18.1444,12.6474666666
615.61,10.0742,22.2287333333,15.8019333333,23.1782,8.74006666667,11.7054666667,10.6119,18.2196,12.6708
615.95,10.0972888889,22.2778666667,15.8520666667,23.2891333333,8.78966666667,11.7086666666,10.6303,18.2614666667,12.7542666667
616.28,10.0997333333,22.2938,15.8500666667,23.2685333333,8.7674,11.6849333333,10.5770666667,18.2620666667,12.7166
616.61,10.0972666667,22.2857333333,15.8640666666,23.2377333333,8.7572,11.6978,10.5613666667,18.2588,12.7364666667
616.95,10.0860222222,22.2111333333,15.8368,23.2036,8.74053333333,11.6843333333,10.5327333333,18.1924666667,12.718
617.28,10.0451777778,22.213,15.8413333333,23.2262666667,8.7096,11.6236666667,10.5174,18.186,12.6751333333
617.62,10.1017777778,22.2672,15.8511333333,23.2572,8.75133333333,11.6356666667,10.5403,18.1856,12.6874
617.95,10.0581777778,22.2750666667,15.8256,23.2642666667,8.72006666667,11.6095333333,10.4874,18.1717333333,12.6712
618.28,10.0333777778,22.2926666667,15.8352666667,23.2256666667,8.68786666667,11.5806,10.4701333333,18.1448666667,12.6481333333
618.62,10.0951333334,22.3603333334,15.8783333333,23.2586,8.74293333333,11.6632666667,10.5312,18.1576,12.6950666667
618.95,10.0612,22.3092,15.8608,23.2121333333,8.7138,11.6436666667,10.4460333333,18.0923333333,12.6873333333
619.28,10.0585555556,22.2830666667,15.8560666667,23.2605333333,8.71593333333,11.6355333333,10.4469666667,18.0446666666,12.7358
619.62,10.0144,22.2530666667,15.7892666667,23.1510666667,8.64113333333,11.5962666667,10.3808666667,17.9848,12.6598
619.95,9.97375555555,22.1902666667,15.7536,23.1408,8.6132,11.5693333333,10.3942,17.9464666667,12.6582666667
620.28,10.0022888889,22.2175333333,15.7979333333,23.1792666667,8.62706666667,11.5844,10.4263333333,17.9531333333,12.6602666667
