wavelength,Back_BanArcf,Belly_BanArcf,Breast_BanArcf,Crissum_BanArcf,Crown_BanArcf,DorTail_BanArcf,Patch10_BanArcf,Rump_BanArcf,Throat_BanArcf,WingTip_BanArcf
226.88,-58.5709259259,-53.884,-46.8045555556,-49.8525555556,-74.533,-54.9162777778,-70.7965555555,-70.6326666666,-46.5093333333,-57.0894222222
227.26,-57.0438148148,-56.3492222222,-52.1826666667,-52.9763333334,-75.7935555556,-57.6388888889,-72.8173333333,-71.4285555554,-47.123,-58.3135555555
227.64,-53.3532592593,-59.0591111111,-53.8538888889,-54.754888889,-72.8728888889,-55.3051666667,-71.5716666667,-70.5036666668,-48.5486666667,-61.4613111111
228.01,-36.7077407407,-43.786,-36.6254444444,-35.8024444444,-51.9341111111,-36.7899444445,-49.8764444444,-47.9834814815,-33.4156666667,-41.498
228.39,-34.052962963,-38.6892222222,-34.3725555556,-30.3758888889,-47.8816666667,-28.8168888889,-42.2861111111,-39.8880740741,-29.0168888889,-34.5004666666
228.76,-35.5231851852,-39.9837777778,-35.6041111111,-31.2247777778,-45.9853333333,-29.5621666667,-41.6057777778,-37.2532222222,-31.6302222222,-35.8963333333
229.14,-43.2002962963,-50.9548888889,-46.8748888889,-43.8367777778,-57.205,-37.8473333333,-47.0486666666,-47.5984814815,-38.8888888889,-45.4166888889
229.52,-47.685,-57.1177777778,-53.0382222222,-51.9095555556,-63.802,-39.8871666667,-49.913,-53.8484074074,-43.6632222222,-50.9026666667
229.89,-56.2847777778,-69.379,-63.6045555555,-61.5922222223,-74.0157777778,-50.481,-58.1802222222,-61.2714444444,-54.6806666667,-60.0523555556
230.27,-83.6504814815,-97.9978888889,-91.3914444444,-85.285111111,-102.802666667,-67.7677222223,-83.6837777778,-88.3883703704,-77.3775555555,-85.0449555556
230.65,-90.1010370372,-104.343444444,-94.9496666666,-90.9091111112,-106.969777778,-73.6363333332,-92.3231111112,-92.0539629629,-85.4546666667,-92.6464222221
231.02,-82.8938518517,-94.7268888889,-84.369,-78.2485555557,-92.8436666666,-59.9811666667,-82.2033333333,-79.347,-77.2127777778,-82.7305111112
231.40,-71.9869259259,-80.8642222222,-70.8113333333,-65.7848888889,-81.4815555556,-45.1057777778,-68.9596666667,-67.6955185185,-65.785,-70.2292444444
231.78,-63.2787037037,-66.4084444444,-59.69,-54.6941111111,-71.0595555556,-33.2905,-57.1921111111,-58.8571851852,-54.3497777778,-58.5700888889
232.15,-58.2051111111,-59.9145555556,-53.9316666667,-50.1708888889,-61.7094444444,-29.8717222222,-52.5642222222,-52.6495925926,-45.3846666666,-51.3845777778
232.53,-52.0618888889,-55.6345555555,-46.6507777778,-46.4146666667,-56.0283333333,-30.5752777778,-49.5665555555,-50.8011111111,-38.613,-45.9258444445
232.90,-37.8756666667,-43.8854444444,-32.4947777778,-34.1717777778,-43.1165555556,-23.2703888889,-38.1551111111,-39.972,-26.2054444444,-32.5508
233.28,-36.56,-38.2412222222,-29.584,-29.5841111111,-36.5371111111,-21.336,-35.9235555556,-35.0600740741,-22.4948888889,-27.8525555556
233.66,-33.8496296296,-31.9865555556,-25.8584444445,-25.0504444444,-28.6868888889,-18.7542777778,-30.8417777778,-29.7194074074,-19.6632222222,-24.7003555555
234.03,-29.5011851852,-23.3784444444,-18.6897777778,-19.9743333333,-23.5066666667,-14.6435555556,-25.6905555555,-26.1401481482,-13.4873333333,-19.8586444445
234.41,-24.524,-16.3842222222,-12.0526666667,-17.7653333333,-19.7741111111,-14.0302222222,-19.3973333334,-19.5647407408,-10.7971111111,-14.0488444444
234.78,-20.0075555555,-9.96555555557,-7.84655555554,-12.4856666667,-16.0938888889,-11.6836666667,-14.032,-14.433,-7.04466666665,-8.25906666667
235.16,-17.8518518518,-7.38888888888,-8.88888888889,-11.8888888889,-15.4444444444,-12.6666666667,-14.4444444444,-14.0925925926,-5.83333333332,-6.91111111111
235.54,-19.4538888889,-8.86655555556,-10.2694444444,-15.7127777778,-15.0393333333,-16.2739444445,-17.9013333333,-17.1342592592,-7.57588888888,-7.28397777776
235.91,-30.254,-18.477,-18.9763333333,-27.3408888889,-25.0936666667,-27.1535555555,-29.7131111111,-27.6944444444,-18.8514444444,-14.4445333333
236.29,-44.5154074074,-27.884,-31.8471111111,-39.4903333333,-39.5611111111,-40.4459444444,-41.826,-42.9817777778,-32.767,-24.9822444445
236.66,-56.1685925926,-35.8621111111,-41.3026666667,-49.1188888889,-49.2718888889,-47.2796111111,-48.8887777778,-51.0344814815,-44.2911111111,-33.4867111111
237.04,-58.6086296296,-37.162,-46.8468888889,-52.6276666666,-52.1022222222,-48.7235,-51.0511111111,-54.004037037,-48.949,-38.3482888889
