wavelength,Back_PlaCraf,Belly_PlaCraf,Breast_PlaCraf,Crissum_PlaCraf,Crown_PlaCraf,DorTail_PlaCraf,Rump_PlaCraf,Throat_PlaCraf,WingTip_PlaCraf
193.23,69.4871666668,174.359,125.384633333,-136.218041667,34.3590333333,108.2052,121.0256,-59.8292666667,131.794733333
193.61,146.666666667,319.333333333,245.0,-77.5,142.333333333,166.666666667,242.0,27.1111111112,238.666666667
193.99,100.512833333,173.589866667,167.4358,41.0257499998,127.307633333,123.077,139.743466667,86.324888889,151.7948
194.37,123.7607,155.7264,145.8975,88.3547916668,134.70075,139.145133333,126.153666667,102.735066667,152.8204
194.75,142.000033333,176.0,165.555533333,91.1111666667,157.499933333,188.2222,138.6666,111.777911111,180.666666667
195.13,121.509466667,133.459,122.1383,83.8838333333,121.16365,152.704533333,111.698133333,107.547022222,136.352133333
195.51,111.4155,123.013666667,107.169,86.7009999999,111.073133333,134.1552,107.305933334,101.887377778,122.009
195.89,114.213,123.148,107.963133333,90.10425,113.125116667,132.5,104.444333333,101.759244445,126.851866666
196.27,114.980766667,114.865933333,106.589966667,92.2414999999,112.16475,127.3564,105.440466667,105.619377778,117.164733333
196.65,100.061633333,98.9506,90.7099,79.9767916666,95.9258833333,113.395066667,94.1974666665,93.5802222223,99.9382666665
197.03,98.4409333334,96.0215333332,86.398,76.8145416668,91.6936333333,113.387133334,91.5590666664,93.5483777778,97.6346000001
197.40,90.1974666665,90.7654,81.9011666667,73.3950833334,88.1110833333,106.814933333,86.1728666666,88.5267333333,89.6297333334
197.78,91.9008333333,94.0496,82.0937333333,75.3441666666,90.0550833333,112.562,86.6116666667,89.2561111112,93.0579333334
198.16,93.7544666668,97.2630666667,76.7367666666,68.9035416668,92.5965666666,116.0702,87.8595333335,86.3858222223,96.1404000001
198.54,87.5347666666,89.861,72.7084,55.7725,91.9096666665,108.472133333,83.7500666668,82.2916444446,91.3194666667
198.92,93.6667000001,95.2121333334,82.6667333333,65.4545833333,97.9091166667,107.515,87.9999999999,87.5958888889,92.7273333333
199.30,90.6350000001,93.4604666667,81.1745333333,67.4602916667,98.3492500001,111.301533334,87.1111333333,89.0583777777,91.9999999999
199.68,91.3475666667,91.4893333335,86.3830666666,70.0796666667,103.421933333,115.957533333,87.4468,92.2694888889,97.3050666667
200.06,95.1455666667,100.1294,92.5566333333,76.1325833333,107.799233333,120.1942,95.3397999998,101.769044444,97.5405333333
200.44,92.9457000001,102.480733333,91.5503666667,74.9030416667,105.755933333,122.480466667,94.3410666667,105.710622222,102.945666667
200.82,101.076966667,115.384666667,107.487133333,84.102875,127.025583333,137.436,98.1539333332,122.324933333,120.410133333
201.19,108.911466667,134.694066667,121.7686,102.210791667,151.156516667,154.149733333,108.707466667,135.3744,137.278866667
201.57,113.958333333,138.0554,128.333433333,113.368166667,153.29855,164.861133333,116.6668,145.925844444,137.500066667
201.95,98.5713666666,120.4232,108.518466667,92.4602916667,134.709033333,147.5132,100.529266667,114.532866667,114.920666667
202.33,94.8484,117.676866667,109.444466666,97.4116666666,133.863633334,146.1616,97.3737999998,116.229177778,114.6464
202.71,92.8443,115.110933333,101.111033333,94.3890000001,127.488833333,136.8,94.8445333334,108.118555556,112.711133334
203.09,88.6772333335,124.867733333,100.4761,97.2882916667,131.957616667,141.481466667,95.6614666668,108.500866667,123.280466667
