wavelength,Back_SpoHycf,Belly_SpoHycf,Breast_SpoHycf,Crissum_SpoHycf,Crown_SpoHycf,DorTail_SpoHycf,Patch10_SpoHycf,Rump_SpoHycf,Throat_SpoHycf,WingTip_SpoHycf
193.61,114.0875,10.7141666667,256.547583334,457.143,315.476,409.523666666,172.619166667,-83.3331666665,-35.1191666665,-4.7621666665
193.99,184.444444444,-5.0,488.333333334,608.333333333,488.333333334,666.666666667,330.0,-15.0,17.5,121.666666666
194.37,97.605277778,41.9538333334,192.815916666,232.183833333,207.471,268.390833334,166.091833334,47.7008333335,50.28725,95.4021666665
194.75,88.0555555555,24.4445,169.166833333,209.444333333,172.777833333,241.6665,152.777666667,52.2221666667,46.11125,109.999666667
195.13,90.9003888888,22.4138333333,173.563083334,205.172333333,174.7125,211.494,152.299,51.1495,32.7586666667,109.77
195.51,77.4175555555,35.8025,139.351916666,132.407166666,120.062,147.8395,101.234833334,44.136,51.3886666667,96.9138333335
195.89,108.404694444,46.154,184.188,181.623666667,155.982833334,203.846333334,120.085333333,61.111,73.50425,127.3505
196.27,121.323694445,45.5883333334,191.66675,177.450833333,146.0785,226.961,127.451166667,55.3923333333,77.45125,125.49
196.65,192.592444445,56.3491666665,297.222166667,256.349166667,219.047833333,326.984166667,200.793833334,70.6348333334,118.650833333,166.666833333
197.03,398.456944444,109.259333333,668.518333333,531.481666667,475.926,707.407666667,385.185166666,59.2591666667,237.962833333,466.666333334
197.40,252.777888889,71.4283333331,465.476166666,335.714333333,316.666666667,473.809666667,254.761833334,42.857,154.76175,346.428833333
197.78,329.444444445,91.6666666665,653.333333333,468.333333334,410.0,693.333333333,341.666666667,76.6666666667,165.0,413.333333333
198.16,163.42575,25.926,316.666666666,243.5185,208.333166667,370.3705,179.6295,18.5183333333,69.90725,200.926166667
198.54,173.090277778,-3.125,347.916666666,258.333333333,253.125,392.708333333,202.083333333,-2.08333333335,68.2291666667,203.125
198.92,136.197916666,36.9791666667,212.5,172.395833333,172.916666667,233.854166666,135.416666666,42.1875,66.6666666667,141.666666667
199.30,140.444444444,18.6666666667,256.666666666,220.666666667,199.333333333,305.333333333,151.333333334,50.6666666667,75.3333333333,180.666666666
199.68,131.790194445,14.8148333333,258.950833333,221.605166666,199.382666667,302.469333334,198.765333333,111.111166666,101.543416667,183.333333333
200.06,142.36125,12.5,268.452416667,200.595,191.666666667,297.023666667,215.476333334,117.857333334,98.2144166667,189.881333333
200.44,139.999944444,50.0,240.952333334,203.3335,174.762166667,250.476166667,206.666833333,130.476333333,93.8095833333,206.190666667
200.82,138.055555556,43.3333333333,207.708333333,171.25,137.916666667,222.5,169.583333333,103.75,74.1666666667,179.583333334
201.19,116.2475,39.3083333333,167.138166667,145.5975,105.345833333,166.981333334,143.396333333,89.937,51.8869166667,133.018833333
201.57,124.396166667,39.4928333333,163.043666667,143.478166666,94.9276666669,165.579833334,136.232166667,91.3044999999,29.5290833333,121.739333333
201.95,127.898555555,47.1016666667,144.384083334,141.666833333,90.9421666665,171.739333333,143.840666666,88.0434999998,29.5290833333,135.145166666
202.33,127.068777778,64.539,153.72325,158.5105,93.9714999998,183.688,150.000166667,105.319166667,36.70225,141.134833334
202.71,112.560583334,64.1305,156.884166666,169.927666666,84.058,196.014333333,138.043333334,107.608666666,36.9565,143.840666666
203.09,94.7847222223,53.7415,154.081833333,148.979833333,61.5646666666,185.714333334,123.129166666,91.1563333334,41.4963333334,135.034166666
203.47,78.0239444444,46.6243333334,106.118416666,109.493666667,45.5698333334,121.729666667,87.342,64.7681666667,35.9705,97.8901666665
203.85,83.6458333333,52.7083333333,100.208333334,110.833333333,51.6666666667,115.416666667,84.7916666665,66.0416666667,36.0416666667,90.4166666665
204.22,62.8623611111,36.5943333334,78.9854166666,91.1235000002,35.326,92.029,59.7825,49.0941666667,21.9203333334,62.4998333333
204.60,56.9443333333,22.1491666667,79.2766666667,92.1053333331,25.8771666666,96.9298333335,54.6053333334,39.9123333333,3.39908333335,54.6055
204.98,46.1847222222,18.2728333334,75.8033333333,83.1326666665,26.1043333333,84.9395,52.4095,48.996,-2.81108333335,55.8235
205.36,41.0236111111,24.2105,68.24575,78.2456666665,29.4736666667,80.8771666666,51.5788333334,52.456,5.965,55.4385
205.74,46.7320555556,27.1243333333,74.8365833334,85.4575000001,33.1698333333,90.6863333334,58.0065,58.8235,17.075,67.4838333333
206.12,50.3002777777,26.2763333334,77.2523333334,81.982,35.135,85.8856666667,52.8528333334,57.958,28.7535833334,70.7206666667
206.50,46.8326666666,14.7976666666,69.6260833334,67.6011666667,26.0123333333,79.128,38.4735,44.2366666667,18.1465,67.913
206.87,50.1462222223,18.1285,67.0321666666,65.3508333333,24.1228333333,73.2456666667,42.2513333334,42.2515,19.0058333333,66.0818333334
207.25,48.50825,15.1236666667,61.4199166666,65.2776666667,21.4506666667,69.4443333333,37.9628333333,40.7405,12.34575,60.8021666667
207.63,47.9336944444,10.9756666667,63.92275,70.7316666667,14.4308333333,76.8291666667,38.618,47.5608333333,7.31716666665,68.2926666667
208.01,31.3604166666,-14.9758333333,53.62325,64.2511666667,-12.3186666667,74.396,19.082,34.2993333333,-11.83575,66.1835
208.39,28.8965277778,-0.694666666665,58.2175,71.2961666668,4.39816666665,75.2313333333,32.1758333333,44.213,-6.82875,79.6296666666
208.77,31.0240833333,0.4015,50.70275,68.0723333331,7.02799999999,66.6665,35.3411666666,47.9918333333,-1.40558333335,63.8556666666
209.14,39.9789166667,8.43883333334,54.2193333333,83.1225000001,13.5021666667,80.5906666667,43.249,51.899,11.6034166666,68.9871666666
