wavelength,Back_PlaCram,Belly_PlaCram,Breast_PlaCram,Crissum_PlaCram,Crown_PlaCram,DorTail_PlaCram,Rump_PlaCram,Throat_PlaCram,WingTip_PlaCram
761.32,18.9928,42.6570666667,14.9988,50.7426,12.6088666667,19.7885176471,24.9787555555,10.2491,20.3707666667
761.63,18.5477666667,42.3183333333,14.3728333333,50.5197333333,12.0589333333,19.3828156863,24.5990666667,9.6176,19.8220333333
761.94,19.0781333333,42.4894,14.8028,50.7759333333,12.3714,19.5868411765,24.8593333333,9.94433333333,20.2559666667
762.26,18.9341666667,42.4636,14.6996666667,50.9160333333,12.1262666667,19.3100529412,24.6372222222,9.79636666667,20.1487666667
762.57,18.7520333334,42.4334,14.5949666667,50.9103333333,12.0374666667,19.1951627451,24.4354777778,9.65003333333,19.9489333333
762.88,18.7550333333,42.4694666667,14.8058666667,51.0563333333,12.1378,19.2491313725,24.5801555555,9.74083333333,20.0584333333
763.20,18.6959,42.6481333333,14.9847,51.3408333333,12.1150666667,19.3155921569,24.6046111111,9.8209,20.0644
763.51,18.979,42.7395333333,15.1515333333,51.3912,12.3510666667,19.4659117647,24.6669666667,9.98436666667,20.2905666667
763.82,19.2882666667,42.8755333333,15.5164,51.4961666667,12.594,19.706327451,24.9547444444,10.3467,20.6609333333
764.14,19.2886666667,43.0487333333,15.7234,51.6959666667,12.6468666667,19.6791862745,25.0151333333,10.5187,20.6950333333
764.45,19.3083666667,43.0637333333,15.8741333333,51.6102,12.6775333333,19.7078686275,25.0744444444,10.6934,20.6656
764.76,19.2251666667,42.9474,15.7858,51.7157,12.4733333333,19.3122039216,24.8805888889,10.6618,20.6657333333
765.07,19.1917666667,42.9711333333,15.8138333333,51.5505666667,12.5323333333,19.3270607843,24.7892777778,10.8982,20.7454
765.39,19.1073,42.9224666667,15.8876666667,51.4763333333,12.3935333333,19.5108607843,24.7630111111,11.0600333333,20.7369333333
765.70,19.3565666667,43.009,16.2408,51.3796666667,12.7401333333,19.719272549,24.8121666667,11.4531,20.8620333333
766.01,19.3903333333,43.0888,16.3146333333,51.5776333333,12.7614666667,19.6147039216,24.8083888889,11.3234333333,20.8318666667
766.32,19.2704333333,43.1284,16.2906,51.2080666667,12.6861333333,19.6901117647,24.5165222222,11.0657,20.8434666667
766.64,19.2522666667,42.9592666667,16.2522666667,51.1529666667,12.5541333333,19.5844843137,24.5936111111,10.9679666667,20.8041333333
766.95,19.1044666667,42.6251333333,16.0363666667,50.7466666667,12.2722666667,19.3970294118,24.4297333333,10.9693666667,20.6564
767.26,19.1099,42.6546,15.8306333333,50.9073666667,12.1045333333,19.3550882353,24.3045222222,10.9516666667,20.4844333333
767.57,18.9482333333,42.2962666667,15.3451,50.5244666667,11.6889333333,19.1997803922,24.1071888889,10.7896333333,20.2400666667
767.88,18.9515333333,42.3682666666,15.084,50.8506666667,11.4404666667,19.2136137255,23.7676777778,10.3842666667,20.2716666667
768.20,18.8798,42.576,15.0526666667,50.8692,11.3008,19.4759647059,23.8051,10.4635,20.1932
768.51,18.8972,42.601,15.0256333333,51.1458666667,11.0446666667,19.2767392157,23.7745333333,10.3339,20.2924
768.82,18.9642,43.2534,14.9424333333,51.9693,11.2026666667,19.0068705882,23.6901222222,10.0380666667,20.2224333333
769.13,19.3517333333,43.4748,14.9918,52.4216666667,11.2735333333,19.3144058824,24.1226111111,9.98763333334,20.7129
769.44,20.0942333333,43.6976666666,15.4667,52.6048333333,11.771,20.2676431373,24.6058444445,10.8664666667,21.6006
769.76,20.4941333333,43.5567333333,15.6764666667,52.5522666667,12.0545333333,20.2797647059,25.0869111111,11.2369333333,21.8982333333
770.07,20.5341666667,43.2893333333,15.7029333333,52.1367,12.0412,20.3751156863,24.9112333333,11.3766666667,21.8594333333
770.38,21.0250666666,43.6103333333,16.1859666667,52.7345666667,12.4804,20.5896705882,25.3136888889,11.8349666667,22.1640333333
770.69,21.1010666667,43.6764,16.4658666667,52.5656333333,12.5677333333,20.6067372549,25.2745666667,11.8173,22.1774666667
771.00,21.2831333333,43.8414666667,16.6707666667,52.7729,12.6338666667,20.5273666667,25.5768777778,11.8242666667,22.3208333333
771.32,21.6044333333,44.055,17.4291,52.6601,12.8639333333,20.8358529412,26.1530888889,12.4583,22.6348666667
