wavelength,Back_PooThom,Belly_PooThom,Breast_PooThom,Crissum_PooThom,Crown_PooThom,DorTail_PooThom,Rump_PooThom,Throat_PooThom,WingTip_PooThom
353.65,4.83726666667,14.5030969697,4.29786666666,7.60079999999,4.81906666667,8.4816,5.85406666667,13.579,7.8063
354.01,5.238,14.8188727273,4.54533333333,7.88619999999,5.14826666667,8.84576666667,6.19,13.9826,8.0755
354.38,5.26233333333,14.8140909091,4.47433333333,7.95306666667,5.17806666667,8.85033333333,6.14406666667,14.128,8.08246666667
354.74,5.2994,14.8712,4.503,8.02486666667,5.1276,8.87226666667,6.14973333333,14.2504666666,8.02393333333
355.11,5.16913333333,14.8057090909,4.40946666667,7.92026666667,5.0446,8.7821,6.05713333333,14.1892,7.98526666667
355.47,5.0452,14.7845757576,4.32,7.8244,4.91453333333,8.71313333333,5.99666666666,14.1428,7.96826666667
355.83,4.79006666667,14.5941878788,4.17613333333,7.685,4.72226666667,8.49453333333,5.74813333333,13.9388666667,7.79553333333
356.20,5.0674,14.8870727273,4.44926666667,7.99426666666,5.08893333333,8.78596666667,6.05573333333,14.222,8.097
356.56,5.2308,15.0303939394,4.63353333333,8.12493333333,5.25426666667,8.9081,6.1762,14.4235333334,8.20366666667
356.93,5.20473333333,15.0387030303,4.57806666667,8.09406666667,5.1794,8.89746666667,6.15513333333,14.3804666667,8.26446666667
357.29,5.06,14.978260606,4.59166666667,8.0382,5.01,8.845,6.05066666667,14.3184666667,8.07173333333
357.66,4.96373333333,14.8699151515,4.46926666667,7.9536,4.902,8.76583333333,5.9662,14.2351333333,7.9299
358.02,4.91626666667,14.9233636364,4.47306666667,7.90566666667,4.8534,8.7131,5.872,14.1479333334,7.8538
358.38,4.932,14.9588909091,4.49046666667,7.8678,4.8108,8.68736666667,5.86806666667,14.0918,7.86666666667
358.75,4.7826,14.9644424242,4.326,7.76926666667,4.74306666667,8.5891,5.78633333333,14.0080666667,7.79826666667
359.11,4.72606666667,14.9582545454,4.21753333333,7.7048,4.61233333333,8.55096666667,5.7246,14.0008666667,7.6914
359.48,4.72253333333,15.0298,4.19926666667,7.74373333333,4.62566666667,8.54506666667,5.72726666667,14.0972666667,7.69506666667
359.84,4.9768,15.3324787879,4.45666666667,8.04546666667,4.8866,8.81033333333,6.003,14.4200666667,7.937
360.20,5.072,15.4315333333,4.51326666667,8.15173333333,4.88286666667,8.7903,6.12433333333,14.4614,7.97813333333
360.57,5.19173333333,15.5748666666,4.60006666667,8.196,4.95366666667,8.94326666667,6.229,14.6330666667,8.08363333333
360.93,5.33193333334,15.7955454546,4.80026666667,8.34120000001,5.14806666667,9.08573333333,6.394,14.8708666667,8.18553333333
361.29,5.33073333333,15.9176969697,4.87906666667,8.38533333333,5.27953333333,9.12450000001,6.46513333334,14.9715333334,8.258
361.66,5.1644,15.8741030303,4.7092,8.25853333333,5.12266666667,8.93256666667,6.28726666667,14.9008,8.08916666667
362.02,5.03626666667,15.7910545455,4.54826666667,8.17553333333,5.01126666667,8.82263333333,6.1976,14.8224666667,7.95346666667
362.39,5.11553333333,15.8994242424,4.61433333333,8.35666666667,5.16346666667,8.93613333333,6.32146666667,15.0226666667,8.0316
362.75,5.2492,16.0314727273,4.71613333333,8.44173333333,5.25026666667,9.01693333333,6.3816,15.1735333333,8.07673333333
363.11,5.39813333333,16.2084606061,4.82253333333,8.54406666667,5.442,9.18326666666,6.5026,15.3474666667,8.24966666667
363.48,5.46813333333,16.2694060606,4.92426666667,8.55033333333,5.5096,9.22110000001,6.55753333333,15.4160666667,8.32473333333
363.84,5.38726666667,16.177830303,4.7776,8.42146666667,5.3812,9.06159999999,6.4044,15.3356666667,8.16973333333
364.20,5.2264,16.1215333333,4.58013333333,8.28280000001,5.26966666667,8.9786,6.20606666667,15.3418,8.00716666667
364.57,5.11393333333,16.0467818182,4.4184,8.23313333333,5.15906666666,8.82633333333,6.01713333333,15.2531333333,7.84313333333
364.93,5.0424,16.0017515152,4.35066666667,8.1604,5.06746666667,8.74783333333,5.91933333333,15.2097333333,7.74903333333
365.29,5.08853333333,16.0363272727,4.26353333333,8.10826666667,4.9862,8.67426666667,5.83026666667,15.2998,7.70963333333
365.66,5.3182,16.248369697,4.47233333333,8.34593333333,5.20006666667,8.91,5.9982,15.5839333333,7.9208
366.02,5.5656,16.5185818182,4.71573333334,8.5966,5.48246666667,9.08706666666,6.24366666667,15.8992,8.21786666667
366.38,5.52106666667,16.5627757576,4.69493333333,8.47966666667,5.43093333333,9.02373333334,6.24173333333,15.8393333333,8.21783333333
366.75,5.51393333333,16.6004181818,4.67246666667,8.54486666667,5.4564,9.02543333334,6.25933333333,15.8919333333,8.21286666667
367.11,5.2734,16.4994848485,4.47106666667,8.41826666667,5.20873333333,8.8046,6.04493333333,15.7704666667,7.96993333333
367.47,5.2612,16.5074242424,4.44573333333,8.41053333333,5.1664,8.77733333333,6.04086666667,15.7709333333,7.89343333333
367.84,5.28486666667,16.5714545454,4.487,8.37546666667,5.22253333333,8.82649999999,6.10406666667,15.8099333333,7.91556666667
368.20,5.471,16.7501151515,4.74806666667,8.51953333333,5.41466666667,8.98050000001,6.29066666667,15.9709333333,8.02706666667
368.56,5.49486666667,16.8637151515,4.7818,8.60106666667,5.5066,9.00476666666,6.38466666667,16.0662666667,8.06863333333
368.93,5.5734,17.0741515152,4.83613333333,8.66360000001,5.6084,9.10170000001,6.43126666667,16.2649333333,8.17963333333
369.29,5.65526666667,17.218,4.89106666667,8.79326666667,5.69493333333,9.22663333333,6.58046666666,16.3762666667,8.31726666667
369.65,5.65686666667,17.290060606,4.8564,8.71526666666,5.68566666667,9.21353333334,6.56046666667,16.3765333333,8.27943333333
370.01,5.4118,17.144830303,4.63373333333,8.46726666667,5.457,8.98923333333,6.331,16.174,8.0618
370.38,5.24673333333,17.0927272727,4.4742,8.40806666667,5.28673333333,8.79706666667,6.13453333333,16.1466,7.80666666667
370.74,5.3488,17.260830303,4.6542,8.50713333333,5.36746666667,8.88083333334,6.28213333333,16.2953333333,7.96713333333
371.10,5.59593333333,17.517860606,4.94866666667,8.74466666667,5.63133333333,9.04916666666,6.52213333333,16.605,8.2203
371.46,5.61306666667,17.6181757576,4.97653333333,8.78113333333,5.64106666667,9.04009999999,6.51566666667,16.7069333333,8.23483333333
371.83,5.55913333333,17.6755575758,4.92526666667,8.77473333333,5.57026666667,8.97493333333,6.46953333333,16.7431333333,8.2394
372.19,5.47293333333,17.7192363636,4.87206666667,8.78880000001,5.55366666667,8.8824,6.44733333333,16.7594666667,8.19063333333
372.55,5.50813333333,17.7282363636,4.93833333333,8.81666666667,5.5958,8.90166666667,6.49486666667,16.8401333333,8.2662
372.92,5.60693333333,17.8012909091,5.03533333333,8.98273333333,5.71213333333,8.97116666667,6.6286,16.9598,8.3175
373.28,5.60066666667,17.8310181818,5.078,8.98126666667,5.75893333333,8.97953333334,6.60866666667,16.9554666667,8.2988
373.64,5.6712,17.9729151515,5.21706666667,9.13326666666,5.90266666667,9.08556666667,6.76766666667,17.1432666667,8.48106666667
374.00,5.834,18.1852484849,5.4388,9.34966666667,6.0604,9.23693333333,6.9084,17.4885333333,8.59976666667
374.37,5.97413333333,18.3822484849,5.57126666667,9.46120000001,6.22906666667,9.44119999999,7.05233333333,17.6752,8.7749
374.73,5.82886666667,18.3266909091,5.37913333333,9.2436,6.10873333334,9.29463333333,6.9076,17.6044,8.63843333333
375.09,5.799,18.2782424242,5.26473333333,9.17326666667,6.03333333333,9.21549999999,6.83813333333,17.5037333333,8.5527
375.45,5.8246,18.3812787879,5.2602,9.17206666667,6.08586666667,9.21063333334,6.88326666667,17.6058,8.54843333333
375.81,5.82653333333,18.4210484849,5.2608,9.17793333332,6.1286,9.24953333333,6.9034,17.6986,8.58073333333
376.18,5.83026666666,18.4432606061,5.22386666667,9.11999999999,6.0472,9.24066666666,6.8654,17.7093333333,8.5844
376.54,5.86813333333,18.6032545455,5.2488,9.19840000001,6.0706,9.2701,6.87386666667,17.8561333333,8.55513333333
376.90,5.76933333333,18.5811030303,5.1438,9.11546666667,5.9546,9.1953,6.7728,17.8062,8.49716666667
377.26,5.6958,18.5669090909,5.085,9.10193333334,5.89806666667,9.0595,6.6558,17.7995333333,8.39676666667
377.63,5.685,18.571369697,5.07073333333,9.09106666666,5.8528,8.96050000001,6.61893333333,17.8119333333,8.30563333333
377.99,5.57106666667,18.4935515152,4.94326666667,8.97553333334,5.77333333333,8.8547,6.5122,17.6606666667,8.1494
378.35,5.56666666667,18.5211212121,4.97993333333,8.98379999999,5.80413333334,8.8418,6.51873333333,17.6754,8.1115
378.71,5.55826666667,18.4791030303,4.95813333333,8.96679999999,5.7826,8.79083333333,6.48993333333,17.6402666667,8.0261
379.07,5.6374,18.5669151515,5.0534,9.03639999999,5.8688,8.85276666667,6.5632,17.7396666667,8.0542
379.44,5.602,18.6176787879,5.03066666667,9.02753333334,5.87373333333,8.8934,6.59713333333,17.7890666667,8.0892
379.80,5.63766666667,18.772769697,5.10166666667,9.07819999999,5.93206666667,8.94533333333,6.646,17.9124666667,8.08996666667
380.16,5.7046,18.9113333333,5.20006666667,9.12733333333,6.0598,9.015,6.72253333333,18.0388666667,8.128
380.52,5.7312,18.9933030303,5.2146,9.14633333333,6.10633333333,9.06043333333,6.7602,18.0697333333,8.10576666667
380.88,5.763,19.1061393939,5.2226,9.12526666667,6.15986666667,9.05519999999,6.78773333333,18.1607333333,8.10563333333
381.24,5.8882,19.279660606,5.31033333333,9.18219999999,6.26073333333,9.16343333334,6.9212,18.3476666667,8.2019
381.61,5.7814,19.3104363636,5.19706666667,9.05766666666,6.19513333333,9.09906666666,6.79626666667,18.3122666667,8.12213333333
381.97,5.96286666667,19.5317757576,5.32546666667,9.23506666667,6.3612,9.24400000001,6.94653333333,18.5733333333,8.34726666667
382.33,6.04753333333,19.6759515151,5.34653333333,9.29813333333,6.41433333333,9.286,6.99746666667,18.7134666667,8.47746666667
