wavelength,Back_SalAtom,Belly_SalAtom,Breast_SalAtom,Crissum_SalAtom,Crown_SalAtom,DorTail_SalAtom,Rump_SalAtom,Throat_SalAtom,WingTip_SalAtom
204.98,-12.4358666667,23.718,-7.69226666666,-5.51286666668,-7.56413333332,-73.4102844444,-21.4102,-8.20513333334,21.9231333333
205.36,-42.5488666667,11.7646666667,-37.2549333333,-42.5488666667,-39.2156666667,-137.228915556,-60.1959999999,-36.4705333334,7.6469333334
205.74,-158.8888,-32.5926666667,-132.2222,-141.481533333,-145.185266667,-314.3456,-183.3334,-138.8888,-65.1851333335
206.12,-84.2735333333,-24.4445999999,-64.6154666666,-78.1195999999,-75.8972000001,-163.521435556,-92.8206000001,-78.2905333334,-29.0597333334
206.50,-61.4814,-10.0741333333,-41.4814666667,-61.3334000001,-58.6666666667,-129.945791111,-70.2221999999,-54.9629333333,-11.5556666666
206.87,-111.111133333,-47.2727333332,-84.0404666667,-113.1312,-117.979666667,-213.898911111,-127.272733333,-98.9898666666,-51.9192666666
207.25,-428.888733333,-247.777733333,-336.111133334,-406.6666,-460.555533333,-682.370164444,-486.666533333,-385.000066667,-245.0
207.63,-1555.5556,-933.333399999,-1151.11113333,-1424.44453333,-1815.55553333,-2634.66657333,-1797.77773333,-1513.33333333,-806.666600001
208.01,-480.952266667,-267.619066667,-376.1906,-494.2856,-642.856999999,-1000.82536889,-657.1428,-556.190466667,-209.5238
208.39,1251.11106667,724.444466668,986.666666667,1291.11093333,1628.8888,2489.03695111,1597.77793334,1451.11113333,553.3334
208.77,271.666666667,185.0,228.333333333,281.25,351.666666666,509.722222222,360.416666667,315.833333333,137.083333333
209.14,229.259266667,157.037066667,165.1852,228.888933333,275.1852,408.864186667,297.037,244.444333333,94.4443333332
209.52,1073.3334,628.888866667,640.0,971.111266665,1357.77786667,2132.59274222,1533.33333333,1202.2222,313.3334
209.90,-468.888800001,-310.0,-341.111133333,-435.555533333,-641.111133334,-1059.11119556,-791.111,-555.555533333,-150.000133334
210.28,1356.66666667,866.666666666,1060.0,1333.33333333,1726.66666667,3116.66666667,2276.66666667,1550.0,523.333333334
210.66,3200.0,2126.66666667,2680.0,2766.66666667,3666.66666667,6591.55555556,5213.33333333,3606.66666667,1506.66666667
211.03,1151.66666667,794.999999999,981.666666667,895.000000001,1131.66666667,1971.33333333,1663.33333333,1191.66666667,716.666666667
