wavelength,Back_TanRuuf,Belly_TanRuuf,Breast_TanRuuf,Crissum_TanRuuf,Crown_TanRuuf,DorTail_TanRuuf,Patch10_TanRuuf,Patch11_TanRuuf,Rump_TanRuuf,Throat_TanRuuf,WingTip_TanRuuf
819.63,30.37475,58.6181346154,40.1608333333,50.8605,21.5770833334,24.9906666667,24.0834166667,43.0320833333,30.16275,46.7171666667,24.8333833333
819.93,29.5248888889,59.062948718,39.2026666667,49.1369583333,20.6136666667,24.4978333333,23.8936666667,41.6745,29.5434166666,46.4375833333,24.6342916667
820.24,29.0986111111,60.1459807692,39.7218333333,48.9880833333,20.8335,25.01975,24.6638333333,41.8775,30.0896666667,46.71675,25.5761833333
820.54,28.64475,60.8088974359,39.7969166667,48.8780416667,20.1886666667,24.88275,24.2968333333,41.5828333334,30.336,46.7459166667,25.3423916667
820.85,27.9641944444,60.64675,39.2099166667,48.1574583333,19.71625,24.3598333334,23.9375,41.1355,30.0513333333,46.2056666667,25.1019666667
821.15,28.0364444445,60.7742692308,39.4823333333,47.9665833333,19.7533333333,24.563,24.0364166666,41.201,30.1811666667,46.4641666667,25.075525
821.45,28.1173611111,61.1266346154,39.7639166667,48.104375,19.9703333333,24.6749166667,24.433,41.2910833334,30.6613333334,46.6025,25.3950666667
821.76,28.1509444445,61.5121217949,39.8590833334,48.106875,19.9920833333,24.68725,24.5325833333,41.49225,30.92975,46.7206666667,25.2238416667
822.06,28.181,61.5854102564,39.8609166666,48.3212916666,20.233,25.2268333333,24.90925,41.7241666667,31.1373333333,46.9116666667,25.74715
822.36,28.2813333333,61.8071602564,40.0964166667,48.5214583333,20.4320833334,25.5386666666,25.2091666666,42.0391666667,31.4191666667,47.0855833333,26.0913
822.67,28.2537777778,61.6497435898,40.0900833334,48.4371666667,20.53425,25.8215,25.4688333333,41.981,31.4505833334,47.0944166666,26.316125
