wavelength,Back_CatDiam,Belly_CatDiam,Breast_CatDiam,Crissum_CatDiam,Crown_CatDiam,DorTail_CatDiam,Patch10_CatDiam,Rump_CatDiam,Throat_CatDiam,WingTip_CatDiam
790.23,-10.4760666667,13.9584,11.0715333333,8.70546666667,-12.6785333333,-8.33333333333,13.5713333333,-13.8987333333,11.4584,-9.40466666667
790.54,-11.1212666667,13.1516,9.54553333333,7.80316666666,-13.3636666666,-9.45446666666,11.8182,-14.7272666667,11.3030666667,-10.0606
790.85,-10.5069333333,13.8862666667,10.9370666667,8.01833333333,-12.4424666667,-9.00153333333,11.7664,-13.9170666667,12.4116,-9.21653333333
791.16,-10.8414666667,13.754,10.6471333333,7.73456666666,-13.5274666667,-9.70866666665,12.2006,-15.5663333333,12.945,-10.7444
791.47,-8.38906666667,14.9919333333,12.7592,10.2711666667,-11.7064,-7.27273333333,14.4816,-13.1738666666,15.8214666667,-7.43226666668
791.78,-9.24633333333,14.9748666667,11.4574,10.1339666667,-13.0988666667,-8.57606666667,14.2044666667,-15.1088666667,15.7118666666,-8.94460000001
792.08,-8.5858,14.3770666667,10.8417333333,9.15826666667,-13.1986666667,-9.22546666667,14.3098,-15.0504,15.0168666667,-9.05733333331
792.39,-6.46760000001,15.821,12.7031333333,10.2653666667,-11.8408,-7.89393333333,15.1906666667,-12.9352666667,16.7827333333,-6.534
792.70,-5.07179999999,16.3317333333,14.4177333333,10.8134,-10.3031333333,-5.86913333334,15.949,-10.3349333333,18.0862,-4.43379999999
793.01,-5.57633333333,15.9501333333,13.9251333333,9.98436666666,-10.9346,-5.73219999999,15.6074,-10.7165333333,17.57,-4.8288
793.32,-7.11746666667,14.8791333333,12.0128666667,7.95486666667,-13.9775333333,-8.24473333334,13.9452,-12.818,15.8776,-7.98713333333
793.62,-4.15493333334,17.1473333333,14.6044666667,11.9535666667,-10.2015333333,-4.96126666667,16.3410666667,-8.40306666669,17.7674,-4.58906666667
793.93,-3.80059999999,18.2243333333,14.8287333333,12.6479666667,-10.0000666667,-3.58266666667,16.8847333334,-7.25859999999,18.0374,-3.89400000001
794.24,-6.57186666666,16.2086666667,11.7536,10.8845666667,-12.7646666667,-5.33966666666,14.5656666667,-9.22599999999,16.6508666666,-5.7504
794.55,-6.2366,15.9447333333,11.7358,11.1213666667,-11.6128666667,-4.70053333333,14.4085333333,-8.47913333333,17.0198666667,-4.70039999999
794.86,-6.2036,15.3085333333,11.4198666666,10.6791,-11.2656,-5.27766666667,13.0246666667,-9.28999999999,16.1111333333,-5.89526666666
795.16,-5.45186666667,14.9629333333,12.6518,11.0221333334,-10.3408,-4.35553333333,13.5406,-8.35553333332,15.8221333333,-5.0666
795.47,-4.87506666666,16.0645333333,13.4509333333,11.9970333333,-9.72100000001,-2.93673333333,13.9795333333,-7.48913333334,16.5346,-4.053
795.78,-2.8116,17.3622666667,15.3044,13.4493666667,-8.52179999999,-1.15933333333,15.942,-5.97106666667,18.1739333333,-2.31893333333
796.09,-2.74866666667,18.1579333333,15.5262666667,13.9182333333,-7.92393333333,-0.584866666667,15.9357333333,-5.90633333333,18.4794666667,-2.39773333333
796.40,-2.22206666667,19.1892,15.976,14.3693,-7.56753333333,-0.4806,16.036,-5.946,19.3094666667,-2.07206666667
796.70,-1.0714,19.7619333333,16.4584,14.4048333333,-6.5178,0.714266666667,16.6368666667,-5.05953333333,20.0596,-0.863199999998
797.01,-3.09866666667,18.4351333333,15.5244666667,12.5978666667,-9.89040000001,-0.751133333334,15.7122,-7.76213333333,19.3426,-2.5978
