wavelength,Back_CatInom,Belly_CatInom,Breast_CatInom,Crissum_CatInom,Crown_CatInom,DorTail_CatInom,Patch10_CatInom,Rump_CatInom,Throat_CatInom,WingTip_CatInom
771.32,12.4638666667,35.7526,24.5306,35.5291333333,12.4092666667,18.6587333333,11.4704666667,24.0884666667,20.8546,19.4435333333
771.63,12.3319333333,35.4609333333,24.6138666667,34.9227333333,12.4265333333,18.7593333333,11.4549333333,23.9262,20.7323333333,19.138
771.94,13.1976666667,36.5913333333,25.1706,36.1896666667,13.4486666667,19.4779333333,12.2690666667,24.9698,21.4608,19.6436
772.25,13.7662666667,37.2497333333,25.3272666667,36.7965333333,13.8018,19.9693333333,12.8394666667,25.261,21.4566,20.0612
772.56,13.5033333333,37.081,25.148,36.7876,13.4825333333,20.0000666667,12.3397333333,25.2098666667,20.9988,19.5007333333
772.87,13.2452666667,36.8636,24.6915333333,36.1430666667,13.2763333333,19.8910666667,11.887,25.0388666667,20.0726666667,19.0565333333
773.18,14.8378666667,38.0805333333,25.5615333333,37.0323333334,14.4592,21.2657333333,13.3124666667,26.5836,20.8923333333,20.4669333333
773.50,15.0762,37.8848,25.6011333333,36.8397333333,14.5177333333,21.3551333333,13.7470666667,26.5064,20.8223333333,20.4810666667
773.81,15.718,38.5384666667,26.0052,37.2256,14.9846,21.9334,14.6102666667,26.877,21.3384,21.1026
774.12,15.5608,38.2461333333,25.6622,37.2314,14.6395333334,21.6238,14.3014666667,26.6666666667,21.046,20.5048
774.43,15.6794666667,38.0518666667,25.5146,37.0776666667,14.7578,21.7492,14.4854,26.8289333333,20.8012666667,20.1309333333
774.74,16.0649333333,38.4615333333,25.9027333333,37.2528666666,14.8352666667,21.9884666667,14.9973333333,26.8812666667,21.418,20.3087333333
775.05,16.7058666666,39.2024,26.3383333333,37.5502666667,15.2984,22.4185333333,15.6841333333,27.3182,21.6992666667,21.1363333333
775.36,16.6954,39.1162666667,26.6144,37.0822666667,15.2472,22.2537333333,15.8222,27.0588666667,21.4796666667,21.166
775.67,16.6902666667,38.9300666667,27.0758,36.9316666667,15.0224,21.8357333333,15.4262666667,27.0285333333,21.5000666667,20.7815333333
775.98,16.6054,38.3053333333,26.7253333333,36.4242666666,14.1965333333,20.9646666667,14.7668,26.3415333334,20.8899333333,20.1919333333
776.30,17.2124,38.3520666667,27.0304,36.7256,14.2908666667,21.0274666667,15.1846,26.276,21.4178,20.2728
776.61,15.8660666667,36.9938666667,25.8206666667,35.2062,12.7427333333,19.521,13.6206,24.5012,20.1118,18.7656
776.92,15.8171333333,36.9946666667,25.6236,35.1989333333,12.6452666667,19.4998666667,13.0807333333,24.4086,20.1129333333,18.8764
777.23,15.0776666667,36.1298,24.8297333333,34.5871333333,11.8342,18.5064,12.4558,23.6140666667,19.5094,17.8740666667
777.54,15.3679333333,36.4610666666,25.2272,34.9458666667,12.2782666667,18.9719333333,12.8734,23.7228666667,20.0379333333,18.5767333333
777.85,15.1434666667,36.4506666667,25.2502666667,34.7387333333,11.824,18.5343333333,12.4034666667,23.3634,20.1258,18.3921333333
778.16,15.1455333333,36.3482,25.1620666667,34.7995333333,11.7902,18.616,12.5042666666,23.4377333333,19.9725333333,18.649
778.47,14.9680666667,36.0820666667,24.9376,34.8684666667,11.2994,18.6035333333,12.3246666667,23.2807333333,19.8669333333,18.2323333333
778.78,14.3876,35.5147333333,24.1450666667,34.4713333333,10.689,18.3933333333,11.9552666667,22.8284666667,19.5425333333,17.7684666667
