wavelength,Back_PooTorm,Belly_PooTorm,Breast_PooTorm,Crissum_PooTorm,Crown_PooTorm,DorTail_PooTorm,Patch10_PooTorm,Patch11_PooTorm,Patch12_PooTorm,Patch13_PooTorm,Rump_PooTorm,Throat_PooTorm,WingTip_PooTorm
358.02,7.26966666667,20.0109,3.65213333334,4.08016842105,6.48413333333,5.55446666667,14.2813333333,16.668,15.4984,24.9108,12.3138,19.2400666667,6.38106666667
358.38,7.23326666666,20.0108666667,3.60306666667,3.99367017544,6.36586666667,5.484,14.2170666667,16.6185333333,15.4194,24.8835666667,12.2583,19.1352,6.30826666667
358.75,7.21059999999,20.0106333333,3.56906666667,3.98907719298,6.33913333333,5.48953333333,14.2050666667,16.5808666667,15.3546,24.8331666667,12.2203,19.2343333333,6.25526666667
359.11,7.24453333333,20.1466,3.58966666667,3.97675438597,6.35186666667,5.4504,14.2694,16.6213333334,15.3220666667,24.9098666667,12.1690666667,19.2673333333,6.23693333333
359.48,7.26839999999,20.3164333333,3.6002,3.98030175439,6.37813333333,5.45566666667,14.3535333333,16.6768,15.3914666667,25.0174,12.2142666667,19.3618666667,6.15686666667
359.84,7.34233333333,20.4212,3.59246666667,4.02929824561,6.44006666667,5.5072,14.4664,16.6974666667,15.4600666667,25.1164,12.2633333333,19.5056666667,6.18133333333
360.20,7.40759999999,20.5122,3.63693333333,4.09337192983,6.49826666667,5.5722,14.5920666667,16.8425333333,15.5270666667,25.2175,12.3316333333,19.6432,6.2694
360.57,7.46033333333,20.5156666667,3.66793333333,4.1404,6.53359999999,5.57973333333,14.7120666667,16.9209333333,15.5522,25.2977333333,12.3828666667,19.6712666667,6.26973333333
360.93,7.52453333333,20.7494333333,3.7686,4.18814736842,6.61913333333,5.67953333333,14.9103333333,17.0838666667,15.6726666667,25.4424333334,12.4929666667,19.8962666667,6.31233333333
361.29,7.5706,20.9359666667,3.8002,4.2789122807,6.70146666667,5.79966666667,15.0036666667,17.2007333333,15.7803333333,25.5624333333,12.5739666667,20.0494,6.38566666667
361.66,7.47266666667,20.9161,3.65913333334,4.22802807017,6.67613333333,5.72366666667,15.0407333333,17.2087333333,15.7484666667,25.6325333333,12.5149333334,20.145,6.3416
362.02,7.5038,20.9894666667,3.69113333333,4.23860350877,6.74006666667,5.7734,15.1251333333,17.2394666667,15.8218,25.6953,12.5561666667,20.2673333333,6.40846666667
362.39,7.48053333334,20.9958,3.64,4.18843859649,6.73586666667,5.70853333333,15.121,17.2871333333,15.808,25.6562333333,12.5183666667,20.3467333333,6.3228
362.75,7.57033333334,21.1894,3.71986666667,4.27404561403,6.82606666667,5.78006666667,15.3086,17.4861333333,15.9714,25.8396666667,12.6236,20.4271333333,6.4
363.11,7.58753333334,21.3328333333,3.67826666667,4.31280350877,6.86253333333,5.81366666667,15.4961333333,17.5967333333,16.1374666667,25.9845,12.6879666667,20.5751333333,6.4154
363.48,7.59213333333,21.2841,3.65846666667,4.29472982456,6.84800000001,5.7572,15.5464666667,17.6238,16.1122,25.9441,12.6276333333,20.6058666667,6.4162
363.84,7.6252,21.3305,3.69686666666,4.27182807017,6.82933333334,5.734,15.6241333333,17.6840666667,16.1654666666,25.9920333333,12.6298333333,20.7106,6.40553333333
364.20,7.61579999999,21.3663666667,3.659,4.21687719298,6.80846666667,5.69506666667,15.6687333333,17.667,16.1939333333,26.0034333334,12.5667666667,20.7393333333,6.37113333333
364.57,7.62166666666,21.4777333333,3.5878,4.19873684211,6.75213333334,5.67786666667,15.7662,17.7581333333,16.2404666667,26.0799,12.5818333333,20.8926666667,6.3602
364.93,7.6106,21.3843666667,3.50193333333,4.1719122807,6.68386666667,5.61653333333,15.7984666667,17.7412,16.2584,26.0345333333,12.5215333333,20.8721333334,6.3278
365.29,7.62566666666,21.3845666667,3.53813333333,4.17520350877,6.67693333333,5.54073333333,15.9069333333,17.7546,16.2744666667,26.022,12.5194,20.9321333333,6.34093333333
365.66,7.69526666667,21.5593,3.66686666666,4.23780350877,6.69206666667,5.591,16.0407333333,17.883,16.3548,26.0650666667,12.6168666667,21.0238,6.395
366.02,7.67653333333,21.5416,3.65046666666,4.23089473684,6.64506666667,5.55773333333,16.0577333333,17.8770666667,16.3304,26.0562666667,12.5895333333,21.0274,6.3686
366.38,7.83406666667,21.7899666667,3.79646666667,4.44258596491,6.79739999999,5.759,16.3103333334,18.0581333333,16.5572,26.3187333333,12.8080666667,21.2251333333,6.56313333333
366.75,7.86573333333,21.8101,3.81873333333,4.45409824562,6.82533333334,5.7582,16.3399333333,18.0444666667,16.5866,26.2839666667,12.8266333333,21.2864,6.62026666667
367.11,7.73106666667,21.6497666667,3.7148,4.29470877193,6.66826666667,5.59286666666,16.127,17.9182,16.367,26.149,12.7032,21.1686,6.477
367.47,7.75266666666,21.7320666667,3.7276,4.27612280702,6.64573333334,5.58846666667,16.2063333333,17.8958666667,16.4116666667,26.1759333333,12.7323333333,21.1684666667,6.50813333333
367.84,7.67146666666,21.7820666667,3.63346666666,4.20735438596,6.56146666666,5.5204,16.2038,17.8730666667,16.3694666667,26.1169333333,12.7294,21.1382,6.48153333333
368.20,7.56006666667,21.7857,3.56413333333,4.15324561403,6.43793333333,5.4196,16.1599333333,17.8304666667,16.2558666666,26.0599,12.7020333334,21.1196,6.3616
368.56,7.47333333333,21.7819333333,3.5696,4.0878877193,6.41686666666,5.37746666667,16.0896,17.751,16.2186666667,25.9532666667,12.6515333333,21.0483333333,6.32626666667
