wavelength,Back_TiaOlim,Belly_TiaOlim,Breast_TiaOlim,Crissum_TiaOlim,Crown_TiaOlim,DorTail_TiaOlim,Patch10_TiaOlim,Rump_TiaOlim,Throat_TiaOlim,WingTip_TiaOlim
745.91,19.1382666667,46.4422666667,10.7540666667,38.2645333333,18.2855333333,22.4147333333,27.1506666667,23.5817333333,29.24,20.5147333333
746.23,19.1681333333,46.5414666667,10.8050666667,38.2349333333,18.1664,22.3405333333,27.02725,23.4913333333,29.0399333333,20.6052666666
746.55,19.0354,45.9438666667,10.6224,37.9646,17.7877333333,22.1208666667,26.6223333333,23.2744666667,28.6017333333,20.2949333333
746.86,19.4545333333,46.229,11.2122666667,38.2728,18.3458666667,22.5150666667,27.1406666666,23.6966666667,29.0504,20.8081333333
747.18,19.8086666667,46.3014666667,11.5738,38.7390666667,18.6522,22.7884666667,27.5471666667,23.9216666667,29.3913333333,21.1564666667
747.49,19.8010666667,46.3119333333,11.4966,38.5813333333,18.6129333333,22.6442,27.5881666667,23.8176666666,29.4491333333,21.0985333333
747.81,20.1623333333,46.3673333333,11.8211333333,38.6643333333,18.7127333333,22.8876666667,27.983,24.0580666667,29.6228,21.3100666667
748.12,20.1308,46.3594666667,11.7890666666,38.6802666667,18.7684666667,22.8099333333,27.894,23.979,29.7555333334,21.4277333333
748.44,20.0706666667,46.1414666667,11.5685333333,38.6276666667,18.6305333333,22.5921333333,27.7035833333,23.8034666667,29.5326666667,21.2169333333
748.75,19.9121333333,46.1623333333,11.3897333333,38.606,18.4871333333,22.4308666667,27.7801666667,23.5896,29.5056,20.986
749.07,19.5254,45.7091333333,11.1542,38.0595333333,18.2084666667,22.0554666667,27.4500833333,23.3052,29.2445333333,20.5082666667
749.38,19.6764666667,45.8136666667,11.2894,38.0856666667,18.2826666667,22.1451333333,27.5161666667,23.4600666667,29.5102,20.7010666666
749.70,19.3025333333,45.7968666667,11.0208,37.9699333333,18.001,21.7082666667,27.3083333333,23.1625333333,29.2644,20.2992
750.01,18.8182,45.4650666667,10.6956,37.4978666667,17.7015333333,21.1818,26.753,22.8385333333,28.8464666667,19.8333333333
750.33,19.0628666667,45.8376,11.0165333333,37.8592666667,18.0637333333,21.3061333333,26.7600833333,23.1260666667,29.0885333333,20.0653333333
750.64,18.5116666667,45.2984,10.5509333333,37.5869333333,17.773,20.8302,26.077,22.6906,28.7306,19.5934
750.96,18.5404666667,45.4193333333,10.5405333333,37.4766666667,17.6486666667,20.8632,25.92475,22.7698666667,28.5563333333,19.5384
751.27,19.0988,46.1545333333,11.2703333333,38.0915333334,18.2688666667,21.5821333334,26.4165,23.3648666667,29.2159333333,20.3576
751.59,18.7342666667,45.3782666667,10.9158,37.7047333334,17.8242,21.0351333333,25.7395,23.0006,28.6717333333,20.0854
751.90,18.7852,45.6765333333,10.9068,37.936,17.8411333333,21.0476,25.6800833333,23.0282,28.6585333333,20.2563333333
752.22,18.2395333333,45.6278,10.2372666667,37.7418666667,17.4742,20.582,25.17825,22.4588,28.2293333333,19.7438
752.53,18.4418666666,45.5715333333,10.2054,37.8768,17.5186,20.8998666667,25.091,22.662,28.2656,19.9504666667
752.85,18.5743333333,45.7932,10.0583333333,37.9784666667,17.3560666667,21.0897333333,25.1571666667,22.7258,28.3698,20.2307333334
753.16,18.504,45.2026,9.93586666667,37.6582,16.9728,21.1810666667,25.1494166667,22.5518,28.0956666667,20.0961333333
753.47,18.6777333333,45.3969333333,10.1326,37.7719333333,17.0205333334,21.4708666667,25.4223333334,22.8076,28.0209333333,20.4951333333
753.79,18.6004666667,45.1558,9.75833333333,37.7132666666,16.8028,21.2326666667,25.2123333333,22.5442666667,27.8114,20.1816
754.10,18.3244,44.6558666667,9.17553333333,37.1649333333,16.3642,20.7651333333,24.8591666667,22.2628,27.3398666667,19.5314666667
754.42,18.7252,45.2954,9.551,37.3960666667,16.7059333333,21.1091333333,25.44475,22.7878666667,27.8482,19.7408
754.73,18.9214666667,45.3315333333,9.84746666667,37.5290666666,16.9129333333,21.3774666667,25.8155,23.1052,28.1377333333,19.8700666667
755.05,19.1179333333,45.1624,10.1887333333,37.5048,16.9673333333,21.5526666667,26.03825,23.3137333333,28.3249333333,19.8339333333
755.36,19.2285333333,45.0392,10.484,37.3624,17.1052666667,21.6302,26.1494166667,23.5058,28.4148666667,19.8760666667
755.67,19.14,44.8520666667,10.5124666667,37.2948666667,17.1514666667,21.5707333333,26.3265833333,23.4188,28.1580666667,19.5700666667
755.99,18.9446,44.9521333333,10.1546,37.2299333333,16.9762666667,21.337,26.2149166667,23.1755333333,27.8211333333,19.1054666667
756.30,19.1686,45.0071333334,10.3316,37.2569333333,17.2506,21.5164666667,26.23375,23.226,28.0679333333,19.1871333333
756.62,18.9174,44.8219333333,10.4028,37.1100666667,17.2562,21.4341333333,26.0111666666,23.0953333333,27.8644,19.0356666667
756.93,18.7878,44.8455333333,10.3682,37.237,17.2711333333,21.3768,25.8935833333,23.0147333333,27.8913333333,19.2043333333
757.24,18.735,44.5675333333,10.3385333333,37.4053333333,17.3562666667,21.3788666667,25.7463333334,22.9118,27.7224,19.2674
757.56,18.9047333333,44.5712,10.3450666667,37.5610666667,17.5854666667,21.5584,25.76325,23.0650666667,27.7436,19.4477333333
757.87,19.3204666667,45.1906666667,10.6733333333,37.9950666667,18.1181333333,22.1003333333,25.9879166667,23.5671333333,28.0349333333,19.9782666667
758.18,19.1689333333,45.2086,10.4324666667,37.9366,18.0014,21.9679333333,25.5908333334,23.3674,27.7819333334,19.8702
758.50,19.1373333334,45.2752,10.7051333333,38.0056,18.0673333333,21.9511333333,25.3519166667,23.5992666667,27.9344666667,20.0495333333
758.81,19.3526,45.7126,11.1122,38.4728,18.4448666667,22.0880666667,25.4299166667,24.0087333333,28.4820666667,20.4834666667
759.13,19.2571333333,45.7715333333,11.1049333333,38.4709333333,18.3401333333,21.7934,25.4350833334,23.9750666667,28.3355333333,20.2984
759.44,19.496,45.9030666667,11.5059333333,38.5034,18.5962,21.9787333333,25.6725,24.1342,28.6487333333,20.5443333333
759.75,19.6078,46.1139333333,11.7986666667,38.7216,18.6661333333,22.0532666666,25.8413333334,24.1901333333,28.7634,20.4600666667
760.07,19.8046666667,46.1752,12.2466666667,38.8188,19.0108666667,22.3992,25.8776666667,24.3774,29.1698,20.8272666667
760.38,19.9970666667,46.2648666667,12.6412666667,38.8243333333,19.2234666667,22.5415333333,25.9594166667,24.5210666666,29.3019333333,20.9851333333
760.69,19.8866,46.094,12.6652666667,38.8337333333,19.0992666667,22.3951333333,25.98075,24.4296,29.1691333333,20.9068666667
761.01,19.913,46.0280666667,12.8167333333,38.7781333333,19.1874,22.3799333333,26.2371666667,24.3592666667,29.3398666667,20.8621333333
761.32,20.3769333333,46.8044666667,13.0914666667,39.2826666667,19.5443333334,22.9451333333,26.7580833333,24.7624,29.8200666667,21.2208666667
761.63,20.2114,46.3803333333,13.0016666667,38.9112666667,19.3151333333,22.9642666667,26.6320833333,24.4729333333,29.6442,21.1022666667
761.94,20.0077333333,46.5974666667,12.6506,38.9038666667,19.2042,22.8778,26.4793333333,24.5591333333,29.6289333333,20.9421333333
762.26,20.2807333333,47.1565333333,12.7032,39.3032666667,19.3624666666,22.9714,26.6926666667,24.9137333333,29.8916,21.2508
762.57,20.4646,47.2532666667,12.7466,39.3569333333,19.5236666667,23.1654666667,26.6719166667,25.1201333333,30.0762,21.4714
762.88,20.2903333333,47.2042666667,12.5555333333,39.1859333333,19.2585333333,23.0454,26.6524166667,24.982,29.8026666667,21.0952666667
763.20,19.9621333333,46.8952,12.0395333334,39.0922666667,18.8082,22.7498,26.32875,24.6316666667,29.5228666667,20.7902
763.51,20.1282,47.0056,12.1817333333,39.1873333333,19.0244,22.8790666667,26.4666666667,24.813,29.6653333333,20.9300666667
763.82,20.1531333333,47.2396,12.122,39.2522,18.9942,22.9846,26.5360833333,24.9044,29.7474,20.9709333333
764.14,20.0133333333,46.9297333333,11.9204666667,39.0690666667,19.005,22.8678,26.6555833333,24.7826,29.7004,20.9154
764.45,20.1914,47.2000666667,11.9812666667,39.2818666667,19.1677333333,22.9662666667,26.9009166667,24.9818,29.8677333333,21.0692666667
764.76,20.0542,46.8488666666,11.8472,39.1291333333,18.9728,22.8446666667,26.8253333334,24.7924,29.8025333333,20.9798
765.07,19.8512,46.4536,11.764,38.8819333334,18.7876,22.9824666667,26.69525,24.6610666667,29.5849333333,20.7983333333
765.39,19.6468,46.4692,11.5179333333,38.8116,18.5665333333,22.8694666667,26.8378333333,24.6349333333,29.5019333333,20.5508
765.70,19.7056,46.5852666667,11.3281333333,38.9286666667,18.522,22.7234666667,26.96325,24.695,29.5919333333,20.6703333333
766.01,19.1896,46.2703333333,10.902,38.4856666667,18.243,22.3573333334,26.81175,24.3804,29.2694,20.2425333333
766.32,18.7338666667,45.8172,10.3964666667,38.0004,17.6493333333,21.8524666667,26.5083333333,23.9116,28.8856666667,19.9028666667
766.64,18.6567333333,45.6536,10.3039333333,38.036,17.5000666667,21.8138,26.6624166667,23.9216666667,28.7548666667,19.9377333333
766.95,18.6510666667,45.4230666666,10.238,37.8389333334,17.2919333333,21.7668666667,26.0745,23.8158,28.4676,19.7926666667
767.26,18.8081333333,45.6482,10.327,37.9664,17.4218666667,22.0688666667,25.9903333333,23.9576,28.5552,19.8796666667
767.57,19.3831333334,45.7302666667,10.8146666667,38.3017333333,17.8334,22.5657333333,26.4925833333,24.2279333333,28.8441333333,20.2650666667
767.88,19.2042,45.1859333333,10.5459333333,38.0418666667,17.6644,22.2098,26.1616666667,23.7868,28.6766,20.0444
768.20,19.1714666667,44.5138666667,10.3972,37.8850666667,17.3742,21.8992666667,25.9319166667,23.1970666667,28.2406,20.0266
768.51,19.5954666667,44.714,10.5717333333,38.0553333333,17.7284666667,22.2597333333,26.1230833333,23.5978666667,28.452,20.2644
768.82,20.9688,45.8172666667,11.8738666667,39.0829333333,18.748,23.3651333333,26.884,24.6970666667,29.4856666667,21.3038666667
769.13,21.1611333333,46.1834666667,12.0542,39.115,18.9038666667,23.6580666667,27.096,24.7788,29.5696666667,21.3518666667
769.44,20.957,46.0466,11.9434,39.0262,18.889,23.4456666667,26.78425,24.6318,29.4256,21.1484
769.76,21.0266666667,46.3513333333,12.0128,39.1608666667,19.0031333333,23.4590666667,27.2524166666,24.5538,29.5718,20.9711333333
770.07,20.7678666667,45.6028666667,11.6731333333,38.567,18.8331333333,22.9514666667,27.2038333333,23.9896666667,29.1678,20.7121333333
770.38,19.7225333333,45.1827333333,10.8278,37.7588666667,17.7014,21.9682666667,26.28775,22.8532666667,28.2871333333,19.8854666667
770.69,19.5926,45.2025333333,10.8440666667,37.5598666667,17.3764,21.8133333333,26.3934166667,22.6551333333,27.8889333334,19.8389333333
771.00,19.5485333333,45.2991333333,11.1442666667,37.1836,17.6936,22.1666,26.4274166667,22.8344666667,28.0254,19.9637333333
771.32,19.4604,45.6744666667,11.5546666667,37.3114,17.8463333333,22.3456666667,26.8120833333,22.7891333333,28.2487333333,20.2011333333
771.63,19.2603333334,45.6494666667,11.3314,37.2815333333,17.6792,22.0944666667,27.1496666667,22.5612666667,27.9288,20.2495333333
771.94,19.1048666667,45.1656,11.3052666667,37.3379333333,17.6828666667,22.0,27.0803333333,22.4428,27.9254666667,20.1257333333
772.25,19.1043333334,45.2688666667,11.0730666667,37.2756,17.6354666667,21.9522,27.0136666667,22.2412,28.0407333333,20.0426666667
772.56,18.9799333333,44.8754,10.8380666667,37.2701333333,17.4712,21.8775333333,27.191,22.3897333333,27.9166666667,20.2778
772.87,18.9842,45.1525333333,10.7252666667,37.7094,17.3627333333,21.9879333333,27.46625,22.8816666667,27.9121333333,20.3664666667
773.18,19.5244666666,45.3724,11.1127333333,38.1960666667,18.049,22.6322666666,28.033,23.5538,28.5882,21.1468666667
773.50,20.1938,46.0308666667,11.5995333333,38.6239333333,19.0659333333,23.3284,28.8188333333,24.1778666667,29.4684666667,21.8181333334
773.81,20.25,45.8014666667,11.3878666667,38.4794666667,18.9697333333,23.1408,28.66325,24.2460666667,29.3823333333,21.8055333333
774.12,19.9353333333,44.8246,10.9035333333,37.8440666667,18.5860666666,22.9076666666,28.0370833333,23.8486666667,28.7877333333,21.4638
774.43,19.9552,44.5025333334,10.8852,37.4819333333,18.5688666667,23.0765333333,28.0665,23.8296,28.711,21.5308
774.74,20.3890666667,45.0846666667,11.0588,37.8368,18.8676666667,23.4064666667,28.5126666667,24.1798666667,28.926,22.0874
775.05,21.003,45.5928,11.5196,38.2573333333,19.0729333334,23.7742,28.9008333334,24.8936,29.2349333333,22.6341333333
775.36,20.9458666667,45.5980666667,11.7434,38.3332,19.2025333333,23.7169333333,28.4445,24.8416666667,29.0592,22.4028
775.67,20.6494,45.2104666667,12.0142,37.9604,19.3659333333,23.9676,27.81575,24.5155333333,28.7874666667,22.6940666666
775.98,21.3242,45.647,12.9782666667,38.2193333333,20.0913333333,24.6068,28.21525,25.0430666667,29.1072,23.1
776.30,21.2408666667,45.5073333333,13.0994,38.3422,19.9694,24.424,28.12075,25.2276,29.2194666667,23.1680666667
776.61,21.6034,46.3109333333,13.6373333333,39.1028,20.4794666667,24.7332666667,28.9635,25.6250666667,29.6932,23.5317333333
776.92,21.974,46.5573333333,13.9584,39.4009333334,20.6824,24.7082,29.1341666667,25.8699333333,29.8646,23.6562
777.23,21.8116,46.5718666667,13.7388666667,39.3154,20.3527333333,24.3498,28.6071666667,25.6502,29.9052666666,23.5282
777.54,21.4972666667,46.2832,13.6065333333,39.5166666667,20.0788,24.3918666667,28.1585,25.5162,30.1181333333,23.5934
777.85,21.5609333333,46.2282,14.0484666667,39.7389333333,20.3394,24.7196,28.25625,25.4606666667,30.1122,23.7902666667
778.16,21.4698666667,46.182,13.8962,39.3850666667,19.8802,24.7485333333,28.2316666666,25.0664666667,29.8984666667,23.5704666667
778.47,21.8124666667,46.6188666667,13.7996666667,39.6079333333,19.682,24.7377333333,28.8021666667,25.3312,30.2914666667,23.2325333333
