wavelength,Back_EunCamm,Belly_EunCamm,Breast_EunCamm,Crissum_EunCamm,Crown_EunCamm,DorTail_EunCamm,Rump_EunCamm,Throat_EunCamm,WingTip_EunCamm
241.54,10.5614666667,14.8421333333,13.9181333333,11.6608666667,12.2806666667,14.7485,11.7076,12.1989333333,17.4035333333
241.92,10.5472666667,14.3414,13.8102666667,11.9891333333,12.3577333333,15.6585666667,12.3252666667,11.4255333333,17.9187333333
242.29,8.45046666667,11.5698666667,11.8450666667,10.1426666667,10.7135333333,14.0265,10.6525333333,8.96026666667,15.9328
242.67,7.06973333332,10.0098666667,10.344,8.71199999999,9.82299999999,13.117,9.7444,7.93520000001,14.7985333333
243.05,6.51293333333,9.84633333333,10.0480666667,8.7706,9.39493333332,13.1314666667,10.0383333333,8.18453333334,15.072
243.42,7.1416,10.7122666667,10.9212,9.65806666667,10.19,14.302,10.5793333333,8.83199999999,15.8594666667
243.80,7.11366666666,11.2755333333,11.2477333333,10.1956,10.1117333333,14.5389666667,10.6702666667,8.91066666667,16.0055333333
244.17,7.80119999999,11.7580666667,11.7769333333,10.9142666667,10.9706,14.7865666667,11.0267333333,9.15146666667,16.54
244.55,8.2724,12.2056666667,12.0885333333,11.2764666667,11.2134,14.8175,11.3486,9.17440000001,16.626
244.92,9.71706666667,12.9784,13.4178666667,13.0967333333,12.0574,15.5681,12.2348666667,9.7422,17.5413333333
245.30,8.56920000001,11.5258666667,12.0175333333,12.1363333333,10.7887333333,14.3996333333,10.4242,8.33146666668,16.1712666667
245.67,7.80793333333,10.4327333333,10.3599333333,11.1740666667,9.62566666668,13.0716666667,9.3928,7.41533333333,14.7947333333
246.05,6.58733333334,9.06079999999,8.67719999999,9.82806666669,8.44580000001,11.3062,8.19433333334,6.2368,13.2340666667
246.42,7.59193333333,10.1402666667,9.14946666667,10.7013333333,9.58526666667,11.6682666667,9.22713333334,6.8696,13.9064
246.79,7.71899999999,10.11,9.28373333334,10.8210666667,9.53173333333,11.3249333333,9.03039999999,6.74933333333,14.0386666667
247.17,7.59646666667,9.68080000001,9.12399999999,10.4726666667,9.23646666665,11.2209666667,8.55166666667,6.26813333333,13.4865333333
247.54,7.44533333333,9.43513333334,8.86813333333,10.012,9.15166666665,10.7112333333,8.498,6.05626666667,13.0352
247.92,6.89393333333,8.69873333335,7.93306666667,9.13473333333,8.55019999999,9.7054,7.78486666665,5.3676,12.1549333333
