wavelength,Back_EmbHerf,Belly_EmbHerf,Breast_EmbHerf,Crissum_EmbHerf,Crown_EmbHerf,DorTail_EmbHerf,Patch10_EmbHerf,Patch11_EmbHerf,Rump_EmbHerf,Throat_EmbHerf,WingTip_EmbHerf
745.91,22.0560833333,56.84725,50.0598333333,34.2818333333,16.456,11.4917083333,25.787,15.9570833333,20.6858333333,61.4389166667,12.9250833333
746.23,21.4554166667,56.5575,49.7448333334,33.7161666667,15.7594166667,10.6531666667,25.33675,15.2701666667,20.0871666666,61.0381666666,12.25
746.55,21.14675,56.41025,49.21025,33.4963333334,15.5510833334,10.1945,25.3046666667,15.13325,19.8220833333,60.6458333333,11.705
746.86,21.19375,56.3283333333,49.1136666666,33.4248333333,15.7450833333,10.338375,25.2075833333,15.28775,19.89925,60.655,11.647
747.18,21.3930833333,56.395,49.4856666667,33.67275,16.2644166667,10.682625,25.53175,15.5891666667,20.1650833333,60.9780833333,11.9611666666
747.49,21.8310833333,56.9526666667,50.2003333333,34.0323333333,16.4839166667,10.9875833333,25.9276666667,16.0940833333,20.619,61.5374166667,12.30325
747.81,21.8455,56.6000833333,50.0241666667,34.1548333333,16.65275,11.15675,25.8285,16.1673333333,20.771,61.2036666667,12.36125
748.12,22.35725,56.9124166667,50.381,34.435,17.2776666667,11.7209583333,26.3418333333,16.7835,21.2865,61.4808333333,12.9634166666
748.44,22.5545,57.1893333333,50.6371666667,34.5184166667,17.6634166667,11.7979166667,26.716,16.8414166666,21.4618333334,61.505,13.2655
748.75,22.7385833333,57.3155833333,50.7813333333,34.59425,17.8040833334,11.9929583333,26.7235833333,16.7935,21.5083333334,61.6228333334,13.4389166666
749.07,22.8226666667,57.6236666667,51.1023333333,34.7664166667,17.8826666666,12.1485,26.8086666667,16.9630833333,21.748,61.8574166667,13.5695833333
749.38,22.8493333333,57.379,51.0054166666,34.5775,18.0504166667,12.3755,26.8984166667,17.12325,21.78925,61.7109166667,13.6264166666
749.70,23.2949166666,57.59025,51.2668333333,34.93225,18.2724166667,12.6590416667,26.9345,17.3994166667,21.9838333333,61.894,13.9756666667
750.01,22.9664166666,57.17225,51.0683333333,34.5735,17.7383333333,12.3797916667,26.42225,16.9208333334,21.5135,61.7888333333,13.7295833333
750.33,22.8523333333,56.8785,50.68275,34.35575,17.5245,12.175875,26.18025,16.6255,21.3118333333,61.38,13.51375
750.64,22.92875,56.7738333333,50.4706666667,34.2401666666,17.32275,12.2115416667,26.1748333334,16.50525,21.2523333334,61.1258333334,13.27275
750.96,22.6356666667,56.4363333333,50.2301666666,34.02075,17.2613333333,12.161625,26.0345,16.1753333333,21.1718333334,60.8523333333,13.0893333333
751.27,22.5080833333,56.5561666667,50.21875,33.6423333333,16.95825,11.8125833333,25.86775,15.9168333334,21.0154166667,61.0996666667,12.8280833333
751.59,22.37625,56.45575,50.3013333333,33.3648333333,16.5931666667,11.6821666667,25.662,15.7593333333,20.8736666667,61.12875,12.4246666667
751.90,22.2048333333,56.137,50.0281666667,33.1791666666,16.292,11.5788333333,25.487,15.7664166667,20.7020833333,61.1951666667,12.2426666667
752.22,22.15825,55.9000833333,49.7696666667,32.6665,16.16375,11.4282083333,25.3490833334,15.6995833333,20.5870833333,60.9796666667,12.0444166666
752.53,22.3136666667,55.4353333333,49.6671666666,32.515,16.2368333333,11.3925,25.2773333334,15.6405833333,20.5111666667,60.8534166667,12.0285833333
