wavelength,Back_TanInof,Belly_TanInof,Breast_TanInof,Crissum_TanInof,Crown_TanInof,DorTail_TanInof,Patch10_TanInof,Patch11_TanInof,Rump_TanInof,Throat_TanInof,WingTip_TanInof
213.68,-20.1389166667,11.8055,9.65283333335,-7.10328431372,10.2082916667,-83.3333333333,-14.4444166667,-46.1110833333,-11.8055,-24.5833333334,-49.7221666666
214.06,-41.1666666666,-2.00000000008,-4.41666666668,-22.5925925926,0.833333333325,-108.75,-29.5000000001,-65.3333333332,-31.6666666667,-27.8333333333,-73.6666666667
214.44,-34.3971666666,-2.30491666666,2.57083333333,-11.6337017973,7.62400000001,-103.10275,-26.7730000001,-55.1419166667,-25.5319166667,-16.312125,-69.3261666666
214.81,-21.4583333333,-7.08333333324,2.60416666668,-5.30160675377,15.7291666667,-105.833333333,-33.9583333333,-62.7083333332,-17.7083333333,-13.125,-65.0
215.19,-19.4444166668,-5.324,-10.0695833333,-3.60994308268,7.17591666668,-117.939833333,-38.6573333333,-83.3335000001,-9.02783333335,-12.9630000001,-74.9999166667
215.57,-55.7018333334,-26.3158333334,-48.46475,-50.5504441721,-35.7455833333,-267.982583333,-120.175416667,-185.087666667,-16.228,-54.8245416667,-171.929833333
215.95,-403.333333333,-358.333333332,-390.0,-407.445533769,-394.166666667,-1181.66666667,-660.000000001,-1001.66666667,-245.0,-382.500000001,-834.999999999
216.32,1054.16666667,558.333333333,993.75,978.799019607,929.166666668,2883.33333333,1595.83333333,2308.33333333,633.333333333,900.0,1987.5
216.70,-90.3845000002,19.2307500001,-91.98725,-65.5144714053,-64.7437083334,-333.653958333,-148.717916667,-263.461583334,-41.0257500001,-95.5129166667,-226.923083333
217.08,-21.5278333332,31.9444999998,-29.5137916667,-10.805737745,-20.312375,-167.36125,-65.2778333334,-126.041666667,-7.63891666665,-28.2986666666,-99.6526666667
217.46,-19.3333333333,40.6666666669,-35.5,-11.6906318082,-23.5,-173.833333333,-85.0000000001,-145.0,-24.3333333333,-33.8333333332,-88.6666666667
217.83,-36.1110833332,43.0554999999,-59.95375,-35.0898442266,-45.6019166667,-249.537083333,-124.074083333,-198.611333333,-42.5926666667,-47.6851249999,-101.388833333
