wavelength,Back_DacFlaf,Belly_DacFlaf,Breast_DacFlaf,Crissum_DacFlaf,Crown_DacFlaf,DorTail_DacFlaf,Patch10_DacFlaf,Rump_DacFlaf,Throat_DacFlaf,WingTip_DacFlaf
388.11,7.68766666667,20.4461333333,14.8293333333,18.5246666667,8.12126666667,6.72806666667,7.7884,8.6832,11.4579333333,6.4012
388.47,7.522,20.338,14.6533333333,18.3920666667,7.95613333333,6.56506666667,7.5988,8.53799999999,11.3462666667,6.19906666667
388.83,7.57833333333,20.3928666667,14.6990666667,18.4350666666,7.95086666666,6.5928,7.62846666667,8.5262,11.3622,6.24426666667
389.19,7.46046666667,20.3016666667,14.6316666667,18.309,7.87226666667,6.473,7.51046666667,8.41126666667,11.2993333333,6.13593333333
389.55,7.44453333333,20.2432666667,14.6224666667,18.2790666667,7.79933333333,6.40753333333,7.4268,8.37973333333,11.2677333333,6.0964
389.91,7.51933333333,20.3014,14.6708,18.3207333333,7.82373333333,6.46153333333,7.45026666667,8.41673333333,11.3309333333,6.11986666667
390.27,7.39093333333,20.2370666667,14.5624,18.2021333333,7.68453333333,6.34046666667,7.35566666666,8.33159999999,11.1734,6.00146666667
390.63,7.26353333333,20.014,14.3929333333,18.0414,7.55166666667,6.20253333333,7.19633333333,8.2116,11.0191333333,5.89073333333
391.00,7.33773333333,20.0384666667,14.4377333333,18.0784666667,7.62453333333,6.27166666667,7.2296,8.27853333333,11.0386,5.94553333333
391.36,7.231,19.9226,14.3179333333,17.9632,7.46653333333,6.17353333333,7.1082,8.14606666667,10.9323333333,5.83706666667
391.72,7.20153333333,19.9310666667,14.3086,17.958,7.45173333333,6.13973333333,7.04793333333,8.152,10.9368,5.8102
392.08,7.162,19.9021333333,14.2886666667,17.9718666667,7.4448,6.17233333333,7.0494,8.17633333333,10.9428,5.80393333333
392.44,7.26506666667,20.0036666667,14.3709333333,18.0500666667,7.4972,6.2598,7.10706666667,8.2278,11.0088666666,5.88313333333
392.80,7.19913333333,20.0062,14.3624,18.0034,7.44153333333,6.1922,7.07193333333,8.2104,10.9858666666,5.82313333333
393.16,7.15706666667,19.9819333333,14.2886,17.9907333333,7.41133333333,6.17773333333,7.02786666667,8.20066666667,10.9341333333,5.80946666667
393.52,7.22233333333,20.1139333333,14.3567333333,18.0903333333,7.5356,6.30153333333,7.14506666667,8.29926666667,11.0592666667,5.9478
393.88,7.21546666666,20.1436,14.3806,18.0706,7.55333333333,6.33206666667,7.1302,8.29173333333,11.0468666667,5.9796
394.24,7.24246666667,20.1405333333,14.3436666667,18.0787333333,7.54173333333,6.34853333333,7.08726666667,8.30293333333,11.0933333333,5.99933333333
394.60,7.2078,20.1872666667,14.3952666666,18.0746666667,7.5134,6.3602,7.11313333333,8.27186666667,11.0912666667,5.9834
394.96,7.26533333333,20.2039333333,14.4357333333,18.127,7.5108,6.411,7.13026666666,8.31693333333,11.1270666667,6.01806666667
395.32,7.27906666667,20.2234666667,14.4349333333,18.1504,7.55406666667,6.4174,7.15006666667,8.37686666667,11.1944,6.061
395.68,7.34633333333,20.283,14.4852,18.1176,7.57433333333,6.46206666666,7.23693333333,8.42446666667,11.2260666667,6.13366666667
396.04,7.42266666667,20.3066,14.5408666667,18.1299333333,7.58226666667,6.50926666666,7.2736,8.41693333333,11.2938666667,6.2074
396.40,7.30313333334,20.1922666667,14.4147333333,17.9931333333,7.43426666667,6.4054,7.15686666667,8.30513333334,11.1983333333,6.10606666667
396.76,7.32366666667,20.1924666666,14.4090666667,18.0062666667,7.44446666667,6.46466666667,7.138,8.31566666666,11.2694,6.149
397.12,7.3762,20.2352,14.4902666667,18.0442,7.4572,6.50613333333,7.16466666667,8.34459999999,11.35,6.14986666667
397.48,7.28866666667,20.1302,14.403,17.9380666667,7.30493333333,6.36433333333,7.03646666667,8.2224,11.2628666667,5.9878
397.84,7.21466666667,20.0042,14.3292666667,17.861,7.1966,6.28873333333,6.9736,8.12553333333,11.2228,5.87326666666
398.20,7.3108,20.0711333333,14.4736666667,17.9639333333,7.29566666667,6.38746666667,7.10493333333,8.19446666667,11.3260666667,5.98686666667
398.56,7.44233333333,20.1380666667,14.5375333333,18.0548,7.40073333333,6.4846,7.1512,8.25393333333,11.451,6.1058
398.92,7.28886666667,20.0268666666,14.4049333334,17.8918666667,7.2758,6.3324,7.0392,8.10766666667,11.3934,5.98046666667
399.28,7.21393333333,19.9506,14.4256,17.8196,7.2466,6.28246666667,6.9822,8.00246666667,11.356,5.92433333333
399.64,7.10493333333,19.8581333333,14.3756,17.7821333333,7.15366666667,6.1962,6.86826666667,7.90613333333,11.3044666667,5.81013333333
400.00,6.98386666667,19.7332,14.2439333333,17.6182,7.03893333333,6.0494,6.7264,7.78126666667,11.2040666667,5.65146666667
400.36,7.03166666667,19.7736,14.3462666667,17.6535333333,7.143,6.08813333333,6.814,7.85613333333,11.2434666667,5.69986666667
400.72,6.9676,19.7005333333,14.3170666667,17.5764,7.06533333333,6.02466666667,6.76553333333,7.7742,11.1564,5.61993333333
401.08,6.93633333333,19.6539333334,14.3128,17.5428666667,7.04326666667,6.0358,6.72913333333,7.7806,11.1523333333,5.65
401.44,6.9326,19.6636,14.3153333333,17.5273333333,7.0476,6.0696,6.73373333333,7.79386666667,11.1571333333,5.6528
401.80,7.04506666667,19.8422666667,14.4829333333,17.6593333333,7.185,6.22166666667,6.85793333333,7.96106666667,11.3147333333,5.81306666667
402.16,7.059,19.8848666667,14.5138666667,17.658,7.19046666666,6.26653333333,6.85906666667,7.9802,11.3612,5.80666666667
402.52,7.069,19.9294,14.5508666667,17.6533333333,7.185,6.2754,6.901,8.03113333333,11.4026,5.82206666666
402.88,7.1992,20.0658666667,14.6891333333,17.8028666667,7.3064,6.42386666667,7.03933333333,8.16293333333,11.5337333333,5.97766666667
403.24,7.3664,20.2527333333,14.8239333333,17.992,7.42706666667,6.58773333333,7.20993333333,8.3346,11.7227333333,6.12953333333
403.60,7.4622,20.3166666667,14.905,18.0563333333,7.51166666667,6.67213333333,7.285,8.4424,11.8072666667,6.2426
403.95,7.4988,20.3674,14.9572666667,18.1252,7.54166666667,6.73473333333,7.31073333334,8.50599999999,11.8526,6.29166666667
404.31,7.56426666667,20.4218666667,15.0166666667,18.1808,7.59626666667,6.78873333333,7.34,8.54273333333,11.9235333333,6.37693333333
404.67,7.6472,20.4913333333,15.0810666667,18.2260666667,7.66026666667,6.8542,7.38793333334,8.62326666666,11.9970666667,6.4652
405.03,7.69446666666,20.5599333334,15.1156666667,18.2710666667,7.69873333333,6.8644,7.44753333333,8.62326666666,12.0684666667,6.4762
405.39,7.80693333333,20.6725333333,15.2146,18.3708666667,7.84766666667,6.95526666667,7.5686,8.75333333333,12.2049333333,6.59626666667
405.75,7.77166666667,20.6358666667,15.1764,18.3444,7.80833333334,6.9308,7.54333333333,8.69533333334,12.1997333333,6.55906666667
406.11,7.80653333333,20.6836,15.2119333333,18.3668666666,7.84513333334,6.9368,7.6066,8.75613333333,12.2589333333,6.6176
406.47,7.76986666667,20.6476,15.1994666667,18.3486666667,7.82793333333,6.9064,7.572,8.74800000001,12.2261333333,6.5728
