wavelength,Back_GubCrim,Belly_GubCrim,Breast_GubCrim,Crissum_GubCrim,Crown_GubCrim,DorTail_GubCrim,Patch10_GubCrim,Patch11_GubCrim,Patch12_GubCrim,Rump_GubCrim,Throat_GubCrim,WingTip_GubCrim
204.22,29.77275,25.4544444444,71.4391666666,48.2574166667,58.5605,40.303,54.3549396552,60.0758333333,35.2274166667,44.0150833333,38.0305,43.788
204.60,20.3175,21.799,64.8414166666,41.9841666667,54.9206666667,31.5475416667,53.3361034483,53.8095833333,18.9682083333,33.0951666667,29.0475833333,38.174625
204.98,15.5,17.2222222222,59.0,35.0,49.2499999999,18.4583333333,48.9224137931,46.4166666667,8.625,26.9166666666,22.8333333333,32.0
205.36,8.16333333332,12.925,55.78225,28.4015833333,42.1768333334,16.41175,43.8041350575,47.704,6.54758333332,22.449,17.85725,24.4047083333
205.74,11.5249166667,11.702,57.44675,33.0673333333,43.2624166666,22.4735416667,47.7226494253,48.227,10.6384583333,26.1525,23.7589166667,25.7091666667
206.12,7.39,10.2725555555,45.7545833333,26.8081666667,37.6571666667,17.9640833333,44.9955488506,40.2516666667,12.8537916666,23.9778333333,21.6195,23.6635
206.50,-1.98416666668,-3.9682222222,40.1786666667,15.0795,32.0437499999,5.059375,45.6211005747,34.9205,0.595083333332,12.69825,9.02766666667,17.2619166667
206.87,2.33333333333,1.48144444447,49.7779166667,24.44425,40.7776666666,9.27779166668,58.1762471264,47.0000833333,8.11104166667,22.1111666667,12.3335833333,27.83325
207.25,11.5079166667,12.6984444444,71.4285833333,42.7249166667,58.0689166667,19.18,76.195091954,63.4920833333,19.5107083333,36.3758333333,21.2961666667,40.476125
207.63,-20.9349166667,-14.6341111111,68.0893333333,43.6991666666,52.0325,8.12991666667,84.230244253,63.8212499999,-4.37008333332,18.4958333333,3.86166666665,29.7764583332
208.01,6.94449999999,6.7128888889,68.0555,53.9931666667,68.9237499999,38.9755833333,96.2045258621,77.0834166668,22.83,44.4445000001,20.8333333334,36.9792916668
208.39,-11.3249166666,-21.6523333333,61.9656666667,37.6068333334,70.0855000001,38.2478749999,105.179781609,70.0855833334,6.51716666665,36.1112500001,-5.98291666667,13.0340833334
208.77,-43.4211666667,-76.608111111,108.772,53.9474999999,111.403416667,62.4998333333,174.515988506,116.66675,-5.701875,44.2981666666,-35.9647499999,-8.55266666667
209.14,-320.833333332,-536.111111111,281.25,116.666666666,439.583333334,226.041666666,700.215517241,420.833333333,-54.1666666667,45.8333333334,-262.5,-240.625000001
209.52,85.7143333332,116.931444444,-9.12691666667,0.793583333333,-76.58725,-7.53962499993,-96.360132184,-38.8888333333,55.9524166667,28.5714166667,75.7936666668,65.8729583333
209.90,93.0556666665,88.8888888888,12.7777499999,22.77775,-40.2775833333,6.11125,-50.8812758621,-13.0555,71.8055833334,46.9445833333,85.8332499999,54.8610416667
210.28,61.1844166667,59.0643333333,1.53508333335,0.657833333425,-48.0264166667,-18.5305833333,-52.2534310344,-34.6491666667,43.0920833333,23.9035,51.5351666668,26.6445833333
