wavelength,Back_IriAnam,Belly_IriAnam,Breast_IriAnam,Crissum_IriAnam,Crown_IriAnam,DorTail_IriAnam,Patch10_IriAnam,Rump_IriAnam,Throat_IriAnam,WingTip_IriAnam
193.23,-1870.0,-1550.0,-1305.0,-1641.66666667,-1875.0,-2115.0,-1916.66666667,-1608.33333333,-1230.0,-1503.33333333
193.61,4416.66666667,3686.66666667,3073.33333333,3950.0,4323.33333333,4853.33333333,4346.66666667,3796.66666667,2730.0,3493.33333333
193.99,-2033.33333333,-1635.0,-1416.66666667,-1821.66666667,-1921.66666667,-2280.0,-2040.0,-1790.0,-1183.33333333,-1571.66666667
194.37,2255.0,1801.66666667,1623.33333334,1991.66666667,1953.33333333,2395.0,2238.33333333,1958.33333333,1375.0,1716.66666667
194.75,1932.0,1609.33333333,1454.66666667,1688.0,1564.0,2014.66666666,1942.66666667,1728.0,1269.33333333,1449.33333333
195.13,4860.0,4030.0,3703.33333333,4376.66666667,3873.33333334,4913.33333333,4890.0,4380.0,3376.66666667,3573.33333333
195.51,-2441.66666667,-1980.0,-1826.66666667,-2141.66666667,-1925.0,-2355.0,-2361.66666667,-2280.0,-1680.0,-1760.0
195.89,-1290.0,-1094.16666667,-1072.5,-1121.66666667,-1057.5,-1229.16666667,-1273.33333333,-1253.33333333,-952.499999999,-944.999999999
196.27,-1177.7778,-1000.0,-992.592666666,-1038.51866667,-954.8148,-1094.81473333,-1144.44433333,-1143.70366667,-915.5556,-897.777866668
196.65,-614.1176,-526.6666,-519.6078,-549.803866667,-494.117466667,-566.666733333,-620.000066666,-593.3334,-475.294066667,-473.725466667
197.03,-1291.85193333,-1106.66666667,-1110.37033333,-1118.5184,-1043.70366667,-1205.92593333,-1322.22213333,-1279.25933333,-1004.44453333,-1022.96286667
197.40,1628.33333334,1423.33333333,1409.16666667,1375.83333333,1289.16666667,1469.16666667,1676.66666667,1582.5,1295.83333333,1271.66666667
197.78,4206.66673333,3744.44446667,3633.33326667,3386.66673333,3328.88886667,3717.77786667,4459.99993333,4162.22226667,3444.44446667,3262.22213333
198.16,1735.0,1580.0,1495.83333333,1376.66666667,1450.83333333,1535.0,1833.33333333,1710.0,1462.5,1372.5
198.54,1629.62966667,1508.889,1449.6296,1302.22233333,1408.1482,1440.74086667,1729.62966666,1637.037,1407.40746667,1331.1112
198.92,-7130.0,-6553.33333333,-6296.66666667,-5600.0,-6266.66666667,-6386.66666666,-7683.33333333,-7306.66666667,-6160.0,-6060.0
199.30,-2457.77773333,-2240.0,-2172.2222,-1865.55553333,-2162.22226666,-2226.66673333,-2636.66673333,-2481.11106667,-2078.88886667,-2100.00013333
