wavelength,Back_ButWetm,Belly_ButWetm,Breast_ButWetm,Crissum_ButWetm,Crown_ButWetm,DorTail_ButWetm,Patch10_ButWetm,Patch11_ButWetm,Patch12_ButWetm,Rump_ButWetm,Throat_ButWetm,WingTip_ButWetm
335.74,8.01433333333,15.1403333333,17.041,6.509,4.336,5.875,39.2413333333,12.927,4.22133333333,4.542,3.80133333333,6.17166666667
336.11,8.03,15.1543333333,17.0223333333,6.49366666667,4.40733333333,6.00033333333,39.3013333333,12.8903333333,4.31,4.488,3.833,6.146
336.47,7.776,15.312,17.0033333333,6.38933333333,4.41733333333,6.30133333333,39.2576666667,12.8106666667,4.24066666667,4.545,3.59133333333,6.12466666667
336.84,7.553,15.1783333333,17.041,6.25566666667,4.26633333333,6.248,39.5336666667,12.7266666667,3.78066666667,3.94,3.47833333333,6.105
337.21,7.329,15.097,16.8546666667,6.17533333333,4.11966666667,6.18333333333,39.203,12.5,3.60166666667,4.002,3.44466666667,5.83833333333
337.57,7.30933333333,15.2973333333,16.9826666667,6.155,4.43866666667,6.233,39.02,12.6533333333,3.54166666667,3.955,3.47133333333,5.74933333333
337.94,7.386,15.4753333333,17.0843333333,6.102,4.795,6.28766666667,39.3966666667,12.645,3.457,3.805,3.61933333333,5.62233333333
338.31,6.97566666667,15.257,16.9333333333,5.894,4.70466666667,6.234,39.2503333333,12.553,3.314,3.36,3.61533333333,5.44633333333
338.67,6.75433333333,15.099,16.8203333333,5.74766666667,4.74133333333,6.13933333333,39.0963333333,12.456,3.258,3.412,3.69633333333,5.38666666667
339.04,6.708,15.0626666667,16.5173333333,5.62066666667,4.74,6.09566666667,38.9463333333,12.428,3.316,3.584,3.668,5.253
339.40,6.792,15.171,16.7813333333,5.66233333333,4.67,6.02133333333,38.9956666667,12.393,3.32733333333,3.823,3.63233333333,5.342
339.77,6.75133333333,15.291,16.8066666667,5.65266666667,4.66766666667,5.971,39.009,12.4576666667,3.04633333333,3.774,3.66,5.24366666667
340.14,6.60066666667,15.3026666667,16.8323333333,5.53066666667,4.551,5.666,38.7886666667,12.3793333333,2.82566666667,3.617,3.53366666667,5.12333333333
340.50,6.80866666667,15.598,16.7936666667,5.39633333333,4.52933333333,5.35866666667,38.677,12.444,2.94466666667,3.812,3.69966666667,5.14966666667
340.87,6.84766666667,16.025,16.871,5.37166666667,4.77766666667,5.594,38.7863333333,12.6196666667,3.324,4.474,3.828,5.23766666667
341.23,6.812,16.0816666667,16.874,5.28633333333,4.731,5.57533333333,39.205,12.5573333333,3.41366666667,4.665,3.76133333333,5.28633333333
341.60,6.70933333333,16.238,17.0656666667,5.39066666667,4.73133333333,5.70566666667,39.31,12.6053333333,3.58866666667,4.834,3.728,5.464
341.96,6.617,16.098,16.98,5.349,4.62733333333,5.51666666667,39.302,12.527,3.50533333333,4.722,3.622,5.59666666667
342.33,6.67366666667,16.289,17.0656666667,5.214,4.80366666667,5.358,39.3386666667,12.3983333333,3.229,4.531,3.445,5.559
342.70,6.60266666667,16.216,17.2383333333,4.97,4.629,5.22533333333,39.1906666667,12.254,3.01766666667,4.26,3.202,5.403
343.06,6.55233333333,16.3706666667,17.4916666667,5.125,4.547,5.02033333333,39.0156666667,12.0883333333,2.904,4.011,3.231,5.38966666667
343.43,6.306,16.4096666667,17.4856666667,5.216,4.77766666667,5.07233333333,39.2763333333,12.3653333333,3.01566666667,3.886,3.44066666667,5.545
343.79,6.292,16.5886666667,17.8136666667,5.20266666667,4.91833333333,5.06766666667,39.5236666667,12.469,3.32866666667,4.1,3.44333333333,5.48666666667
344.16,6.03766666667,16.4496666667,17.8186666667,5.06233333333,4.84866666667,5.08233333333,39.5176666667,12.6226666667,3.319,4.107,3.30566666667,5.356
344.52,5.773,16.2933333333,18.0583333333,4.98566666667,4.95933333333,5.025,39.4036666667,12.848,3.154,3.908,3.214,5.25666666667
344.89,5.51633333333,15.9663333333,17.9816666667,5.019,4.62633333333,4.705,39.203,12.6163333333,2.807,3.396,2.964,4.888
345.25,5.45633333333,15.8713333333,18.0823333333,4.933,4.55766666667,4.65466666667,38.848,12.71,2.67,3.239,2.935,4.80366666667
345.62,5.55566666667,15.7933333333,17.906,4.72066666667,4.53433333333,4.586,38.799,12.781,2.55633333333,3.064,3.06333333333,4.77833333333
