wavelength,Back_TanNivm,Belly_TanNivm,Breast_TanNivm,Crissum_TanNivm,Crown_TanNivm,DorTail_TanNivm,Patch10_TanNivm,Patch11_TanNivm,Patch12_TanNivm,Rump_TanNivm,Throat_TanNivm,WingTip_TanNivm
410.77,5.184,35.0485333333,19.9300666667,18.6932,15.2634666667,5.79984444445,8.06373333333,13.0023333333,5.68973333334,21.7656,12.9304,6.76444333333
411.13,5.26006666667,35.1614,20.1238,18.7946666667,15.4522,5.86209206349,8.14333333333,13.1464666667,5.7776,21.9146666667,13.0436666667,6.86391333333
411.49,5.3166,35.3083333333,20.3384,18.8920666667,15.6278,5.92382539682,8.208,13.2964666667,5.82173333334,22.1028666667,13.1626666667,6.92674833333
411.85,5.34306666667,35.3897333333,20.4844,18.9064,15.7599333333,5.96609523809,8.25566666666,13.3756666667,5.84433333333,22.1996,13.214,6.960155
412.21,5.3534,35.4644,20.6527333333,18.9465333333,15.8908666667,5.99393015873,8.26766666667,13.4474,5.84586666667,22.3362,13.2926,6.97068333333
412.57,5.3478,35.5164666667,20.7770666667,18.9760666667,16.0044,5.98477777778,8.2576,13.5044,5.84113333333,22.432,13.336,6.94828833333
412.92,5.37286666667,35.6358,20.9567333333,19.0388666667,16.158,6.01286031746,8.27213333333,13.5981333333,5.88626666667,22.5689333333,13.413,6.97237333333
413.28,5.2936,35.6789333334,21.0430666667,18.992,16.2165333333,5.95844126984,8.22606666667,13.6072,5.81166666667,22.6296666667,13.4221333333,6.89136333333
413.64,5.33993333333,35.7692666667,21.2283333333,19.0613333333,16.3630666667,5.99181904762,8.26146666667,13.7033333333,5.83986666667,22.783,13.5422666667,6.92141833333
414.00,5.29906666667,35.8492666667,21.4042,19.0685333333,16.5136,5.96931746032,8.2336,13.7589333333,5.803,22.9215333333,13.6300666667,6.88533
414.36,5.20033333333,35.8376666667,21.5272,19.0343333333,16.5350666667,5.90315873016,8.14513333333,13.7220666667,5.71,22.9848666667,13.6190666667,6.81479666667
414.72,5.16333333333,35.8984,21.6528,19.0232666667,16.6122666667,5.86786031746,8.11693333333,13.7596,5.68666666667,23.0902,13.66,6.78343833333
415.07,5.13773333333,36.0088666667,21.823,19.0440666667,16.7600666667,5.85754920635,8.0986,13.8233333333,5.671,23.2498,13.7574666667,6.75543666667
415.43,5.09066666667,36.0539333333,21.9539333333,19.0466666667,16.8464,5.80281269841,8.05653333334,13.8487333333,5.63706666667,23.3166666667,13.7796,6.70955166666
415.79,5.0644,36.109,22.0952,19.0787333333,16.9502666666,5.76413650793,8.03953333333,13.8893333333,5.6376,23.4348,13.852,6.68847333333
416.15,5.04613333333,36.1294,22.1999333334,19.0704,17.0421333333,5.72328888889,8.0324,13.918,5.63326666667,23.4962666666,13.905,6.673095
416.51,5.06073333333,36.2309333333,22.3615333333,19.1116,17.1550666667,5.72316190476,8.061,14.0047333333,5.6428,23.6108,13.9953333333,6.6973
416.86,5.068,36.2720666667,22.4866,19.1282666667,17.2490666667,5.72652698413,8.08993333334,14.0772,5.65246666667,23.6982,14.0766,6.70800166667
417.22,5.06506666667,36.3759333333,22.6485333333,19.1479333333,17.3801333333,5.7228984127,8.10113333333,14.139,5.64346666667,23.8226,14.1446,6.72960833333
