wavelength,Back_LoxPorf,Belly_LoxPorf,Breast_LoxPorf,Crissum_LoxPorf,Crown_LoxPorf,DorTail_LoxPorf,Rump_LoxPorf,Throat_LoxPorf,WingTip_LoxPorf
417.22,4.19244444444,3.23522222222,3.13944444444,3.28077777778,2.546,5.23966666667,4.14611111111,4.82222222222,7.47311111111
417.58,4.20255555556,3.23,3.12844444444,3.28844444444,2.55711111111,5.22277777778,4.15555555555,4.83222222222,7.46266666667
417.94,4.22788888889,3.24822222222,3.15011111111,3.31055555555,2.57611111111,5.22055555556,4.18,4.85922222222,7.46455555556
418.29,4.23311111111,3.23955555556,3.15,3.31277777778,2.572,5.22855555556,4.17122222222,4.86166666667,7.44255555555
418.65,4.22511111111,3.21244444444,3.12911111111,3.30022222222,2.54722222222,5.223,4.15288888889,4.83955555555,7.42322222222
419.01,4.25133333333,3.22,3.14133333333,3.32533333333,2.55255555556,5.24377777778,4.16344444445,4.85488888889,7.44566666667
419.37,4.30044444444,3.25755555555,3.18333333333,3.37044444444,2.58988888889,5.28122222222,4.204,4.903,7.48177777778
419.73,4.31411111111,3.26544444444,3.18933333333,3.37522222222,2.59555555556,5.27866666667,4.20288888889,4.90922222222,7.47044444444
420.08,4.32488888889,3.27488888889,3.19855555556,3.378,2.60888888889,5.28366666667,4.20466666667,4.921,7.48777777778
420.44,4.33844444445,3.29511111111,3.20111111111,3.39388888889,2.627,5.28755555556,4.21877777778,4.94566666667,7.48855555555
420.80,4.35122222222,3.29888888889,3.21533333333,3.41266666667,2.65211111111,5.29322222222,4.21488888889,4.96355555556,7.48311111111
421.16,4.37055555556,3.311,3.22611111111,3.43122222222,2.65555555556,5.30377777778,4.22833333334,4.98522222222,7.48811111111
421.51,4.38444444445,3.32933333333,3.24233333334,3.44633333333,2.66355555556,5.33533333333,4.23911111111,5.00533333333,7.50766666667
421.87,4.37077777778,3.33088888889,3.225,3.44677777778,2.66088888889,5.33544444444,4.23155555556,5.00044444444,7.49955555555
422.23,4.35722222222,3.33222222222,3.21577777778,3.449,2.66366666666,5.328,4.22588888889,4.98877777778,7.50822222222
422.58,4.35722222222,3.34711111111,3.23133333333,3.47433333334,2.685,5.33355555555,4.238,5.01655555556,7.52033333333
422.94,4.36,3.35666666667,3.23366666667,3.47333333333,2.70022222222,5.33155555556,4.24344444445,5.03144444444,7.51211111111
423.30,4.35488888889,3.35244444444,3.23277777778,3.46933333333,2.70455555556,5.33144444445,4.24277777778,5.03911111111,7.49833333333
423.66,4.34977777778,3.35966666667,3.25044444444,3.48255555556,2.71822222222,5.346,4.24877777778,5.05144444444,7.502
424.01,4.35144444444,3.37033333333,3.253,3.50155555556,2.72911111111,5.359,4.255,5.053,7.50922222222
424.37,4.35766666667,3.36677777778,3.26,3.50944444445,2.73277777778,5.36711111111,4.25355555556,5.05788888889,7.51755555555
424.73,4.37066666667,3.37722222222,3.26377777778,3.52244444444,2.73944444444,5.392,4.26066666667,5.06811111111,7.52744444445
425.08,4.36144444445,3.38244444445,3.26866666667,3.52455555556,2.74644444444,5.38577777778,4.25777777778,5.06744444444,7.51988888889
425.44,4.36322222222,3.38033333333,3.281,3.53422222222,2.75777777778,5.37788888889,4.26077777778,5.07422222222,7.50333333333
425.80,4.37233333334,3.38744444444,3.295,3.54477777778,2.76566666667,5.38911111111,4.26577777778,5.08588888889,7.51066666667
426.16,4.37488888889,3.39933333333,3.30533333333,3.55211111111,2.77155555556,5.38911111111,4.27388888889,5.10533333333,7.50644444444
