wavelength,Back_ThlOrnf,Belly_ThlOrnf,Breast_ThlOrnf,Crissum_ThlOrnf,Crown_ThlOrnf,DorTail_ThlOrnf,Rump_ThlOrnf,Throat_ThlOrnf,WingTip_ThlOrnf
229.14,-3.16953333334,8.01466666665,6.26593333334,1.4572,-5.28233333333,4.33526666667,1.93086666667,0.072799999998,5.75599999999
229.52,3.72719999999,13.4848,11.9696666667,7.06053333333,2.15166666667,10.8484666667,8.51513333334,6.57573333333,14.2121333333
229.89,3.97046666666,13.7185333333,11.7926,7.34826666665,2.28153333333,11.4666666666,9.03706666667,7.99993333334,14.4294
230.27,5.18513333334,13.6184,11.1966,8.06279999999,3.19073333333,12.1083333333,9.94306666667,9.31626666665,16.1538
230.65,4.52386666667,13.8624,10.6876666667,9.2592,2.8306,14.2592666667,10.238,8.86239999999,17.1694
231.02,3.32046666667,12.7108,9.02726666669,7.31513333335,1.24506666666,13.7484666667,8.53433333333,8.19713333335,14.7341333333
231.40,-2.82573333333,6.94106666666,1.64606666667,1.86553333333,-4.8012,9.19059999999,2.60633333333,2.4966,8.55966666666
231.78,-5.55566666667,3.80546666667,-2.86106666667,-1.61119999999,-7.52786666667,5.58326666667,-0.388933333334,-2.38893333333,4.55546666667
232.15,-7.25493333332,3.80953333334,-5.1542,-3.05306666666,-7.507,5.88233333333,-1.73659999999,-4.70586666667,2.46513333333
232.53,-6.31719999999,6.26346666668,-4.75813333333,-1.828,-5.56453333333,8.3066,-0.591333333327,-2.20433333333,4.75813333333
232.90,-1.95933333333,10.0507333333,-0.381666666668,2.59546666667,-0.508866666664,12.4173333333,4.14766666666,1.9594,9.46560000001
233.28,4.85959999999,15.9952,5.64086666666,9.42606666667,5.5922,18.3395333333,10.0367333333,7.20386666667,14.2857333333
233.66,4.21193333333,14.7802666667,4.26353333333,9.22473333334,6.04653333333,17.7777333334,8.81133333333,6.9508,12.3514
234.03,2.12493333333,12.9614666667,1.67326666667,8.10099999999,3.9044,15.8034,6.69326666667,5.68393333334,10.093
234.41,-1.73446666667,9.89180000001,-1.97826666667,5.0136,0.487800000002,13.2792666667,3.3876,2.52033333333,6.5314
234.78,-3.7534,6.94673333335,-6.13466666666,2.43693333333,-2.26893333333,10.0840666667,-0.504266666667,-0.700466666668,2.35306666667
235.16,-4.38753333333,6.66673333333,-6.01126666667,1.51,-2.73513333333,9.74353333333,-2.4502,-1.22506666667,2.05119999999
235.54,2.56413333333,12.8462,1.8718,6.94873333333,3.30766666667,15.6666,3.66666666666,5.25646666667,8.61533333333
235.91,6.888,15.7194,5.5842,10.0614,7.0848,18.6468,7.5522,9.5202,12.9642
236.29,7.67253333333,14.8537333333,7.20473333334,11.5087333333,7.85946666667,17.544,7.01759999999,11.2280666667,13.6842
236.66,7.3094,13.1905333333,6.80953333333,9.71420000001,7.59533333333,17.2142,5.80953333333,9.54760000001,12.3096
237.04,6.45239999999,11.3808666667,5.52373333333,7.16666666666,6.35713333334,16.9048666667,4.1904,8.47619999999,10.7858
237.41,-0.335733333333,4.14873333333,-1.6786,-0.047933333326,-0.1438,11.0791333333,-1.9664,2.9736,5.46773333334
237.79,-2.4536,1.6666,-5.16206666667,-2.50013333333,-3.58786666667,8.54173333335,-3.61113333333,-0.162066666664,3.91193333333
238.17,0.796666666668,5.97479999999,-1.15293333333,0.230733333334,0.650066666667,10.8804666667,-0.167800000002,2.11746666667,7.04399999999
238.54,2.77293333333,8.16126666666,0.255666666667,1.593,2.79266666667,11.6027333333,1.53393333333,2.75313333334,8.63319999999
238.92,5.2066,10.4309333333,4.11626666667,3.71153333333,5.92766666667,13.5443333333,4.89006666667,5.64626666667,11.2224
239.29,7.82373333333,11.4912,6.78066666667,6.35673333333,8.21506666665,15.5498666667,8.704,7.62806666667,13.5776666667
239.67,8.32566666667,11.3364,7.84946666667,6.77413333333,8.29499999999,15.2535333333,9.21653333333,7.95706666666,14.1166666667
240.04,6.58293333333,10.5240666667,7.37946666667,6.51286666667,7.3236,14.9546,7.78486666666,6.9602,13.5848666666
240.42,6.5432,10.6543333333,7.44446666667,6.72846666667,7.44446666667,15.8888,8.25933333333,6.889,14.2469333333
240.79,6.5598,10.7371333333,7.70306666667,7.3932,7.43586666667,15.5661333333,8.62180000001,7.46793333333,14.3376
241.17,7.2532,11.9833333333,8.8456,8.62213333334,8.29620000001,16.1546,9.55313333333,8.18446666667,14.8883333333
241.54,8.48566666667,13.3821333333,10.2476666667,9.79293333333,9.41946666666,17.2798,10.3774666667,9.19193333334,15.672
241.92,9.7962,14.5998,11.4411333333,10.7788,10.6405333333,18.4498,11.4920666667,10.5749333333,16.5356666667
242.29,9.56113333334,14.0969333333,10.9278666667,10.7002666667,10.5125333333,18.3112666667,11.6851333333,10.6599333334,16.3014
242.67,9.50386666666,14.0854,11.1595333333,10.7236,10.5909333333,18.1864,11.6966666667,10.8815333333,16.4232666667
243.05,9.30993333334,13.7170666667,10.814,10.2754666667,10.294,17.8088,11.1792,10.4736666667,16.2178
243.42,8.81653333333,13.3753333333,9.87053333332,9.85240000001,9.8162,17.2356,10.3761333333,9.99686666667,15.7903333333
243.80,8.90273333334,13.1795333333,9.45866666667,9.8374,10.068,17.2435333333,10.2868666667,10.2986666667,15.5457333333
244.17,9.54953333334,13.6821333333,9.88673333334,10.0784666667,10.3458666667,17.3320666667,10.6132,10.6188666667,15.7744666667
244.55,9.16219999999,13.2535333333,9.09959999999,9.32186666667,9.65826666667,16.5185333333,9.84046666665,9.99433333333,15.0426666667
244.92,8.50760000001,12.3202,8.415,8.78546666667,8.9108,15.7788666667,8.88899999999,9.32466666666,14.3408666667
245.30,7.46546666667,10.9728666667,7.33753333334,7.89046666666,8.12586666667,14.7158666667,7.7726,8.52026666667,13.4970666667
245.67,7.54413333333,10.6864,7.36013333334,7.95933333334,8.01593333333,14.4232,8.0442,8.5492,13.423
246.05,6.87406666667,9.78619999999,6.72286666667,7.23693333333,7.36233333333,13.8734666667,7.276,7.72953333333,12.8754
246.42,6.18053333333,8.7548,5.9614,6.41173333333,6.2442,13.0902666667,6.31206666667,6.75813333333,12.0620666667
