wavelength,Back_SpoLeuf,Belly_SpoLeuf,Breast_SpoLeuf,Crissum_SpoLeuf,Crown_SpoLeuf,DorTail_SpoLeuf,Patch10_SpoLeuf,Rump_SpoLeuf,Throat_SpoLeuf,WingTip_SpoLeuf
398.92,7.66822222223,17.8237777778,7.97744444445,9.38188888888,5.49355555556,6.06322222222,10.5238888889,6.04033333333,17.1491111111,7.177
399.28,7.57277777777,17.7696666667,7.91644444444,9.33944444444,5.42922222222,5.98588888889,10.4535555556,5.95811111111,17.0615555556,7.15377777778
399.64,7.53855555554,17.7966666667,7.91355555556,9.31500000001,5.37944444444,5.95255555555,10.4324444444,5.94911111111,17.0954444445,7.11788888889
400.00,7.56377777778,17.853,7.90322222222,9.38788888888,5.39766666666,5.96311111111,10.4748888889,6.01144444445,17.1675555555,7.17177777778
400.36,7.46122222223,17.7872222222,7.82477777778,9.29122222222,5.34422222222,5.80511111111,10.3608888889,5.91822222222,17.0901111111,7.062
400.72,7.36499999999,17.7405555556,7.79811111111,9.21544444446,5.30277777778,5.71844444444,10.2865555556,5.80411111111,17.095,6.99222222222
401.08,7.2791111111,17.6914444445,7.77133333334,9.16233333333,5.20988888889,5.68822222222,10.2648888889,5.76433333334,17.0755555556,6.93933333334
401.44,7.16177777777,17.667,7.70933333333,9.07466666668,5.10577777778,5.622,10.2481111111,5.638,17.0652222222,6.83433333333
401.80,7.08811111112,17.6518888889,7.647,9.00533333332,5.00677777778,5.52455555556,10.1447777778,5.55077777778,16.9572222222,6.74722222222
402.16,7.01355555556,17.6386666667,7.59511111111,8.99666666666,4.97033333333,5.51955555556,10.1172222222,5.50388888889,16.8681111111,6.70366666667
402.52,7.00311111112,17.6476666667,7.58477777778,8.96144444443,4.92266666667,5.48688888889,10.087,5.45888888889,16.862,6.67033333333
402.88,7.02633333332,17.6456666667,7.62411111111,8.97833333334,4.944,5.50777777778,10.1273333333,5.48555555556,16.8965555556,6.68633333333
403.24,7.00155555557,17.6326666667,7.64644444444,8.98455555555,4.911,5.53577777778,10.1677777778,5.48755555556,16.948,6.64844444445
403.60,7.00433333333,17.6492222222,7.65977777778,8.95966666666,4.89244444444,5.53855555556,10.1341111111,5.49488888889,16.924,6.61277777778
403.95,6.9348888889,17.6346666666,7.62122222222,8.88966666665,4.85133333333,5.488,10.103,5.43444444444,16.8465555556,6.56833333333
404.31,6.96855555555,17.7375555556,7.71944444444,8.97277777778,4.86555555555,5.59688888889,10.1607777778,5.47033333333,16.9102222222,6.64944444444
404.67,6.96044444443,17.8132222222,7.78544444444,9.01066666665,4.887,5.65366666667,10.2201111111,5.52488888889,16.9516666667,6.69611111111
405.03,7.00322222221,17.9181111111,7.85388888889,9.058,4.939,5.66744444444,10.2563333333,5.53666666667,17.002,6.77788888889
405.39,7.05811111112,17.9763333333,7.898,9.11988888888,5.00744444444,5.71122222222,10.3047777778,5.60633333333,17.0423333333,6.88222222222
405.75,7.07133333333,17.9883333333,7.96311111111,9.17288888888,5.03822222222,5.74111111111,10.3483333333,5.61288888889,17.074,6.91855555556
