wavelength,Back_DacVenm,Belly_DacVenm,Breast_DacVenm,Crissum_DacVenm,Crown_DacVenm,DorTail_DacVenm,Patch10_DacVenm,Patch11_DacVenm,Rump_DacVenm,Throat_DacVenm,WingTip_DacVenm
192.09,5.679,93.3333333335,26.2867692308,-16.5431333334,-32.8393999999,108.641933333,78.5186,20.2467999999,58.5185333334,115.802466667,47.2838999999
192.47,-79.9999333335,194.074133333,9.743723077,-171.851866667,-152.5926,260.3704,160.000066667,-4.4445333332,128.888866667,274.8148,145.1852
192.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.23,34.3590666667,-187.692333333,-32.2288307693,53.3332666668,56.4102000001,-200.769233333,-138.974266667,-33.3332,-117.435933333,-254.871666667,-84.8718333334
193.61,-95.3333333335,-396.0,-159.794871795,-100.666666667,-72.6666666666,-430.333333333,-342.666666667,-210.0,-305.333333333,-470.0,-255.666666667
193.99,-132.5926,-403.7038,-190.598338462,-111.111133333,-82.9630000003,-474.074066667,-366.666666667,-280.740666666,-353.3332,-498.5184,-331.851966667
194.37,-98.2223333333,-269.333333333,-120.444461538,-100.4444,-76.0000000002,-307.7778,-252.000066667,-201.777666667,-249.777733333,-354.6666,-228.444433333
194.75,-243.030266667,-503.030333333,-243.589779487,-267.272666667,-182.424266667,-529.393966667,-449.091,-345.454533333,-455.757533333,-593.9394,-439.091
195.13,-92.8,-209.333333333,-77.0666666667,-101.333333333,-55.4666666667,-210.266666667,-169.6,-123.733333333,-161.333333333,-243.466666667,-174.133333333
195.51,-104.722266667,-227.5,-97.0511538461,-146.6666,-81.6666666665,-229.8611,-191.666666667,-134.722266667,-186.944466667,-269.7224,-198.7501
195.89,-285.3334,-465.777866667,-260.170907692,-348.444466667,-237.7776,-495.555533333,-406.222266667,-305.333333333,-407.5556,-563.111066667,-438.4444
196.27,-133.066666667,-241.333333333,-110.666666667,-175.466666667,-110.933333333,-260.133333333,-184.266666667,-142.666666667,-198.133333333,-304.0,-244.4
196.65,-579.166666667,-921.666666666,-488.974358974,-715.833333334,-519.166666666,-1010.83333333,-685.0,-579.166666667,-765.833333333,-1091.66666667,-859.999999999
197.03,5033.33333333,7946.66666666,4664.61538461,6453.33333333,4466.66666667,8643.33333333,5960.0,5186.66666668,6780.00000001,9460.00000001,7686.66666667
197.40,543.636333333,766.060533333,516.690030769,646.060533333,518.787866667,858.181933333,609.090933333,539.393933333,684.848399999,912.121066667,814.848366667
197.78,745.555533333,1153.3334,815.982841026,945.555533334,778.888800001,1302.2222,878.888933333,738.888933333,1004.44446667,1459.99993333,1220.00006667
198.16,-235.833333333,-410.416666667,-284.07051282,-318.333333333,-260.0,-460.0,-290.833333333,-227.916666667,-328.75,-520.416666667,-405.0
198.54,-1028.33333333,-1795.0,-1282.69230769,-1376.66666667,-1126.66666667,-1936.66666667,-1243.33333333,-951.666666667,-1376.66666667,-2123.33333333,-1665.83333333
198.92,238.095133333,364.127,280.463841026,294.920666667,259.365133333,403.492133333,264.761866667,216.507933333,295.238,431.428533333,342.380933333
199.30,145.454466667,200.909,173.846205128,173.9394,161.515133333,231.818233333,157.575733333,142.575866667,188.030333333,238.484933333,198.636333333
199.68,133.749933333,176.666666667,152.425276923,153.75,145.416666667,210.833266667,135.972266667,128.611,180.833333333,215.694533333,181.527933333
200.06,143.636333333,187.272866667,165.046707692,149.848466667,153.636466667,222.196933333,147.121133333,132.727333334,194.848466667,218.787933333,182.5759
200.44,129.1666,155.208066667,147.139179487,128.6456,135.6248,183.385233333,132.291533333,118.333133333,167.916533333,180.416333333,148.489366667
200.82,130.2084,150.624933333,147.628246154,134.478866667,136.7708,180.260233333,134.687333333,118.854266667,171.0416,176.6666,149.635133333
201.19,124.351933333,138.796266667,138.390379487,127.037,129.629733333,168.194333333,129.166533333,111.666733333,163.055533333,160.6482,135.6481
201.57,117.894733333,133.421066667,130.553210256,119.386066667,121.052533333,160.8334,120.438666667,103.245666667,158.245533333,152.105266667,123.4651
201.95,121.526133333,131.967866666,123.55265641,119.277,120.8836,156.787133333,122.088333333,106.746933333,157.992,152.3694,127.269166667
202.33,115.952266667,130.238,117.722758974,120.872933333,121.984066667,153.8889,119.999933333,108.254066667,155.952333333,150.3968,122.817533333
202.71,117.5194,128.5272,115.02091282,121.472733333,123.2558,153.410766667,119.844933333,111.162933333,152.713133333,147.8294,124.573566667
203.09,143.482666667,157.114533333,141.79094359,146.567266667,148.855733333,188.258466667,148.855666667,137.711266667,187.960133333,176.9154,155.821033333
203.47,142.941266667,157.2548,137.021092308,144.019533333,145.4902,179.117733333,147.255066667,135.4902,179.607933333,171.078533333,148.0881
203.85,143.386266667,168.994866667,139.894205128,138.200933333,147.936466667,182.2751,144.761866667,134.497466667,179.259266667,173.756666666,145.6615
204.22,162.564,199.102533333,162.376707692,172.8206,177.179533333,207.5641,166.666533333,160.512733333,209.230666667,206.025666667,180.0641
204.60,210.940133333,271.624,209.848702564,232.478533333,237.948666667,263.076933333,224.786266667,215.726466667,263.931666667,270.256533333,240.683733333
204.98,282.857,385.238133333,293.168476923,327.8572,332.619133333,362.023833333,305.0,294.5238,355.7142,380.237933333,332.3809
205.36,295.476133334,407.3808,303.498276923,344.761933333,347.380933333,377.381,311.428733333,307.380933333,364.0476,399.762066667,349.047633333
205.74,387.301533333,525.396866667,405.470158974,457.460266667,460.634933333,508.7301,411.111,408.888933333,479.365,525.079333333,472.380833333
206.12,316.1112,456.6668,360.705174359,394.166733333,403.888933333,430.139,348.611133334,349.166666667,411.944466667,453.888666667,409.305566667
206.50,196.212,268.181666667,217.657333333,231.212266667,240.0,247.272533333,211.212133333,203.0302,246.6666,263.030333333,246.287833333
206.87,287.291666667,388.75,329.086538461,340.416666667,353.75,362.5,312.916666667,295.0,351.041666667,381.458333333,352.604166667
207.25,226.190533333,310.000066667,262.588482051,280.317466667,290.158666667,285.476033333,253.4922,241.587333333,270.793533333,310.634933333,277.3807
207.63,285.333333333,407.5556,345.794882051,383.333266667,384.666733333,377.444466667,333.111,313.111066667,356.222266667,406.222133333,372.777766667
208.01,231.472866667,306.821733333,274.513948718,309.457333333,299.844933333,291.860533333,267.4418,253.4884,276.589133333,299.534733334,295.891266667
208.39,206.814933334,277.185266667,250.245102564,283.703666667,275.111066667,264.296333333,244.2962,230.8148,252.148066667,281.7778,264.8889
208.77,174.751866667,235.744733333,214.086276923,242.978733334,236.7376,226.524733333,200.4254,193.617133333,217.872466667,240.850933333,226.0991
209.14,165.7576,226.060533333,207.237815385,236.3636,228.3334,216.363633333,192.424266667,193.939533333,214.8486,238.030333333,218.257566667
209.52,183.870933333,257.2042,245.492123077,274.408533333,274.838533333,240.107533333,207.3118,224.731266667,258.494533333,276.344133333,246.666666667
209.90,128.3332,198.703866667,185.683712821,211.6668,212.222133333,174.629566667,154.444266666,167.592666667,203.888866667,201.481533333,179.166733333
210.28,150.666733333,231.111066667,206.820574359,252.444466667,237.555533333,204.1112,161.111066667,186.888933333,235.777733333,213.7778,198.555566667
210.66,139.743533333,233.846133333,199.526646154,258.717933333,233.076933333,202.435933333,152.051533333,195.897333333,235.897533333,207.4358,188.846166667
211.03,116.543,198.271733333,164.729394872,208.889,184.9384,156.543233333,120.247,157.530866666,203.950533334,163.456666667,147.160566667
211.41,143.859666667,264.561333333,213.063476923,253.3332,217.543933333,202.1053,118.2456,186.315933333,272.9824,195.438666667,168.771866667
211.79,155.0,273.333333333,211.205128205,234.666666667,236.333333333,209.166666667,129.0,192.0,285.0,213.666666667,178.333333333
