wavelength,Back_NepOnem,Belly_NepOnem,Breast_NepOnem,Crissum_NepOnem,Crown_NepOnem,DorTail_NepOnem,Rump_NepOnem,Throat_NepOnem,WingTip_NepOnem
227.64,-29.8766,-28.642,-31.8024666667,-38.1729333334,-43.0618,-34.2223333333,-27.5802,-29.4814666667,-25.3332
228.01,-12.4276666667,-12.1739333333,-13.8406666666,-16.9928666667,-20.8334,-14.9274666667,-11.2499666667,-10.7246,-7.13766666667
228.39,-6.99726666666,-4.73820000001,-8.347,-9.55920000001,-12.5895333333,-7.38293333333,-4.36643333334,-4.32493333334,-0.991666666674
228.76,-7.28573333333,-2.64293333333,-7.85706666666,-7.83340000001,-9.99993333333,-5.7142,-3.7262,-3.9286,0.190400000007
229.14,-5.87333333333,-0.321400000002,-5.29473333333,-5.7662,-5.91633333333,-2.9796,-1.78973333333,-0.535866666666,2.5938
229.52,-4.73686666666,0.662733333335,-3.17733333333,-3.66473333333,-3.78153333333,-0.779666666668,-0.711466666666,0.721133333334,3.29439999999
229.89,-5.07313333333,0.091600000002,-3.13186666667,-4.61539999999,-4.39566666667,-1.28213333333,-0.512899999998,-0.293066666668,2.60066666667
230.27,-2.82666666666,2.15113333333,-1.45786666667,-2.5244,-2.15113333333,0.586733333333,1.2356,1.90213333333,3.98220000001
230.65,-1.54513333333,2.4652,-0.590333333333,-1.44093333333,-0.972133333334,2.25693333333,1.84883333333,2.11806666667,5.95493333333
231.02,0.548666666666,4.5054,1.33013333333,0.449,1.26353333334,3.62426666667,3.44133333333,3.22506666666,7.69740000001
231.40,-0.3482,3.46386666667,0.5222,-0.0695333333394,0.052266666668,3.04613333333,2.77626666667,2.41953333333,6.49266666668
231.78,0.592866666666,4.94166666666,1.13213333333,1.20386666667,1.36573333333,4.34853333333,3.80063333333,3.68373333333,8.0684
232.15,-0.337133333332,4.4194,0.543066666666,0.5992,0.636733333326,3.76406666667,3.79203333333,2.60293333333,8.14593333333
232.53,2.73813333333,6.90480000001,4.5436,3.39293333333,4.26593333333,6.38893333333,7.32143333333,5.73413333333,10.6349333333
232.90,3.0454,6.62539999999,5.20573333333,2.22233333333,3.4364,5.18513333333,7.95256666667,5.7408,9.46506666666
233.28,0.5428,3.69153333334,2.21493333333,0.955466666667,-0.303999999998,3.19213333333,4.73406666667,2.93166666667,7.10113333333
233.66,3.22720000001,5.47773333333,4.41613333333,2.08073333333,1.35886666667,5.881,6.57116666667,4.96806666667,9.49046666666
234.03,3.34386666666,5.24566666667,4.47233333333,2.29900000001,1.2122,6.29053333333,5.04696666667,5.66333333333,8.90280000001
234.41,6.97859999999,8.36246666666,8.67446666667,5.71153333333,4.38606666667,9.86366666667,8.2262,8.63553333333,11.9104
234.78,8.72073333334,10.4387333333,11.0364666667,8.01133333332,6.46119999999,11.7646,10.3735,10.0838666667,13.5386666667
235.16,10.3226,10.9319333333,12.3476666667,9.64173333334,8.51253333334,13.0286,12.7151,12.0608,15.7348666667
235.54,13.0827333333,13.3834666667,14.8036666667,12.1803333333,11.3618,15.6892666667,15.2880666667,15.0544,19.2481333333
235.91,12.2469333333,11.8517333333,14.7489333333,10.8971333333,10.2056666667,14.8148,14.7570666667,13.5144,17.6296666667
236.29,11.5644666667,11.0892,13.8083333333,9.48413333333,8.53399999999,14.0376666667,13.9557333333,12.8092,15.9213333333
236.66,9.327,8.92633333335,11.3460666667,7.59619999999,6.55453333334,12.7084,12.7643333333,10.2885333333,13.9582666667
237.04,9.01780000001,8.5228,11.1678666667,7.71846666667,7.47093333333,13.5190666667,13.1631333333,10.5492,14.0140666667
237.41,8.93853333334,7.68313333334,11.0164666667,6.1136,7.53380000001,13.2586,12.2870666667,10.3138666667,13.1538666667
237.79,6.3394,5.1936,8.49706666668,4.24113333334,5.43159999999,10.4760666667,10.3721333333,7.76773333333,10.9524666667
238.17,4.7452,4.29406666667,7.04513333334,3.0132,4.86160000001,9.35953333335,9.81803333331,6.15706666666,10.3056666667
238.54,3.5684,3.76206666667,5.25586666667,1.397,3.83133333333,7.5934,8.3333,4.75793333333,8.82433333334
238.92,2.42653333333,2.50486666667,3.69206666667,-0.0522666666674,2.64833333333,5.75353333333,7.08406666667,3.95306666667,7.74933333333
239.29,1.69466666667,2.24293333333,3.36446666667,-0.610666666667,2.46726666667,5.58246666667,5.94386666667,3.46413333333,7.01553333333
239.67,-0.9774,-0.256,0.430466666665,-2.8156,0.488600000002,3.4788,3.2519,0.919200000001,3.95573333333
240.04,0.030666666666,0.622866666667,0.826999999998,-1.41893333333,1.59266666667,4.4206,3.64976666667,2.20526666667,5.17606666667
240.42,1.77326666667,2.30493333333,2.41133333333,0.514199999999,3.23586666667,5.78006666667,4.88473333333,3.88293333333,6.64893333334
240.79,2.32053333333,2.7318,2.7784,1.009,3.09673333333,5.86733333333,4.49743333333,3.95813333333,6.75979999999
241.17,2.47233333333,2.78066666667,2.79413333333,1.06553333333,2.56626666667,5.7018,3.95656666667,3.72546666666,6.95486666667
241.54,2.3978,2.8774,2.71153333333,1.427,2.55173333333,5.8556,4.27176666667,3.4696,6.97446666667
241.92,3.32253333333,4.00746666667,3.879,2.49333333333,3.3548,6.93413333333,5.0695,4.4516,7.88653333334
242.29,4.42646666667,5.11133333333,4.99866666666,3.5754,4.08413333333,8.03126666667,6.05273333333,5.4144,8.62306666666
242.67,4.36533333333,4.64893333333,4.68613333333,3.5054,3.7426,7.8942,5.70183333333,5.323,8.32639999999
243.05,4.44593333333,4.73493333333,4.76186666667,3.82306666667,3.81846666667,8.02086666667,5.5675,5.41633333333,8.1968
243.42,3.8346,4.3052,4.2832,3.28493333333,3.1574,7.5638,4.90106666667,4.97806666667,7.64286666667
243.80,4.04,4.56806666667,4.53746666667,3.45546666667,3.089,7.63533333333,4.94346666667,5.1134,7.6964
244.17,3.9106,4.61466666667,4.49026666667,3.40853333333,2.6444,7.35786666667,4.71996666667,4.898,7.44793333333
244.55,3.6626,4.443,4.30466666667,3.19686666667,2.39973333334,7.20373333333,4.59216666667,4.69053333334,7.32126666666
244.92,3.72666666667,4.35033333334,4.3226,3.13873333333,2.5348,7.1514,4.4715,4.71993333333,7.23873333333
245.30,3.8468,4.44573333333,4.256,3.32213333333,2.6748,7.0908,4.29683333333,4.72106666667,7.16513333333
245.67,3.94626666667,4.57466666667,4.1976,3.318,2.795,6.9452,4.1587,4.792,7.21686666667
246.05,3.8498,4.3276,3.9428,3.2202,2.76706666666,6.7194,3.9182,4.5106,7.11033333333
246.42,3.415,3.78473333333,3.372,2.78473333333,2.3952,6.22833333333,3.392,3.96206666667,6.78406666667
246.79,2.78866666666,3.19513333333,2.84726666667,2.21233333333,1.923,5.75566666667,2.82586666667,3.34126666667,6.316
247.17,2.51873333333,2.97626666667,2.57573333333,1.98966666667,1.71553333333,5.55193333333,2.74136666667,3.0108,6.11046666667
247.54,2.80146666667,3.26146666667,2.79433333333,2.26853333333,1.9596,5.69006666667,3.05253333333,3.2284,6.3412
247.92,3.1726,3.6148,3.05866666667,2.5664,2.37033333333,5.98286666667,3.36176666667,3.54413333333,6.735
248.29,3.128,3.52733333333,2.9722,2.49593333333,2.56593333333,6.02573333333,3.24306666667,3.58386666667,6.793
248.67,2.56586666667,2.93986666667,2.37093333333,1.96746666667,1.99693333333,5.4128,2.54773333333,2.92853333333,6.2336
249.04,2.178,2.49766666667,1.8112,1.56006666667,1.47253333333,4.95273333333,2.11046666666,2.4526,5.883
249.42,1.92306666667,2.23473333333,1.44793333333,1.23673333333,1.23186666667,4.60786666667,1.9142,2.187,5.734
