wavelength,Back_SchMelf,Belly_SchMelf,Breast_SchMelf,Crissum_SchMelf,Crown_SchMelf,DorTail_SchMelf,Rump_SchMelf,Throat_SchMelf,WingTip_SchMelf
248.29,1.35346666667,1.60513333333,0.718133333334,0.813399999999,0.776533333335,3.93333333333,0.528350000001,1.0452,5.02916666667
248.67,1.4596,1.7212,0.822066666667,0.834466666667,0.917599999999,4.08473333333,0.612258333335,1.1085,5.06546666667
249.04,1.48713333333,1.81306666667,1.12626666667,0.844733333334,0.923866666666,4.34413333333,0.826316666666,1.4396,5.04186666667
249.42,0.5946,0.943399999999,0.7408,0.162799999999,0.186066666669,3.62726666667,0.0254166666666,0.705833333334,4.0225
249.79,-0.0711999999994,0.171,0.345599999999,-0.470266666667,-0.3278,3.10533333333,-0.733025,0.035666666666,3.2425
250.17,0.283666666667,0.6088,0.6882,-0.223066666667,0.102133333332,3.5489,-0.494941666667,0.338466666667,3.29176666667
250.54,0.517133333333,0.896933333334,0.896933333333,-0.0808666666668,0.157533333332,3.8444,-0.414158333333,0.504899999999,3.48093333333
250.92,-0.076933333334,0.307400000001,0.286066666667,-0.640733333333,-0.499599999999,3.3824,-1.021825,0.0149666666654,2.67346666667
251.29,0.542266666667,0.777733333333,0.737799999999,-0.0221999999992,0.257799999998,4.05316666667,-0.281583333335,0.769,3.289
251.66,0.491799999999,0.605600000002,0.336999999999,-0.350733333334,0.2414,3.71823333333,-0.631133333335,0.5374,3.14426666667
252.04,0.0233999999999,0.0608000000006,-0.285600000002,-0.931600000001,-0.346466666665,3.25133333333,-1.153575,0.2388,2.54456666667
252.41,-0.129266666666,-0.148399999999,-0.440533333334,-0.996199999999,-0.780733333333,3.0748,-0.969866666668,0.536533333334,2.62926666667
252.79,-1.85133333333,-1.8364,-2.0778,-2.66366666667,-2.4322,1.18906666667,-2.3873,-0.987166666666,1.16676666667
253.16,-2.12486666667,-1.9366,-2.76873333333,-2.96193333333,-2.3822,0.468033333332,-2.70788333333,-1.6914,1.04743333333
253.54,-1.59073333333,-1.6006,-2.42826666667,-2.8124,-1.81493333334,0.810399999999,-2.38339166667,-1.37126666667,1.67043333333
253.91,-0.922933333333,-1.01346666667,-1.96633333333,-2.09186666667,-1.1086,1.4348,-1.50689166666,-0.687266666666,2.47053333333
254.28,-1.81466666667,-2.2082,-3.08426666667,-3.01073333333,-2.119,0.2676,-2.47056666667,-1.87766666667,1.8883
254.66,-1.71713333334,-2.13673333333,-3.0364,-2.9544,-1.82073333333,0.152566666666,-2.26084166667,-1.73623333333,2.04693333333
255.03,-1.23653333333,-1.6752,-2.58586666667,-2.6082,-1.18046666667,0.517066666667,-1.620975,-1.04823333334,2.43683333333
255.41,-2.87833333333,-2.9846,-3.753,-4.32626666667,-2.57093333333,-1.04606666667,-3.036275,-2.48236666667,0.614633333334
255.78,-3.12866666667,-3.09266666667,-3.77853333333,-4.30206666667,-2.71366666667,-1.08906666667,-2.919025,-2.66236666667,0.192533333334
