wavelength,Back_SchMelf,Belly_SchMelf,Breast_SchMelf,Crissum_SchMelf,Crown_SchMelf,DorTail_SchMelf,Rump_SchMelf,Throat_SchMelf,WingTip_SchMelf
218.59,-153.809466667,-124.857066666,-140.6666,-137.4286,-129.0476,-139.9999,-139.988008333,-148.047733333,-173.999833333
218.97,-184.5556,-150.444466667,-168.8888,-151.6666,-151.555533333,-163.3333,-163.805508333,-171.500066667,-198.333266666
219.34,-191.1112,-152.666666667,-173.666666667,-151.0,-150.999933333,-163.722266667,-165.708375,-170.444433333,-201.222333333
219.72,-148.4762,-121.904733333,-135.809466667,-117.714266667,-115.4286,-127.619066667,-129.48805,-134.0,-160.714233333
220.10,-199.285666667,-165.357266667,-179.881,-162.5,-155.833466667,-174.404633333,-175.178641667,-183.214266667,-207.261966667
220.47,-212.201133333,-171.823933334,-186.2892,-169.5598,-165.534533333,-183.962333333,-182.735858334,-197.672933333,-220.188633333
220.85,-253.333333333,-205.652,-226.666666667,-204.6376,-198.6956,-214.999966667,-215.017975,-240.2175,-260.797233333
221.23,-372.156933333,-304.5098,-344.901866667,-308.235333333,-294.1176,-325.097966667,-319.2156,-358.431233333,-385.686233333
221.61,-486.666666667,-419.259266667,-475.0616,-401.2346,-380.9876,-427.283966667,-423.055508333,-472.716066667,-500.7409
221.98,-773.333266667,-675.294066667,-781.176466667,-643.137333333,-612.1568,-697.843166667,-679.460833333,-759.019633333,-799.019533333
222.36,-581.904733333,-512.698466667,-594.285666667,-485.0794,-455.2382,-531.111033333,-519.087183333,-587.142966667,-625.872933333
222.74,-414.666666667,-365.777866667,-425.1112,-348.000066667,-324.0,-386.111066667,-374.52785,-408.111033333,-454.000033333
223.11,-579.047666667,-495.5554,-582.2222,-504.127,-440.317333333,-542.063466667,-517.380933333,-574.9207,-641.2698
223.49,-1020.0,-890.555600001,-1030.55546667,-911.666733334,-803.889000001,-1011.11103333,-913.194491667,-1039.16676667,-1156.6667
223.87,-12673.3333334,-10966.6666667,-13040.0,-11213.3333333,-10353.3333333,-12730.0,-11196.6666667,-13003.3333333,-14113.3333333
224.24,6443.33333333,5746.66666667,6790.0,5776.66666667,5330.0,6478.33333333,5802.08333333,6511.66666667,7306.66666667
224.62,-959.4872,-853.846066666,-1028.718,-858.461466667,-780.5128,-949.999966667,-874.487216666,-952.307600001,-1091.02573333
225.00,-617.543933333,-568.070133333,-676.4912,-568.421066667,-503.157866667,-632.456233333,-593.026483333,-635.087766667,-737.7194
225.38,-424.359,-394.871866667,-460.256466667,-396.666666667,-348.974466667,-433.5897,-410.480783333,-441.410366667,-505.256466667
225.75,-178.787866667,-154.303,-186.787933333,-163.878866667,-136.121266667,-180.6061,-163.590916667,-183.818233333,-209.030366667
226.13,-126.118733333,-110.228333333,-128.4018,-112.054733333,-96.3469999999,-122.100466667,-113.310616666,-127.0778,-145.479366666
226.51,-112.063466667,-99.4443999999,-114.444466667,-100.396733333,-86.9840666667,-109.9207,-99.4940166666,-112.3412,-127.618866667
226.88,-102.175466667,-94.2455333334,-107.6492,-93.0525999999,-85.1228000001,-100.350866667,-91.9999083334,-103.333433333,-114.8773
227.26,-78.2676,-73.4383333334,-80.7349333333,-70.9712666667,-65.2493333333,-76.2206,-72.6576,-76.4830666667,-85.9842666667
227.64,-62.9438,-60.9524,-64.4156,-57.6192,-51.8616,-57.8787666667,-60.6980166667,-62.2295666667,-68.2468333333
228.01,-48.5515333333,-47.5043333333,-47.9582,-43.7695333334,-38.2549333333,-41.8150333333,-47.1422166667,-48.5515666667,-51.7628333333
228.39,-33.6493333333,-33.1608,-32.184,-29.2241333333,-25.0,-28.5631,-32.0258666667,-35.1294,-35.2298333333
228.76,-25.625,-26.0416666667,-24.6092666667,-22.7083333333,-18.8802666667,-21.6666666667,-24.0137583334,-29.0495,-26.5493666667
229.14,-17.8391333334,-16.7354666667,-17.0575333333,-15.2642,-11.4483333333,-13.4483333333,-15.0948083333,-20.0229666667,-16.6436666667
229.52,-17.1704,-15.6912666667,-16.5058,-13.7404666667,-11.3398,-14.1265,-14.3703833333,-19.2069666667,-15.0804
229.89,-20.968,-19.8678666667,-19.978,-16.5235333333,-15.9075333333,-17.3045666667,-18.6496833333,-22.9152666667,-18.9439333333
230.27,-22.4026,-20.6926666666,-20.7575333333,-17.3160666667,-16.1255333333,-19.4155666666,-20.1733166667,-25.3248,-19.3291
230.65,-21.877,-20.3450666667,-19.5684666667,-16.8716,-15.8790666667,-19.0291333333,-19.98915,-25.2859666667,-17.3569333333
