wavelength,Back_PhrUnif,Belly_PhrUnif,Breast_PhrUnif,Crissum_PhrUnif,Crown_PhrUnif,DorTail_PhrUnif,Rump_PhrUnif,Throat_PhrUnif,WingTip_PhrUnif
770.07,13.3549333333,23.7456666667,20.8778666667,21.9591333333,13.3232666667,14.5210666667,13.4526666667,19.8846666667,14.2621333334
770.38,13.2265333333,23.8914666666,20.8398,22.0448666667,13.2654,14.5931333333,13.3177333333,19.8526333333,14.1601333333
770.69,12.9911,23.8049333333,20.8298,22.1641333333,13.2064666667,14.4801333333,13.299,19.7858,14.0521333333
771.00,12.8646666667,23.895,20.8752666667,22.1548666667,13.0264,14.4,13.1770666667,19.6336666667,14.0203333333
771.32,13.1137666667,24.0850666666,21.1000666667,22.3128,13.1741333333,14.6144666666,13.3636,20.0109333333,14.2331333333
771.63,13.2092333333,24.0159333333,21.2246,22.2976,12.9886666667,14.6683333334,13.4629333333,20.0841,14.3620666667
771.94,13.389,24.2460666667,21.4135333333,22.6014666667,13.1608,14.9416,13.7647333333,20.2685666667,14.6773333333
772.25,13.0421333333,23.9860666667,21.2096,22.2024,12.8496,14.6638666667,13.4794,19.9086333333,14.2138666667
772.56,13.0383333333,23.9902666667,21.2938666667,22.4797333333,13.0768,14.8182,13.6125333333,20.0142666667,14.2796
772.87,13.2078666667,24.3378,21.5563333333,22.8275333333,13.4543333333,15.1896,13.9155333333,20.3891666667,14.5669333333
773.18,12.6941666667,23.8096,21.0718,22.2281333333,12.8791333333,14.7516666667,13.4206666667,19.9576666667,13.9915333333
773.50,12.5095666667,23.6310666667,20.8841333333,21.9392666667,12.573,14.6036,13.1269333333,19.7847666667,13.7401333334
773.81,12.766,23.8373333333,21.0669333333,22.0600666667,12.9266666667,14.6861333333,13.4925333333,20.0544,14.1114666667
774.12,13.4013333333,24.3506666667,21.6474,22.4518666667,13.4899333333,15.1552666667,13.9337333333,20.5959333333,14.6021333333
774.43,13.5000333333,24.4068,21.9172666667,22.4832,13.6608666667,15.2746666667,14.0896,20.8500333333,14.8726666667
774.74,13.0653333333,24.2236,21.6540666666,22.2896,13.3724666667,14.9661333333,13.7099333333,20.5407666667,14.5745333333
775.05,13.1136666667,24.2849333333,21.6788,22.3242,13.5393333333,14.797,13.606,20.4167333333,14.4574666667
775.36,13.1519666667,24.2829333333,21.6918666667,22.1276,13.5039333333,14.6928666667,13.5589333333,20.3643333333,14.2265333333
775.67,13.2962666667,24.8118,22.0679333333,22.3857333333,13.7838666667,14.9692,13.8550666667,20.6558333333,14.503
775.98,13.2709333333,25.0412666667,21.9528,22.112,13.5268,14.9024666667,13.7982666667,20.4694,14.4096
776.30,12.9931,25.0901333333,21.586,21.7030666667,13.0578666667,14.5710666666,13.4218666667,20.1187333333,14.1024666667
776.61,12.6653333333,24.8528666667,21.1268666667,21.4118,12.7604,14.1406,13.0896,19.7514333333,13.8335333333
776.92,12.7389333333,24.8470666667,21.1762,21.4552,12.9306666667,14.0688666667,13.2382666667,19.8604666667,13.9514666667
777.23,12.6631,24.7264,21.0022,21.3212666667,12.628,13.9748666667,13.0142,19.7016333333,13.7674
777.54,12.5873,24.4924,20.6341333333,21.172,12.5681333333,13.8553333333,13.0036666667,19.5837,13.5638666667
777.85,13.2199666666,24.7978666667,20.8434,21.5938666666,12.9629333333,14.3524,13.4898666667,20.0607,13.9754
778.16,13.8728,25.1533333333,21.1995333333,21.7834,13.4666666667,14.8912,14.0252,20.2666333333,14.5422666667
778.47,13.8541,25.25,21.1025333333,21.9262666667,13.6410666667,15.1378666667,14.1699333333,20.3573666667,14.5224
778.78,13.5867333333,25.2914,20.9685333333,21.866,13.6239333333,15.1959333333,14.1726666667,20.2193666667,14.5536
