wavelength,Back_RamNigf,Belly_RamNigf,Breast_RamNigf,Crissum_RamNigf,Crown_RamNigf,DorTail_RamNigf,Rump_RamNigf,Throat_RamNigf,WingTip_RamNigf
591.11,3.13853333333,5.44586666667,11.8501333333,5.619,9.01973333334,4.75286666667,12.9424,2.71473333333,5.1986
591.44,3.1408,5.45,12.0146666667,5.6194,9.16859999999,4.76033333333,13.078,2.7212,5.1738
591.78,3.20113333333,5.4998,12.1941333333,5.66933333333,9.38253333333,4.814,13.2543333333,2.76,5.22153333333
592.12,3.21913333333,5.50466666667,12.347,5.67473333333,9.55206666666,4.8464,13.3872,2.78726666667,5.22506666666
592.46,3.23633333333,5.5378,12.5291333333,5.70166666667,9.7812,4.88053333333,13.5388,2.81973333333,5.23306666667
592.79,3.25406666667,5.54486666667,12.7045333333,5.70453333333,9.94620000001,4.91466666667,13.6812,2.83966666667,5.22266666666
593.13,3.2474,5.51626666667,12.8873333333,5.6908,10.1216,4.8994,13.8132,2.83253333333,5.2066
593.47,3.25133333333,5.53633333333,13.0788666667,5.7034,10.3151333333,4.9178,13.9646666667,2.86473333333,5.21513333333
593.80,3.24906666666,5.5208,13.2608666667,5.69706666667,10.4734666667,4.90126666667,14.1166,2.87606666667,5.20426666666
594.14,3.2456,5.53253333333,13.4412666667,5.68573333333,10.6462,4.89986666667,14.2828,2.88913333333,5.20193333333
594.48,3.28426666667,5.56453333333,13.6637333333,5.7254,10.8723333333,4.93313333333,14.4622,2.9226,5.2298
594.81,3.30833333333,5.59706666667,13.8982666667,5.75573333333,11.097,4.9612,14.6558,2.9436,5.26473333333
595.15,3.33006666667,5.61446666667,14.082,5.76586666667,11.2673333334,4.99313333333,14.8094,2.97046666667,5.30773333333
595.49,3.30913333333,5.6236,14.2488666667,5.77053333333,11.4098,4.99293333333,14.9280666667,2.9702,5.3048
595.82,3.30113333333,5.64033333333,14.4175333333,5.7884,11.5954,4.99906666667,15.0811333333,2.96406666667,5.33246666667
596.16,3.31473333333,5.64933333333,14.5806666667,5.8008,11.7304666666,4.99593333333,15.2009333333,2.96486666667,5.3628
596.50,3.302,5.6424,14.7153333333,5.78366666667,11.8654666667,4.96613333333,15.2929333333,2.93846666667,5.36953333333
596.83,3.3016,5.64873333333,14.8592,5.7922,12.0197333333,4.9668,15.3954666667,2.935,5.3912
