wavelength,Back_SpoCorm,Belly_SpoCorm,Breast_SpoCorm,Crissum_SpoCorm,Crown_SpoCorm,DorTail_SpoCorm,Patch10_SpoCorm,Rump_SpoCorm,Throat_SpoCorm,WingTip_SpoCorm
381.61,5.5505,5.64106666666,4.99506666667,5.6746,6.3568,7.6693,19.1838666667,8.8044,5.83873333334,7.252
381.97,5.47063333333,5.57726666667,4.90316666667,5.57193333333,6.26106666667,7.57923333333,19.1145333333,8.71373333335,5.77026666667,7.10983333333
382.33,5.3885,5.5298,4.77223333333,5.45326666667,6.2162,7.55666666667,19.0866666667,8.6504,5.76713333333,7.03546666667
382.69,5.43093333333,5.64746666667,4.84213333334,5.5336,6.26453333334,7.59283333333,19.1983333333,8.65080000001,5.83119999999,7.03186666667
383.05,5.38143333333,5.60166666667,4.8765,5.52506666667,6.19760000001,7.5969,19.2874666667,8.64393333333,5.79433333333,6.98316666667
383.41,5.48103333333,5.67206666667,4.93703333333,5.60553333333,6.31733333333,7.6887,19.4858666667,8.71133333333,5.89026666666,7.07346666667
383.77,5.46293333333,5.68593333333,4.93423333333,5.60053333333,6.27753333334,7.6794,19.4357333333,8.66180000001,5.85926666666,7.06273333333
384.14,5.46463333333,5.7134,4.9866,5.6714,6.31380000001,7.72326666667,19.5059333333,8.68226666667,5.9182,7.08763333333
384.50,5.6011,5.7676,5.093,5.82653333333,6.4038,7.76526666667,19.649,8.80200000001,6.02479999999,7.20583333333
384.86,5.63503333333,5.77313333333,5.12743333333,5.84646666667,6.42306666667,7.76683333333,19.6452,8.83386666665,6.06466666667,7.21256666667
385.22,5.58673333333,5.77893333333,5.10013333333,5.83513333333,6.39066666668,7.76233333333,19.6597333333,8.82213333333,6.03833333333,7.25046666667
385.58,5.7154,5.8516,5.19793333333,5.89973333333,6.54266666667,7.85306666667,19.7616666667,8.94293333335,6.16673333333,7.38636666667
385.94,5.77843333333,5.86053333333,5.2051,5.94226666667,6.5526,7.87373333333,19.7697333333,8.97066666666,6.20293333333,7.42426666667
386.30,5.77796666667,5.80973333333,5.2174,5.92326666667,6.51333333333,7.8461,19.7415333333,8.92039999999,6.12866666667,7.37463333333
386.66,5.7784,5.79086666667,5.21003333333,5.951,6.52533333333,7.8401,19.7362,8.93513333333,6.10546666667,7.3432
387.03,5.84596666667,5.8752,5.25696666667,6.0134,6.58206666667,7.91043333333,19.7958666667,9.00006666666,6.17893333333,7.39286666667
387.39,5.8522,5.8712,5.25273333333,6.0324,6.55046666667,7.90386666667,19.7912666667,9.01019999999,6.16086666667,7.44833333333
387.75,5.95183333333,5.92066666667,5.2916,6.13353333333,6.65819999999,7.9981,19.9853333333,9.16266666665,6.25579999999,7.55943333333
388.11,5.94616666667,5.87933333333,5.26263333333,6.0924,6.6088,7.9567,19.9389333333,9.12173333333,6.21833333333,7.4963
388.47,5.8389,5.7648,5.12116666667,5.9194,6.4956,7.82606666667,19.8651333333,9.03513333334,6.10059999999,7.3793
388.83,5.8684,5.82066666667,5.11926666667,5.97933333333,6.58326666666,7.89483333333,19.9278,9.07726666667,6.12486666666,7.44306666667
389.19,5.9426,5.89773333333,5.17393333333,6.0922,6.68846666667,7.9806,20.0156,9.14306666667,6.15686666667,7.49663333333
389.55,5.8465,5.82106666667,5.07363333333,6.04713333333,6.58533333334,7.9034,19.9696,9.02819999999,6.07759999999,7.40753333333
389.91,5.8317,5.82813333333,5.0858,6.02313333333,6.58606666667,7.91883333333,19.9976,9.035,6.09766666667,7.40013333333
390.27,5.87176666667,5.9244,5.12323333333,6.05733333333,6.66533333333,7.98763333333,20.1297333333,9.12253333333,6.19240000001,7.4965
390.63,5.84963333333,5.87253333333,5.07586666667,5.99433333333,6.62746666667,7.95666666667,20.097,9.07966666667,6.22366666667,7.5172
391.00,5.90253333333,5.9206,5.07053333333,6.01906666667,6.71766666667,7.9932,20.1534,9.11913333333,6.27546666667,7.5884
391.36,5.8319,5.8526,5.05906666667,5.93126666667,6.66613333333,7.93396666667,20.0988,9.02993333333,6.22613333334,7.50086666667
391.72,5.75903333333,5.82633333333,5.0617,5.8594,6.62160000001,7.88663333333,20.0456,8.96213333334,6.2232,7.4404
392.08,5.81643333333,5.89693333333,5.1183,5.9248,6.71786666666,7.9189,20.1579333333,9.03520000001,6.29846666667,7.4882
392.44,5.87293333334,5.93846666667,5.21566666667,5.9902,6.76866666667,7.96693333333,20.1852,9.05540000001,6.35413333333,7.53316666667
392.80,5.80196666667,5.8922,5.1988,5.9102,6.712,7.91266666667,20.1701333333,9.01573333333,6.3252,7.43376666667
393.16,5.71143333333,5.80486666667,5.08216666667,5.7654,6.59573333333,7.81403333333,20.1067333333,8.93560000001,6.24993333333,7.34103333333
393.52,5.6473,5.7534,5.02023333333,5.67466666667,6.52353333334,7.71383333333,20.0448,8.87006666668,6.16226666667,7.26143333333
393.88,5.62583333333,5.70273333333,5.01026666667,5.6676,6.49853333333,7.6422,20.0706666667,8.86513333333,6.14599999999,7.26623333333
394.24,5.59566666667,5.63746666667,4.96393333333,5.6184,6.43226666667,7.59693333333,20.0162666667,8.81466666668,6.09146666667,7.23296666667
394.60,5.6255,5.69906666667,4.9949,5.665,6.45420000001,7.6212,20.1139333333,8.85606666667,6.07633333334,7.23426666667
394.96,5.56373333333,5.65793333333,5.00756666667,5.59833333333,6.38226666666,7.56986666667,20.0588666667,8.8094,6.02726666667,7.157
395.32,5.55943333333,5.62746666667,4.95186666667,5.5646,6.34566666666,7.53416666667,20.0564666667,8.81006666667,6.01073333334,7.1284
395.68,5.63556666667,5.62133333333,4.99236666667,5.6002,6.408,7.60603333333,20.0744666667,8.85493333333,6.01620000001,7.1313
396.04,5.57413333333,5.6052,4.9566,5.51013333333,6.35180000001,7.5557,19.9786666667,8.81546666667,5.94873333333,7.11773333333
396.40,5.65356666667,5.656,5.02156666667,5.58286666666,6.46506666666,7.68076666667,20.1014,8.927,6.0242,7.17143333333
396.76,5.76366666666,5.7356,5.11296666667,5.69273333333,6.57746666667,7.7471,20.209,9.03346666667,6.10706666667,7.29316666667
397.12,5.96393333333,5.9288,5.33586666667,5.8954,6.79493333333,7.90306666667,20.3986,9.22986666667,6.30213333333,7.46873333333
397.48,6.0322,5.9472,5.38436666667,5.96806666667,6.83846666667,7.97706666667,20.4567333333,9.29973333334,6.35579999999,7.48893333333
397.84,6.02263333333,5.98146666667,5.3942,5.96733333333,6.88753333334,8.02503333333,20.4699333333,9.34493333333,6.38646666666,7.47823333333
398.20,6.0873,6.06093333333,5.49366666667,6.05013333333,6.99493333334,8.0978,20.5552,9.43673333335,6.44926666667,7.50996666667
398.56,6.11713333333,6.07853333333,5.55613333333,6.1134,7.0476,8.16913333333,20.5781333333,9.46326666667,6.54100000001,7.58096666667
398.92,6.1363,6.0734,5.5039,6.17026666667,7.06346666667,8.17146666667,20.6372,9.44680000001,6.54806666666,7.5867
399.28,6.1217,6.08906666667,5.50036666667,6.21293333333,7.09286666668,8.1772,20.6683333333,9.46919999999,6.53140000001,7.57216666667
399.64,6.07333333333,6.08506666667,5.43686666667,6.1782,7.01773333333,8.12463333333,20.6776,9.42819999999,6.48699999999,7.5459
400.00,6.1094,6.08226666667,5.4359,6.20393333333,7.024,8.12256666667,20.7238666667,9.42873333334,6.5278,7.52183333333
400.36,6.01953333333,6.05513333333,5.3482,6.15506666667,6.9496,8.0092,20.6949333333,9.35646666666,6.46606666666,7.44493333333
400.72,5.9969,6.04766666667,5.2831,6.11233333333,6.90513333332,7.9604,20.6544666667,9.31573333332,6.41133333333,7.3992
401.08,5.83306666667,5.91846666667,5.14056666667,6.0002,6.78060000001,7.87586666667,20.5737333333,9.20453333334,6.31493333333,7.26596666667
401.44,5.86453333333,6.01173333333,5.2053,6.0722,6.85580000001,7.942,20.6841333333,9.27993333333,6.39586666666,7.33786666667
401.80,5.9385,6.07193333333,5.2597,6.1386,6.92053333332,8.0125,20.766,9.32213333332,6.44960000001,7.41156666667
402.16,5.8919,6.0462,5.2164,6.13406666667,6.87840000001,7.95683333333,20.7634666667,9.25246666666,6.42746666667,7.37216666667
402.52,5.81473333333,6.00053333333,5.15283333333,6.0454,6.84773333333,7.86623333333,20.7314666667,9.21953333333,6.35713333333,7.3398
402.88,5.7876,5.96726666667,5.14983333333,6.02286666667,6.84560000001,7.8468,20.7014666667,9.23159999999,6.33813333333,7.29803333333
403.24,5.77373333333,5.9406,5.15726666667,6.0236,6.85200000001,7.83866666667,20.7498666667,9.23979999999,6.36606666667,7.31086666667
403.60,5.79456666667,5.9666,5.1631,6.05746666667,6.91633333333,7.83053333333,20.7983333334,9.26893333333,6.4236,7.34196666667
403.95,5.89683333333,6.04893333333,5.2431,6.143,7.00253333332,7.92313333333,20.9322,9.37253333335,6.49093333333,7.41143333333
404.31,5.9213,6.04746666666,5.27033333333,6.12666666667,7.02979999999,7.95173333333,20.9529333333,9.38373333333,6.52126666667,7.42036666667
404.67,5.91733333333,6.01773333333,5.29423333333,6.14226666666,7.01706666667,7.94743333333,20.9363333334,9.37993333333,6.527,7.42683333333
405.03,5.99996666667,6.06653333333,5.33413333333,6.18906666667,7.06686666666,7.9703,20.9680666667,9.40086666666,6.58306666666,7.48006666667
