wavelength,Back_DigCyam,Belly_DigCyam,Breast_DigCyam,Crissum_DigCyam,Crown_DigCyam,DorTail_DigCyam,Patch10_DigCyam,Rump_DigCyam,Throat_DigCyam,WingTip_DigCyam
626.94,10.1845333333,10.0554666667,9.9016,10.0495333333,12.8798,8.12713333333,4.99173333333,8.51566666667,11.0988666667,10.3705333333
627.28,10.1826666667,10.0639333333,9.89059999999,10.0768666666,12.8827333333,8.131,5.00646666667,8.53666666667,11.0532666667,10.3996666667
627.61,10.2585333333,10.1345333333,9.97013333334,10.136,12.9553333333,8.24286666667,5.0744,8.61386666667,11.0949333333,10.4492
627.94,10.3171333333,10.1934666667,10.0473333333,10.2044666667,12.9865333333,8.31606666667,5.12833333334,8.68166666667,11.13,10.502
628.27,10.3601333333,10.236,10.0784,10.2386,13.0349333333,8.38126666667,5.187,8.71560000001,11.1822,10.5566666667
628.61,10.3812,10.2492666667,10.1146666667,10.2733333333,13.0544666667,8.4182,5.24213333333,8.755,11.2236,10.5998666667
628.94,10.3488666667,10.2385333333,10.0788,10.2433333333,13.0522666667,8.40993333333,5.271,8.75026666667,11.2288666667,10.6012
629.27,10.2448,10.1092666667,9.913,10.1297333333,12.9194,8.30713333333,5.1454,8.62339999999,11.0955333334,10.4864666667
629.60,10.2784666667,10.1335333333,9.89026666667,10.1206666667,12.9004,8.3134,5.15033333334,8.63553333333,11.0693333333,10.5156666667
629.94,10.3305333333,10.185,9.92693333334,10.1626,12.9471333333,8.36933333333,5.23593333333,8.68833333333,11.1292,10.5298666667
630.27,10.2768666667,10.1142666667,9.86280000001,10.1259333333,12.8937333333,8.33126666667,5.1948,8.6296,11.0738666666,10.4465333333
630.60,10.2654666667,10.1241333333,9.90693333333,10.1512,12.8840666667,8.3566,5.21406666667,8.6556,11.111,10.4608666667
630.93,10.3218666667,10.1454,9.94340000001,10.1514,12.877,8.41886666666,5.27586666667,8.64926666667,11.1598,10.4735333333
631.26,10.2244,10.0634,9.84286666666,10.0692,12.7427333333,8.31166666667,5.20046666667,8.56406666667,11.1114666667,10.433
631.60,10.1290666667,9.98926666667,9.75446666667,9.97986666667,12.6672,8.24,5.13,8.48753333333,11.0922,10.392
631.93,10.1348666667,9.99573333333,9.7532,9.97873333332,12.654,8.24833333333,5.08326666667,8.50993333333,11.0970666667,10.4119333333
632.26,10.1405333333,9.99433333333,9.74746666667,9.97160000001,12.6344666667,8.2434,5.0334,8.46446666667,11.0742,10.3576666667
632.59,10.1176,9.99966666668,9.7406,9.95913333331,12.6286,8.241,5.00513333333,8.4442,11.037,10.3470666667
632.92,10.1394,10.0603333333,9.79386666667,9.98253333333,12.7027333333,8.29566666667,5.0742,8.47446666667,11.0859333334,10.3918
633.26,10.0698,9.97899999999,9.7644,9.94973333333,12.6292,8.25793333333,5.0134,8.4054,11.0225333333,10.3312
633.59,10.0268666667,9.92166666666,9.72673333334,9.88979999998,12.5696,8.2414,4.95433333333,8.34826666667,10.9370666667,10.3050666667
633.92,10.0475333333,10.0427333333,9.8,9.95486666667,12.6005333333,8.2892,5.04653333333,8.41733333333,10.977,10.4262666667
634.25,10.0788,10.0795333333,9.831,10.0071333333,12.66,8.352,5.1046,8.43673333333,10.9828,10.5049333333
634.58,10.0391333333,10.1188666667,9.8376,10.0271333333,12.6732666667,8.33353333333,5.1124,8.4634,10.9899333333,10.5756
634.91,10.0821333333,10.1462,9.86766666666,10.0659333333,12.7231333333,8.35733333333,5.1366,8.5214,11.0120666666,10.618
635.25,10.0899333333,10.1890666667,9.93120000001,10.1009333333,12.7307333333,8.44273333333,5.1776,8.54473333333,11.0079333333,10.6350666666
635.58,9.9894,10.1104666667,9.86580000001,10.0234666667,12.6506666667,8.378,5.16413333334,8.47813333333,10.9454666667,10.5656
635.91,9.85893333333,10.0074666667,9.75586666667,9.93173333333,12.5465333333,8.28806666667,5.10606666667,8.40973333333,10.8328,10.5199333333
636.24,9.86513333334,10.0090666667,9.77326666666,9.93040000001,12.5368,8.28473333333,5.13106666667,8.3886,10.8452,10.5212666666
636.57,9.90906666666,10.0552666667,9.80320000001,9.9774,12.5812,8.3118,5.16826666667,8.44446666667,10.9061333333,10.5796
636.90,9.95666666667,10.0896666667,9.7964,9.9832,12.6104,8.36113333333,5.23126666667,8.5052,10.9676666667,10.6085333333
637.23,10.0776,10.2052666667,9.89693333333,10.0854,12.7118666667,8.48733333333,5.3634,8.65713333333,11.123,10.7305333333
637.56,10.098,10.1812,9.86926666665,10.0766,12.7316,8.47626666667,5.34593333333,8.67226666667,11.1336,10.7178
637.90,10.0252666667,10.0799333333,9.76099999999,9.98353333333,12.6508,8.37913333333,5.2504,8.59546666667,11.0503333333,10.6410666667
638.23,10.0417333333,10.085,9.70806666667,9.95886666667,12.6432,8.39093333333,5.19466666667,8.5754,11.0320666667,10.5941333333
638.56,9.88193333333,9.9146,9.54026666666,9.79933333334,12.4974666667,8.2892,5.07173333333,8.40653333333,10.8832666667,10.4416666667
