wavelength,Back_ThlRufm,Belly_ThlRufm,Breast_ThlRufm,Crissum_ThlRufm,Crown_ThlRufm,DorTail_ThlRufm,Patch10_ThlRufm,Rump_ThlRufm,Throat_ThlRufm,WingTip_ThlRufm
786.53,18.38875,63.6456666666,57.8006666667,53.1158333333,50.0290833334,23.78875,34.55925,21.979,59.3766666667,22.0374166666
786.84,19.0890833333,64.4183333333,58.5578333333,53.6843333333,51.0950833333,24.2600833333,35.1828333333,22.846,59.8925833333,22.0625
787.14,19.43025,64.1168333333,58.2550833334,53.5755,51.0469166667,24.1951666667,34.8716666667,22.5926666667,59.3445833333,22.04425
787.45,18.9054166667,63.8135833333,57.7260833333,53.2275,50.678,23.8489166666,34.5268333333,22.055,59.2726666667,21.2783333333
787.76,18.3404166667,63.0753333334,57.4965,52.9149166667,50.04175,23.5844166667,33.5425,21.5620833333,58.4309166666,20.8575833333
788.07,18.2768333333,63.0400833333,57.2804166666,52.9108333333,49.821,23.7818333333,33.45725,21.6763333333,58.4985833333,21.0159166667
788.38,18.5706666666,63.6384166667,57.7539166667,53.54575,50.5243333333,24.6619166667,33.6299166666,22.2614166667,58.94725,21.6956666667
788.69,19.035,63.32925,57.3504166667,53.4739166666,50.2456666667,24.7203333333,33.2923333334,22.5499166666,58.4015833334,21.8468333333
789.00,19.5156666667,64.25225,58.02275,54.3115833333,50.8141666667,25.5796666666,33.8713333333,22.8476666666,59.0576666667,22.4268333333
789.31,19.6930833333,64.4698333333,58.1658333333,54.4769166667,51.1506666666,25.6624166667,33.61925,22.8034166667,59.4071666667,22.6358333333
789.62,18.9214166666,64.1999166667,57.881,53.5341666666,50.4310833333,24.9364166667,32.8385,22.1444166667,59.0825,22.003
789.92,18.0014166667,63.8384166666,57.25825,52.8715833333,49.4588333334,24.35075,31.9191666667,21.0894166667,58.54975,21.3636666666
790.23,16.6298333333,62.9678333334,56.2998333333,52.2620833333,48.2833333333,23.4454166667,30.3345833334,19.5621666667,57.67025,20.9989166667
790.54,16.6666666667,63.1433333333,56.4256666667,52.2068333333,48.5264166667,23.9900833334,30.7749166667,19.8308333334,57.7423333333,21.43925
790.85,16.4593333333,63.1170833333,56.6775,52.6449166667,48.965,24.1413333333,30.97225,19.8556666667,57.70475,21.8796666667
791.16,15.32575,63.1225833333,56.4335,52.2589166667,48.77875,23.2439166667,30.5075,18.9175833333,58.1499166667,20.9371666667
791.47,15.5183333333,63.3283333334,57.20975,52.1325,49.0321666667,23.3185,30.8151666667,18.85675,58.6696666666,20.6693333334
791.78,15.0953333333,62.429,56.6031666667,51.1869166666,48.4035,22.0995833333,30.4998333333,17.9288333333,58.4754166667,19.8094166667
792.08,16.0374166667,63.4353333333,57.6616666666,51.7943333333,49.50675,22.4746666667,31.8029166667,18.4438333333,59.847,20.7566666667
792.39,16.459,64.2091666667,58.52375,52.371,50.4153333333,23.0356666667,33.1169166667,19.22825,60.3235833333,21.08875
792.70,15.5668333333,63.701,58.4036666666,52.0328333333,49.8063333333,22.0258333334,32.81425,18.1889166667,59.6796666666,20.0896666667
793.01,15.7706666667,63.8976666667,59.0055,52.6791666666,50.5825,22.1953333333,33.7633333333,17.8853333333,60.3584166667,20.06275
793.32,15.1294166667,62.8370833334,58.3514166667,51.8429166667,50.21575,21.4041666667,33.1805,17.43975,59.8525833333,19.2825833333
793.62,16.3771666667,63.00875,58.2541666667,52.3158333333,50.4825,22.1841666667,34.4826666667,18.5614166667,59.7281666667,20.0351666666
793.93,15.9378333333,62.8466666667,58.1225833333,51.774,49.86825,21.3469166666,33.8951666667,18.12425,59.6155,19.4679166666
794.24,15.6336666667,62.4044166667,57.3523333333,51.3106666667,48.941,20.5295833334,33.52425,17.7776666667,59.045,18.993
794.55,16.9060833333,63.22225,58.0170833333,52.5213333333,49.4443333333,21.7095,35.0000833333,19.0598333333,59.7605833333,19.89725
794.86,17.1554166666,63.2625,57.634,53.0335,49.3681666667,21.8824166667,34.87525,19.127,59.6141666667,20.1046666667
795.16,18.21725,64.9503333333,58.6485,54.23725,50.3980833334,23.2753333333,35.7463333333,20.3566666667,60.34825,21.74125
795.47,16.7908333333,64.20075,57.7624166666,53.608,49.2220833333,22.4759166667,34.4505833333,19.0086666667,59.4420833333,20.1339166667
795.78,16.905,64.1494166667,57.5763333333,53.8745,49.054,22.4581666667,33.8185833333,18.8466666667,59.7565,20.1218333333
796.09,17.20575,65.27375,58.1258333334,55.1659166667,49.5853333334,23.1014166667,34.1294166667,19.3616666667,60.9453333333,20.3896666667
796.40,17.7951666667,65.5625,58.3496666667,55.5039166666,49.66475,24.0105,34.2164166667,20.2078333334,60.9585833333,21.4754166667
796.70,19.4930833333,67.11075,59.7385,57.114,51.187,25.9285833333,35.7963333333,22.1013333333,62.15275,23.1346666666
797.01,20.55,68.5469166667,61.1084166667,58.2020833334,52.2824166667,26.97875,36.5844166667,23.0296666667,63.5468333333,23.5468333333
797.32,21.1208333333,68.01925,60.787,57.8795833333,52.2918333333,27.3243333333,36.9453333333,23.5423333333,63.35425,24.2874166667
