wavelength,Back_ChrSalf,Belly_ChrSalf,Breast_ChrSalf,Crissum_ChrSalf,Crown_ChrSalf,DorTail_ChrSalf,Patch10_ChrSalf,Patch11_ChrSalf,Rump_ChrSalf,Throat_ChrSalf,WingTip_ChrSalf
656.04,12.4576666667,43.1333333333,35.376,42.0056666667,8.42566666667,10.138,34.9546666667,33.671,15.7953333333,32.3613333333,11.664
656.37,12.287,42.855,35.34,41.8836666667,8.307,9.765,34.7686666667,33.483,15.7736666667,32.2236666667,11.4125
656.69,12.3353333333,42.8263333333,35.2976666667,41.915,8.41733333333,9.778,34.877,33.571,15.796,32.2833333333,11.43
657.02,12.3796666667,42.972,35.481,41.9393333333,8.57,9.649,35.088,33.5976666667,15.9146666667,32.3716666667,11.4455
657.35,12.3076666667,43.007,35.5866666667,41.9406666667,8.639,9.76,35.1606666667,33.527,15.9136666667,32.3436666667,11.4995
657.68,12.437,43.0023333333,35.7263333333,42.05,8.67033333333,9.934,35.2266666667,33.695,16.0866666667,32.4383333333,11.628
658.01,12.3656666667,43.042,35.6936666667,41.9806666667,8.68666666667,9.992,35.124,33.7273333333,16.0676666667,32.3826666667,11.604
658.34,12.3066666667,42.9466666667,35.6306666667,41.869,8.698,9.895,35.187,33.7796666667,16.0993333333,32.3226666667,11.5825
658.66,12.317,42.8513333333,35.661,42.061,8.74033333333,9.958,35.128,33.7516666667,16.1383333333,32.2673333333,11.5385
658.99,12.4016666667,42.9916666667,35.713,42.2726666667,8.84466666667,10.047,35.358,33.96,16.246,32.422,11.5975
659.32,12.4263333333,43.058,35.8176666667,42.1926666667,8.93766666667,10.066,35.4483333333,33.9626666667,16.3203333333,32.4133333333,11.7
659.65,12.4093333333,43.0646666667,35.785,42.0286666667,8.85566666667,10.027,35.3713333333,33.916,16.3013333333,32.2946666667,11.6805
659.98,12.4603333333,43.148,35.721,41.9373333333,8.947,10.294,35.4873333333,33.952,16.3316666667,32.3383333333,11.7635
660.31,12.3263333333,43.0996666667,35.6996666667,41.7473333333,8.863,10.279,35.3553333333,33.7943333333,16.2473333333,32.1196666667,11.7085
660.63,12.2063333333,43.0326666667,35.518,41.6463333333,8.75433333333,10.282,35.2676666667,33.6713333333,16.0406666667,32.0343333333,11.6855
660.96,12.2003333333,42.9843333333,35.3343333333,41.5483333333,8.77566666667,10.312,35.193,33.657,15.977,31.9833333333,11.7015
661.29,12.0373333333,42.7896666667,35.2643333333,41.4163333333,8.753,10.159,35.1453333333,33.5113333333,15.919,31.9633333333,11.6795
661.62,12.0773333333,42.846,35.3086666667,41.4496666667,8.76,10.402,35.176,33.5003333333,15.8986666667,32.039,11.786
661.94,12.1773333333,42.8863333333,35.4326666667,41.643,8.79566666667,10.715,35.2566666667,33.5236666667,15.9463333333,32.1603333333,11.825
662.27,12.2576666667,43.042,35.5256666667,41.526,8.81066666667,10.821,35.322,33.5623333333,15.916,32.2533333333,11.76
662.60,12.2656666667,43.057,35.4123333333,41.3776666667,8.80933333333,10.75,35.2406666667,33.5426666667,15.92,32.2546666667,11.68
662.93,12.2816666667,42.9536666667,35.363,41.3333333333,8.743,10.673,35.1483333333,33.5093333333,15.7396666667,32.2726666667,11.6325
663.26,12.33,42.953,35.355,41.4793333333,8.865,10.863,35.2846666667,33.5836666667,15.7713333333,32.5123333333,11.755
663.58,12.156,42.8616666667,35.1743333333,41.4436666667,8.66133333333,10.459,34.9303333333,33.549,15.4386666667,32.439,11.6085
663.91,12.159,42.9583333333,35.2056666667,41.7726666667,8.72333333333,10.417,34.901,33.7316666667,15.5093333333,32.7566666667,11.69
664.24,12.3876666667,43.238,35.269,41.9406666667,8.81733333333,10.563,34.96,33.8933333333,15.7073333333,33.086,11.947
664.57,12.501,43.249,35.389,41.9233333333,8.89833333333,10.57,35.0763333333,33.867,15.7283333333,33.1206666667,11.978
664.89,12.4593333333,43.3346666667,35.3256666667,42.0143333333,8.68133333333,10.484,34.983,33.8236666667,15.5096666667,33.071,11.9435
665.22,12.421,43.2523333333,35.2343333333,42.0503333333,8.62333333333,10.166,34.979,33.8236666667,15.4516666667,33.0863333333,11.9245
665.55,12.5323333333,43.3173333333,35.3056666667,41.9816666667,8.73766666667,9.988,34.853,33.769,15.4693333333,33.043,12.101
665.87,12.542,43.2933333333,35.244,41.9806666667,8.75866666667,9.849,34.7223333333,33.6753333333,15.4866666667,33.1453333333,12.1315
666.20,12.452,43.0566666667,35.2316666667,41.907,8.81666666667,9.719,34.5296666667,33.5803333333,15.398,32.9883333333,12.1455
666.53,12.375,43.1156666667,35.221,42.048,8.82933333333,9.705,34.562,33.6183333333,15.4743333333,32.925,12.135
666.86,12.3733333333,43.1286666667,35.3263333333,42.1573333333,8.81133333333,9.566,34.7453333333,33.647,15.4603333333,32.922,12.187
667.18,12.5156666667,43.2053333333,35.409,42.351,8.97966666667,9.775,34.9036666667,33.7163333333,15.5806666667,32.9796666667,12.3265
667.51,12.689,43.376,35.462,42.2576666667,9.13666666667,10.268,35.0866666667,33.684,15.7736666667,33.0913333333,12.428
667.84,12.6193333333,43.2916666667,35.6826666667,42.1956666667,9.099,10.349,35.1226666667,33.7566666667,15.679,33.0263333333,12.329
668.16,12.4706666667,43.1656666667,35.5753333333,42.2076666667,8.895,10.171,34.9646666667,33.5893333333,15.556,32.9246666667,12.308
668.49,12.547,43.306,35.6243333333,42.271,8.995,10.285,35.0166666667,33.756,15.6176666667,32.9843333333,12.317
668.82,12.6296666667,43.438,35.793,42.2693333333,9.11166666667,10.382,35.1066666667,33.8356666667,15.723,33.166,12.5215
669.14,12.5093333333,43.215,35.5446666667,41.9133333333,9.00433333333,10.355,35.059,33.7166666667,15.663,33.0763333333,12.375
669.47,12.5073333333,43.1846666667,35.4746666667,41.8283333333,8.95666666667,10.456,35.225,33.681,15.6693333333,32.9043333333,12.4355
669.80,12.5553333333,43.272,35.5216666667,41.754,8.92233333333,10.638,35.271,33.79,15.7596666667,33.1523333333,12.5135
670.13,12.655,43.33,35.5913333333,41.514,8.98166666667,10.748,35.3556666667,33.647,15.8163333333,33.1643333333,12.5
670.45,12.6793333333,43.4666666667,35.7003333333,41.545,9.03133333333,10.92,35.3843333333,33.7573333333,15.8613333333,33.1963333333,12.4795
670.78,12.7153333333,43.4813333333,35.7163333333,41.383,9.12166666667,11.17,35.4736666667,33.7396666667,15.982,33.2913333333,12.539
671.10,12.768,43.364,35.7576666667,41.338,9.23966666667,10.89,35.584,33.7563333333,15.8776666667,33.2063333333,12.394
671.43,12.6693333333,43.2986666667,35.394,41.1226666667,9.15466666667,10.66,35.3466666667,33.474,15.8476666667,32.9923333333,12.0555
671.76,12.8036666667,43.6133333333,35.6973333333,41.2663333333,9.35666666667,10.949,35.5246666667,33.8293333333,16.069,33.2946666667,12.282
672.08,12.891,43.4956666667,35.7053333333,41.2233333333,9.51066666667,10.858,35.6143333333,33.733,16.067,33.4156666667,12.3435
672.41,12.9656666667,43.6643333333,35.7963333333,41.4866666667,9.61966666667,10.985,35.6776666667,33.8953333333,16.2276666667,33.465,12.3355
672.74,13.2463333333,43.9896666667,36.2243333333,42.1173333333,9.86866666667,11.343,36.0033333333,34.1123333333,16.443,33.9573333333,12.631
673.06,13.2663333333,44.1506666667,36.375,42.262,9.91766666667,11.209,36.05,34.1886666667,16.5263333333,34.1216666667,12.6385
673.39,13.4486666667,44.3103333333,36.52,42.3613333333,9.99833333333,11.169,36.3143333333,34.205,16.5546666667,34.1733333333,12.778
673.72,13.3953333333,44.2556666667,36.481,42.2863333333,9.99166666667,11.129,36.2156666667,34.318,16.462,34.2553333333,12.768
674.04,13.4153333333,44.1503333333,36.3956666667,42.2226666667,9.99733333333,11.254,36.0443333333,34.18,16.4366666667,34.054,12.7195
674.37,13.425,44.3156666667,36.5386666667,42.4906666667,9.82033333333,10.869,36.0573333333,34.2686666667,16.4213333333,34.019,12.524
674.69,13.2183333333,44.2436666667,36.385,42.4783333333,9.551,10.824,35.8373333333,34.136,16.3153333333,33.931,12.644
