wavelength,Back_LoxViom,Belly_LoxViom,Breast_LoxViom,Crissum_LoxViom,Crown_LoxViom,DorTail_LoxViom,Patch10_LoxViom,Rump_LoxViom,Throat_LoxViom,WingTip_LoxViom
781.26,4.52346666667,4.89103333333,2.16253333333,34.7647333333,3.85453333333,6.7172,32.4542,6.47606666667,40.1867333333,9.2648
781.57,4.15886666667,4.7027,1.964,34.4092,3.59553333333,6.3224,32.0071333333,6.2676,39.6597333333,9.19786666668
781.88,4.344,5.0298,2.37033333333,34.665,3.90793333333,6.6112,32.4494,6.75786666667,40.0436666667,9.64740000001
782.19,3.825,4.3945,1.9904,33.8128666667,3.18926666667,5.9112,31.8586,6.24306666667,39.2246666667,9.12866666667
782.50,4.0794,4.64306666667,2.43086666667,34.0112666667,3.59406666667,6.40593333334,31.9335333333,6.70266666667,39.4064,9.51460000001
782.81,4.43766666667,4.9777,2.7122,34.2102,3.88953333334,6.65846666667,32.2087333333,6.8372,39.8254666667,9.67526666667
783.12,4.3354,4.8508,2.74846666667,33.9550666667,3.79553333333,6.71173333333,32.0778,6.69526666667,39.7177333333,9.40693333333
783.43,4.47506666667,4.79853333333,2.66333333334,34.1348,3.71953333333,6.64993333333,32.2981333333,6.62066666667,40.3255333333,9.4552
783.74,5.12233333333,5.69163333333,3.2516,34.4844,4.14726666667,7.4408,32.7014666667,7.41573333333,40.8663333333,10.1359333333
784.05,5.43893333333,6.0697,3.5064,35.0338,4.346,7.67093333333,33.0084,7.751,41.3712,10.7636666667
784.36,5.36666666667,6.1813,3.4722,35.0097333333,4.00253333333,7.54753333333,32.9098666667,7.6418,41.6377333334,10.682
784.67,5.41473333333,6.50203333333,3.63873333333,35.3823333333,4.18026666667,7.663,33.1990666667,7.88826666667,42.2655333333,10.6649333333
784.98,6.00913333333,6.99326666667,4.17586666666,36.0723333333,4.70713333333,8.2124,33.9952,8.49993333333,43.0655333333,10.9166666667
785.29,6.20846666667,7.10943333333,4.07493333333,36.2041333333,4.7076,8.3594,34.3019333333,8.45993333333,43.2635333333,10.7635333333
785.60,6.44906666667,7.3302,4.3212,36.7233333333,4.98253333333,8.5988,34.6909333333,8.60313333333,43.6465333333,10.8399333333
785.91,5.903,6.9786,3.84813333333,36.6928,4.3848,8.06713333333,34.8036666666,8.15446666667,43.3902,10.2181333333
786.22,5.3672,6.39516666667,3.58093333333,36.358,3.83733333333,7.70106666667,34.485,7.7184,43.1594666667,9.82200000001
786.53,5.81,6.6242,4.04586666667,36.4801333333,3.99066666667,8.07053333333,34.3553333333,7.97713333334,42.9941333333,10.2332
786.84,5.80766666667,6.78176666667,4.143,36.3872,4.12253333333,8.06413333333,34.0567333333,8.05993333333,42.203,10.3083333333
787.14,5.81766666667,6.72716666667,4.0752,36.2805333333,4.20853333334,7.86333333333,34.0975333333,7.7784,41.9971333333,10.1596666667
787.45,6.23266666667,7.32146666667,4.52453333333,36.2880666667,4.864,8.29186666667,34.0748666667,8.1222,42.1144666667,10.3628666667
787.76,6.58173333334,7.85306666667,4.8966,36.309,5.39133333333,8.73826666666,34.3729333333,8.44826666666,42.2415333333,10.7554666667
788.07,6.33933333334,7.4562,4.81033333334,36.2604,5.21086666667,8.37666666666,34.4270666667,8.07626666667,42.2184,10.6337333333
788.38,6.11746666667,7.21193333333,4.639,36.0753333333,5.03073333333,8.2604,34.3050666667,7.74966666667,42.1350666667,10.6145333333
788.69,6.22833333333,7.2386,4.75706666667,36.1654666667,5.31333333333,8.3858,34.1948666666,7.85586666667,42.0317333333,10.7718
789.00,6.4086,7.4012,4.9316,36.0516,5.53533333333,8.59533333333,34.0737333333,8.06366666667,41.8450666667,11.0593333333
789.31,6.44033333333,7.46873333333,5.03546666667,36.0007333333,5.56133333333,8.85046666667,33.8783333333,8.11353333333,42.1532,11.5485333333
789.62,6.89953333333,7.91223333333,5.36286666667,36.4378,6.04193333333,9.27819999999,34.3112666667,8.57966666667,42.3980666667,12.0332
789.92,7.12566666667,7.99203333333,5.34126666667,36.6012666667,6.3106,9.3176,34.5320666667,8.76353333334,42.6746,12.1622666667
790.23,7.11533333333,8.07963333333,5.31226666667,36.5636666667,6.32693333333,9.3672,34.6393333333,8.90639999999,42.8098,12.1891333333
790.54,7.1028,8.01016666667,5.46513333333,36.6008,6.3826,9.7366,34.3909333333,9.05766666667,42.9299333333,12.3622
790.85,6.87473333333,7.6158,5.37573333333,36.6879333333,6.17846666667,9.68159999999,34.6538,8.95966666667,43.1506,12.5136666667
791.16,6.29893333333,6.8438,5.02086666667,36.4807333333,5.62913333333,9.06546666666,34.3315333333,8.3694,43.0772666667,12.1689333333
791.47,6.42813333333,6.93826666667,5.15673333333,36.4503333333,5.70413333333,9.35086666666,34.2914,8.8522,42.8520666667,12.3884
791.78,6.18313333333,6.91303333334,4.9626,36.6734,5.78533333333,9.09826666666,34.4541333333,8.99880000001,43.1052,12.1355333333
792.08,5.43826666667,6.24096666667,4.43086666667,36.0154666667,5.2174,8.34146666667,33.8578666666,8.62180000001,42.3877333333,11.6218
792.39,4.85326666667,5.62973333333,3.7784,35.9943333333,4.8058,7.74153333333,33.6836666667,8.073,42.3768666667,10.9707333333
792.70,5.31226666667,5.78916666667,4.08206666667,36.4138666666,5.2694,7.73013333333,34.0534,8.49786666666,42.5370666667,11.0205333333
793.01,5.36086666667,5.7184,4.0744,36.3546666667,5.3086,7.68646666667,34.0146666667,8.50133333334,42.5207333333,10.8696
793.32,5.2734,5.86883333333,4.10213333333,36.5244666667,5.2158,7.53426666667,34.3698,8.45513333333,42.8248,10.9616
793.62,5.58546666667,6.32233333333,4.66433333333,37.0036666667,5.6776,7.87873333333,35.1952666667,8.79513333334,43.6267333333,11.3696
793.93,5.0306,6.09773333333,4.1074,37.05,5.22606666667,6.89633333333,35.1598,8.24893333333,43.3162,10.9011333333
794.24,5.2776,6.52256666667,4.4364,37.2650666667,5.393,7.09453333333,35.0348666667,8.48833333334,43.0137333333,10.6800666667
794.55,5.67213333333,6.7784,4.49673333333,37.4257333333,5.71026666667,7.3186,34.9321333333,8.86506666666,42.9407333333,10.6733333333
794.86,6.15973333333,7.07976666667,4.68073333333,37.4506666667,5.9296,7.5164,34.8357333333,8.83106666666,42.9999333333,10.7840666667
795.16,6.8878,7.7149,5.5838,37.7148666667,6.33946666667,8.316,35.2177333333,9.491,43.1973333333,11.4812666667
795.47,7.1254,8.066,5.71226666667,38.2289333333,6.53806666667,8.6122,35.6182666667,9.48846666666,43.8036,11.6035333333
795.78,7.32293333333,8.48163333334,5.8926,38.2666666667,6.75273333333,8.69879999999,36.0352666667,9.53159999999,43.9691333333,11.9710666667
796.09,7.29253333334,8.5825,5.87973333333,38.0908,6.7472,8.6564,35.8014,9.4478,43.9256666667,11.9607333333
796.40,7.63806666667,9.06626666667,6.2522,38.6007333333,7.1346,8.99279999999,36.1051333333,9.86193333335,44.4742,12.4555333334
796.70,7.77933333333,8.99076666666,6.57873333334,38.4300666667,7.34826666667,9.06353333333,35.7916666667,9.92519999999,44.2700666667,12.4098
797.01,8.18313333333,9.07090000001,6.70166666667,38.8296666667,7.73166666667,9.28333333333,35.9106,10.1949333333,44.5146666667,12.8644666667
797.32,8.2936,8.74670000001,6.51193333333,38.634,7.7498,9.64199999999,35.8134666667,10.1415333333,44.7436666666,12.7984
797.63,8.07966666667,8.24496666667,6.13213333333,38.519,7.60866666667,9.48379999999,36.0914,9.73720000001,45.2536666667,12.8079333333
797.93,8.23826666667,8.371,6.323,38.9232666667,7.83046666667,9.87853333334,36.5726666667,9.77320000002,45.7594666667,13.0125333333
798.24,8.33813333333,8.58376666666,6.5122,39.4288666667,8.1694,10.0842666667,37.1488666666,10.028,46.381,13.3146666667
798.55,8.31413333333,8.7108,6.38173333333,39.6296666667,8.19086666667,10.1426666667,37.0655333333,10.1328666667,46.5762666667,13.4472666667
798.85,8.80893333333,9.30276666667,6.90153333333,40.0430666667,8.72273333334,10.8172666667,37.4886,10.8316666667,46.9734666667,13.942
799.16,9.14599999999,9.71876666667,7.52053333333,40.3444666667,9.24806666667,11.1888666667,37.7147333333,11.4992666666,47.4720666667,14.1776
799.47,9.07133333333,9.87056666667,7.693,40.2345333333,9.38900000001,11.3392666667,37.9276666667,11.5005333333,47.2874,14.1888
799.78,8.83633333333,9.83760000001,7.76873333333,39.9556666667,9.2594,11.3801333333,37.9089333333,11.2719333333,47.1586,14.1698
