wavelength,Back_DigAlbm,Belly_DigAlbm,Breast_DigAlbm,Crissum_DigAlbm,Crown_DigAlbm,DorTail_DigAlbm,Patch10_DigAlbm,Rump_DigAlbm,Throat_DigAlbm,WingTip_DigAlbm
385.22,8.88633333334,11.933,9.55539999999,10.4748,7.93233333333,7.20173333333,54.7984666667,10.0804666667,9.59133333334,7.57946666667
385.58,8.88499999999,11.908,9.57553333333,10.4732666667,7.86959999999,7.2086,54.8716,10.0420666667,9.55960000002,7.54673333333
385.94,8.86593333333,11.8956666667,9.57486666667,10.4215333333,7.82833333333,7.1672,54.9403333333,9.99553333332,9.51593333333,7.49226666667
386.30,8.77860000001,11.8082666667,9.49713333333,10.3242666667,7.74486666666,7.0422,54.9452666667,9.85466666666,9.43280000001,7.4066
386.66,8.74973333333,11.7839333333,9.46906666667,10.2525333333,7.71806666667,6.98786666667,55.0283333333,9.85733333333,9.39986666666,7.34373333333
387.03,8.66899999999,11.7029333333,9.37933333334,10.1801333333,7.62613333334,6.9048,55.1812666667,9.79386666665,9.343,7.249
387.39,8.64506666667,11.6907333333,9.31586666667,10.1964666667,7.61446666667,6.88666666667,55.1970666667,9.75586666666,9.32793333333,7.22
387.75,8.61626666667,11.6667333333,9.2646,10.1652,7.59406666667,6.85093333333,55.2510666667,9.73953333334,9.30679999999,7.19393333333
388.11,8.58293333333,11.6194,9.21033333333,10.0658666667,7.55153333333,6.77073333333,55.3264,9.69426666668,9.23300000001,7.13126666667
388.47,8.62473333333,11.6684666667,9.27986666666,10.1064,7.63780000001,6.86166666667,55.3101333334,9.73986666667,9.27620000001,7.22153333333
388.83,8.6372,11.667,9.30833333333,10.1188,7.68366666667,6.92606666667,55.325,9.72479999999,9.30666666665,7.247
389.19,8.616,11.6296,9.26866666667,10.0730666666,7.65453333333,6.8688,55.4786666667,9.66526666667,9.27433333335,7.1886
389.55,8.64633333333,11.7071333334,9.35626666666,10.0990666667,7.74486666667,6.92413333333,55.6758666667,9.72799999999,9.3476,7.27913333333
389.91,8.69813333333,11.7629333333,9.41346666667,10.1447333333,7.78186666667,6.9774,55.7038,9.7792,9.40926666668,7.3486
