wavelength,Back_SalMulm,Belly_SalMulm,Breast_SalMulm,Crissum_SalMulm,Crown_SalMulm,DorTail_SalMulm,Patch10_SalMulm,Patch11_SalMulm,Patch12_SalMulm,Patch13_SalMulm,Rump_SalMulm,Throat_SalMulm,WingTip_SalMulm
792.39,42.8939877778,69.7228666667,36.9745333333,59.8768,41.5832,20.2065833333,69.6832666667,16.6929666667,59.8417,54.7562717949,35.4531333333,63.2542,33.7643666667
792.70,42.6885977778,69.6251666667,36.9298666667,59.5180666667,41.4545333334,19.9575,69.9332,16.3053,60.2588333333,54.8497128205,35.53545,63.4985333333,33.2664
793.01,42.7165977778,69.1073666667,37.1736666667,59.659,41.3638,20.4575833333,69.7083333333,15.6707,59.7892666667,54.5522410256,35.4868583333,63.5441333333,32.4765
793.32,42.0519688889,68.9148,37.0908,59.3068666667,40.6018666667,20.0866666667,68.9101333333,14.6557,59.2749333333,53.8510205128,34.6124,62.9639333333,32.2025333333
793.62,41.1955855556,68.1731,36.3193333333,58.2588666667,39.7746,19.4295833333,67.7130666667,13.7031333333,57.9612333333,52.8206051282,33.857825,62.2192,31.2719666667
793.93,42.0424622222,68.8205,37.0778666667,59.1510666666,40.4913333333,20.0401666667,67.9804,14.2359,58.6507,53.3202410256,34.965275,62.681,30.7372333333
794.24,42.6201344445,69.7037333333,37.8072,59.2219333333,40.9726,21.01,68.1432,14.8807333333,58.5102333333,53.4700769231,35.0818166667,62.8734666667,31.1008
794.55,42.6008133333,70.1359,37.8684666667,59.6227333333,40.7017333333,21.35975,68.1754666667,15.3904333333,58.5175,53.3678871795,35.1469333334,62.6141333333,30.8597333333
794.86,42.0157777778,69.8180333333,36.9728666667,59.3252666667,39.7692,20.6391666667,67.6875333333,13.3290333333,58.1225666667,52.2878102564,33.6816416667,62.1216,30.2041333333
795.16,42.4768888889,70.5036666667,37.1704666667,59.0189333334,39.93,21.6053333333,67.1836,13.3771333333,58.5413333333,51.9418410256,33.8808,61.3227333333,30.4028
795.47,43.7205322222,71.7837333333,38.5781333333,60.1872,41.1238666666,22.7863333333,67.6372666667,15.3555333333,59.8764666667,52.9030923077,35.4980666667,61.7114666667,32.2305333333
795.78,43.8602622222,71.3341,39.0748,59.6695333333,41.231,23.3684166667,66.9558,15.9603666667,59.6283333333,52.6216205128,35.8787083333,61.0656,32.4288
796.09,43.91237,71.4406666667,39.3896,59.772,41.5792,23.8909166667,66.9514666667,16.8743,59.0599333333,52.6244205128,36.041825,60.6756666667,33.3251333333
796.40,43.1700833333,70.6173333333,38.7336,58.7576,41.0832666667,23.198,65.7268,16.5034666667,58.4627333333,51.9473641026,35.2927333333,59.5937333333,33.1420666667
796.70,42.2909988889,69.6520333333,37.2006666667,58.026,40.2428,21.2885,65.364,15.1860666667,58.0865,51.0455641026,34.0350916667,58.9725333333,31.4928666667
797.01,42.2463911111,70.4567333333,37.2344666667,58.1315333333,40.2880666666,20.9774166667,66.2716666667,14.9507666667,58.8681666667,51.0669282051,34.0330166667,59.4321333333,31.1027
797.32,41.6385344444,69.9999,36.5956,56.9386,39.8327333333,20.5353333333,65.9305333333,14.2618333333,58.6741,50.5908974359,32.9213583333,59.3976666666,30.7571666667
797.63,41.9823588889,70.5181333333,37.0702,57.3927333333,40.6794,20.7006666667,66.6752666667,14.7473666667,59.4266,51.6680102564,33.8862833333,60.501,30.8192666667
797.93,41.6460166667,69.7258333333,36.4781333333,56.8379333333,40.2313333333,20.0193333334,66.1782,14.2373,59.2374,51.1237692308,33.4907083333,60.0170666667,30.6938666667
798.24,41.7534866667,70.2800333333,36.5703333333,57.5241333334,40.3587333333,19.9584166666,66.3428666667,14.357,59.5450666667,51.4488102564,33.9283083333,59.9474666667,30.5992666667
798.55,41.13589,70.7560666667,36.1825333333,58.1649333333,39.9724,18.6491666667,67.5610666666,13.2640666667,60.1844666667,51.6651128205,33.19845,60.7838,30.0183
798.85,40.5093144444,70.8571,35.8668666667,57.8571333333,39.781,18.3809166667,68.1238666667,12.6141,60.6762333333,51.3824461538,32.671425,61.2666,29.3763
799.16,40.21439,71.2077666667,35.7584,58.0966,39.4204,18.1761666667,68.2319333333,12.6763,60.8985666667,51.1936717949,32.1896666667,61.4395333333,28.9710666667
799.47,40.4181088889,71.6072666667,35.6083333333,58.2788,38.8823333333,18.01425,68.3580666667,11.7903333333,61.1720333333,50.9001230769,32.286025,61.1770666667,28.7438333333
