wavelength,Back_PhrEryf,Belly_PhrEryf,Breast_PhrEryf,Crissum_PhrEryf,Crown_PhrEryf,DorTail_PhrEryf,Rump_PhrEryf,Throat_PhrEryf,WingTip_PhrEryf
244.92,11.9017333334,8.25489999999,7.41513333333,9.53873333333,8.14613333333,10.4047666667,7.76326666667,10.5570666667,12.2845666667
245.30,11.6526333333,8.35120000001,7.3968,9.3342,7.87,10.5053666667,8.31113333333,10.5496,12.0177333333
245.67,11.0323,8.38983333333,6.6156,8.81863333334,7.91699999999,10.2981666667,8.04066666667,10.4252,11.7701666667
246.05,11.4652666667,8.9409,6.81606666667,8.99293333333,8.66159999999,10.9259333333,8.81733333333,11.072,12.5015333333
246.42,11.0000666667,8.72610000001,6.25593333333,8.29756666667,8.31546666667,10.7618333333,8.34533333333,10.6309333333,12.3988666667
246.79,10.2168666667,8.03739999999,5.58253333333,7.32276666667,7.78980000001,10.1753666667,7.1838,9.65813333333,11.8347666667
247.17,10.0050333333,7.84700000001,5.60273333333,7.229,8.0902,10.5751,7.14293333333,9.60473333334,12.044
247.54,10.1112,8.21736666666,5.928,7.76036666667,8.83046666667,11.1339333333,7.47166666667,10.1656666667,12.5449666667
247.92,10.2428,8.5773,6.1038,8.31166666666,9.13553333333,11.3615666667,7.71493333333,10.3743333333,12.7865
248.29,10.0221,8.81856666667,5.9382,8.14346666667,9.09613333334,11.1457,7.71486666667,10.3709333333,12.6647666667
248.67,10.7832666667,9.48000000001,6.2234,8.56476666666,9.59846666667,11.7052,8.04466666667,10.8886666667,13.1513
249.04,10.5331,9.16103333333,5.785,8.47496666667,9.31619999999,11.7454333333,7.73726666667,10.4857333333,12.8114333333
249.42,10.9750666667,9.29429999999,6.08133333333,8.84583333333,9.78280000001,12.0092333333,7.75246666667,10.6798666667,13.378
249.79,11.1169333333,9.32189999999,6.34766666667,9.12490000001,10.2867333333,12.1714666667,7.85846666667,10.6306,13.5129
250.17,10.9797,9.62196666667,6.65053333333,9.22536666667,10.5748666667,12.3779333333,7.65453333333,10.4668,13.5385
250.54,10.8059333333,9.76966666667,6.71853333333,9.65463333332,10.5698,12.2222,7.73186666667,10.7886,13.2701333333
250.92,11.5809666667,11.0940666667,8.21153333333,11.1061666667,11.5359333333,13.2341,9.03513333333,12.2933333333,13.9104
251.29,11.2810666667,10.7009666667,7.935,10.9209,11.1345333333,12.4090333333,8.78279999999,11.7398666667,13.4959
251.66,10.9806,10.4618666667,7.61713333333,10.7463666667,10.8368,11.7804666667,8.48733333333,11.3921333333,13.263
252.04,10.4787,9.98976666665,7.31626666666,10.1573,10.441,11.5590666667,8.16413333333,11.3025333333,13.265
252.41,9.91223333333,8.78819999999,6.5824,9.03769999999,9.31506666667,10.6356666667,7.29893333333,10.5024,12.3498666667
252.79,8.79516666667,7.30516666667,5.63493333333,7.87163333333,8.30460000001,9.0331,6.31306666666,9.19200000001,11.2267333333
253.16,8.79006666667,7.10903333334,5.84073333333,7.48173333333,8.23099999999,8.51256666667,6.24266666667,9.45186666665,11.1878
253.54,7.27373333334,5.8623,4.49153333333,6.0596,6.92006666666,7.26626666667,4.7822,7.9926,9.65739999999
253.91,5.82453333334,4.92853333333,2.73453333333,4.35676666667,5.24520000001,5.78966666667,3.23666666667,6.78253333333,8.39710000001
254.28,6.81849999999,5.65416666667,3.50466666667,5.20643333333,6.21493333333,6.54193333333,4.4548,7.72593333334,9.6573
254.66,8.48879999999,6.94573333333,5.23933333333,6.37166666667,7.7592,8.4092,5.7256,8.85966666665,11.2282
255.03,8.43970000001,6.57893333333,4.56406666667,5.7364,7.09213333334,7.79746666667,5.25666666667,8.37706666666,10.8093
255.41,9.69360000001,8.18656666667,5.51906666667,6.83756666667,8.24346666666,9.21173333333,6.13233333333,10.1271333333,11.8440333333
255.78,9.81926666665,8.95056666666,6.2962,7.01953333333,8.19226666666,9.34293333334,6.45506666667,10.4762666667,11.6137333333
256.15,9.53396666666,8.90956666667,6.13906666667,7.12833333333,7.87173333333,8.7072,6.18286666667,10.0000666667,11.2445666667
256.53,10.1418666667,9.81956666667,6.71826666667,7.4914,8.65113333333,9.1667,6.56353333333,10.3952,11.8171
256.90,10.2276333333,10.1918,6.85033333333,7.936,8.73460000001,10.0638666667,6.81053333333,10.6827333333,12.0919333333
257.28,10.4669333333,10.5753666667,7.28206666667,8.51603333333,8.94686666666,10.6913666667,7.29646666666,10.7562666667,12.5480666667
257.65,10.766,10.7534,7.8,8.87940000001,9.12946666667,11.358,8.0912,11.472,12.5387666667
258.02,10.7294,10.2895333333,8.21846666667,9.24316666666,9.33879999999,11.5655,8.40446666667,11.4919333333,12.6858666667
258.40,9.79113333335,9.5515,7.46866666667,8.80183333333,8.46019999999,10.6857666667,7.51593333333,10.4294,11.7936333333
258.77,8.08186666667,7.84613333333,5.8184,7.26463333333,7.25433333333,9.03983333333,5.9714,8.78126666667,10.4862666667
259.15,7.59583333333,7.20143333333,5.2618,6.74773333333,6.91746666667,8.47333333333,5.45726666667,7.97559999999,10.0699333333
259.52,7.1195,6.30276666667,4.7384,6.1435,6.338,7.92923333333,5.01346666667,7.30713333333,9.43486666668
259.89,7.00106666667,5.98523333333,4.24866666667,5.90673333333,6.05433333333,7.74996666667,4.72606666667,6.98693333333,9.31233333333
260.27,6.9818,5.91216666667,4.0304,5.59096666667,5.88493333333,7.5668,4.60913333333,6.87293333333,9.253
260.64,6.75413333333,5.53233333333,3.70886666667,5.26206666667,5.66886666667,7.2414,4.41573333333,6.5598,8.9622
261.01,6.5218,5.31116666667,3.58313333333,4.98443333333,5.45166666667,6.77616666667,4.17733333333,6.20246666667,8.6253
261.39,6.51733333333,5.1158,3.4752,4.89486666666,5.53213333334,6.6383,4.14086666667,6.07853333333,8.49683333334
