wavelength,Back_PooMelf,Belly_PooMelf,Breast_PooMelf,Crissum_PooMelf,Crown_PooMelf,DorTail_PooMelf,Patch10_PooMelf,Rump_PooMelf,Throat_PooMelf,WingTip_PooMelf
238.17,-17.6161555555,-5.0605,1.7576,-13.4544666667,-14.485,-7.77776000001,7.2726,-5.15159999999,-1.27259999999,4.697
238.54,-12.9963222222,1.99466666667,6.28420000001,-10.1094,-8.96180000001,-3.72481555557,10.164,-0.054600000006,-1.03806666667,8.4425
238.92,-12.2861555556,-0.455600000008,4.50853333334,-7.53,-6.90653333333,-2.82650222223,10.0238,-3.50113333334,5.70773333333,8.6331
239.29,-9.3129111111,1.66666666667,3.6844,-6.14033333333,-3.15793333333,2.01602,13.3770666667,-0.833399999986,10.8332666667,9.01323333333
239.67,-1.45793333333,7.70716666666,8.16959999999,1.04046666666,2.6588,9.34755111112,21.503,6.93646666667,15.6454666667,13.1792333333
240.04,2.90555555556,8.53333333333,8.43333333333,3.8,4.56666666667,10.1122222222,22.5333333333,8.43333333333,14.2333333333,14.5166666667
240.42,6.36016666666,12.0689333333,11.5804,7.67240000001,7.44253333333,12.0538333333,25.3158666667,11.4655333333,16.0344666667,17.4423333333
240.79,9.27479999999,12.7368,11.3916666666,10.1754,7.4854,13.54148,25.6608,13.4502666667,16.0234,18.5378
241.17,7.12558888888,10.2174,9.02700000001,7.16353333335,5.13453333333,11.0946044445,21.8425333333,11.118,12.4016,16.2215666667
241.54,5.8163111111,7.76553333333,7.33699999999,5.3818,3.42653333333,10.0255488889,18.8268666667,8.65926666667,9.01306666667,15.6425333333
241.92,7.91465555555,9.35906666667,8.99133333334,6.95733333334,5.1624,11.13106,19.6581333333,10.0514,10.6497333333,17.1794333333
242.29,5.52548888889,6.61746666667,7.56759999999,5.81493333334,2.4734,9.17993555555,17.1006666667,7.76413333334,9.0746,15.217
242.67,2.23832222222,3.64806666667,4.2454,3.71260000001,-1.21066666667,5.70299111111,15.5932666667,4.48746666667,5.64966666667,12.0985333333
243.05,0.801244444445,1.78683333333,2.56413333333,2.2276,-3.09313333333,3.77242222222,15.2884666667,3.28526666667,2.17953333333,11.0656666667
243.42,-0.166833333332,-0.782433333333,0.735533333334,1.36133333333,-5.43026666667,2.08698,14.3974666667,1.831,0.422466666666,9.38190000001
243.80,1.36354444444,0.927866666668,2.6578,2.73206666667,-3.994,2.77069555555,14.239,3.1626,2.1974,11.3808333333
244.17,2.1028,0.7968,2.4416,2.9094,-3.85973333333,3.0029,14.3568666667,3.58193333334,0.935733333332,11.3889333333
244.55,3.15517777778,1.91606666667,2.79186666667,4.245,-2.53566666667,4.50048444445,15.8121333333,4.48726666667,1.99426666667,12.2862666667
244.92,3.73531111111,2.66253333333,4.06513333333,5.16259999999,-1.233,5.50092222222,17.3710666667,5.54206666667,2.46606666667,12.7505666667
245.30,5.34213333333,3.6532,4.6448,6.97393333333,-0.0129333333314,6.90856222222,19.9358666667,6.71800000001,3.22473333333,14.0628666667
245.67,6.113,5.37746666667,5.81873333334,7.72360000001,2.06733333333,8.53326222221,21.1963333333,7.75846666667,5.15660000001,14.6515333333
246.05,6.91087777778,6.87320000001,6.88333333334,8.11146666667,4.159,10.3212977778,22.3735333333,9.33953333334,5.99586666667,16.1402333333
246.42,6.78713333333,7.19726666666,6.82626666666,8.3192,4.30053333333,10.29556,22.5352,9.50226666667,5.58666666666,15.1737333333
246.79,7.60155555556,7.97236666666,7.246,8.707,5.38213333333,11.2980111111,23.0983333333,10.6297333333,6.70860000001,15.9109
247.17,7.42761111111,8.50843333333,7.15473333333,8.48486666667,5.40733333333,11.71434,22.5817333333,10.3266666667,6.68253333334,15.2972666667
247.54,8.67742222222,10.4299666667,8.973,10.1964666667,7.63073333334,13.7649466667,24.2195333333,11.702,8.72813333333,16.6852333333
247.92,8.94285555555,10.3242,9.05946666665,10.4142,7.94226666666,14.7282088889,25.2754666667,12.1801333333,8.55506666667,16.8216666667
248.29,9.01257777777,10.7073666667,9.43273333333,10.6374,8.1582,15.0676555556,25.8684,12.5000666667,9.18773333333,17.1290333333
248.67,8.93419999999,10.199,9.07500000001,10.4432,7.73473333333,14.8805444444,25.5008666667,12.1396666667,8.59333333333,16.2059666667
249.04,8.39862222222,9.97853333334,8.42133333333,9.79493333335,7.01906666667,14.4568444444,25.3074,11.6647333333,8.25593333334,15.5015333333
249.42,8.12014444444,9.97756666667,8.60806666667,9.72153333334,7.17833333333,14.0643044445,25.4402666667,11.5122666667,8.47233333333,14.7441
249.79,8.81346666667,10.7640666667,9.037,10.8694,7.61013333333,14.6092666667,26.2766,12.8576,9.30206666668,15.4814
250.17,7.44207777778,9.36190000001,7.63240000001,10.4702666667,5.75993333333,13.2496111111,25.6003333333,11.6625333333,7.92620000001,14.1352333333
250.54,7.22143333333,9.41713333333,7.4854,10.2269333333,5.6164,12.9675133333,25.7231333333,11.4998666667,7.913,14.1078
250.92,7.51596666667,9.30736666666,8.1264,10.9437333333,6.1274,13.1353777778,26.267,11.5481333333,9.02813333332,14.2352333333
251.29,8.7766111111,10.4776333333,9.54126666667,12.3970666667,7.86513333333,14.0645933333,27.9964666667,13.6049333333,10.9362666667,15.9738666667
251.66,9.45077777777,10.7685,9.62959999999,12.5926666667,8.10186666667,13.2119866667,27.2222666667,13.9352,10.787,16.0370333333
252.04,9.25368888889,10.6197666667,9.42726666667,11.9905333333,8.0094,11.8012044444,26.5163333333,13.3333333333,10.9201333333,15.7748333333
252.41,8.1502,9.62426666668,8.73993333334,11.4218666667,7.60819999999,10.8634733333,25.459,12.5058,10.1092666667,14.6980666667
252.79,8.7458,10.2338,9.51833333335,12.0362,7.83026666666,11.1473755556,25.7033333333,12.4748666667,11.2255333333,15.5030666667
253.16,9.61175555557,10.7846,10.4326666667,13.1146,9.1202,11.5786333333,25.9246666667,12.6486,12.6201333333,16.5479
253.54,11.0779444444,12.1117333333,11.4014666667,14.2423333333,9.99999999999,13.0442288889,26.8277333333,13.8163333333,13.3712666667,17.6562666667
253.91,11.4346111111,12.3677666667,12.3332666667,14.2646666667,10.5,12.8558911111,27.794,13.8432,13.7646666667,18.0737
254.28,12.2651777778,12.8124666667,13.0952666667,14.9206,11.369,13.2561244445,28.6209333333,14.5832666667,14.6924,18.6655666667
254.66,12.8307888889,12.7077333333,13.5794,14.8615333333,11.8871333333,13.7692511111,29.2614666667,14.5434666667,14.5642666667,19.2718333333
255.03,13.0902,13.4737,13.6896666667,14.792,11.9394666667,14.2805688889,29.5407333333,14.7596,14.5756666667,19.1411333333
255.41,12.9957,12.9939333333,13.6228666667,14.3906,11.6194,13.8556511111,29.1372,14.0677333333,13.4889333333,18.7867666667
255.78,11.0712888889,11.2724333333,12.2700666667,12.4850666667,9.64166666668,12.5365111111,28.9008,12.2580666667,11.9114,17.4731
256.15,10.5073444444,10.3421,11.3512,11.7758666667,8.48393333334,12.4125022222,27.363,11.7993333333,10.891,16.3540666667
256.53,12.3542888889,12.7333666667,13.7069333333,13.9332,10.3792666667,14.8703488889,28.4324,13.458,13.288,18.7099333333
256.90,10.6533,11.1902,12.2131333333,12.4392666667,9.41306666665,13.72814,27.3128,12.4932,11.384,17.4583666667
257.28,9.31318888889,9.88243333334,10.726,11.3802666667,7.88326666667,12.8688333334,26.5745333333,12.1677333333,9.74440000002,16.7637666667
257.65,8.7214,8.79116666666,10.08,10.4979333333,7.26213333334,12.0048177778,24.8888,11.1201333333,9.12893333333,16.7421333333
258.02,9.58987777778,9.52823333334,10.4795333333,11.6724666667,7.95026666667,12.7573755555,24.8472666667,11.9065333333,9.2412,17.0971333333
258.40,8.81225555555,8.8934,9.36606666666,10.8308666667,6.8636,12.4665777778,24.0262666667,11.1986666667,7.89486666667,15.9178
258.77,8.27032222223,8.38106666667,8.68099999999,10.2858,6.06633333333,11.7259088889,23.4344,10.8572,7.46326666667,15.1428
259.15,7.79251111111,8.0948,8.162,9.87893333333,5.79006666667,11.3328355555,22.8821333333,10.5078,6.66666666667,14.7512
259.52,7.39085555555,7.63053333333,7.3932,9.454,5.1236,11.0568111111,22.5452,10.0094666667,6.51486666667,14.0219
259.89,8.50301111111,8.48019999999,8.14046666667,10.4868666667,6.12733333333,11.6280666667,22.9650666667,10.8948666667,7.377,14.8575
260.27,8.61926666666,8.75476666666,8.434,10.8302,6.21313333333,11.8993688889,23.5215333333,11.1425333333,7.4582,14.9677666667
260.64,8.4501888889,8.49226666667,7.80386666666,10.1368,5.80313333333,11.4294733333,23.5373333333,10.9496,7.15513333333,14.5209
261.01,9.16167777778,9.05296666667,8.2238,10.4714666667,6.1028,11.7570733333,24.133,11.553,7.66846666667,15.1305
261.39,10.0501777778,9.94776666667,9.06993333334,11.1849333333,6.99266666667,12.6401377778,24.5600666667,12.2675333333,8.564,15.6114
261.76,9.99785555555,10.1887333333,8.91446666667,11.2912666667,6.83833333333,12.5911866667,24.6032,12.3937333333,8.567,15.429
262.13,10.1327,10.414,8.90706666666,11.0478666667,6.88393333333,12.8107311111,24.7297333333,12.3468,8.57213333333,15.3067
262.51,10.6939222222,10.9877,9.494,11.479,7.50906666667,13.1607,25.1515333333,12.7038666667,9.41166666667,15.9041333333
262.88,11.9639,12.4063333333,10.6416,12.6944666667,8.85046666667,14.6139311111,26.4100666667,13.8204,10.8510666667,16.8946333333
263.25,12.7800111111,13.0686,11.7171333333,13.5978666667,9.57726666667,15.2621266667,27.4144666667,14.5699333333,11.8148,17.5755666667
263.63,14.7376,15.0829333333,13.7903333333,15.7432,11.2863333333,17.0387911111,29.0140666667,16.5007333333,13.3833333333,19.4803333333
264.00,13.0490777778,14.1442,12.6818666667,14.4214,9.74366666666,16.0049244444,28.42,15.2529333333,11.6630666667,17.8690666667
264.37,13.0508555556,14.4690666667,12.7425333333,14.4726666667,9.82420000001,15.6953488889,28.1786666667,15.0352,11.6032,17.7038333333
264.75,13.1808111111,14.5674,13.2481333333,14.7659333334,9.90066666667,15.6604822222,27.6952666667,14.9716,11.1914,17.8795
265.12,12.1812666667,13.4035333333,12.7848,13.9311333333,9.07866666667,14.8913177778,26.6947333333,13.959,10.2390666667,16.9127666667
