wavelength,Back_LopPusf,Belly_LopPusf,Breast_LopPusf,Crissum_LopPusf,Crown_LopPusf,DorTail_LopPusf,Patch10_LopPusf,Patch11_LopPusf,Rump_LopPusf,Throat_LopPusf,WingTip_LopPusf
202.33,-842.724952381,-1022.68523333,-1027.77783333,-794.444555554,-938.889,-1126.852,-936.111222222,-960.185333333,-986.111222222,-1027.77788889,-910.472649427
202.71,-566.666634921,-741.438,-736.274333333,-578.431555556,-656.209222222,-811.764777778,-686.928333333,-692.156777778,-704.575277778,-687.581666667,-651.577720306
203.09,-2559.52380952,-3340.55555555,-3300.0,-2647.22222222,-2961.11111111,-3666.66666667,-3013.88888889,-3175.0,-3194.44444444,-3138.88888889,-2972.27011494
203.47,-1650.00012698,-2177.22216667,-2163.889,-1711.111,-1835.18522222,-2490.74066667,-1940.74077778,-2127.77788889,-2093.51838889,-1987.03722222,-1949.5531226
203.85,-5606.34920635,-6932.77777778,-6966.66666667,-5583.33333333,-6061.11111111,-7994.44444444,-6444.44444444,-7011.11111111,-6927.77777778,-6644.44444444,-6372.79693487
204.22,1994.97366666,2441.29618889,2386.111,2009.25922222,2203.70366667,2727.77766666,2229.62966667,2414.81466667,2499.07405556,2331.48133333,2299.07409387
204.60,11980.9523809,14038.8888889,14016.6666667,11733.3333333,12688.8888889,16244.4444444,13111.1111111,13877.7777778,14627.7777778,13211.1111111,14011.302682
204.98,-865.323476192,-1066.83762222,-1014.10266667,-872.649555555,-916.239222222,-1200.0,-982.051222222,-1006.83755556,-1098.29055555,-996.581333333,-1034.01116475
205.36,-411.746031746,-522.4,-492.0,-426.222222222,-457.777777778,-592.444444444,-474.222222222,-488.888888889,-527.333333333,-491.111111111,-521.701149425
205.74,-350.963650793,-454.920577778,-427.381,-378.968222222,-396.825333333,-518.253777778,-403.174666667,-425.793777778,-451.190611111,-422.222111111,-450.273842912
206.12,-365.373460317,-475.514322222,-425.308666667,-422.633777778,-396.707777778,-548.559666667,-416.461,-446.502,-464.197555555,-432.510222222,-466.240923372
206.50,-481.708206349,-639.735388889,-551.587333334,-576.190444444,-522.751222222,-729.629555555,-541.269888889,-589.418111111,-605.291166666,-592.063444445,-636.407678161
206.87,-770.573936508,-1003.58977778,-916.666666665,-910.256333333,-840.170777778,-1151.28211111,-859.829111111,-928.205222223,-947.008555557,-988.888888889,-1033.9816954
207.25,-4919.84126984,-6548.33333333,-6250.0,-5977.77777778,-5572.22222222,-7822.22222222,-5722.22222222,-6277.77777778,-6525.0,-6650.0,-6958.81226054
207.63,-1441.26988889,-1876.19037778,-1797.61916667,-1755.55544445,-1674.60322222,-2253.96833333,-1698.41266667,-1801.58733333,-1911.90488889,-1873.01566667,-2008.23747126
208.01,-444.285714286,-631.333333333,-564.166666666,-584.444444444,-530.0,-730.0,-562.222222222,-571.666666667,-622.5,-591.111111111,-682.528735632
208.39,-332.173444444,-476.495666667,-424.358833333,-438.888777778,-398.717888889,-559.829111111,-435.47,-444.444666667,-460.470111111,-444.017,-509.622664751
208.77,-292.337412698,-424.061333333,-381.609,-387.739444445,-359.77,-504.214666666,-386.973222222,-388.505666667,-407.279722222,-399.616888889,-429.006429119
209.14,-348.412492063,-458.253977778,-433.928666667,-442.857222222,-390.476444444,-556.349,-437.301555555,-440.476333333,-458.134888889,-437.301666667,-485.290164751
209.52,-396.380952381,-515.866666667,-494.0,-506.222222222,-443.555555555,-632.888888889,-504.888888889,-500.444444445,-534.222222222,-508.888888889,-548.107279694
209.90,-294.966,-362.126944445,-350.476,-366.349111111,-320.000111111,-448.571333333,-369.206444444,-358.412666667,-380.317388889,-374.285777778,-378.681001916
