wavelength,Back_TanCucm,Belly_TanCucm,Breast_TanCucm,Crissum_TanCucm,Crown_TanCucm,DorTail_TanCucm,Patch10_TanCucm,Patch11_TanCucm,Rump_TanCucm,Throat_TanCucm,WingTip_TanCucm
775.98,41.8178666667,33.6174,30.5774,38.6060666667,16.9192,12.0770333333,16.2742,12.9498666667,45.7827333333,20.3089333333,15.6992
776.30,41.4295333333,33.0721333333,30.2404666667,38.0801333333,16.2473333333,11.2806666666,15.4868,12.0366,45.4845333333,19.6083,14.8362
776.61,41.2593333333,33.0742,30.0046,38.0185333333,15.926,10.7778666667,15.3982666666,11.5276666667,45.3473333333,19.5439666667,14.6667
776.92,42.2331333333,34.1275333333,30.9926,39.0140666666,16.8978666667,11.5371,16.2064666667,12.3382,46.7041333334,20.3573666667,15.6809333333
777.23,41.9992,33.9658,31.0158,38.5827333333,16.7406,11.5420666667,16.2143333333,12.2208,46.2327333333,20.2815666667,15.5655333333
777.54,41.8803333333,33.7884,30.9562666667,38.4045333333,16.6896666667,11.5286333333,16.2436,12.5288,45.9080666667,20.455,15.8343333333
777.85,41.6188666667,33.9353333333,30.5928,37.9708666667,16.671,11.2814,16.2471333333,12.4989333333,45.5859333333,20.4743333333,16.0053666667
778.16,41.4465333333,33.7959333333,30.5033333333,37.7596,16.4717333333,11.4920333333,16.2902666667,12.3174,45.0838666667,20.4828666667,15.8663
778.47,41.2162,33.7734666667,30.5604666667,37.7806666667,16.3830666667,11.7653,16.4328666667,12.3211333333,45.1374,20.6807333333,15.9633333333
778.78,40.8554666667,33.8474666667,30.6302,37.8611333333,16.4779333333,11.7544333333,16.4141333333,12.2048666667,45.0557333333,20.5754666667,16.2001333333
779.09,40.5008666667,33.7882666667,30.3559333333,37.7808666667,16.2599333333,11.3576333333,16.1314666667,11.7022666667,44.8196666667,20.4387333333,15.9979
779.40,40.6358,33.8943333333,30.3834,37.8214666667,15.9326666667,10.9257333333,15.9138,11.6736666667,44.8340666667,20.3061666667,15.9491
779.71,40.6823333333,34.1354666667,30.3042666667,37.9298666667,16.3808,11.4522333333,16.3439333333,12.2729333333,44.7071333333,20.7122666667,16.632
780.02,41.505,34.8894,30.8402666667,38.6516666667,17.1838,12.2046333333,17.0683333333,13.4395333333,45.397,21.2606,17.2577666667
780.33,40.8188,34.1754,30.0348666667,37.9319333333,16.5255333333,11.6193666667,16.5163333333,13.0326,44.2517333333,20.5830333333,16.4515666667
780.64,41.1531333333,34.4490666667,30.0702,38.3168666667,16.901,11.5658666667,16.7322666667,13.3192666667,44.1491333333,20.6189333333,16.6525666667
780.95,40.9046,34.6148,29.8892666667,38.3934666667,16.9186666667,11.3616,16.7773333333,13.2013333333,43.9952,20.4359333333,16.8292333333
781.26,41.6296,34.982,30.7193333333,39.2832,17.5914,12.0049333333,17.3188666667,13.8495333333,44.6785333333,20.6977666667,17.0918666667
781.57,42.4280666667,35.467,31.2238666667,39.9660666667,18.3926666667,12.3268333333,17.847,14.5788666667,45.3005333333,21.3107333333,17.9942333333
781.88,42.2108,35.0208,30.7165333333,39.6038666667,18.0484,11.5261333333,17.3196,14.3800666667,44.9547333333,20.6359,17.8552666667
782.19,42.4820666667,35.2196666667,30.9258,39.9752,18.069,11.6009,17.5477333333,14.6985333333,45.4454666667,20.9479333333,18.1162
782.50,43.0412,36.0278666667,31.7483333333,40.3466666667,18.7369333333,12.5804,18.2664666667,15.795,46.2159333333,21.6866333333,19.1852333333
782.81,43.2859333333,36.3101333333,32.0020666667,40.6283333333,18.9528666667,12.9594,18.6986,15.8115333333,46.6217333333,21.7651666667,19.5012666667
783.12,43.1906666667,36.0778666667,31.6160666667,40.7938666667,18.3346,12.1400333333,18.0856,15.0142666667,46.4643333333,21.4188333333,18.9260666667
