wavelength,Back_MelXanm,Belly_MelXanm,Breast_MelXanm,Crissum_MelXanm,Crown_MelXanm,DorTail_MelXanm,Patch10_MelXanm,Rump_MelXanm,Throat_MelXanm,WingTip_MelXanm
772.25,23.8839166667,35.2867953703,23.3878333334,54.84875,18.91125,21.0410416667,48.0283333333,23.0717916667,14.1894722222,20.7588333333
772.56,24.888,35.8501592592,23.9045416667,55.3585,19.9840833334,21.8010416667,48.6120833333,23.886,15.0673194444,21.5022916667
772.87,25.0381666667,35.7080583333,23.8625833333,55.4055833333,19.867,21.4069583333,48.8973333333,23.8624583334,15.1320138889,21.7965833333
773.18,25.0910833333,35.9213601852,23.83875,55.7701666667,19.60075,20.99275,49.3105,23.7835416667,14.9265138889,22.1182916667
773.50,25.5365833334,36.3422638889,24.3705833333,56.48525,20.0384166667,21.3566666667,50.1325,24.095875,15.4145555556,22.9697916667
773.81,25.7700833333,37.0908101852,24.2675833333,57.2839166667,20.3938333333,21.1434583333,50.8858333333,24.3390416667,15.4970833333,23.03425
774.12,25.847,37.111675926,24.0642083333,57.0285833333,20.81275,21.4310416666,50.7376666667,24.1256666666,15.6236388889,23.4834583333
774.43,26.0988333333,36.9636685185,24.0035833333,56.7294166667,21.1370833333,21.5500833334,50.2388333333,24.3209583333,15.8976527778,23.5530416667
774.74,25.4699166667,35.7665388889,23.175875,55.93575,20.2115833333,20.6882083333,49.4265833333,23.193125,14.8020972222,22.312125
775.05,25.8075,36.8097759259,24.4361666666,56.6415833333,21.1154166666,21.3518333333,50.0349166666,23.6528333333,15.3995416667,23.3744166667
775.36,26.1523333333,37.0957685186,24.9824583333,57.0124166667,21.4024166667,21.8451666667,50.1685833333,24.1005416666,15.5495277778,23.735375
775.67,26.05575,37.0473064815,25.197125,57.2001666666,21.4738333333,22.7935416667,49.88025,24.384125,15.6036805555,24.21525
775.98,26.18425,37.3582101852,25.4999166667,57.02825,21.3050833333,22.8972083334,49.8085833334,24.2622916667,15.52725,24.134875
776.30,25.7688333333,37.7049694445,25.1610833333,57.7695833333,20.8993333334,23.2095833333,49.7803333333,23.909,15.1568333333,23.5097083333
776.61,24.9629166667,37.4437898148,24.4995416666,57.7624166667,20.4405,23.3245833333,49.4440833333,23.4913333333,14.5154166667,23.0465416667
776.92,24.7656666667,37.3673509259,24.3775416667,57.0884166667,20.5770833333,23.4915,49.07,23.645375,14.7871388889,23.0887916667
777.23,25.79025,37.4924111111,25.513625,57.3346666667,21.3146666666,24.533,49.3820833333,24.4541666667,15.3615833333,23.850625
777.54,26.3660833333,37.9624574074,26.08575,57.9665833333,21.6565833333,25.028875,49.6835833333,24.9389583333,15.5977777778,24.036375
777.85,25.82825,37.8055481482,25.7301666666,57.9265,21.2221666667,24.9418333334,49.6294166667,24.5023333333,15.1834722222,24.1027083333
778.16,26.8464166667,38.6707194445,26.7137916667,59.1128333333,21.705,25.7576666667,50.4413333334,25.2977916667,16.1800416667,25.305125
778.47,26.7493333334,37.9545166667,26.4504583333,58.7613333334,21.4790833333,25.5867083333,49.9483333333,25.1255,15.9960416667,24.9264166667
778.78,25.62725,37.0447435185,24.9626666667,57.8928333333,20.25825,24.4472083333,49.4846666666,24.3093333333,15.2788194445,23.6075
779.09,25.8724166667,37.183337037,24.6501666667,57.6113333333,20.4421666666,24.052625,49.6238333333,24.3344166667,15.4093472222,23.1800833333
779.40,25.86125,37.0927287037,24.5165,58.0084166666,20.6406666667,24.376875,49.6675833333,24.8565416666,15.4828888889,23.666625
779.71,26.4123333333,37.1686046297,25.234125,57.4859166666,21.1568333333,24.53525,49.948,25.3420833333,15.9295277778,23.9814583333
780.02,27.0926666667,37.3044675926,26.1645833333,57.5051666667,21.7909166667,24.51925,50.51025,25.8319166667,16.5446944445,23.7872916667
780.33,27.7003333333,37.9330444444,26.8189166667,58.2506666667,22.29225,25.2436666667,51.4175833333,26.560125,17.1367777778,24.3101666667
780.64,26.7215,37.0987611111,25.9598333333,57.3659166667,21.4885,24.1964166667,50.617,25.5750833333,16.1639305555,23.5337916667
780.95,26.3990833333,37.3480935185,26.23,57.3571666667,21.5405,24.5274166667,50.8456666666,26.1454583333,16.4462916667,23.524125
781.26,26.0436666667,36.6503407407,25.7554166666,56.86925,20.6853333334,23.8707083333,49.8753333333,25.1985833333,15.5452916667,22.589625
781.57,25.2873333333,36.3859268519,25.0932083333,56.0735,20.7828333333,23.4195,49.33975,24.8135,14.982625,22.2816666667
781.88,25.9696666666,37.3956037037,25.4606666666,57.4036666667,21.1379166666,23.8140833333,50.7773333333,25.1642083333,15.160375,22.6282916667
782.19,27.36,39.1672194444,27.2623333333,59.1065,22.9166666667,25.3296666667,52.19725,26.3184583333,16.4348472222,24.0193333333
782.50,27.40325,39.2303638889,27.1763333334,59.3905,22.9350833334,25.4293333333,52.2381666667,26.2924166667,16.1272638889,23.9801666667
782.81,27.42425,39.1662268519,27.29375,59.57075,22.99675,25.5514583333,52.4325,25.9048333333,15.85975,23.5100416667
783.12,27.1515,38.7151148148,26.9174166666,59.50675,22.8400833333,25.34025,52.313,25.684625,16.1223611111,23.6820833333
783.43,26.9164166667,38.4855342593,26.347625,58.9150833333,22.6299166667,25.3762916667,51.5058333333,25.3337083333,15.9709166666,23.844875
783.74,26.21025,37.4626685185,25.4839583333,58.3939166667,21.7064166667,24.2003333333,50.61375,24.2954166667,14.7289305556,22.7265
784.05,26.0763333334,37.1920157408,25.5122083333,58.36825,21.328,23.910625,50.4426666667,24.1926666667,14.6309861111,22.3566666667
784.36,25.6725833333,36.2718444444,24.973875,57.71325,20.3528333333,22.4930416667,49.4584166667,22.88175,13.8277083333,22.1305833333
784.67,25.9094166667,36.700262037,25.2491666666,57.66875,20.7325833333,22.5253333334,50.0788333333,23.452375,14.2853055555,22.757125
784.98,26.00075,36.4171074074,25.44425,56.9789166667,20.79875,22.580125,49.6375833333,23.5421666667,14.6970555555,22.7183333333
785.29,26.3175,36.2777777778,25.9367916667,57.0415,20.9959166667,23.1049583333,49.4268333333,23.8878333333,15.2950138889,22.8269583333
785.60,25.6175833333,35.0365925926,25.1185416667,55.9645833333,20.0423333334,22.94,48.0203333334,22.95675,14.3233194445,21.9754166667
785.91,25.8105833333,34.9658888889,25.451625,55.9524166667,20.3985,22.944,48.48875,22.9946666667,14.678375,22.209625
786.22,25.58275,34.7095592592,25.0706666667,55.16975,20.0134166667,22.044625,48.2101666666,22.8978333333,14.6214444444,21.76175
786.53,25.6151666666,35.0278611111,25.3199166667,55.30675,20.1525833333,22.12525,47.8921666666,23.1585833333,14.4944722222,21.9450416667
786.84,25.68625,34.7758675926,24.897875,55.8334166667,19.9428333333,21.8465833333,47.8839166667,22.4795416667,14.4064305555,21.715625
787.14,25.6514166667,34.6036916667,24.97625,55.6163333333,20.321,22.2394166667,47.33875,22.596875,14.7879305556,21.9095833333
787.45,25.5021666667,34.3910842593,24.6860416666,55.51625,20.22125,22.536,47.3791666667,22.8420833334,14.8724861111,21.676875
787.76,25.4953333333,34.5444268518,24.4811666667,55.9434166667,20.1651666667,23.1447083333,47.8694166667,23.4512083333,15.1519305556,21.698125
788.07,25.6241666667,34.482787037,24.5317083333,56.3044166667,20.5134166667,23.6110416666,47.86975,23.7789166666,15.2699305555,21.4615
788.38,26.0455833333,35.6290259259,25.3145833333,57.57075,21.2814166667,24.1745,48.7656666667,24.24125,15.8019583333,22.1503333333
788.69,25.2665,35.2595648148,24.4552083334,56.8674166667,20.9548333333,23.8867916667,47.9381666666,23.5574166667,15.4369583333,21.4604166667
789.00,24.93775,34.9734194444,24.240625,56.03575,20.6540833333,22.96725,47.6558333333,23.7421666667,15.4750833333,21.6977083333
789.31,24.3678333333,34.8409268518,23.7974583334,55.5503333333,20.4131666666,23.1034166666,46.8160833334,23.7356666667,15.5885833333,21.9972916667
789.62,24.8680833333,35.3590537037,24.1300833333,56.33725,20.8916666666,23.9009583334,46.8003333333,23.80775,16.1565555556,22.701375
789.92,24.6266666666,35.0941601852,23.7526666667,56.3155,20.7895833333,23.6692916667,46.33775,23.7012916667,15.7462777778,22.382375
790.23,24.6954166667,35.2936787037,24.4911666667,56.2499166667,21.08975,24.1185,46.6988333333,24.5914166667,15.9577222222,22.3355833333
790.54,25.14925,35.8433111111,24.9087916666,57.0315833333,21.5754166666,24.1127083333,47.5455833333,24.883875,15.972875,22.68675
790.85,24.7893333333,35.8200407408,24.96625,57.0273333333,21.8149166667,23.8034583333,46.7644166667,24.5577083333,15.9757638889,22.9607083333
791.16,26.0323333333,36.3240583333,25.9532916666,57.0846666667,23.2933333333,24.6170416667,47.1445833333,25.3997083333,16.8678888889,23.6305416667
791.47,26.0905833333,36.4793481482,26.0531666667,56.6516666667,23.4849166667,24.43375,47.1360833333,25.44125,16.8915277778,23.7845416667
791.78,25.91925,35.7955805555,25.4295416667,55.97075,22.414,23.9135416667,47.2851666667,25.0256666667,15.8788611111,23.191625
792.08,25.93075,36.2190712963,25.926375,56.063,22.0161666667,23.5649166667,47.5468333333,25.1435416667,15.0270555555,23.4035416667
792.39,26.27875,37.3109462963,26.609375,57.20675,22.29975,23.7482916667,48.2833333334,25.0045416667,15.236,23.3995
792.70,26.4089166667,37.847949074,27.238625,57.9905,21.9595833333,23.1274166667,49.28625,24.71725,14.2489861111,22.7520416667
793.01,25.5225833333,37.4009416666,27.0110416667,56.9055833333,21.6685833333,22.62975,49.4401666667,24.5102083333,13.5155138889,22.681
