wavelength,Back_TanMexf,Belly_TanMexf,Breast_TanMexf,Crissum_TanMexf,Crown_TanMexf,DorTail_TanMexf,Patch10_TanMexf,Patch11_TanMexf,Rump_TanMexf,Throat_TanMexf,WingTip_TanMexf
625.28,6.12013333333,63.6194,18.9986666667,56.3024,4.50653333333,6.35833333333,7.84293333333,18.1182,23.2962666667,14.1669333333,7.69173333333
625.61,6.09766666667,63.5500666667,18.9795333333,56.2446,4.48933333333,6.32073333334,7.79746666667,18.092,23.2344666667,14.1103333333,7.66473333333
625.95,6.0884,63.5246666667,18.9523333333,56.2122,4.49166666667,6.34013333333,7.79213333333,18.0855333333,23.1871333333,14.1278666667,7.65633333333
626.28,6.14286666667,63.5902,19.0025333333,56.2574,4.5388,6.3866,7.8208,18.1342666667,23.2384666667,14.189,7.6992
626.61,6.20313333333,63.7594,19.0755333333,56.3986,4.59706666667,6.4706,7.8438,18.2112,23.3050666667,14.2781333333,7.76006666667
626.94,6.16406666667,63.8432,19.0798666667,56.4276666667,4.5434,6.42113333333,7.7848,18.1724666667,23.2607333333,14.251,7.7202
627.28,6.0706,63.7255333333,18.9477333333,56.3345333333,4.44166666667,6.3394,7.65493333333,18.0526,23.1164,14.128,7.6316
627.61,6.007,63.741,18.8918666667,56.3176,4.37893333333,6.27633333333,7.5892,18.0068,23.0486,14.0804,7.57493333333
627.94,5.96633333333,63.8723333333,18.8445333333,56.4206666667,4.3386,6.24466666667,7.56426666667,18.0032666667,23.0279333333,14.0665333333,7.53606666667
628.27,5.96986666667,64.0059333333,18.8642,56.5324666667,4.31353333333,6.23606666667,7.54346666667,18.0001333333,23.0443333333,14.0691333333,7.56506666667
628.61,5.9382,63.9908666667,18.7896666667,56.5382,4.27373333333,6.2168,7.48726666667,17.9345333333,22.9462666667,14.0233333333,7.5444
628.94,5.9538,64.0015333333,18.7578666667,56.5966,4.283,6.22526666667,7.5052,17.9120666666,22.9227333333,14.0099333333,7.56026666667
629.27,5.9984,64.0082666667,18.755,56.6512666667,4.33053333333,6.28166666667,7.53533333333,17.9183333333,22.9398666667,14.0580666667,7.5992
629.60,5.97273333333,64.0203333333,18.7122,56.645,4.30533333333,6.24946666667,7.4926,17.8455333333,22.885,14.0158666667,7.60633333333
629.94,5.9106,64.0062,18.6518666667,56.6385333333,4.2518,6.1878,7.443,17.7476666667,22.7885333333,13.9456666667,7.57246666667
630.27,5.88346666666,63.8812666667,18.5968,56.5423333333,4.2384,6.17286666667,7.43106666667,17.6730666667,22.7016666667,13.902,7.56466666667
630.60,5.85986666667,63.8662666667,18.5808,56.6127333333,4.24153333333,6.2092,7.4368,17.6887333333,22.7014666667,13.921,7.59086666667
630.93,5.847,63.9592666667,18.5666666667,56.6528666666,4.2206,6.2018,7.44473333333,17.6792666667,22.6888666667,13.9118666667,7.59566666667
631.26,5.82733333333,64.0513333333,18.5695333333,56.7727333333,4.18493333333,6.18533333333,7.4026,17.6644,22.6857333333,13.8940666667,7.5952
631.60,5.8184,63.8822,18.543,56.6366666667,4.18966666667,6.18586666667,7.37846666667,17.5902666667,22.6339333333,13.8418,7.60313333333
631.93,5.88213333333,63.7922666667,18.5680666667,56.5506666667,4.2658,6.23473333333,7.42853333333,17.6115333333,22.6346666666,13.8730666667,7.64466666666
632.26,5.904,63.7778,18.6059333333,56.5752,4.28673333334,6.24153333333,7.43833333333,17.6046666667,22.6405333333,13.8967333333,7.67013333334
632.59,5.7986,63.6973333333,18.5025333333,56.4954666667,4.1916,6.15826666667,7.32006666667,17.4911333333,22.538,13.7841333333,7.55073333333
632.92,5.7158,63.8032,18.4407333333,56.5556666667,4.1186,6.1066,7.27246666667,17.4136666667,22.5106,13.7086666667,7.5162
633.26,5.61053333333,63.8116666667,18.3392,56.574,4.038,6.0334,7.18553333334,17.3626666667,22.4376,13.6023333333,7.43013333333
633.59,5.59453333333,63.8633333333,18.3248,56.6316,4.02786666667,6.04,7.1316,17.3536666667,22.4329333333,13.5974,7.43833333333
633.92,5.6116,63.8798,18.2724,56.6245333333,4.02106666667,6.0378,7.12613333333,17.342,22.4427333333,13.5664,7.45413333333
634.25,5.66486666666,63.8502666667,18.2688666667,56.5873333333,4.03913333333,6.04646666667,7.16833333333,17.3378,22.4036666667,13.5356666667,7.48393333334
634.58,5.7064,63.8761333333,18.303,56.6384,4.09086666667,6.07586666667,7.20473333333,17.3672,22.3987333333,13.5718666667,7.51373333333
634.91,5.83993333333,63.8908666667,18.3778,56.6532666667,4.214,6.18546666667,7.32413333334,17.4499333333,22.4478,13.6337333333,7.62553333334
635.25,5.83633333333,64.0157333333,18.3756,56.7146,4.19526666667,6.19093333333,7.30233333333,17.4392666667,22.4466,13.6187333333,7.6388
635.58,5.8072,63.9771333333,18.3136666666,56.7064666667,4.17746666667,6.1756,7.2384,17.3579333333,22.3770666667,13.5753333333,7.62873333333
635.91,5.8096,64.1236666667,18.3063333333,56.7708,4.19486666667,6.1884,7.22733333333,17.3848,22.3952,13.5733333333,7.63113333333
636.24,5.93786666667,64.264,18.4186666667,56.8708,4.32153333333,6.3096,7.31973333333,17.4896666667,22.4979333333,13.6966,7.79786666667
636.57,6.04986666667,64.2726,18.4880666667,56.8857333333,4.412,6.40853333333,7.38966666667,17.5896666667,22.531,13.7968666667,7.88173333333
636.90,6.13386666667,64.3074,18.5310666667,56.9184666667,4.47366666666,6.47573333333,7.415,17.5856,22.5638666667,13.8356,7.92306666666
