wavelength,Back_DigGlom,Belly_DigGlom,Breast_DigGlom,Crissum_DigGlom,Crown_DigGlom,DorTail_DigGlom,Patch10_DigGlom,Rump_DigGlom,Throat_DigGlom,WingTip_DigGlom
627.61,6.89686666667,14.730875,12.5824066667,13.79675,5.01406666667,7.31553333333,17.4163333333,10.1868666667,5.83216666667,11.8062
627.94,6.9816,14.771375,12.65614,13.8640833333,5.10113333333,7.36326666667,17.4436,10.2488666667,5.89583333333,11.8504
628.27,7.02186666667,14.8089583333,12.7384266667,13.8734166667,5.15246666667,7.41393333333,17.4702,10.2594666667,5.96313333333,11.8868
628.61,7.08873333333,14.8882083333,12.8193866667,13.9211666667,5.23713333333,7.4814,17.5136666667,10.3116666667,6.03046666667,11.9564666667
628.94,7.03573333333,14.8632916667,12.79436,13.9125,5.17993333333,7.42376666667,17.4148,10.2653333333,5.98496666667,11.8992666667
629.27,6.9926,14.8170833333,12.77448,13.8690833333,5.1678,7.38183333333,17.3401333333,10.2217333333,5.9693,11.8676666667
629.60,6.92133333333,14.8127916667,12.7525133333,13.8139166667,5.111,7.2901,17.2427333333,10.1550666667,5.91193333333,11.8310666667
629.94,6.95146666667,14.8811666667,12.8398266667,13.87875,5.14926666667,7.3054,17.2478,10.1952666666,5.95533333334,11.9170666667
630.27,7.03106666667,15.0449166667,12.9419466667,13.9536666667,5.2578,7.41153333333,17.3194,10.2684666667,6.01863333333,12.0114666667
630.60,7.0748,15.1351666667,13.0008133333,13.9785,5.26086666667,7.45883333333,17.3478,10.2726,6.03153333333,12.0605333333
630.93,7.06033333333,15.1489166667,13.0255,13.9556666667,5.23966666667,7.4204,17.2937333333,10.2457333333,5.9877,12.0227333333
631.26,6.99046666666,15.072625,12.9672,13.934,5.1708,7.32223333333,17.1628666667,10.1290666667,5.89283333333,11.9620666667
631.60,7.04906666667,15.154375,13.0253866667,13.9638333333,5.2084,7.36863333333,17.2029333333,10.1454,5.92323333333,12.0098666667
631.93,7.08766666667,15.24575,13.0430733333,14.0553333333,5.2192,7.37606666667,17.2244666667,10.1957333333,5.9092,12.0736666667
632.26,6.9742,15.229875,12.9577266667,13.9869166667,5.1168,7.28856666667,17.1455333333,10.0841333333,5.78663333333,12.0454666667
632.59,6.97606666667,15.2752083333,12.99384,13.9736666667,5.16446666667,7.32273333333,17.1376,10.0822,5.81203333333,12.1046
632.92,6.97613333333,15.3090833333,13.0435533333,14.03275,5.17333333333,7.37136666667,17.1202666667,10.1084666667,5.80573333333,12.1724
633.26,7.108,15.3790833333,13.1776733333,14.1440833333,5.26113333333,7.48263333333,17.2595333334,10.2357333333,5.90003333333,12.2684666667
633.59,7.0658,15.3167916667,13.1095333333,14.06675,5.18366666667,7.42883333333,17.186,10.1701333333,5.80646666667,12.224
633.92,6.99526666667,15.2547083333,13.0656666667,13.9966666667,5.127,7.37773333333,17.1426,10.1220666667,5.72593333333,12.1914
634.25,6.9346,15.22625,13.0220733333,14.01925,5.14233333333,7.3601,17.1093333333,10.1,5.70763333333,12.1499333333
634.58,6.93726666667,15.200375,13.0324066667,14.0089166667,5.18033333333,7.35216666667,17.1329333333,10.1012666667,5.74383333333,12.2103333333
634.91,6.81706666667,15.135625,12.9585066667,13.93025,5.08013333333,7.2754,17.0794,9.99286666665,5.6495,12.1026666667
635.25,6.79253333333,15.1039583333,12.96948,13.9369166666,5.04833333333,7.24986666667,17.0386666667,9.95986666667,5.6166,12.0883333333
635.58,6.7122,15.035875,12.9256333333,13.8810833333,4.99106666667,7.17923333333,16.9926,9.87986666666,5.54866666667,12.0032
635.91,6.66773333333,15.0152916667,12.9212133333,13.9013333333,4.93733333333,7.15493333333,16.9908,9.88160000001,5.52853333333,12.0072666667
636.24,6.65573333333,15.0114166667,12.9041133333,13.92275,4.87193333333,7.10413333333,16.9968666667,9.86093333333,5.46783333333,11.9475333333
636.57,6.65686666667,15.0917083333,12.9922466667,13.932,4.852,7.07746666667,17.0985333333,9.8554,5.4838,11.9292
636.90,6.5582,15.05,12.89296,13.8560833333,4.79506666667,7.03373333333,16.9892,9.73120000002,5.43316666667,11.8716
637.23,6.41646666666,15.0019583333,12.8258333333,13.8206666667,4.706,6.94346666667,16.913,9.64506666665,5.3371,11.7524
637.56,6.35293333333,14.926,12.7904466667,13.8225,4.63993333333,6.88923333333,16.8686666667,9.57140000001,5.30223333333,11.7116666667
637.90,6.3444,14.936125,12.8575933333,13.8193333333,4.63113333333,6.87343333333,16.8783333333,9.5728,5.27903333334,11.7380666667
638.23,6.3056,15.023375,12.9044466667,13.8444166667,4.57986666667,6.8239,16.8432666667,9.55746666667,5.20516666667,11.6736
638.56,6.4488,15.199625,13.0788533333,13.98725,4.768,6.99686666667,16.9552,9.71473333335,5.35943333333,11.8670666667
638.89,6.48093333333,15.2609583333,13.1085666667,14.0134166667,4.8222,7.05573333333,16.982,9.74340000001,5.39473333333,11.9014666667
639.22,6.55606666667,15.3542916667,13.19746,14.0984166667,4.89173333333,7.14763333333,17.0268666667,9.82293333333,5.47566666667,11.9677333333
639.55,6.64773333333,15.4837916667,13.3213666667,14.1453333333,4.98493333333,7.22063333333,17.1130666667,9.85813333334,5.59933333333,12.0317333333
639.88,6.7508,15.6097083333,13.4439266667,14.16875,5.0872,7.33813333333,17.2050666667,9.89086666666,5.69366666667,12.1371333333
640.21,6.78453333333,15.6305833333,13.4186466667,14.2304166667,5.1818,7.4227,17.2161333333,9.90300000001,5.71366666667,12.1879333333
640.54,6.86693333333,15.764,13.5537933333,14.3345,5.26586666667,7.47423333333,17.3852,10.0133333333,5.75163333333,12.2558
640.87,6.94313333333,15.8145416667,13.6282666667,14.3005833333,5.30053333333,7.5141,17.3730666667,9.99206666666,5.79766666667,12.2882666667
641.20,6.88666666667,15.818375,13.6429733333,14.2388333333,5.28953333333,7.46973333333,17.2937333333,9.90506666667,5.74013333333,12.2278666667
641.53,6.88506666667,15.8246666667,13.6754733333,14.2273333333,5.29253333333,7.48393333333,17.275,9.8986,5.7821,12.2221333333
641.87,6.8708,15.826875,13.65642,14.20275,5.297,7.47946666667,17.2537333333,9.82493333333,5.7832,12.218
642.20,6.9134,15.8337916667,13.67134,14.1783333334,5.32406666667,7.45076666667,17.2242666667,9.77293333333,5.70976666667,12.2026
642.53,6.8384,15.84375,13.6349666667,14.1375,5.30113333333,7.38013333333,17.2174,9.67326666667,5.61843333333,12.1571333333
642.86,6.78073333333,15.8823333333,13.6415733333,14.0624166666,5.28873333333,7.33306666667,17.1951333333,9.65613333333,5.55993333333,12.1261333333
643.19,6.6234,15.7507083333,13.55432,13.9683333333,5.2072,7.20876666667,17.0363333333,9.56173333332,5.43213333333,11.9872
643.52,6.54386666667,15.7320416667,13.5534133333,14.025,5.1968,7.1666,17.0180666667,9.56993333334,5.3551,11.9496666667
643.85,6.4578,15.640125,13.5086,13.8981666667,5.0582,7.0091,16.8916666667,9.44746666666,5.26786666667,11.8044
644.18,6.36433333333,15.5661666667,13.40638,13.8249166667,4.94566666667,6.89736666667,16.7463333333,9.33200000001,5.16213333333,11.6983333333
644.51,6.32786666667,15.58,13.3837066667,13.8676666667,4.94746666667,6.91766666667,16.8062666667,9.37339999999,5.1435,11.7068
644.84,6.43293333333,15.7322083333,13.50366,14.0073333333,5.0314,7.03973333333,16.9426,9.5454,5.28543333333,11.8156
645.17,6.3834,15.7312916667,13.4792066667,13.95025,4.97973333333,6.96843333333,16.9054666667,9.48099999999,5.17606666667,11.729
645.50,6.37093333333,15.77025,13.56408,14.0668333334,4.9736,7.01543333333,16.9987333333,9.54833333335,5.2096,11.7776
645.83,6.2558,15.7390833333,13.5146533333,14.0680833333,4.85873333333,6.9491,17.0314,9.5002,5.21663333333,11.6936666667
646.16,6.1372,15.6722916667,13.4597,13.9955,4.6968,6.8389,16.9164,9.41613333334,5.1426,11.5626
646.49,6.1208,15.6527916667,13.4699533333,14.0098333333,4.65,6.77696666667,16.9312,9.35620000001,5.13596666667,11.5585333333
646.82,6.26066666667,15.8074166667,13.5842466667,14.1013333333,4.7742,6.94963333333,17.0494666667,9.46213333332,5.23646666667,11.6451333333
647.15,6.375,15.856,13.6173666667,14.1510833333,4.821,7.04463333333,17.1267333333,9.52580000001,5.3573,11.7547333333
647.48,6.59553333333,16.1537916667,13.7993066667,14.3758333333,4.99906666667,7.2399,17.3744666667,9.72713333335,5.51153333333,11.9357333333
647.81,6.69433333333,16.2906666667,13.93736,14.5485,5.14593333333,7.37393333333,17.5356666667,9.84239999999,5.63563333333,12.0815333334
648.14,6.77973333333,16.44325,14.1039733333,14.6823333333,5.25013333333,7.47433333333,17.6489333333,9.90926666667,5.7345,12.1874666667
648.47,6.719,16.4251666667,14.0486266667,14.6545,5.18053333333,7.39713333333,17.5958666667,9.82780000001,5.6399,12.0988
648.80,6.87106666667,16.5939583333,14.1846933333,14.8260833333,5.30586666667,7.52493333333,17.7531333334,9.95240000001,5.7592,12.2562
649.13,6.98886666667,16.656875,14.2666666667,14.8021666667,5.39053333333,7.58966666667,17.8026666667,9.9968,5.85673333333,12.3200666667
649.46,7.13693333333,16.795,14.43706,14.9569166667,5.5294,7.6975,17.904,10.1068666667,5.92413333333,12.4861333333
649.79,7.25933333333,16.952625,14.5691533333,15.1028333333,5.64313333333,7.84543333333,18.0678666667,10.2572,6.1045,12.6508
650.11,7.4236,17.1425833333,14.6565333333,15.2703333333,5.82046666667,8.027,18.1710666667,10.384,6.22873333333,12.7906666666
650.44,7.54973333333,17.283625,14.83218,15.4155,5.87893333333,8.11923333333,18.2864666667,10.4857333333,6.33476666667,12.8782666666
650.77,7.53146666667,17.3523333333,14.9125266667,15.4311666667,5.94313333333,8.1049,18.2534666667,10.4810666667,6.32486666667,12.8677333333
651.10,7.4904,17.2764583333,14.94076,15.4259166667,5.95533333333,8.07396666667,18.1774,10.4554666667,6.3218,12.8528
651.43,7.37913333333,17.1639583333,14.9021733333,15.3068333333,5.81173333333,7.99973333333,18.0772,10.3257333333,6.22296666667,12.7582666667
651.76,7.4842,17.2190833333,14.9727533333,15.4285,5.88306666667,8.07223333333,18.1593333333,10.4076666666,6.28763333334,12.8479333333
652.09,7.6254,17.281875,15.0641933333,15.5195,6.02066666666,8.2264,18.2792,10.5236,6.47143333333,12.9864
652.42,7.58406666667,17.2391666667,15.05946,15.517,5.95093333333,8.25153333333,18.2585333333,10.4751333333,6.52126666667,12.9392666666
652.75,7.56893333334,17.318875,15.0750666667,15.6075833333,5.88866666667,8.2864,18.2781333334,10.4829333333,6.47833333333,12.9136666667
653.08,7.53593333334,17.352125,15.0642733333,15.61075,5.82653333333,8.33676666667,18.3152666667,10.5098,6.50533333334,12.8717333333
