wavelength,Back_TanJohf,Belly_TanJohf,Breast_TanJohf,Crissum_TanJohf,Crown_TanJohf,DorTail_TanJohf,Patch10_TanJohf,Patch11_TanJohf,Patch12_TanJohf,Rump_TanJohf,Throat_TanJohf,WingTip_TanJohf
332.08,6.00166666667,13.3963888889,15.205,12.33025,4.64675,9.03717187499,15.8775833333,4.97658333334,15.5446666667,14.27075,5.30345833333,8.13925
332.44,5.90833333333,13.2921666667,15.2201666666,12.1663333333,4.25966666666,8.97079687501,15.8455833333,4.74075,15.6274166667,14.1390833333,5.130625,8.02225
332.81,6.54875,13.9086666667,15.8134166667,12.68675,4.7705,9.54329166667,16.3719166667,5.30683333333,16.19925,14.5904166667,5.5215,8.74108333333
333.18,6.50183333333,14.1317777778,15.8019166667,12.58025,4.55275,9.54003125002,16.3670833333,5.14883333333,16.4350833333,14.4860833333,5.4965,8.6915
333.54,6.52766666667,14.5925,15.9925833333,12.7836666667,4.676,9.733046875,16.6666666666,5.26175,16.66975,14.8305,5.82141666667,8.791
333.91,6.58641666667,14.7478333333,16.0993333333,12.9705833333,4.73083333333,9.69817708333,16.721,5.31325,16.84775,14.9286666667,5.753625,8.82208333333
334.28,6.07658333333,14.5050555556,15.8835833333,12.5075833333,4.37666666667,9.30791145832,16.3331666667,4.86483333333,16.53875,14.4069166667,5.23416666667,8.06541666667
334.64,6.18033333333,14.5361111111,15.8670833333,12.5718333333,4.5255,9.42259895833,16.5905,4.90633333333,16.65775,14.5341666667,5.27370833333,8.24566666667
335.01,6.24508333333,14.5724444444,15.8325,12.7343333333,4.63416666667,9.43011458334,16.609,4.74908333333,16.6551666667,14.4371666667,4.99375,8.22408333334
335.38,6.20583333333,14.6181111111,15.88625,12.7706666667,4.57941666667,9.45611458333,16.6096666667,4.51416666666,16.6439166666,14.3655,5.0995,8.18258333333
335.74,6.37916666667,14.8536111111,16.0638333333,12.9233333333,4.64325,9.49611979166,16.7226666666,4.56191666667,16.70575,14.4626666666,5.15641666667,8.3445
336.11,6.57191666667,15.1132777778,16.4864166667,13.2295833333,4.77966666667,9.62843750001,16.9414166666,4.84075,17.069,14.7469166667,5.33333333334,8.544
336.47,6.71466666666,15.2976666667,16.5080833333,13.2764166667,5.00608333333,9.70672395832,17.186,5.03066666667,17.2655,14.9333333333,5.47625,8.67783333333
336.84,6.30483333334,15.0393333333,16.23775,13.01725,4.70291666666,9.39876041667,17.0385833334,4.65683333333,17.14725,14.71425,5.17270833333,8.4175
337.21,5.935,14.6255555556,15.8421666666,12.8425,4.4445,8.98653125,16.79025,4.32108333333,16.723,14.3866666667,4.918625,7.93316666667
337.57,5.73125,14.5075555555,15.7894166667,12.6149166667,4.28425,8.71659895832,16.7121666667,4.04366666666,16.637,14.19575,4.62670833333,7.62991666667
337.94,5.61025,14.3853333333,15.8543333333,12.6520833333,4.20241666667,8.64318229167,16.6349166666,3.97466666667,16.6958333333,14.1076666667,4.67875,7.44416666667
338.31,6.0255,14.6076111111,16.0693333334,12.93625,4.51633333333,9.04059895833,17.0673333333,4.29116666667,17.0964166667,14.5211666667,5.18958333333,7.82775
338.67,6.05925,14.7875555556,16.1404166667,13.0691666667,4.52225,9.01620833333,17.0521666667,4.16533333333,17.1876666666,14.5435833333,5.18641666667,7.62991666667
339.04,6.30583333333,14.9145,16.3158333333,13.2595,4.60641666667,9.16319791667,17.22125,4.47483333333,17.48675,14.869,5.37758333334,7.76333333333
339.40,6.28783333333,14.8516111111,16.3500833333,13.0706666667,4.60466666667,9.063515625,17.203,4.35691666667,17.4813333333,15.03725,5.347875,7.74083333333
339.77,6.23408333333,14.8110555555,16.4631666667,13.0966666667,4.60558333333,9.13843229166,17.3181666667,4.44525,17.5775833333,15.1603333333,5.46291666667,7.65408333333
340.14,5.75916666667,14.3605,16.10875,12.6876666667,4.08808333333,8.64305208334,17.02425,3.766,17.1231666667,14.7416666667,4.98975,7.18191666666
340.50,5.77266666666,14.0344444444,16.1755,12.7480833333,4.0865,8.72215624999,16.96725,3.53516666667,17.1275833333,14.6848333333,4.95716666667,7.16325
340.87,5.602,13.7382222222,16.13775,12.55475,3.83633333333,8.54168229166,16.7310833333,3.32233333333,16.9745833333,14.5189166667,4.766375,6.80625
341.23,6.30075,14.2456666667,16.8945,13.1354166667,4.4985,9.178015625,17.3963333334,3.94258333333,17.61925,15.1239166667,5.34595833333,7.54241666667
341.60,6.561,14.3163888889,17.2115833333,13.3535,4.65625,9.2726875,17.50825,4.1595,17.71075,15.3211666667,5.560375,7.76916666667
341.96,6.60925,14.2977777778,17.2045833333,13.15175,4.64625,9.25103124999,17.5108333333,4.0435,17.7210833333,15.2676666666,5.44833333333,7.678
342.33,6.55725,14.2939444445,17.2825833333,13.1311666667,4.446,9.03506770833,17.368,3.86833333333,17.6605,15.19025,5.135625,7.54866666666
342.70,6.48158333333,14.1834444444,17.36,12.9444166667,4.336,9.1160625,17.4398333333,3.89183333333,17.8534166667,15.2026666667,4.97395833333,7.55791666667
343.06,6.042,13.9067222222,17.1895833334,12.59225,3.95775,8.87360937501,17.2500833333,3.44641666667,17.6140833333,14.8394166667,4.59616666667,7.12
343.43,6.13925,13.9364444444,17.2825833333,12.869,4.10891666666,9.05560416667,17.451,3.66366666667,17.8663333333,14.7954166667,4.574875,7.10591666667
343.79,6.02058333333,13.5904444444,17.0109166667,12.56925,3.9005,8.72644270832,17.1673333333,3.41116666667,17.7720833333,14.5624166666,4.322875,6.82008333333
344.16,6.3925,13.8257777778,17.3285,12.8968333333,4.23933333333,9.09814062499,17.6011666667,3.72958333333,18.2453333333,14.8980833333,4.61279166667,7.21083333333
344.52,6.4125,13.9093333333,17.28325,12.8381666667,4.08275,8.94748958334,17.6945833333,3.66041666667,18.278,14.821,4.45066666667,7.19258333333
344.89,6.55816666667,14.1920555555,17.3399166667,12.9830833333,4.25625,9.11790625,18.0220833334,3.81683333333,18.4635833333,14.9855,4.49358333333,7.32341666667
345.25,6.16833333334,13.9888888889,16.9128333334,12.5871666667,3.86175,8.68776041667,17.7490833333,3.34775,18.2698333333,14.6105,3.97716666667,6.88075
345.62,6.21191666667,14.1286111111,16.9160833333,12.6646666667,3.86316666667,8.72742187499,17.8066666667,3.4385,18.5300833333,14.6666666667,3.93358333334,6.95283333333
345.99,6.502,14.4971111111,17.1545,13.08775,4.28375,9.03581250001,18.253,3.81083333333,18.8483333333,14.99875,4.21383333333,7.26291666667
346.35,6.65908333334,14.5421666667,17.32925,13.1838333333,4.47541666667,9.28509895832,18.3325,3.96216666667,18.9823333333,15.07125,4.432875,7.44708333333
346.72,6.77649999999,14.8035,17.626,13.4591666667,4.66025,9.35242708333,18.51925,4.105,19.1125,15.2948333333,4.747375,7.63991666667
347.08,7.02833333334,14.9266111111,17.69575,13.5578333333,4.88083333333,9.39232291666,18.7123333333,4.27391666667,19.3681666667,15.4040833334,4.975125,7.81575
347.45,6.66566666667,14.7229444445,17.5099166666,13.2125,4.48708333333,8.94290625,18.4235,3.86533333333,19.07325,15.1821666666,4.57966666667,7.439
347.81,6.62991666667,14.8064444444,17.6833333333,13.3433333333,4.5455,9.06377083332,18.60325,3.87758333333,19.24975,15.1855833333,4.63429166667,7.49025
348.18,6.80599999999,15.0703888889,17.8575,13.4756666667,4.85041666667,9.25007291666,18.8544166667,4.02608333333,19.4400833333,15.3310833333,4.783375,7.605
348.54,6.947,15.3322777778,18.1898333334,13.6824166667,5.07333333333,9.42693749999,19.0378333333,4.251,19.7063333333,15.5836666667,5.071375,7.701
348.91,6.79666666667,15.0998333333,18.1565,13.5978333333,4.94775,9.25464583334,18.7686666667,4.1275,19.6633333333,15.5828333333,4.943375,7.63841666667
349.27,7.22775000001,15.5075,18.6945,14.0963333333,5.34316666666,9.78357291668,19.13775,4.58341666667,20.0831666667,16.0589166667,5.38220833333,8.059
349.64,7.33183333333,15.7487777778,18.91925,14.31775,5.59475,9.97353645833,19.4913333333,4.74183333333,20.3271666667,16.2286666666,5.5695,8.18241666667
350.00,7.19691666666,15.7655555555,18.9353333334,14.2475,5.394,9.87315624999,19.4493333334,4.62725,20.3935833334,16.1945833333,5.54133333334,8.17466666666
350.37,6.86249999999,15.7527777778,18.7354166666,14.1333333333,5.23541666666,9.69375000002,19.43125,4.41666666667,20.3583333333,16.125,5.3875,7.92916666667
350.73,6.87566666667,15.472,18.558,14.02375,5.067,9.60858333333,19.2745,4.29258333333,20.3068333333,15.9708333334,5.19695833333,7.71808333333
351.10,6.75458333334,15.5686666667,18.64125,14.12925,4.9385,9.616328125,19.1853333333,4.20683333333,20.251,16.0174166666,5.049,7.616
351.46,7.11041666666,15.8420555555,18.8668333334,14.4745833333,5.22708333333,9.94544270833,19.50475,4.60541666667,20.7034166667,16.3110833334,5.388625,7.9615
