wavelength,Back_SpoRuff,Belly_SpoRuff,Breast_SpoRuff,Crissum_SpoRuff,Crown_SpoRuff,DorTail_SpoRuff,Patch10_SpoRuff,Rump_SpoRuff,Throat_SpoRuff,WingTip_SpoRuff
196.27,-242.9628,-155.1854,-310.740733333,-204.907433333,-149.999933334,-193.333466667,-115.740666667,-257.777666667,66.2963333335,-193.888933333
196.65,-663.476200001,-470.238066667,-867.904733334,-567.880966667,-448.857133334,-495.190533333,-346.999999999,-717.142866667,99.0951999999,-498.000000001
197.03,298.0794,204.825266667,269.523866667,231.420466666,203.285866667,114.262,211.936533333,211.6984,80.3494,152.428466666
197.40,174.086933333,118.029,120.318933333,126.069533333,117.315933333,44.1362666667,145.663733333,106.573933333,65.4086666665,94.2145333334
197.78,193.268,99.1502666667,97.1024000001,104.553266667,97.6689999999,4.9672,157.886666667,87.8212666667,71.7210666666,90.7626000001
198.16,228.492066667,105.476266667,83.3334000001,117.3809,96.1903999999,-30.1984333333,185.238133333,92.5397333334,91.5872666667,116.904733333
198.54,192.2222,113.862466667,151.719533333,123.822666667,108.835866667,60.5689666667,154.497333333,142.486933333,95.9260000001,135.846466667
198.92,201.075333333,112.566266667,170.638066667,128.1721,104.086066667,79.3012000001,162.810133333,166.0788,96.4016000001,140.817133333
199.30,288.980466667,152.588333333,229.078533333,178.2549,150.803933333,87.3824,246.941133333,230.235266667,121.156866667,214.588266667
199.68,171.604933333,137.284,225.4322,125.432066667,124.938266667,119.629633333,146.172866667,174.568,99.9998666666,147.1604
200.06,156.8138,52.2942,98.0882666666,103.990233333,76.4706000001,31.3824,176.4608,120.245133333,58.8627333333,126.1078
