wavelength,Back_HemFlam,Belly_HemFlam,Breast_HemFlam,Crissum_HemFlam,Crown_HemFlam,DorTail_HemFlam,Patch10_HemFlam,Rump_HemFlam,Throat_HemFlam,WingTip_HemFlam
383.77,4.32486666667,39.5370666667,25.4515333333,12.2888666667,3.22366666667,6.3826,28.5609333333,8.99080000001,7.26766666667,5.9108
384.14,4.37106666667,39.6214333333,25.4807333333,12.2693333333,3.27406666667,6.40566666667,28.6219333333,8.96826666667,7.28193333333,5.94066666667
384.50,4.34933333333,39.7393333333,25.5054,12.2168666667,3.2614,6.39453333333,28.7298666667,8.89773333333,7.25226666667,5.9304
384.86,4.2902,39.7321,25.4812,12.1261333333,3.22193333333,6.3316,28.7182,8.78520000001,7.18146666667,5.87986666667
385.22,4.28093333333,39.8571666667,25.5616666667,12.0721333333,3.2104,6.3154,28.7911333333,8.75546666667,7.13626666667,5.88413333333
385.58,4.20633333333,39.8812666667,25.5448,11.9577333333,3.1712,6.25833333333,28.8389333333,8.65999999999,7.046,5.83766666667
385.94,4.11686666667,39.8991,25.5392666667,11.8186666667,3.0886,6.19753333333,28.8199333333,8.53120000001,6.95313333334,5.76226666667
386.30,4.08713333333,40.1135333333,25.6504,11.7970666667,3.08513333334,6.20353333333,28.9188666666,8.48133333335,6.93733333333,5.77726666667
386.66,4.10073333333,40.2266,25.7136666667,11.7715333333,3.11546666667,6.2334,28.9766,8.4578,6.96413333333,5.8102
387.03,4.02813333333,40.2928666667,25.6925333333,11.6522666667,3.05506666667,6.16933333333,28.9749333333,8.34239999999,6.88586666667,5.74666666667
387.39,3.9862,40.3059333333,25.7034666667,11.5666,3.02533333333,6.13373333333,28.9979333333,8.2602,6.82726666667,5.7056
387.75,3.95086666667,40.3853,25.7322,11.5056666667,2.97633333333,6.10886666667,29.0212,8.17833333333,6.75306666667,5.68173333333
388.11,3.8716,40.4422333333,25.7466666667,11.3959333333,2.91306666667,6.0666,29.0028666666,8.08639999999,6.6608,5.63386666667
388.47,3.83033333333,40.4565,25.7729333333,11.3070666667,2.88673333333,6.03273333333,28.9900666667,7.99626666665,6.59646666667,5.5866
388.83,3.81273333333,40.5271666667,25.7568,11.2174666667,2.85353333333,6.01213333333,29.0021333333,7.89080000001,6.53993333333,5.55873333333
389.19,3.7874,40.6413333333,25.7970666667,11.1688,2.8382,6.00966666667,29.0540666667,7.7988,6.50393333333,5.5662
389.55,3.7704,40.7024666667,25.8232,11.1033333333,2.78886666667,5.98413333333,29.0732,7.69780000001,6.45213333333,5.55513333333
389.91,3.82793333333,40.8437333333,25.9029333333,11.0898666667,2.84186666667,6.0168,29.1664666667,7.66806666667,6.46386666667,5.59433333333
390.27,3.79873333333,40.8009333333,25.8555333333,10.9686,2.78626666667,5.95793333333,29.1186666667,7.5536,6.3612,5.5432
390.63,3.7894,40.8616666667,25.8832666667,10.8704,2.7704,5.92813333333,29.1296666667,7.45833333333,6.291,5.5312
391.00,3.81846666667,40.9049,25.9078,10.8153333333,2.7892,5.94593333333,29.1634666667,7.4062,6.2534,5.55013333333
391.36,3.84626666667,41.0103333333,25.9448,10.7673333333,2.79993333333,5.967,29.2176666667,7.35466666667,6.22106666667,5.56506666667
391.72,3.8722,41.0485,25.9392,10.6736,2.81993333333,5.97926666667,29.2115333333,7.28173333333,6.19406666667,5.57333333333
392.08,3.89033333333,41.1442333333,26.0018,10.6054,2.84413333333,5.99026666667,29.2780666667,7.1938,6.1714,5.5922
392.44,3.93093333333,41.2315,26.0383333333,10.5423333333,2.8766,6.03473333333,29.3227333333,7.1642,6.15393333333,5.6374
392.80,3.9124,41.2633666667,26.0594666667,10.443,2.84153333333,5.99513333333,29.3160666667,7.0856,6.0724,5.60393333333
393.16,3.91253333333,41.3135666667,26.0855333333,10.3482,2.84846666667,5.99606666666,29.3389333333,7.00666666667,6.01026666667,5.59133333333
393.52,3.89333333333,41.4210333333,26.1360666667,10.2416666667,2.84386666667,5.97446666667,29.3820666667,6.9048,5.94453333333,5.56293333333
393.88,3.8952,41.5078,26.1898,10.1798666667,2.8422,5.96673333333,29.4417333333,6.844,5.8852,5.583
394.24,3.9248,41.6362333333,26.2834,10.1105333333,2.86993333333,6.00013333333,29.5245333333,6.80093333333,5.85973333333,5.6274
394.60,3.89766666667,41.7161333333,26.2954666667,10.0121333333,2.84046666667,5.97286666666,29.5844666667,6.68886666667,5.78273333333,5.5958
394.96,3.83406666667,41.7801,26.3005333333,9.86473333334,2.7708,5.89866666667,29.591,6.52873333334,5.68266666667,5.53153333333
395.32,3.77146666666,41.82,26.3067333333,9.72753333334,2.73033333333,5.8286,29.5866666667,6.39493333333,5.57386666666,5.50473333333
395.68,3.71566666667,41.8507333333,26.2980666667,9.59933333334,2.68253333333,5.75733333333,29.6193333333,6.247,5.45706666667,5.44646666667
396.04,3.67686666667,41.8731,26.2782666667,9.46959999999,2.64233333333,5.70466666667,29.6054,6.1404,5.35966666667,5.39233333333
396.40,3.66646666667,41.9475,26.3214666667,9.35579999999,2.6118,5.66086666667,29.6257333333,6.02006666667,5.29353333334,5.35653333333
396.76,3.7004,42.0284666667,26.368,9.26706666666,2.6618,5.67646666667,29.6633333333,5.9506,5.25966666667,5.3856
397.12,3.662,42.0616333333,26.3496,9.11659999999,2.61453333333,5.61886666667,29.6586,5.8168,5.1622,5.33806666667
397.48,3.65106666667,42.1027333333,26.3372,8.99420000001,2.59166666667,5.59613333333,29.6807333333,5.7408,5.0928,5.31506666666
397.84,3.64933333333,42.1592,26.3766,8.90973333332,2.60713333333,5.61386666667,29.7054,5.68473333333,5.05353333333,5.3098
398.20,3.63186666667,42.1587,26.3786666667,8.80606666665,2.60226666667,5.58926666667,29.7207333333,5.59173333333,4.991,5.2828
398.56,3.61453333333,42.1838333333,26.3904666667,8.69353333335,2.5798,5.56726666667,29.7092666667,5.54193333333,4.92106666667,5.26533333333
398.92,3.6156,42.1896333333,26.3923333333,8.62633333333,2.5856,5.5778,29.6960666667,5.48966666667,4.87286666667,5.27226666667
399.28,3.64673333333,42.2229666667,26.4321333333,8.56213333333,2.59226666667,5.6014,29.7290666667,5.43686666667,4.8356,5.26953333333
399.64,3.64713333334,42.2937,26.4552666667,8.49666666665,2.6078,5.62406666667,29.7436,5.39046666667,4.81646666667,5.29086666667
400.00,3.6086,42.2846,26.4139333333,8.39319999999,2.58446666667,5.59333333333,29.7210666667,5.29293333333,4.7336,5.25593333333
400.36,3.5592,42.2241,26.3570666667,8.3078,2.55046666667,5.53966666667,29.6652,5.19846666667,4.6394,5.22213333333
400.72,3.4924,42.3139666667,26.3776666666,8.22293333333,2.49426666667,5.50213333333,29.7116,5.139,4.57313333333,5.18586666667
401.08,3.48206666667,42.3404333333,26.395,8.15066666665,2.46653333333,5.46413333333,29.743,5.08073333333,4.5072,5.15786666666
