wavelength,Back_PyrRuff,Belly_PyrRuff,Breast_PyrRuff,Crissum_PyrRuff,Crown_PyrRuff,DorTail_PyrRuff,Patch10_PyrRuff,Rump_PyrRuff,Throat_PyrRuff,WingTip_PyrRuff
246.42,9.76793333333,10.7115333333,10.5646666667,8.99446666666,9.08760000001,13.0780666666,9.28073333333,10.4176,9.4586,15.3982666667
246.79,10.2854,11.5421333333,11.0218666667,9.29586666667,9.81593333334,13.5644666667,9.4836,10.8919333333,9.82306666667,15.8181333333
247.17,11.0156,11.5881333333,11.4723333333,9.9794,9.89766666667,14.0490666667,9.46139999999,10.8384,10.1838666667,15.9916666667
247.54,10.173,11.0512,11.0113333333,9.74706666666,9.65393333333,13.7724,9.54753333333,10.5387333333,9.95333333333,16.1943333333
247.92,10.5234666667,11.3519333333,11.1662666667,10.0728666667,9.66859999999,14.0954666667,9.44993333335,11.0271333333,9.9934,16.6069333333
248.29,10.6572,11.4956666667,11.6296666666,10.3689333333,10.1677333333,13.9302666667,9.26213333335,10.7981333333,10.0066666667,16.7538666667
248.67,10.4474,12.0706666666,11.4186,10.1489333333,9.92033333333,14.2905333333,9.33053333331,11.0094,10.3642,16.6354
249.04,10.9588,12.3379333333,11.7994,10.6122,10.4055333333,14.4321333333,10.0148,11.3053333334,10.9366,16.8509333333
249.42,12.804,14.3844,13.832,13.1878,12.4895333333,16.1027333333,11.914,13.1569333333,13.1799333333,18.4886
249.79,12.4173333333,13.7873333333,13.19,12.7281333333,11.3660666667,15.3324666667,11.6049333333,12.4969333333,12.9192,17.5468666667
250.17,14.0749333334,14.5776666667,14.0832666666,13.6628666667,12.4350666666,16.2917333333,12.6410666667,13.5970666667,13.8936,18.047
250.54,12.9816666667,12.9024,12.964,12.7265333333,10.8706666667,15.0658666667,11.4159333333,12.6385333333,12.8231333333,17.0800666667
250.92,13.3788666667,13.1050666667,13.0684,13.443,10.7762,15.4338,12.21,13.2238,13.2512,17.4063333333
251.29,12.5070666667,12.3362,12.5450666667,13.2383333333,10.0,14.2735333333,12.0608666667,13.2857333334,13.0767333333,16.7330666667
251.66,13.418,13.1359333333,13.4838666667,13.3804,10.1644,14.6497333333,12.1672,13.8412,13.465,16.7465333333
252.04,15.6992,14.6072666667,14.4159333333,15.3258,11.7720666667,16.0248,14.5115333333,15.5172666667,15.2106666667,18.2854666667
252.41,15.1922,14.112,13.1191333333,14.7250666667,10.5984666667,15.9998666667,14.2482,15.1240666667,14.7736666667,17.3527333333
