wavelength,Back_TanNivf,Belly_TanNivf,Breast_TanNivf,Crissum_TanNivf,Crown_TanNivf,DorTail_TanNivf,Patch10_TanNivf,Patch11_TanNivf,Patch12_TanNivf,Rump_TanNivf,Throat_TanNivf,WingTip_TanNivf
795.47,9.92788888888,41.0491111111,27.1624444444,38.8844444444,22.1791111111,13.6673333333,9.8717777778,16.4987777778,11.9803333333,26.758,14.1923333334,17.1443333333
795.78,9.25344444445,40.6129444445,26.558,38.1001111111,21.6188888889,12.9814444445,9.23188888889,16.1193333333,10.9817777778,26.739,13.6797777778,16.8003333333
796.09,9.26077777777,41.2882222222,26.7617777778,38.4087777778,21.7984444445,13.3852222222,9.46855555553,16.4894444445,10.774,27.2288888889,13.8954444444,17.0255555555
796.40,8.62488888889,40.0248333333,26.046,38.2628888889,20.859,12.9715555556,8.8218888889,15.7836666667,10.048,26.6803333333,13.143,16.2811111111
796.70,8.43661111111,39.4261666667,25.6623333333,38.158,20.5023333333,12.4612222222,8.38499999999,15.2993333334,9.56333333332,26.8405555556,13.0892222222,15.7722222222
797.01,8.79594444444,39.1872777778,25.7696666667,37.8527777778,20.3293333333,12.3734444444,8.62977777779,15.4257777778,9.72966666668,26.9294444444,13.0806666667,15.7073333333
797.32,8.96977777778,38.8251666667,25.117,37.0283333333,20.2384444445,12.0733333333,8.25022222222,15.1553333333,9.64666666666,26.3516666667,12.7885555556,15.4872222222
797.63,9.11272222221,38.5130555556,25.0492222222,36.7748888889,20.446,12.0164444445,8.50633333334,15.0055555556,9.44577777778,25.8434444444,12.9728888889,15.518
797.93,9.34894444445,38.5772777778,25.1407777778,36.8492222222,20.6605555556,12.1266666667,8.97755555556,15.2671111111,9.97588888889,25.9086666667,13.1933333333,15.5571111111
798.24,8.99477777779,38.3295555556,25.0324444444,37.0544444444,20.5134444444,12.0567777778,8.717,15.0314444444,9.95733333333,25.7176666667,13.2188888889,15.179
798.55,8.34866666667,37.3173333333,24.3062222222,36.3192222222,19.4555555555,11.1636666666,8.07288888889,13.9391111111,9.48255555557,24.4285555556,12.5295555556,14.3682222222
798.85,7.25461111111,35.9396111111,23.0583333333,35.2904444444,18.2098888889,9.65211111109,6.72533333333,12.4898888889,8.36222222222,22.7648888889,11.2178888889,13.1662222222
799.16,6.99038888889,35.3666111111,22.654,35.1598888889,18.2726666667,9.58166666667,6.64866666667,12.0827777778,8.55588888889,22.4111111111,11.0661111111,13.0632222222
799.47,6.73677777778,34.8686666667,22.5492222222,34.7687777778,17.8613333334,9.4032222222,6.27766666667,11.6652222222,8.34033333332,22.2674444445,10.5932222222,12.9827777778
799.78,6.23855555556,35.0775555555,22.5361111111,34.2837777778,17.6634444445,9.34844444446,5.88777777778,11.5725555555,7.90888888888,22.0653333334,10.3451111111,12.7262222222
800.08,5.39022222222,34.9723888889,22.3167777778,33.8813333333,17.0824444444,8.94755555557,5.31922222222,11.1961111111,7.19,21.4382222222,9.46722222222,11.9424444444
800.39,4.80427777778,34.3285,21.6862222222,33.3717777778,16.6427777778,8.59422222223,4.82344444445,10.5274444444,6.35466666667,21.0833333334,9.04400000001,11.2448888889
800.70,4.90983333333,34.2728333333,22.0968888889,33.68,16.4883333333,8.96199999999,5.35811111111,10.4945555555,6.63955555556,21.4801111111,9.444,11.381
