wavelength,Back_GeoConm,Belly_GeoConm,Breast_GeoConm,Crissum_GeoConm,Crown_GeoConm,DorTail_GeoConm,Patch10_GeoConm,Rump_GeoConm,Throat_GeoConm,WingTip_GeoConm
617.95,6.4418,6.99896666667,6.5854,8.53433333334,6.66666666667,9.26313333333,17.3830666667,9.85806666667,7.35446666666,11.1886666667
618.28,6.41613333333,6.95016666666,6.54213333333,8.45053333333,6.65566666667,9.20713333333,17.3466666667,9.81873333332,7.31233333334,11.1143333333
618.62,6.4134,6.9269,6.49806666666,8.39833333333,6.5916,9.167,17.2855666667,9.83060000001,7.22786666667,11.1050666667
618.95,6.39406666667,6.92563333333,6.4998,8.41246666667,6.5838,9.15866666666,17.2671333333,9.85126666667,7.20146666667,11.0944
619.28,6.271,6.84453333333,6.44193333333,8.35113333334,6.502,9.05866666667,17.1524333333,9.78133333333,7.10793333333,11.0454666667
619.62,6.14786666667,6.77416666667,6.34653333333,8.2156,6.4136,8.94559999999,17.0809666667,9.70773333335,7.00133333333,10.9436
619.95,6.2012,6.82713333333,6.4024,8.26733333334,6.44466666667,8.98873333334,17.1129,9.75873333333,7.01593333333,10.9846666667
620.28,6.2216,6.80556666667,6.38073333334,8.24933333333,6.4162,8.99346666667,17.1434,9.75173333333,7.03253333333,10.9958
620.62,6.1758,6.76916666667,6.33093333333,8.18573333333,6.36606666667,8.96206666666,17.1341666667,9.68533333333,6.99986666667,10.9726666667
620.95,6.16953333333,6.77473333333,6.34186666667,8.20520000001,6.36233333333,8.94733333333,17.0350666667,9.63833333332,6.9944,10.9553333333
621.28,6.1674,6.77523333333,6.33906666667,8.23326666667,6.37486666667,8.97779999999,17.0427666667,9.65219999999,6.98546666667,10.959
621.62,6.20866666666,6.8217,6.38026666667,8.27459999999,6.43933333333,9.00553333333,17.1126333333,9.70426666667,7.02213333334,10.9885333334
621.95,6.27453333333,6.86803333333,6.44386666666,8.32253333333,6.47113333333,9.06506666665,17.1685,9.7826,7.08553333333,11.0939333333
622.28,6.26673333333,6.89553333333,6.47793333333,8.40246666666,6.4912,9.10693333333,17.2150333333,9.8012,7.11466666667,11.1106666667
622.62,6.28273333333,6.91083333333,6.52066666667,8.40946666667,6.5026,9.13106666667,17.2423333333,9.79900000001,7.14140000001,11.1558666666
622.95,6.37026666667,6.9336,6.5534,8.4656,6.56013333333,9.18673333335,17.2644333334,9.83940000001,7.17106666666,11.2027333333
623.28,6.4176,6.9606,6.58186666667,8.50266666666,6.6064,9.27360000001,17.3077,9.89853333333,7.20293333333,11.2567333333
623.62,6.2588,6.82646666667,6.42,8.36133333333,6.48613333333,9.12446666668,17.1893333333,9.77473333333,7.08966666667,11.1304666667
623.95,6.23426666667,6.83503333333,6.427,8.40966666666,6.5276,9.13093333333,17.1936,9.81506666667,7.1082,11.1695333333
624.28,6.27873333333,6.89026666667,6.4614,8.46946666666,6.6106,9.1782,17.2481,9.92366666667,7.17679999999,11.2301333333
624.62,6.26873333333,6.8271,6.40753333333,8.42586666667,6.5912,9.15480000001,17.2371666667,9.92546666667,7.18246666668,11.1985333333
624.95,6.27146666667,6.82856666667,6.39753333333,8.42646666667,6.58173333333,9.14353333333,17.2484333333,9.93353333333,7.19786666666,11.2142666667
625.28,6.19813333333,6.71906666667,6.3044,8.34766666666,6.4678,9.05766666667,17.1402666667,9.8516,7.12313333333,11.1329333333
625.61,6.1396,6.66343333333,6.24326666667,8.30546666666,6.42806666667,9.03893333333,17.0998666667,9.802,7.06146666667,11.0758
625.95,6.18086666667,6.6848,6.2916,8.30853333334,6.48733333333,9.07893333333,17.1461666667,9.86700000001,7.10853333333,11.1316
626.28,6.18273333333,6.68263333333,6.27293333333,8.27373333334,6.492,9.10686666667,17.1725666667,9.86366666666,7.12093333333,11.1427333333
626.61,6.15666666667,6.6706,6.25013333333,8.25939999999,6.4736,9.08966666667,17.1815333333,9.84979999999,7.09466666667,11.1311333333
626.94,6.1324,6.64893333333,6.2256,8.24706666667,6.4172,9.06393333333,17.1829666667,9.82933333333,7.081,11.1494
627.28,6.21766666667,6.71253333333,6.30053333334,8.32633333333,6.49553333333,9.12959999999,17.2406666667,9.91406666665,7.16713333333,11.2525333333
627.61,6.23853333333,6.67763333333,6.30133333333,8.27726666667,6.47226666667,9.11959999999,17.2244333333,9.91173333334,7.12826666666,11.2444
627.94,6.22386666667,6.63523333333,6.27306666667,8.25379999999,6.42093333333,9.09106666666,17.149,9.86166666667,7.09506666667,11.1964
628.27,6.27573333333,6.73493333333,6.333,8.30213333334,6.46593333334,9.15413333333,17.2569,9.95419999999,7.1238,11.2967333333
628.61,6.24113333333,6.67753333333,6.3122,8.2438,6.39653333333,9.11979999999,17.2006666667,9.94453333332,7.078,11.2666
628.94,6.24453333333,6.72273333333,6.32793333333,8.24646666667,6.38286666667,9.11786666667,17.1985,9.96099999999,7.097,11.2895333333
629.27,6.23326666667,6.7208,6.31546666667,8.26533333333,6.35053333333,9.09126666667,17.1999333333,9.95246666668,7.093,11.2796666667
629.60,6.20106666667,6.70916666667,6.261,8.25913333333,6.27546666667,9.04020000001,17.1624333333,9.89293333335,7.066,11.2540666667
629.94,6.21306666667,6.70353333333,6.256,8.28426666667,6.269,9.03366666668,17.1516666667,9.92393333333,7.06213333333,11.2487333333
630.27,6.22593333333,6.72906666667,6.29413333333,8.28213333333,6.26726666667,9.04640000001,17.1932,9.94840000001,7.0708,11.2689333333
630.60,6.35673333333,6.83673333333,6.41973333333,8.42633333334,6.40086666666,9.15673333333,17.2964333333,10.0368,7.19193333333,11.3416
630.93,6.42953333333,6.93566666667,6.51806666667,8.51486666666,6.44346666667,9.26773333333,17.3724333333,10.1343333333,7.28433333334,11.4104
631.26,6.40006666667,6.96943333333,6.51733333333,8.5432,6.44326666667,9.294,17.3734333333,10.0992,7.32086666667,11.3927333334
631.60,6.31033333333,6.94346666667,6.4792,8.50793333333,6.3856,9.22479999999,17.4243333333,10.0832,7.27,11.3611333333
631.93,6.29693333333,6.8836,6.4424,8.48233333333,6.34146666667,9.18353333333,17.3694,10.0231333333,7.2688,11.3236666667
632.26,6.28853333333,6.89093333333,6.4746,8.52133333332,6.37393333334,9.1854,17.3724333333,9.98073333333,7.2884,11.3302666667
632.59,6.28586666667,6.85533333333,6.44633333333,8.52380000001,6.3876,9.21466666666,17.4116333333,9.97326666666,7.2602,11.3470666667
632.92,6.2172,6.78606666667,6.37953333333,8.44773333334,6.33446666667,9.1534,17.3563333333,9.88766666666,7.20966666667,11.3096
633.26,6.2848,6.82396666666,6.424,8.51480000001,6.414,9.24273333333,17.4172,9.9536,7.26686666667,11.3691333333
633.59,6.28846666667,6.91076666667,6.43453333333,8.57406666668,6.45386666667,9.2932,17.4909,9.98013333333,7.344,11.4286
633.92,6.28966666667,6.86763333333,6.36166666667,8.59093333334,6.43026666667,9.28073333333,17.4481333333,9.97780000001,7.33799999999,11.4116666667
634.25,6.20113333333,6.8219,6.27946666667,8.48860000001,6.34266666667,9.19726666666,17.3890666667,9.89946666667,7.27486666666,11.3757333333
634.58,6.12066666667,6.7291,6.18353333333,8.40713333333,6.29813333333,9.14573333334,17.3764,9.80079999999,7.197,11.3617333333
634.91,6.12546666667,6.67366666667,6.13733333333,8.4344,6.28246666667,9.12460000001,17.3921333333,9.83193333335,7.1906,11.3942
635.25,6.32573333333,6.8406,6.32006666667,8.59593333333,6.47526666666,9.3126,17.4867666667,9.97453333333,7.37993333333,11.6008666667
635.58,6.28066666667,6.8259,6.2686,8.58606666667,6.44113333333,9.28613333333,17.5015333333,9.93766666667,7.30733333333,11.5781333333
635.91,6.3406,6.90836666667,6.3042,8.64240000001,6.50226666667,9.37400000001,17.5842,10.0107333333,7.3556,11.6740666667
636.24,6.4128,7.0223,6.38986666667,8.77673333333,6.60786666667,9.46186666667,17.6744,10.1083333333,7.464,11.7976
636.57,6.51953333333,7.095,6.45266666667,8.84966666666,6.68293333333,9.55446666667,17.8018,10.2070666667,7.5516,11.8837333333
636.90,6.4568,7.05653333333,6.3878,8.75919999999,6.6252,9.47813333333,17.7668333333,10.1346666667,7.48506666667,11.8686666667
637.23,6.46786666667,7.01553333333,6.37286666667,8.74073333333,6.60586666667,9.45726666667,17.7588333333,10.1158,7.41586666667,11.889
637.56,6.5156,7.1137,6.46706666667,8.74106666666,6.6604,9.53660000001,17.8219,10.1464666667,7.5056,11.9742
637.90,6.592,7.1723,6.53186666667,8.81353333333,6.7466,9.64986666667,17.8825,10.2354666667,7.5338,12.0376
638.23,6.6456,7.26776666667,6.5762,8.89659999999,6.77953333333,9.68993333333,17.9195666667,10.2858,7.59626666667,12.0694666667
638.56,6.62726666667,7.2859,6.55073333333,8.89453333334,6.70593333333,9.68899999999,17.9480333333,10.2482666667,7.60493333333,12.0633333333
638.89,6.5296,7.174,6.3974,8.80920000001,6.57746666667,9.59586666668,17.8713666667,10.1398,7.50613333333,11.9796666667
