wavelength,Back_SalFulm,Belly_SalFulm,Breast_SalFulm,Crissum_SalFulm,Crown_SalFulm,DorTail_SalFulm,Rump_SalFulm,Throat_SalFulm,WingTip_SalFulm
206.87,-32.4444000001,-56.1932637682,-42.0740333333,-39.7036666667,6.81479999994,20.8888666667,-29.7778666667,-8.148,-99.3333666666
207.25,-43.4782666667,-70.0315333333,-47.6085666667,-50.5797333333,-7.53626666674,20.8696666667,-29.9998000001,-17.9709666667,-108.7681
207.63,-9.68559999999,-36.658452174,-3.2704,-18.3648,21.2578666667,44.6539333333,-4.1510666666,26.9810333333,-68.8679666667
208.01,6.49559999998,-35.5258086957,20.4274,-6.15379999999,57.0939999999,84.6153,18.9744666667,65.2137000001,-88.8887666668
208.39,31.4286666667,3.67943768114,49.7958333333,32.9250666666,69.7958000001,100.068,45.5782666667,75.1020666667,-38.5034000001
208.77,46.0868666666,16.4838289855,56.8115333333,48.8406,80.8695333333,117.6812,63.913,93.9853999999,-25.2899333333
209.14,38.1666666667,9.7391304348,59.6666666666,52.5,83.8333333333,131.916666667,60.6666666668,84.9166666667,-32.25
209.52,3.20993333334,-36.8116550726,56.2963000001,38.2715333333,80.0000666668,173.086366667,38.2716000001,74.321,-85.3085
209.90,9.09086666666,-35.1910927534,63.6364333333,35.1514666666,103.030266667,203.484866667,55.1514666667,90.0000666667,-82.8789
210.28,49.2537333333,29.3056028985,62.0397333333,58.0100666667,70.4476000001,109.005133333,55.2239333333,70.5473666667,12.7361666666
210.66,43.9826,32.045773913,51.4718,55.5844,63.7228666667,100.5195,50.0432666667,61.0823333333,12.2509999999
211.03,38.0272666667,30.9080521739,48.0611666667,48.8435333333,57.415,85.8844333333,44.3538,55.6462,15.3742
211.41,33.7374666667,29.213968116,45.3535333333,44.3770666667,57.6431333333,80.202,32.5252000001,52.3568666667,15.7576666667
211.79,23.6169333333,25.3653304348,39.5390333333,38.0142666667,53.1204666666,73.9007,28.7234000001,44.8937666667,10.9575
212.17,17.003,20.9122028985,30.4281333333,27.8288,42.6910666667,58.6237,25.1376666667,35.6268,10.4586
212.55,7.20239999999,9.63253043478,20.9524666667,15.5951333333,34.5833333333,46.6368666667,14.6429333333,26.5773333333,0.44633333334
212.92,6.51506666668,8.78568695652,18.8887666667,11.4646666667,28.788,39.3938666667,10.2019333333,23.0808666667,0.934233333326
213.30,9.34246666666,9.59879710144,20.6801666667,13.0612,26.4852666667,37.0749,11.1564666667,24.4445333333,3.10666666668
213.68,12.3178666667,12.7363594203,21.7218333333,12.4062,26.2252,34.1942333333,12.5386,25.4967333333,5.18756666667
214.06,5.2702,5.56211014493,15.7432,7.52246666666,18.4234,27.6577,6.39646666666,18.8963,-3.33329999999
214.44,3.75939999999,0.407588405794,13.2832,3.10773333333,16.0400666667,27.7193333333,4.46113333334,20.6768,-9.2731
214.81,2.89313333333,0.91062318838,17.3269,2.89313333334,20.2515333333,33.2075,6.66673333334,25.4718666667,-8.3333
215.19,4.53613333335,3.87858840578,24.1581666667,7.21646666668,24.3296666667,41.8901,10.1718,31.9242666667,-4.2956
215.57,10.6383333333,12.0721478261,32.2340666667,16.8085333333,31.2764666667,52.1278,22.4822666667,43.1205,1.45379999999
215.95,21.0884666667,15.2677014493,35.4422,24.4896666667,35.5101333333,55.7143,24.898,44.6257666667,8.57149999999
216.32,24.5782666667,15.3587536232,40.6024333333,27.7910666667,36.3854666667,65.9838000001,17.5099333333,49.3976666667,8.15256666667
216.70,26.6666666667,10.4127333333,39.1414333333,25.7576,33.4343999999,81.7173000001,8.8888,57.7271666665,3.63633333341
217.08,40.7179333333,19.5096318841,51.0769666667,41.1282666667,43.2821333333,94.7178333334,25.4360666667,69.1282,16.6154000001
217.46,34.3283333333,14.0947362319,40.2984,34.0298666667,42.4875333333,85.6717333333,21.6915333333,61.6418,16.4178999999
217.83,31.0346,14.8659797102,40.1532333333,33.3334,39.3868666667,73.7165333334,22.1456,56.0536333333,22.1073333333
218.21,35.5822666667,12.5615826087,47.1484666667,32.9317333333,43.3734666666,76.8274333333,19.5181333333,58.4335000001,26.0242
218.59,20.0,5.97826086957,37.3333333333,23.1666666667,42.5,61.6666666667,4.83333333334,43.125,15.7916666666
218.97,21.0752666667,1.65194492753,31.3261333333,19.2114666667,36.7742666667,49.7132666667,4.73113333336,32.6522333333,14.5519333333
219.34,17.8824,-7.4680637681,22.2745333333,10.902,30.3528666667,39.5295,-3.84313333336,22.7844333333,5.21579999999
219.72,11.1594666667,-15.2520376812,14.6014,1.15933333333,19.5652,28.8768666667,-10.0,9.09416666665,-1.37669999999
220.10,11.9191333333,-5.87331304348,20.1683,0.202,22.2895333333,32.7945,-5.1852666667,11.6160666667,6.36353333333
220.47,8.56266666667,-4.73348405797,19.0519,2.20200000002,21.7124666666,28.8684,-1.89613333332,8.74616666667,5.56583333334
220.85,8.33333333334,-1.90219710145,17.8274333333,2.67853333332,22.5595333333,25.7737333333,-2.02393333336,3.92853333335,5.65479999999
221.23,6.37439999999,-3.18346666667,18.3040333333,-0.0584666666806,22.9824,24.9998333333,-5.26319999999,2.04686666668,2.60243333332
221.61,1.88393333333,-9.30982318842,15.3261,-5.86966666667,19.2752,25.9419333333,-13.7681333333,-6.26803333333,-6.4131
221.98,2.80700000001,-9.06178550725,13.4208666667,-6.4912,23.0702,29.4298666667,-15.4386,-12.8948333333,-13.1579666667
222.36,5.10833333333,-1.88218550723,14.1124333333,-3.11700000001,26.8398666667,34.8484666667,-6.6668,-11.5153,-11.0389
222.74,-1.8714,-19.5778550725,17.4853333333,-17.1929333333,21.0526666667,52.4561333333,-13.0993333333,-18.4210666667,-20.7600666667
223.11,-14.4827333333,-32.8086318841,15.8046333333,-25.862,11.0345333333,46.2644,-22.5286666667,-12.8735333333,-33.1611
223.49,-12.1906,-30.2733652174,14.2380666667,-20.1905333333,11.2382,40.0475,-14.6667333333,-3.71433333332,-22.0952333333
223.87,-13.4426,-30.8482608696,17.0492333333,-16.6120666667,16.5028,49.3989,-13.3334,7.1583,-22.0765
224.24,-36.1905333333,-60.5265681159,2.44903333334,-34.1496,7.07486666667,35.034,-31.8366666667,-1.36053333334,-54.6258666667
224.62,-43.4108000001,-70.5291449275,-9.92243333333,-47.1318666668,8.06199999999,30.4650333333,-43.2558000001,-1.16280000002,-62.5581999999
225.00,-18.4615333333,-35.4011971014,16.2179666667,-23.4615333333,28.4615333333,40.1283,-10.8976,18.8462666667,-27.9488
225.38,-50.3875333334,-78.8877130435,-13.9535333333,-63.2558000001,3.72100000002,14.5736,-40.4650666667,-2.40293333334,-52.7906000001
225.75,-35.9722,-69.9638956522,-9.02773333333,-55.5554666667,8.19460000001,14.3749333333,-37.2222,10.2084333333,-40.9721333333
226.13,-86.6666666667,-142.04424058,-50.7016333333,-109.649,-40.8772,-27.9824333333,-102.105333333,-24.8245666667,-91.4034000001
226.51,-61.8302,-94.0210405797,-30.7188333334,-79.6079333334,-28.2355333333,-20.0,-83.5294666667,-12.5489,-56.6013666667
226.88,-30.7407333333,-53.2930608696,-14.6758666667,-41.7592,-14.9074,-11.389,-54.5370666667,0.277833333326,-29.5372
227.26,-26.8817333333,-51.3511246377,-13.6558666667,-47.7419333334,-17.4194666667,-9.30103333334,-63.0106666666,2.36556666665,-31.5592
227.64,-43.2099333333,-67.2357188406,-27.037,-67.5308666667,-37.1604666667,-22.3456333333,-90.4937999999,-12.4691666667,-50.3705
228.01,-36.9892,-58.4946173913,-21.8817333333,-62.258,-36.129,-21.0754,-78.6021333333,-12.0969,-42.4730666667
228.39,-45.3107333333,-67.1924956522,-30.9039666667,-75.7063333333,-50.8476,-31.8643333333,-88.3616666666,-24.8023666667,-52.0339
228.76,-47.8363333333,-72.6213623189,-33.0993333333,-78.8304,-58.8304,-34.7952666667,-92.0468000001,-29.9999333333,-59.4736000001
229.14,-68.1333333333,-97.5536231885,-60.1333333333,-99.2,-86.6666666667,-50.2666666667,-121.466666667,-48.2666666666,-86.1333333333
229.52,-61.9608,-83.9045681159,-54.6404666667,-87.7123333333,-77.5163333333,-48.6928,-115.4248,-53.1371666666,-85.4248333333
229.89,-61.3793333333,-76.9815362319,-55.6896333333,-88.6208,-74.0229333333,-54.54,-105.517266667,-56.4367333333,-82.8736
230.27,-15.8847333333,-25.4786289855,-15.8436,-38.0248,-24.0329333333,-9.712,-45.4321333333,-14.6090666667,-28.0657666667
230.65,-24.5832666667,-42.1649188406,-28.4375,-47.6042,-31.3541333333,-17.7084,-56.4583333333,-16.5626333333,-39.2708
231.02,-25.0314,-50.5441130435,-36.4151,-61.3835333334,-33.5848666666,-20.3143666667,-60.7547333334,-24.7799666667,-40.0629
231.40,-46.5333333334,-71.3507246376,-59.7999999999,-80.2666666665,-51.9999999999,-39.1999999999,-76.5333333334,-51.6666666667,-54.3333333334
231.78,-14.6874666667,-27.413826087,-24.2186333333,-38.4376,-11.4582666667,-11.7186666667,-33.5416,-18.4895666667,-16.8750333333
232.15,-4.23286666668,-17.7547826087,-15.8200666667,-28.9948,3.28033333332,-5.92596666665,-27.4073333333,-12.963,-6.61376666667
232.53,-0.635,-27.6144521739,-19.4709333333,-27.1956666667,8.25386666667,-6.61383333334,-27.5132666667,-13.0159666667,0.581966666674
232.90,10.2942,-23.1073304348,-10.8823,-23.4313333333,10.4901333333,-2.99003333334,-23.6274666667,-5.04900000001,13.9215333333
233.28,19.4,-4.47536231883,7.00000000001,-2.73333333333,21.6666666667,8.66666666666,-3.06666666668,14.2,25.2333333333
233.66,24.4837333333,4.60441449275,11.8288666667,6.72553333331,26.3126666667,14.4837333333,4.48366666667,24.0707333333,35.3097333333
234.03,26.448,7.84749855071,16.9126333333,14.0438,29.7814,17.9781333333,10.6012,27.7322666667,40.8742333333
234.41,16.5408666667,-2.70165507247,9.05666666667,3.89946666667,18.9307333333,4.5282,-2.01266666667,22.2014666667,34.4024666667
234.78,15.0676666667,2.69351014492,9.0243,4.98646666666,18.3738666667,6.3685,3.14366666666,19.9186333333,32.2492
